
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1799891, PRECISION: 0.0387751, PRECISION_RECALL_MIN_DEN: 0.1355105, RECALL: 0.1312009, MAP: 0.0632797, MRR: 0.1347765, NDCG: 0.0952299, F1: 0.0598587, HIT_RATE: 0.3877506, ARHR: 0.1558802, NOVELTY: 0.0047943, AVERAGE_POPULARITY: 0.1070708, DIVERSITY_MEAN_INTER_LIST: 0.9864849, DIVERSITY_HERFINDAHL: 0.9986311, COVERAGE_ITEM: 0.4212589, COVERAGE_ITEM_CORRECT: 0.0453667, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024160, DIVERSITY_GINI: 0.1292664, SHANNON_ENTROPY: 11.4486226, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1747039, PRECISION: 0.0367942, PRECISION_RECALL_MIN_DEN: 0.1286215, RECALL: 0.1246062, MAP: 0.0604875, MRR: 0.1296904, NDCG: 0.0910038, F1: 0.0568108, HIT_RATE: 0.3679420, ARHR: 0.1495702, NOVELTY: 0.0047726, AVERAGE_POPULARITY: 0.1197526, DIVERSITY_MEAN_INTER_LIST: 0.9809991, DIVERSITY_HERFINDAHL: 0.9980826, COVERAGE_ITEM: 0.4429721, COVERAGE_ITEM_CORRECT: 0.0406083, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1941362, DIVERSITY_GINI: 0.1331284, SHANNON_ENTROPY: 11.2459716, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1813719, PRECISION: 0.0389654, PRECISION_RECALL_MIN_DEN: 0.1357621, RECALL: 0.1313261, MAP: 0.0637494, MRR: 0.1356331, NDCG: 0.0956588, F1: 0.0600979, HIT_RATE: 0.3896541, ARHR: 0.1570175, NOVELTY: 0.0048045, AVERAGE_POPULARITY: 0.1037526, DIVERSITY_MEAN_INTER_LIST: 0.9875978, DIVERSITY_HERFINDAHL: 0.9987423, COVERAGE_ITEM: 0.4212512, COVERAGE_ITEM_CORRECT: 0.0465987, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1312671, SHANNON_ENTROPY: 11.5190534, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1815010, PRECISION: 0.0389299, PRECISION_RECALL_MIN_DEN: 0.1356966, RECALL: 0.1312755, MAP: 0.0637100, MRR: 0.1356720, NDCG: 0.0956311, F1: 0.0600507, HIT_RATE: 0.3892989, ARHR: 0.1569969, NOVELTY: 0.0048049, AVERAGE_POPULARITY: 0.1037596, DIVERSITY_MEAN_INTER_LIST: 0.9875870, DIVERSITY_HERFINDAHL: 0.9987413, COVERAGE_ITEM: 0.4216747, COVERAGE_ITEM_CORRECT: 0.0465987, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1314912, SHANNON_ENTROPY: 11.5204820, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1808180, PRECISION: 0.0387779, PRECISION_RECALL_MIN_DEN: 0.1353422, RECALL: 0.1310156, MAP: 0.0633660, MRR: 0.1352266, NDCG: 0.0952877, F1: 0.0598428, HIT_RATE: 0.3877788, ARHR: 0.1563377, NOVELTY: 0.0047973, AVERAGE_POPULARITY: 0.1057677, DIVERSITY_MEAN_INTER_LIST: 0.9869410, DIVERSITY_HERFINDAHL: 0.9986767, COVERAGE_ITEM: 0.4197729, COVERAGE_ITEM_CORRECT: 0.0457748, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026677, DIVERSITY_GINI: 0.1293157, SHANNON_ENTROPY: 11.4701746, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1766809, PRECISION: 0.0371519, PRECISION_RECALL_MIN_DEN: 0.1302978, RECALL: 0.1262529, MAP: 0.0613525, MRR: 0.1313994, NDCG: 0.0922023, F1: 0.0574077, HIT_RATE: 0.3715186, ARHR: 0.1514465, NOVELTY: 0.0047685, AVERAGE_POPULARITY: 0.1169495, DIVERSITY_MEAN_INTER_LIST: 0.9824874, DIVERSITY_HERFINDAHL: 0.9982314, COVERAGE_ITEM: 0.4294976, COVERAGE_ITEM_CORRECT: 0.0412320, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963760, DIVERSITY_GINI: 0.1272664, SHANNON_ENTROPY: 11.2504115, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1800725, PRECISION: 0.0387856, PRECISION_RECALL_MIN_DEN: 0.1354182, RECALL: 0.1311043, MAP: 0.0633064, MRR: 0.1349563, NDCG: 0.0952427, F1: 0.0598613, HIT_RATE: 0.3878559, ARHR: 0.1560634, NOVELTY: 0.0047936, AVERAGE_POPULARITY: 0.1071523, DIVERSITY_MEAN_INTER_LIST: 0.9864620, DIVERSITY_HERFINDAHL: 0.9986288, COVERAGE_ITEM: 0.4205890, COVERAGE_ITEM_CORRECT: 0.0452974, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025167, DIVERSITY_GINI: 0.1289068, SHANNON_ENTROPY: 11.4442719, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1815015, PRECISION: 0.0389549, PRECISION_RECALL_MIN_DEN: 0.1355590, RECALL: 0.1311176, MAP: 0.0636157, MRR: 0.1354904, NDCG: 0.0955215, F1: 0.0600634, HIT_RATE: 0.3895488, ARHR: 0.1568742, NOVELTY: 0.0048061, AVERAGE_POPULARITY: 0.1033548, DIVERSITY_MEAN_INTER_LIST: 0.9877205, DIVERSITY_HERFINDAHL: 0.9987546, COVERAGE_ITEM: 0.4214206, COVERAGE_ITEM_CORRECT: 0.0467372, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031962, DIVERSITY_GINI: 0.1316416, SHANNON_ENTROPY: 11.5285971, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1802858, PRECISION: 0.0387820, PRECISION_RECALL_MIN_DEN: 0.1355262, RECALL: 0.1311977, MAP: 0.0633281, MRR: 0.1349175, NDCG: 0.0952608, F1: 0.0598666, HIT_RATE: 0.3878197, ARHR: 0.1559830, NOVELTY: 0.0047962, AVERAGE_POPULARITY: 0.1064923, DIVERSITY_MEAN_INTER_LIST: 0.9866936, DIVERSITY_HERFINDAHL: 0.9986519, COVERAGE_ITEM: 0.4211203, COVERAGE_ITEM_CORRECT: 0.0455361, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025670, DIVERSITY_GINI: 0.1295273, SHANNON_ENTROPY: 11.4602641, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.06162894636864159, 'l1_ratio': 0.7750867227642295} - results: ROC_AUC: 0.1813859, PRECISION: 0.0389655, PRECISION_RECALL_MIN_DEN: 0.1355671, RECALL: 0.1311246, MAP: 0.0636218, MRR: 0.1355408, NDCG: 0.0955296, F1: 0.0600767, HIT_RATE: 0.3896547, ARHR: 0.1569364, NOVELTY: 0.0048056, AVERAGE_POPULARITY: 0.1034318, DIVERSITY_MEAN_INTER_LIST: 0.9876988, DIVERSITY_HERFINDAHL: 0.9987524, COVERAGE_ITEM: 0.4210741, COVERAGE_ITEM_CORRECT: 0.0467064, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1314614, SHANNON_ENTROPY: 11.5262104, 
