
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1636968, PRECISION: 0.0344624, PRECISION_RECALL_MIN_DEN: 0.1178295, RECALL: 0.1140295, MAP: 0.0556010, MRR: 0.1210269, NDCG: 0.0839773, F1: 0.0529265, HIT_RATE: 0.3446241, ARHR: 0.1394670, NOVELTY: 0.0048364, AVERAGE_POPULARITY: 0.1172140, DIVERSITY_MEAN_INTER_LIST: 0.9817791, DIVERSITY_HERFINDAHL: 0.9981606, COVERAGE_ITEM: 0.4456593, COVERAGE_ITEM_CORRECT: 0.0367815, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1819051, DIVERSITY_GINI: 0.1436531, SHANNON_ENTROPY: 11.4191156, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1712898, PRECISION: 0.0361087, PRECISION_RECALL_MIN_DEN: 0.1251309, RECALL: 0.1211467, MAP: 0.0584325, MRR: 0.1267580, NDCG: 0.0883837, F1: 0.0556334, HIT_RATE: 0.3610867, ARHR: 0.1462308, NOVELTY: 0.0047774, AVERAGE_POPULARITY: 0.1211073, DIVERSITY_MEAN_INTER_LIST: 0.9803439, DIVERSITY_HERFINDAHL: 0.9980171, COVERAGE_ITEM: 0.4334013, COVERAGE_ITEM_CORRECT: 0.0392531, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1903108, DIVERSITY_GINI: 0.1294714, SHANNON_ENTROPY: 11.2089480, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1581893, PRECISION: 0.0332365, PRECISION_RECALL_MIN_DEN: 0.1131390, RECALL: 0.1094133, MAP: 0.0535057, MRR: 0.1168558, NDCG: 0.0807996, F1: 0.0509819, HIT_RATE: 0.3323654, ARHR: 0.1344875, NOVELTY: 0.0048629, AVERAGE_POPULARITY: 0.1149158, DIVERSITY_MEAN_INTER_LIST: 0.9824929, DIVERSITY_HERFINDAHL: 0.9982319, COVERAGE_ITEM: 0.4483773, COVERAGE_ITEM_CORRECT: 0.0352724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1755128, DIVERSITY_GINI: 0.1482745, SHANNON_ENTROPY: 11.5015486, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1581145, PRECISION: 0.0332612, PRECISION_RECALL_MIN_DEN: 0.1132168, RECALL: 0.1094829, MAP: 0.0535119, MRR: 0.1168663, NDCG: 0.0808152, F1: 0.0510192, HIT_RATE: 0.3326115, ARHR: 0.1345493, NOVELTY: 0.0048642, AVERAGE_POPULARITY: 0.1148551, DIVERSITY_MEAN_INTER_LIST: 0.9824935, DIVERSITY_HERFINDAHL: 0.9982320, COVERAGE_ITEM: 0.4489163, COVERAGE_ITEM_CORRECT: 0.0353571, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1755379, DIVERSITY_GINI: 0.1487789, SHANNON_ENTROPY: 11.5067530, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1621593, PRECISION: 0.0341656, PRECISION_RECALL_MIN_DEN: 0.1165988, RECALL: 0.1128156, MAP: 0.0551026, MRR: 0.1200348, NDCG: 0.0831826, F1: 0.0524456, HIT_RATE: 0.3416564, ARHR: 0.1382337, NOVELTY: 0.0048429, AVERAGE_POPULARITY: 0.1164603, DIVERSITY_MEAN_INTER_LIST: 0.9820786, DIVERSITY_HERFINDAHL: 0.9981905, COVERAGE_ITEM: 0.4451203, COVERAGE_ITEM_CORRECT: 0.0363657, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1802945, DIVERSITY_GINI: 0.1441257, SHANNON_ENTROPY: 11.4386983, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1722301, PRECISION: 0.0362755, PRECISION_RECALL_MIN_DEN: 0.1253243, RECALL: 0.1213237, MAP: 0.0588532, MRR: 0.1276465, NDCG: 0.0888662, F1: 0.0558494, HIT_RATE: 0.3627553, ARHR: 0.1471748, NOVELTY: 0.0047750, AVERAGE_POPULARITY: 0.1200235, DIVERSITY_MEAN_INTER_LIST: 0.9810900, DIVERSITY_HERFINDAHL: 0.9980917, COVERAGE_ITEM: 0.4266487, COVERAGE_ITEM_CORRECT: 0.0393070, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1913426, DIVERSITY_GINI: 0.1260752, SHANNON_ENTROPY: 11.2034651, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1638794, PRECISION: 0.0345187, PRECISION_RECALL_MIN_DEN: 0.1178812, RECALL: 0.1140812, MAP: 0.0556684, MRR: 0.1212238, NDCG: 0.0840767, F1: 0.0529983, HIT_RATE: 0.3451868, ARHR: 0.1397227, NOVELTY: 0.0048343, AVERAGE_POPULARITY: 0.1172846, DIVERSITY_MEAN_INTER_LIST: 0.9817795, DIVERSITY_HERFINDAHL: 0.9981606, COVERAGE_ITEM: 0.4446352, COVERAGE_ITEM_CORRECT: 0.0368585, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1820561, DIVERSITY_GINI: 0.1428864, SHANNON_ENTROPY: 11.4115633, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1578194, PRECISION: 0.0331092, PRECISION_RECALL_MIN_DEN: 0.1128709, RECALL: 0.1091646, MAP: 0.0532971, MRR: 0.1165572, NDCG: 0.0805478, F1: 0.0508061, HIT_RATE: 0.3310925, ARHR: 0.1340324, NOVELTY: 0.0048672, AVERAGE_POPULARITY: 0.1146120, DIVERSITY_MEAN_INTER_LIST: 0.9825635, DIVERSITY_HERFINDAHL: 0.9982390, COVERAGE_ITEM: 0.4491935, COVERAGE_ITEM_CORRECT: 0.0351030, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1752359, DIVERSITY_GINI: 0.1492448, SHANNON_ENTROPY: 11.5153182, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1628802, PRECISION: 0.0342433, PRECISION_RECALL_MIN_DEN: 0.1167062, RECALL: 0.1129059, MAP: 0.0553400, MRR: 0.1205176, NDCG: 0.0834572, F1: 0.0525466, HIT_RATE: 0.3424332, ARHR: 0.1388705, NOVELTY: 0.0048402, AVERAGE_POPULARITY: 0.1168217, DIVERSITY_MEAN_INTER_LIST: 0.9819265, DIVERSITY_HERFINDAHL: 0.9981753, COVERAGE_ITEM: 0.4453359, COVERAGE_ITEM_CORRECT: 0.0364581, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1804958, DIVERSITY_GINI: 0.1440666, SHANNON_ENTROPY: 11.4309441, 
