
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.18028000050677875, 'l1_ratio': 0.8193199373961375} - results: ROC_AUC: 0.1814007, PRECISION: 0.0389761, PRECISION_RECALL_MIN_DEN: 0.1358227, RECALL: 0.1314286, MAP: 0.0637432, MRR: 0.1357919, NDCG: 0.0957189, F1: 0.0601214, HIT_RATE: 0.3897610, ARHR: 0.1571042, NOVELTY: 0.0048014, AVERAGE_POPULARITY: 0.1044951, DIVERSITY_MEAN_INTER_LIST: 0.9873840, DIVERSITY_HERFINDAHL: 0.9987210, COVERAGE_ITEM: 0.4199808, COVERAGE_ITEM_CORRECT: 0.0464755, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035737, DIVERSITY_GINI: 0.1303707, SHANNON_ENTROPY: 11.5020967, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.08872356945557748, 'l1_ratio': 0.9131524373038246} - results: ROC_AUC: 0.1813759, PRECISION: 0.0389409, PRECISION_RECALL_MIN_DEN: 0.1356180, RECALL: 0.1311871, MAP: 0.0637491, MRR: 0.1356545, NDCG: 0.0956267, F1: 0.0600542, HIT_RATE: 0.3894086, ARHR: 0.1570266, NOVELTY: 0.0048046, AVERAGE_POPULARITY: 0.1036409, DIVERSITY_MEAN_INTER_LIST: 0.9876424, DIVERSITY_HERFINDAHL: 0.9987468, COVERAGE_ITEM: 0.4208431, COVERAGE_ITEM_CORRECT: 0.0466603, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030955, DIVERSITY_GINI: 0.1312555, SHANNON_ENTROPY: 11.5216437, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.19024965623474815, 'l1_ratio': 0.16158166863709636} - results: ROC_AUC: 0.1818505, PRECISION: 0.0389580, PRECISION_RECALL_MIN_DEN: 0.1361861, RECALL: 0.1318505, MAP: 0.0638223, MRR: 0.1358856, NDCG: 0.0958853, F1: 0.0601443, HIT_RATE: 0.3895805, ARHR: 0.1571241, NOVELTY: 0.0047978, AVERAGE_POPULARITY: 0.1063239, DIVERSITY_MEAN_INTER_LIST: 0.9868126, DIVERSITY_HERFINDAHL: 0.9986638, COVERAGE_ITEM: 0.4237382, COVERAGE_ITEM_CORRECT: 0.0460597, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2036995, DIVERSITY_GINI: 0.1312906, SHANNON_ENTROPY: 11.4852924, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.39060444143234796, 'l1_ratio': 0.710350697446395} - results: ROC_AUC: 0.1811859, PRECISION: 0.0388591, PRECISION_RECALL_MIN_DEN: 0.1357685, RECALL: 0.1314356, MAP: 0.0635129, MRR: 0.1351615, NDCG: 0.0954902, F1: 0.0599832, HIT_RATE: 0.3885909, ARHR: 0.1563504, NOVELTY: 0.0047924, AVERAGE_POPULARITY: 0.1071725, DIVERSITY_MEAN_INTER_LIST: 0.9865204, DIVERSITY_HERFINDAHL: 0.9986346, COVERAGE_ITEM: 0.4200731, COVERAGE_ITEM_CORRECT: 0.0456131, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030200, DIVERSITY_GINI: 0.1289380, SHANNON_ENTROPY: 11.4500842, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8057048796726889, 'l1_ratio': 0.45382797658433394} - results: ROC_AUC: 0.1743024, PRECISION: 0.0368338, PRECISION_RECALL_MIN_DEN: 0.1281741, RECALL: 0.1241859, MAP: 0.0607027, MRR: 0.1297349, NDCG: 0.0911164, F1: 0.0568132, HIT_RATE: 0.3683383, ARHR: 0.1496836, NOVELTY: 0.0047981, AVERAGE_POPULARITY: 0.1146647, DIVERSITY_MEAN_INTER_LIST: 0.9835562, DIVERSITY_HERFINDAHL: 0.9983382, COVERAGE_ITEM: 0.4326853, COVERAGE_ITEM_CORRECT: 0.0409086, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1937838, DIVERSITY_GINI: 0.1349275, SHANNON_ENTROPY: 11.3909897, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.34954961088247355, 'l1_ratio': 0.9323465964081014} - results: ROC_AUC: 0.1808708, PRECISION: 0.0388663, PRECISION_RECALL_MIN_DEN: 0.1354266, RECALL: 0.1310900, MAP: 0.0635049, MRR: 0.1353400, NDCG: 0.0954376, F1: 0.0599551, HIT_RATE: 0.3886627, ARHR: 0.1565685, NOVELTY: 0.0047964, AVERAGE_POPULARITY: 0.1053795, DIVERSITY_MEAN_INTER_LIST: 0.9870869, DIVERSITY_HERFINDAHL: 0.9986913, COVERAGE_ITEM: 0.4175014, COVERAGE_ITEM_CORRECT: 0.0459750, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2029948, DIVERSITY_GINI: 0.1285877, SHANNON_ENTROPY: 11.4713199, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9088007355009297, 'l1_ratio': 0.12652191825702855} - results: ROC_AUC: 0.1653902, PRECISION: 0.0347842, PRECISION_RECALL_MIN_DEN: 0.1201391, RECALL: 0.1163301, MAP: 0.0568830, MRR: 0.1224671, NDCG: 0.0855653, F1: 0.0535516, HIT_RATE: 0.3478422, ARHR: 0.1409669, NOVELTY: 0.0048317, AVERAGE_POPULARITY: 0.1149534, DIVERSITY_MEAN_INTER_LIST: 0.9828746, DIVERSITY_HERFINDAHL: 0.9982701, COVERAGE_ITEM: 0.4424562, COVERAGE_ITEM_CORRECT: 0.0377209, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1839688, DIVERSITY_GINI: 0.1444785, SHANNON_ENTROPY: 11.4738872, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6153547488390501, 'l1_ratio': 0.6597631006022507} - results: ROC_AUC: 0.1802408, PRECISION: 0.0383649, PRECISION_RECALL_MIN_DEN: 0.1340903, RECALL: 0.1299004, MAP: 0.0630312, MRR: 0.1343417, NDCG: 0.0947077, F1: 0.0592339, HIT_RATE: 0.3836486, ARHR: 0.1552013, NOVELTY: 0.0047860, AVERAGE_POPULARITY: 0.1106984, DIVERSITY_MEAN_INTER_LIST: 0.9852742, DIVERSITY_HERFINDAHL: 0.9985100, COVERAGE_ITEM: 0.4227141, COVERAGE_ITEM_CORRECT: 0.0438191, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2010067, DIVERSITY_GINI: 0.1288552, SHANNON_ENTROPY: 11.3950246, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.3815829147899019, 'l1_ratio': 0.97960488643572} - results: ROC_AUC: 0.1807541, PRECISION: 0.0387849, PRECISION_RECALL_MIN_DEN: 0.1351446, RECALL: 0.1308049, MAP: 0.0633508, MRR: 0.1350240, NDCG: 0.0952113, F1: 0.0598284, HIT_RATE: 0.3878487, ARHR: 0.1562122, NOVELTY: 0.0047960, AVERAGE_POPULARITY: 0.1053492, DIVERSITY_MEAN_INTER_LIST: 0.9870920, DIVERSITY_HERFINDAHL: 0.9986918, COVERAGE_ITEM: 0.4169933, COVERAGE_ITEM_CORRECT: 0.0457748, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026425, DIVERSITY_GINI: 0.1282301, SHANNON_ENTROPY: 11.4679225, 
