
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.834235168214763, 'b': 0.4059502182766278, 'c': 0.7989566978386514, 'normalize': True} - results: ROC_AUC: 0.1746757, PRECISION: 0.0383251, PRECISION_RECALL_MIN_DEN: 0.1321832, RECALL: 0.1276848, MAP: 0.0597160, MRR: 0.1289103, NDCG: 0.0911290, F1: 0.0589537, HIT_RATE: 0.3832512, ARHR: 0.1504570, NOVELTY: 0.0048523, AVERAGE_POPULARITY: 0.0844648, DIVERSITY_MEAN_INTER_LIST: 0.9925692, DIVERSITY_HERFINDAHL: 0.9992394, COVERAGE_ITEM: 0.3211781, COVERAGE_ITEM_CORRECT: 0.0475457, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986158, DIVERSITY_GINI: 0.1024252, SHANNON_ENTROPY: 11.5543577, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.9081748133342534, 'b': 0.9109816695491945, 'c': 0.5226669493036894, 'normalize': False} - results: ROC_AUC: 0.1951966, PRECISION: 0.0421626, PRECISION_RECALL_MIN_DEN: 0.1495120, RECALL: 0.1450387, MAP: 0.0699147, MRR: 0.1455169, NDCG: 0.1048449, F1: 0.0653308, HIT_RATE: 0.4216260, ARHR: 0.1690257, NOVELTY: 0.0048173, AVERAGE_POPULARITY: 0.0998737, DIVERSITY_MEAN_INTER_LIST: 0.9882679, DIVERSITY_HERFINDAHL: 0.9988093, COVERAGE_ITEM: 0.3869721, COVERAGE_ITEM_CORRECT: 0.0509490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2176922, DIVERSITY_GINI: 0.1194111, SHANNON_ENTROPY: 11.4735416, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.4145338616525692, 'b': 0.7298285220112266, 'c': 0.4995973682615984, 'normalize': False} - results: ROC_AUC: 0.1929623, PRECISION: 0.0420175, PRECISION_RECALL_MIN_DEN: 0.1474153, RECALL: 0.1428499, MAP: 0.0688914, MRR: 0.1444190, NDCG: 0.1034923, F1: 0.0649337, HIT_RATE: 0.4201748, ARHR: 0.1681511, NOVELTY: 0.0048149, AVERAGE_POPULARITY: 0.0987261, DIVERSITY_MEAN_INTER_LIST: 0.9888678, DIVERSITY_HERFINDAHL: 0.9988693, COVERAGE_ITEM: 0.3702868, COVERAGE_ITEM_CORRECT: 0.0501482, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2157544, DIVERSITY_GINI: 0.1134475, SHANNON_ENTROPY: 11.4544587, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.7025081263596679, 'b': 0.820428764496824, 'c': 0.9883627767896391, 'normalize': False} - results: ROC_AUC: 0.1905891, PRECISION: 0.0416746, PRECISION_RECALL_MIN_DEN: 0.1453505, RECALL: 0.1407002, MAP: 0.0676520, MRR: 0.1427561, NDCG: 0.1018268, F1: 0.0643018, HIT_RATE: 0.4167464, ARHR: 0.1664482, NOVELTY: 0.0048213, AVERAGE_POPULARITY: 0.0956853, DIVERSITY_MEAN_INTER_LIST: 0.9898586, DIVERSITY_HERFINDAHL: 0.9989684, COVERAGE_ITEM: 0.3583754, COVERAGE_ITEM_CORRECT: 0.0496554, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2137662, DIVERSITY_GINI: 0.1102406, SHANNON_ENTROPY: 11.4753873, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.37017843253098753, 'b': 0.9094563705190537, 'c': 0.291251374807678, 'normalize': False} - results: ROC_AUC: 0.1953117, PRECISION: 0.0422790, PRECISION_RECALL_MIN_DEN: 0.1506777, RECALL: 0.1462318, MAP: 0.0704096, MRR: 0.1457508, NDCG: 0.1055047, F1: 0.0655921, HIT_RATE: 0.4227903, ARHR: 0.1693041, NOVELTY: 0.0048063, AVERAGE_POPULARITY: 0.1029342, DIVERSITY_MEAN_INTER_LIST: 0.9872682, DIVERSITY_HERFINDAHL: 0.9987094, COVERAGE_ITEM: 0.3917536, COVERAGE_ITEM_CORRECT: 0.0510876, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185730, DIVERSITY_GINI: 0.1200075, SHANNON_ENTROPY: 11.4336127, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.780004410034704, 'b': 0.14855879504673478, 'c': 0.5859779883006362, 'normalize': True} - results: ROC_AUC: 0.1748365, PRECISION: 0.0383676, PRECISION_RECALL_MIN_DEN: 0.1323240, RECALL: 0.1278164, MAP: 0.0598089, MRR: 0.1290231, NDCG: 0.0912372, F1: 0.0590179, HIT_RATE: 0.3836765, ARHR: 0.1505936, NOVELTY: 0.0048530, AVERAGE_POPULARITY: 0.0843563, DIVERSITY_MEAN_INTER_LIST: 0.9925875, DIVERSITY_HERFINDAHL: 0.9992412, COVERAGE_ITEM: 0.3217478, COVERAGE_ITEM_CORRECT: 0.0476458, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1987920, DIVERSITY_GINI: 0.1026682, SHANNON_ENTROPY: 11.5575130, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.16315180383966302, 'b': 0.879950784436067, 'c': 0.4520885859519337, 'normalize': True} - results: ROC_AUC: 0.1768493, PRECISION: 0.0389219, PRECISION_RECALL_MIN_DEN: 0.1342429, RECALL: 0.1296261, MAP: 0.0606304, MRR: 0.1308818, NDCG: 0.0925231, F1: 0.0598667, HIT_RATE: 0.3892194, ARHR: 0.1528527, NOVELTY: 0.0048446, AVERAGE_POPULARITY: 0.0864426, DIVERSITY_MEAN_INTER_LIST: 0.9922075, DIVERSITY_HERFINDAHL: 0.9992032, COVERAGE_ITEM: 0.3230645, COVERAGE_ITEM_CORRECT: 0.0474918, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007298, DIVERSITY_GINI: 0.1021343, SHANNON_ENTROPY: 11.5305643, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.5751834588800744, 'b': 0.06762366805859345, 'c': 0.5793415178904892, 'normalize': False} - results: ROC_AUC: 0.1885370, PRECISION: 0.0413532, PRECISION_RECALL_MIN_DEN: 0.1437581, RECALL: 0.1390498, MAP: 0.0664158, MRR: 0.1408677, NDCG: 0.1002620, F1: 0.0637462, HIT_RATE: 0.4135322, ARHR: 0.1645009, NOVELTY: 0.0048362, AVERAGE_POPULARITY: 0.0912209, DIVERSITY_MEAN_INTER_LIST: 0.9910087, DIVERSITY_HERFINDAHL: 0.9990834, COVERAGE_ITEM: 0.3523465, COVERAGE_ITEM_CORRECT: 0.0499326, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2122562, DIVERSITY_GINI: 0.1099532, SHANNON_ENTROPY: 11.5312956, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.7063099350003736, 'b': 0.47515612388168627, 'c': 0.5838030282138338, 'normalize': True} - results: ROC_AUC: 0.1762422, PRECISION: 0.0387455, PRECISION_RECALL_MIN_DEN: 0.1334424, RECALL: 0.1288448, MAP: 0.0603984, MRR: 0.1302966, NDCG: 0.0920891, F1: 0.0595745, HIT_RATE: 0.3874547, ARHR: 0.1521789, NOVELTY: 0.0048491, AVERAGE_POPULARITY: 0.0853804, DIVERSITY_MEAN_INTER_LIST: 0.9924043, DIVERSITY_HERFINDAHL: 0.9992229, COVERAGE_ITEM: 0.3232724, COVERAGE_ITEM_CORRECT: 0.0476150, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000755, DIVERSITY_GINI: 0.1027167, SHANNON_ENTROPY: 11.5471158, 
