
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.22673612478860034, 'b': 0.7241911172109438, 'c': 0.012468671027836335, 'normalize': False} - results: ROC_AUC: 0.1926064, PRECISION: 0.0416889, PRECISION_RECALL_MIN_DEN: 0.1495961, RECALL: 0.1453021, MAP: 0.0694318, MRR: 0.1436702, NDCG: 0.1042916, F1: 0.0647878, HIT_RATE: 0.4168886, ARHR: 0.1667028, NOVELTY: 0.0047785, AVERAGE_POPULARITY: 0.1096077, DIVERSITY_MEAN_INTER_LIST: 0.9838909, DIVERSITY_HERFINDAHL: 0.9983717, COVERAGE_ITEM: 0.4409471, COVERAGE_ITEM_CORRECT: 0.0512724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2163835, DIVERSITY_GINI: 0.1379078, SHANNON_ENTROPY: 11.4177841, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.39600627812847067, 'b': 0.1526331422851717, 'c': 0.9081180729382327, 'normalize': True} - results: ROC_AUC: 0.1843553, PRECISION: 0.0395410, PRECISION_RECALL_MIN_DEN: 0.1390743, RECALL: 0.1347893, MAP: 0.0653734, MRR: 0.1380755, NDCG: 0.0980746, F1: 0.0611424, HIT_RATE: 0.3954096, ARHR: 0.1599350, NOVELTY: 0.0047780, AVERAGE_POPULARITY: 0.1093233, DIVERSITY_MEAN_INTER_LIST: 0.9849025, DIVERSITY_HERFINDAHL: 0.9984729, COVERAGE_ITEM: 0.4171319, COVERAGE_ITEM_CORRECT: 0.0467372, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057632, DIVERSITY_GINI: 0.1241959, SHANNON_ENTROPY: 11.3212740, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.5138887881043421, 'b': 0.08038634606421581, 'c': 0.38125775593955036, 'normalize': False} - results: ROC_AUC: 0.1885619, PRECISION: 0.0406859, PRECISION_RECALL_MIN_DEN: 0.1432988, RECALL: 0.1389532, MAP: 0.0673773, MRR: 0.1411722, NDCG: 0.1009715, F1: 0.0629408, HIT_RATE: 0.4068586, ARHR: 0.1638532, NOVELTY: 0.0047918, AVERAGE_POPULARITY: 0.1069881, DIVERSITY_MEAN_INTER_LIST: 0.9853820, DIVERSITY_HERFINDAHL: 0.9985208, COVERAGE_ITEM: 0.4272647, COVERAGE_ITEM_CORRECT: 0.0492012, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2106959, DIVERSITY_GINI: 0.1302475, SHANNON_ENTROPY: 11.3934653, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.6176196617080498, 'b': 0.5164847482690406, 'c': 0.6424808844969845, 'normalize': False} - results: ROC_AUC: 0.1889855, PRECISION: 0.0407425, PRECISION_RECALL_MIN_DEN: 0.1440902, RECALL: 0.1397731, MAP: 0.0676245, MRR: 0.1411641, NDCG: 0.1013503, F1: 0.0630921, HIT_RATE: 0.4074254, ARHR: 0.1638667, NOVELTY: 0.0047790, AVERAGE_POPULARITY: 0.1096999, DIVERSITY_MEAN_INTER_LIST: 0.9845414, DIVERSITY_HERFINDAHL: 0.9984367, COVERAGE_ITEM: 0.4224524, COVERAGE_ITEM_CORRECT: 0.0490703, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2110482, DIVERSITY_GINI: 0.1273900, SHANNON_ENTROPY: 11.3410398, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.536254705032055, 'b': 0.4605232120767708, 'c': 0.4969569624720117, 'normalize': True} - results: ROC_AUC: 0.1905907, PRECISION: 0.0411346, PRECISION_RECALL_MIN_DEN: 0.1455685, RECALL: 0.1412133, MAP: 0.0684763, MRR: 0.1424916, NDCG: 0.1024701, F1: 0.0637094, HIT_RATE: 0.4113464, ARHR: 0.1654171, NOVELTY: 0.0047828, AVERAGE_POPULARITY: 0.1087995, DIVERSITY_MEAN_INTER_LIST: 0.9846766, DIVERSITY_HERFINDAHL: 0.9984503, COVERAGE_ITEM: 0.4288354, COVERAGE_ITEM_CORRECT: 0.0499711, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2128854, DIVERSITY_GINI: 0.1308133, SHANNON_ENTROPY: 11.3758387, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.05252753084370178, 'b': 0.4027221233708743, 'c': 0.6474079069919024, 'normalize': False} - results: ROC_AUC: 0.1826247, PRECISION: 0.0391628, PRECISION_RECALL_MIN_DEN: 0.1373733, RECALL: 0.1331394, MAP: 0.0645672, MRR: 0.1363788, NDCG: 0.0969084, F1: 0.0605207, HIT_RATE: 0.3916277, ARHR: 0.1580442, NOVELTY: 0.0047575, AVERAGE_POPULARITY: 0.1134410, DIVERSITY_MEAN_INTER_LIST: 0.9837289, DIVERSITY_HERFINDAHL: 0.9983555, COVERAGE_ITEM: 0.4047276, COVERAGE_ITEM_CORRECT: 0.0457363, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035988, DIVERSITY_GINI: 0.1175227, SHANNON_ENTROPY: 11.2228551, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9106266683259533, 'b': 0.8819122255393997, 'c': 0.6708737788846337, 'normalize': True} - results: ROC_AUC: 0.1914258, PRECISION: 0.0412864, PRECISION_RECALL_MIN_DEN: 0.1466045, RECALL: 0.1422568, MAP: 0.0688478, MRR: 0.1429439, NDCG: 0.1030308, F1: 0.0639976, HIT_RATE: 0.4128641, ARHR: 0.1659676, NOVELTY: 0.0047843, AVERAGE_POPULARITY: 0.1085593, DIVERSITY_MEAN_INTER_LIST: 0.9846607, DIVERSITY_HERFINDAHL: 0.9984487, COVERAGE_ITEM: 0.4315303, COVERAGE_ITEM_CORRECT: 0.0501867, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2138165, DIVERSITY_GINI: 0.1324714, SHANNON_ENTROPY: 11.3911327, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7687557478672654, 'b': 0.9699876836142247, 'c': 0.37871893815608104, 'normalize': False} - results: ROC_AUC: 0.1918641, PRECISION: 0.0415015, PRECISION_RECALL_MIN_DEN: 0.1480952, RECALL: 0.1437597, MAP: 0.0691059, MRR: 0.1432750, NDCG: 0.1036166, F1: 0.0644074, HIT_RATE: 0.4150147, ARHR: 0.1663279, NOVELTY: 0.0047809, AVERAGE_POPULARITY: 0.1092268, DIVERSITY_MEAN_INTER_LIST: 0.9843594, DIVERSITY_HERFINDAHL: 0.9984185, COVERAGE_ITEM: 0.4317151, COVERAGE_ITEM_CORRECT: 0.0505178, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2153014, DIVERSITY_GINI: 0.1326285, SHANNON_ENTROPY: 11.3841504, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.9025081737392232, 'b': 0.6800573303427134, 'c': 0.9019328620221551, 'normalize': True} - results: ROC_AUC: 0.1901483, PRECISION: 0.0410286, PRECISION_RECALL_MIN_DEN: 0.1452149, RECALL: 0.1408687, MAP: 0.0681895, MRR: 0.1422415, NDCG: 0.1021489, F1: 0.0635469, HIT_RATE: 0.4102856, ARHR: 0.1651119, NOVELTY: 0.0047835, AVERAGE_POPULARITY: 0.1087209, DIVERSITY_MEAN_INTER_LIST: 0.9847469, DIVERSITY_HERFINDAHL: 0.9984573, COVERAGE_ITEM: 0.4280038, COVERAGE_ITEM_CORRECT: 0.0497324, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2122310, DIVERSITY_GINI: 0.1303095, SHANNON_ENTROPY: 11.3732213, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.4411264457188534, 'b': 0.003567414205785547, 'c': 0.7542436696729651, 'normalize': True} - results: ROC_AUC: 0.1845463, PRECISION: 0.0395694, PRECISION_RECALL_MIN_DEN: 0.1387224, RECALL: 0.1344081, MAP: 0.0654829, MRR: 0.1382277, NDCG: 0.0980908, F1: 0.0611368, HIT_RATE: 0.3956938, ARHR: 0.1601538, NOVELTY: 0.0047860, AVERAGE_POPULARITY: 0.1077266, DIVERSITY_MEAN_INTER_LIST: 0.9853663, DIVERSITY_HERFINDAHL: 0.9985192, COVERAGE_ITEM: 0.4208508, COVERAGE_ITEM_CORRECT: 0.0470529, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057128, DIVERSITY_GINI: 0.1264540, SHANNON_ENTROPY: 11.3570641, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.44582680274117237, 'b': 0.5015947644614192, 'c': 0.6874057408811854, 'normalize': False} - results: ROC_AUC: 0.1874044, PRECISION: 0.0404310, PRECISION_RECALL_MIN_DEN: 0.1424656, RECALL: 0.1381545, MAP: 0.0669251, MRR: 0.1402711, NDCG: 0.1003373, F1: 0.0625537, HIT_RATE: 0.4043101, ARHR: 0.1627576, NOVELTY: 0.0047732, AVERAGE_POPULARITY: 0.1106440, DIVERSITY_MEAN_INTER_LIST: 0.9843571, DIVERSITY_HERFINDAHL: 0.9984183, COVERAGE_ITEM: 0.4181405, COVERAGE_ITEM_CORRECT: 0.0483388, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2095382, DIVERSITY_GINI: 0.1247549, SHANNON_ENTROPY: 11.3104519, 
