
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.17962276700347782, 'b': 0.3903048166337213, 'c': 0.2931728028913489, 'normalize': True} - results: ROC_AUC: 0.1805761, PRECISION: 0.0395936, PRECISION_RECALL_MIN_DEN: 0.1369256, RECALL: 0.1322293, MAP: 0.0620343, MRR: 0.1332718, NDCG: 0.0944485, F1: 0.0609388, HIT_RATE: 0.3959364, ARHR: 0.1559559, NOVELTY: 0.0048483, AVERAGE_POPULARITY: 0.0867911, DIVERSITY_MEAN_INTER_LIST: 0.9921051, DIVERSITY_HERFINDAHL: 0.9991930, COVERAGE_ITEM: 0.3263292, COVERAGE_ITEM_CORRECT: 0.0488701, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2037750, DIVERSITY_GINI: 0.1034019, SHANNON_ENTROPY: 11.5399320, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.4059756598887684, 'b': 0.05707647502811321, 'c': 0.94699391168712, 'normalize': True} - results: ROC_AUC: 0.1704824, PRECISION: 0.0370359, PRECISION_RECALL_MIN_DEN: 0.1290911, RECALL: 0.1248466, MAP: 0.0577324, MRR: 0.1251652, NDCG: 0.0885066, F1: 0.0571249, HIT_RATE: 0.3703587, ARHR: 0.1452453, NOVELTY: 0.0048602, AVERAGE_POPULARITY: 0.0824297, DIVERSITY_MEAN_INTER_LIST: 0.9929056, DIVERSITY_HERFINDAHL: 0.9992730, COVERAGE_ITEM: 0.3161347, COVERAGE_ITEM_CORRECT: 0.0469143, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1939097, DIVERSITY_GINI: 0.1018855, SHANNON_ENTROPY: 11.5705919, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.17620155188122247, 'b': 0.20256605305416925, 'c': 0.2748677504123072, 'normalize': False} - results: ROC_AUC: 0.2009808, PRECISION: 0.0441515, PRECISION_RECALL_MIN_DEN: 0.1576177, RECALL: 0.1529929, MAP: 0.0729630, MRR: 0.1496033, NDCG: 0.1095108, F1: 0.0685262, HIT_RATE: 0.4415153, ARHR: 0.1745318, NOVELTY: 0.0048448, AVERAGE_POPULARITY: 0.0993912, DIVERSITY_MEAN_INTER_LIST: 0.9882222, DIVERSITY_HERFINDAHL: 0.9988048, COVERAGE_ITEM: 0.3937863, COVERAGE_ITEM_CORRECT: 0.0544601, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2268026, DIVERSITY_GINI: 0.1246431, SHANNON_ENTROPY: 11.5339656, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.3236199568920562, 'b': 0.6778162944459395, 'c': 0.19039380158636415, 'normalize': False} - results: ROC_AUC: 0.1997524, PRECISION: 0.0436386, PRECISION_RECALL_MIN_DEN: 0.1580333, RECALL: 0.1536151, MAP: 0.0721187, MRR: 0.1468853, NDCG: 0.1087175, F1: 0.0679679, HIT_RATE: 0.4363861, ARHR: 0.1707663, NOVELTY: 0.0048508, AVERAGE_POPULARITY: 0.1011842, DIVERSITY_MEAN_INTER_LIST: 0.9861846, DIVERSITY_HERFINDAHL: 0.9986010, COVERAGE_ITEM: 0.4385448, COVERAGE_ITEM_CORRECT: 0.0553301, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2265257, DIVERSITY_GINI: 0.1450760, SHANNON_ENTROPY: 11.6054020, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.7353196327324714, 'b': 0.23021296231141836, 'c': 0.25242884882866207, 'normalize': True} - results: ROC_AUC: 0.1835969, PRECISION: 0.0403987, PRECISION_RECALL_MIN_DEN: 0.1395299, RECALL: 0.1347882, MAP: 0.0638207, MRR: 0.1367397, NDCG: 0.0968069, F1: 0.0621634, HIT_RATE: 0.4039869, ARHR: 0.1599913, NOVELTY: 0.0048434, AVERAGE_POPULARITY: 0.0883014, DIVERSITY_MEAN_INTER_LIST: 0.9917948, DIVERSITY_HERFINDAHL: 0.9991620, COVERAGE_ITEM: 0.3353147, COVERAGE_ITEM_CORRECT: 0.0492012, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2070215, DIVERSITY_GINI: 0.1054694, SHANNON_ENTROPY: 11.5381333, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.0967881718807865, 'b': 0.7048298327147349, 'c': 0.5014656521961236, 'normalize': False} - results: ROC_AUC: 0.2017848, PRECISION: 0.0441089, PRECISION_RECALL_MIN_DEN: 0.1592488, RECALL: 0.1547420, MAP: 0.0731966, MRR: 0.1493858, NDCG: 0.1100783, F1: 0.0686477, HIT_RATE: 0.4410889, ARHR: 0.1737466, NOVELTY: 0.0048534, AVERAGE_POPULARITY: 0.1009163, DIVERSITY_MEAN_INTER_LIST: 0.9871673, DIVERSITY_HERFINDAHL: 0.9986993, COVERAGE_ITEM: 0.4118884, COVERAGE_ITEM_CORRECT: 0.0552993, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2279854, DIVERSITY_GINI: 0.1326739, SHANNON_ENTROPY: 11.5563789, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.7631855620644861, 'b': 0.6205907222733373, 'c': 0.5203677399988508, 'normalize': True} - results: ROC_AUC: 0.1821179, PRECISION: 0.0400104, PRECISION_RECALL_MIN_DEN: 0.1380811, RECALL: 0.1333361, MAP: 0.0629450, MRR: 0.1351425, NDCG: 0.0956010, F1: 0.0615496, HIT_RATE: 0.4001035, ARHR: 0.1581596, NOVELTY: 0.0048464, AVERAGE_POPULARITY: 0.0874378, DIVERSITY_MEAN_INTER_LIST: 0.9919801, DIVERSITY_HERFINDAHL: 0.9991805, COVERAGE_ITEM: 0.3300558, COVERAGE_ITEM_CORRECT: 0.0489779, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2052850, DIVERSITY_GINI: 0.1042410, SHANNON_ENTROPY: 11.5394244, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.3529393279804937, 'b': 0.6967462604247122, 'c': 0.8462276985838052, 'normalize': True} - results: ROC_AUC: 0.1761968, PRECISION: 0.0388059, PRECISION_RECALL_MIN_DEN: 0.1342297, RECALL: 0.1296072, MAP: 0.0605694, MRR: 0.1304320, NDCG: 0.0923581, F1: 0.0597274, HIT_RATE: 0.3880592, ARHR: 0.1523948, NOVELTY: 0.0048525, AVERAGE_POPULARITY: 0.0850707, DIVERSITY_MEAN_INTER_LIST: 0.9924432, DIVERSITY_HERFINDAHL: 0.9992268, COVERAGE_ITEM: 0.3209779, COVERAGE_ITEM_CORRECT: 0.0481925, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2004027, DIVERSITY_GINI: 0.1025072, SHANNON_ENTROPY: 11.5507878, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.6113421838982169, 'b': 0.6738298902412637, 'c': 0.3529787546779903, 'normalize': True} - results: ROC_AUC: 0.1848998, PRECISION: 0.0409570, PRECISION_RECALL_MIN_DEN: 0.1413954, RECALL: 0.1365536, MAP: 0.0646372, MRR: 0.1376642, NDCG: 0.0979634, F1: 0.0630115, HIT_RATE: 0.4095699, ARHR: 0.1615524, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.0893557, DIVERSITY_MEAN_INTER_LIST: 0.9915554, DIVERSITY_HERFINDAHL: 0.9991380, COVERAGE_ITEM: 0.3361925, COVERAGE_ITEM_CORRECT: 0.0498710, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2086825, DIVERSITY_GINI: 0.1055495, SHANNON_ENTROPY: 11.5288352, 
