
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.3570443666359027, 'b': 0.9276410032856697, 'c': 0.7808820547758889, 'normalize': True} - results: ROC_AUC: 0.1963352, PRECISION: 0.0428301, PRECISION_RECALL_MIN_DEN: 0.1549185, RECALL: 0.1505290, MAP: 0.0709000, MRR: 0.1452335, NDCG: 0.1068062, F1: 0.0666856, HIT_RATE: 0.4283015, ARHR: 0.1689475, NOVELTY: 0.0048104, AVERAGE_POPULARITY: 0.1054896, DIVERSITY_MEAN_INTER_LIST: 0.9845432, DIVERSITY_HERFINDAHL: 0.9984369, COVERAGE_ITEM: 0.4515111, COVERAGE_ITEM_CORRECT: 0.0539904, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219202, DIVERSITY_GINI: 0.1481521, SHANNON_ENTROPY: 11.5463982, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.9650309618746583, 'b': 0.09932243080748018, 'c': 0.2637292762619909, 'normalize': False} - results: ROC_AUC: 0.1966965, PRECISION: 0.0426318, PRECISION_RECALL_MIN_DEN: 0.1533188, RECALL: 0.1489184, MAP: 0.0711064, MRR: 0.1461123, NDCG: 0.1066673, F1: 0.0662862, HIT_RATE: 0.4263179, ARHR: 0.1698066, NOVELTY: 0.0048173, AVERAGE_POPULARITY: 0.1022694, DIVERSITY_MEAN_INTER_LIST: 0.9859011, DIVERSITY_HERFINDAHL: 0.9985727, COVERAGE_ITEM: 0.4582868, COVERAGE_ITEM_CORRECT: 0.0534899, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206367, DIVERSITY_GINI: 0.1503803, SHANNON_ENTROPY: 11.5942093, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.3260076589266811, 'b': 0.49680261699468464, 'c': 0.6942052524814829, 'normalize': False} - results: ROC_AUC: 0.1959899, PRECISION: 0.0428366, PRECISION_RECALL_MIN_DEN: 0.1551684, RECALL: 0.1507934, MAP: 0.0707568, MRR: 0.1448949, NDCG: 0.1067333, F1: 0.0667189, HIT_RATE: 0.4283662, ARHR: 0.1684823, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.1048994, DIVERSITY_MEAN_INTER_LIST: 0.9846170, DIVERSITY_HERFINDAHL: 0.9984443, COVERAGE_ITEM: 0.4522040, COVERAGE_ITEM_CORRECT: 0.0541059, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220461, DIVERSITY_GINI: 0.1492114, SHANNON_ENTROPY: 11.5602923, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.4636715590038579, 'b': 0.06622110209823852, 'c': 0.3850273988077172, 'normalize': True} - results: ROC_AUC: 0.1952031, PRECISION: 0.0422466, PRECISION_RECALL_MIN_DEN: 0.1517140, RECALL: 0.1473451, MAP: 0.0703793, MRR: 0.1450397, NDCG: 0.1056420, F1: 0.0656645, HIT_RATE: 0.4224660, ARHR: 0.1685116, NOVELTY: 0.0048038, AVERAGE_POPULARITY: 0.1046430, DIVERSITY_MEAN_INTER_LIST: 0.9852954, DIVERSITY_HERFINDAHL: 0.9985121, COVERAGE_ITEM: 0.4524966, COVERAGE_ITEM_CORRECT: 0.0525736, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191519, DIVERSITY_GINI: 0.1459358, SHANNON_ENTROPY: 11.5339231, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.8150607923200773, 'b': 0.28094772608276514, 'c': 0.047136345107105085, 'normalize': True} - results: ROC_AUC: 0.1971060, PRECISION: 0.0428120, PRECISION_RECALL_MIN_DEN: 0.1538876, RECALL: 0.1494383, MAP: 0.0712991, MRR: 0.1462180, NDCG: 0.1069381, F1: 0.0665560, HIT_RATE: 0.4281203, ARHR: 0.1701391, NOVELTY: 0.0048263, AVERAGE_POPULARITY: 0.1007634, DIVERSITY_MEAN_INTER_LIST: 0.9862469, DIVERSITY_HERFINDAHL: 0.9986073, COVERAGE_ITEM: 0.4607507, COVERAGE_ITEM_CORRECT: 0.0539442, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2209136, DIVERSITY_GINI: 0.1529409, SHANNON_ENTROPY: 11.6314406, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9774127201617884, 'b': 0.07645044124405322, 'c': 0.6836379378637717, 'normalize': True} - results: ROC_AUC: 0.1947411, PRECISION: 0.0420843, PRECISION_RECALL_MIN_DEN: 0.1508857, RECALL: 0.1465338, MAP: 0.0701166, MRR: 0.1448155, NDCG: 0.1052264, F1: 0.0653878, HIT_RATE: 0.4208428, ARHR: 0.1682057, NOVELTY: 0.0048060, AVERAGE_POPULARITY: 0.1039340, DIVERSITY_MEAN_INTER_LIST: 0.9855162, DIVERSITY_HERFINDAHL: 0.9985342, COVERAGE_ITEM: 0.4534899, COVERAGE_ITEM_CORRECT: 0.0523426, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2181955, DIVERSITY_GINI: 0.1464522, SHANNON_ENTROPY: 11.5441504, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.8955893121190022, 'b': 0.28258758579134763, 'c': 0.6169359202191056, 'normalize': False} - results: ROC_AUC: 0.1968191, PRECISION: 0.0426988, PRECISION_RECALL_MIN_DEN: 0.1539494, RECALL: 0.1495456, MAP: 0.0710124, MRR: 0.1456694, NDCG: 0.1066989, F1: 0.0664296, HIT_RATE: 0.4269881, ARHR: 0.1694399, NOVELTY: 0.0048116, AVERAGE_POPULARITY: 0.1043047, DIVERSITY_MEAN_INTER_LIST: 0.9851310, DIVERSITY_HERFINDAHL: 0.9984957, COVERAGE_ITEM: 0.4541521, COVERAGE_ITEM_CORRECT: 0.0535977, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2208632, DIVERSITY_GINI: 0.1488286, SHANNON_ENTROPY: 11.5633351, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.2679045272035621, 'b': 0.737986315877613, 'c': 0.3582368210039653, 'normalize': False} - results: ROC_AUC: 0.1951147, PRECISION: 0.0424407, PRECISION_RECALL_MIN_DEN: 0.1536868, RECALL: 0.1493500, MAP: 0.0700524, MRR: 0.1432457, NDCG: 0.1056748, F1: 0.0660975, HIT_RATE: 0.4244071, ARHR: 0.1665576, NOVELTY: 0.0048301, AVERAGE_POPULARITY: 0.1026811, DIVERSITY_MEAN_INTER_LIST: 0.9850034, DIVERSITY_HERFINDAHL: 0.9984829, COVERAGE_ITEM: 0.4534591, COVERAGE_ITEM_CORRECT: 0.0539596, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2204857, DIVERSITY_GINI: 0.1521947, SHANNON_ENTROPY: 11.6078465, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.4836044938702154, 'b': 0.5002712793634817, 'c': 0.24370320217746028, 'normalize': True} - results: ROC_AUC: 0.1969670, PRECISION: 0.0428436, PRECISION_RECALL_MIN_DEN: 0.1547245, RECALL: 0.1502981, MAP: 0.0711150, MRR: 0.1455725, NDCG: 0.1069305, F1: 0.0666792, HIT_RATE: 0.4284359, ARHR: 0.1694266, NOVELTY: 0.0048181, AVERAGE_POPULARITY: 0.1033358, DIVERSITY_MEAN_INTER_LIST: 0.9852836, DIVERSITY_HERFINDAHL: 0.9985110, COVERAGE_ITEM: 0.4561386, COVERAGE_ITEM_CORRECT: 0.0541059, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2215176, DIVERSITY_GINI: 0.1508842, SHANNON_ENTROPY: 11.5893572, 
