
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.16122149556356338, 'b': 0.772656118872189, 'c': 0.47093503145545734, 'normalize': False} - results: ROC_AUC: 0.1942331, PRECISION: 0.0420244, PRECISION_RECALL_MIN_DEN: 0.1523773, RECALL: 0.1480913, MAP: 0.0693197, MRR: 0.1420615, NDCG: 0.1046993, F1: 0.0654691, HIT_RATE: 0.4202445, ARHR: 0.1649824, NOVELTY: 0.0048409, AVERAGE_POPULARITY: 0.1013742, DIVERSITY_MEAN_INTER_LIST: 0.9851779, DIVERSITY_HERFINDAHL: 0.9985004, COVERAGE_ITEM: 0.4555919, COVERAGE_ITEM_CORRECT: 0.0536439, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2190260, DIVERSITY_GINI: 0.1545634, SHANNON_ENTROPY: 11.6385689, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.5142573929721753, 'b': 0.8104642361230034, 'c': 0.9049499499049151, 'normalize': False} - results: ROC_AUC: 0.1956405, PRECISION: 0.0424797, PRECISION_RECALL_MIN_DEN: 0.1539810, RECALL: 0.1496463, MAP: 0.0702072, MRR: 0.1435860, NDCG: 0.1058926, F1: 0.0661735, HIT_RATE: 0.4247971, ARHR: 0.1669025, NOVELTY: 0.0048348, AVERAGE_POPULARITY: 0.1021441, DIVERSITY_MEAN_INTER_LIST: 0.9851798, DIVERSITY_HERFINDAHL: 0.9985006, COVERAGE_ITEM: 0.4559307, COVERAGE_ITEM_CORRECT: 0.0540905, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2207122, DIVERSITY_GINI: 0.1535582, SHANNON_ENTROPY: 11.6238267, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.5399844423853957, 'b': 0.16736528488891203, 'c': 0.300185774190255, 'normalize': False} - results: ROC_AUC: 0.1978284, PRECISION: 0.0428326, PRECISION_RECALL_MIN_DEN: 0.1545887, RECALL: 0.1501889, MAP: 0.0713531, MRR: 0.1462501, NDCG: 0.1071628, F1: 0.0666552, HIT_RATE: 0.4283259, ARHR: 0.1701926, NOVELTY: 0.0048251, AVERAGE_POPULARITY: 0.1020658, DIVERSITY_MEAN_INTER_LIST: 0.9857045, DIVERSITY_HERFINDAHL: 0.9985530, COVERAGE_ITEM: 0.4596805, COVERAGE_ITEM_CORRECT: 0.0541598, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2213917, DIVERSITY_GINI: 0.1529573, SHANNON_ENTROPY: 11.6182183, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.3427117198809721, 'b': 0.541328775390554, 'c': 0.12551165201179684, 'normalize': False} - results: ROC_AUC: 0.1952536, PRECISION: 0.0424018, PRECISION_RECALL_MIN_DEN: 0.1535661, RECALL: 0.1492239, MAP: 0.0699851, MRR: 0.1431667, NDCG: 0.1055810, F1: 0.0660380, HIT_RATE: 0.4240179, ARHR: 0.1664790, NOVELTY: 0.0048385, AVERAGE_POPULARITY: 0.1011901, DIVERSITY_MEAN_INTER_LIST: 0.9854020, DIVERSITY_HERFINDAHL: 0.9985228, COVERAGE_ITEM: 0.4565236, COVERAGE_ITEM_CORRECT: 0.0540289, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2202089, DIVERSITY_GINI: 0.1544227, SHANNON_ENTROPY: 11.6396690, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.4040613509400338, 'b': 0.37842337618194244, 'c': 0.08069713182369288, 'normalize': False} - results: ROC_AUC: 0.1956796, PRECISION: 0.0426137, PRECISION_RECALL_MIN_DEN: 0.1542572, RECALL: 0.1498821, MAP: 0.0704434, MRR: 0.1438189, NDCG: 0.1061343, F1: 0.0663593, HIT_RATE: 0.4261368, ARHR: 0.1673708, NOVELTY: 0.0048347, AVERAGE_POPULARITY: 0.1012332, DIVERSITY_MEAN_INTER_LIST: 0.9855303, DIVERSITY_HERFINDAHL: 0.9985356, COVERAGE_ITEM: 0.4569625, COVERAGE_ITEM_CORRECT: 0.0542830, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2209387, DIVERSITY_GINI: 0.1541181, SHANNON_ENTROPY: 11.6368202, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.8186889929301336, 'b': 0.6508037394518763, 'c': 0.06702848994841783, 'normalize': False} - results: ROC_AUC: 0.1958711, PRECISION: 0.0426879, PRECISION_RECALL_MIN_DEN: 0.1542723, RECALL: 0.1498875, MAP: 0.0704039, MRR: 0.1439455, NDCG: 0.1061400, F1: 0.0664500, HIT_RATE: 0.4268789, ARHR: 0.1675541, NOVELTY: 0.0048348, AVERAGE_POPULARITY: 0.1011384, DIVERSITY_MEAN_INTER_LIST: 0.9856014, DIVERSITY_HERFINDAHL: 0.9985427, COVERAGE_ITEM: 0.4574629, COVERAGE_ITEM_CORRECT: 0.0543523, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211652, DIVERSITY_GINI: 0.1542001, SHANNON_ENTROPY: 11.6383254, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.11460522741701698, 'b': 0.5719899199123617, 'c': 0.35984598253005845, 'normalize': True} - results: ROC_AUC: 0.1905473, PRECISION: 0.0413422, PRECISION_RECALL_MIN_DEN: 0.1479747, RECALL: 0.1437039, MAP: 0.0687594, MRR: 0.1411370, NDCG: 0.1031441, F1: 0.0642091, HIT_RATE: 0.4134217, ARHR: 0.1640326, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1146371, DIVERSITY_MEAN_INTER_LIST: 0.9821425, DIVERSITY_HERFINDAHL: 0.9981969, COVERAGE_ITEM: 0.4498479, COVERAGE_ITEM_CORRECT: 0.0501020, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2145464, DIVERSITY_GINI: 0.1454588, SHANNON_ENTROPY: 11.4438163, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.0017467080147420826, 'b': 0.06604640254258222, 'c': 0.3983519626954912, 'normalize': True} - results: ROC_AUC: 0.1652943, PRECISION: 0.0347880, PRECISION_RECALL_MIN_DEN: 0.1227392, RECALL: 0.1190162, MAP: 0.0570778, MRR: 0.1218861, NDCG: 0.0862094, F1: 0.0538333, HIT_RATE: 0.3478804, ARHR: 0.1401333, NOVELTY: 0.0048185, AVERAGE_POPULARITY: 0.1188319, DIVERSITY_MEAN_INTER_LIST: 0.9811359, DIVERSITY_HERFINDAHL: 0.9980963, COVERAGE_ITEM: 0.4375053, COVERAGE_ITEM_CORRECT: 0.0378056, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1853278, DIVERSITY_GINI: 0.1421690, SHANNON_ENTROPY: 11.4134742, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.05543547372678316, 'b': 0.21919945749870834, 'c': 0.8857993404785901, 'normalize': False} - results: ROC_AUC: 0.1958725, PRECISION: 0.0425542, PRECISION_RECALL_MIN_DEN: 0.1541190, RECALL: 0.1498299, MAP: 0.0703794, MRR: 0.1441186, NDCG: 0.1061760, F1: 0.0662817, HIT_RATE: 0.4255421, ARHR: 0.1673969, NOVELTY: 0.0048254, AVERAGE_POPULARITY: 0.1052145, DIVERSITY_MEAN_INTER_LIST: 0.9843001, DIVERSITY_HERFINDAHL: 0.9984126, COVERAGE_ITEM: 0.4534283, COVERAGE_ITEM_CORRECT: 0.0538980, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2213917, DIVERSITY_GINI: 0.1511597, SHANNON_ENTROPY: 11.5745334, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.06030338250907842, 'b': 0.24921765847216576, 'c': 0.09325935307057355, 'normalize': True} - results: ROC_AUC: 0.1944013, PRECISION: 0.0423386, PRECISION_RECALL_MIN_DEN: 0.1525060, RECALL: 0.1482104, MAP: 0.0703289, MRR: 0.1436306, NDCG: 0.1056958, F1: 0.0658610, HIT_RATE: 0.4233861, ARHR: 0.1670927, NOVELTY: 0.0048063, AVERAGE_POPULARITY: 0.1115791, DIVERSITY_MEAN_INTER_LIST: 0.9829181, DIVERSITY_HERFINDAHL: 0.9982744, COVERAGE_ITEM: 0.4526583, COVERAGE_ITEM_CORRECT: 0.0523349, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194035, DIVERSITY_GINI: 0.1474774, SHANNON_ENTROPY: 11.4854383, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.36474502249506097, 'b': 0.5364695054558921, 'c': 0.4586193132938928, 'normalize': True} - results: ROC_AUC: 0.1898134, PRECISION: 0.0411019, PRECISION_RECALL_MIN_DEN: 0.1466252, RECALL: 0.1423763, MAP: 0.0682909, MRR: 0.1407972, NDCG: 0.1024562, F1: 0.0637869, HIT_RATE: 0.4110190, ARHR: 0.1635376, NOVELTY: 0.0048024, AVERAGE_POPULARITY: 0.1144646, DIVERSITY_MEAN_INTER_LIST: 0.9824171, DIVERSITY_HERFINDAHL: 0.9982244, COVERAGE_ITEM: 0.4497324, COVERAGE_ITEM_CORRECT: 0.0494475, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2136655, DIVERSITY_GINI: 0.1448660, SHANNON_ENTROPY: 11.4419738, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.6525616450511378, 'b': 0.40693929531892004, 'c': 0.6625703250342191, 'normalize': True} - results: ROC_AUC: 0.1854723, PRECISION: 0.0401303, PRECISION_RECALL_MIN_DEN: 0.1421206, RECALL: 0.1379044, MAP: 0.0661874, MRR: 0.1380129, NDCG: 0.0995085, F1: 0.0621665, HIT_RATE: 0.4013026, ARHR: 0.1600040, NOVELTY: 0.0048033, AVERAGE_POPULARITY: 0.1150818, DIVERSITY_MEAN_INTER_LIST: 0.9824345, DIVERSITY_HERFINDAHL: 0.9982261, COVERAGE_ITEM: 0.4477305, COVERAGE_ITEM_CORRECT: 0.0475688, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2093872, DIVERSITY_GINI: 0.1439029, SHANNON_ENTROPY: 11.4324269, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'a': 0.677893581846287, 'b': 0.3672963819048533, 'c': 0.053365733307429566, 'normalize': True} - results: ROC_AUC: 0.1977952, PRECISION: 0.0428611, PRECISION_RECALL_MIN_DEN: 0.1544185, RECALL: 0.1500198, MAP: 0.0713752, MRR: 0.1461399, NDCG: 0.1071564, F1: 0.0666727, HIT_RATE: 0.4286110, ARHR: 0.1701005, NOVELTY: 0.0048185, AVERAGE_POPULARITY: 0.1036700, DIVERSITY_MEAN_INTER_LIST: 0.9854316, DIVERSITY_HERFINDAHL: 0.9985258, COVERAGE_ITEM: 0.4595881, COVERAGE_ITEM_CORRECT: 0.0538903, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217189, DIVERSITY_GINI: 0.1515019, SHANNON_ENTROPY: 11.5914905, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'a': 0.028524194137924737, 'b': 0.4722937444609805, 'c': 0.6707948329294537, 'normalize': False} - results: ROC_AUC: 0.1942185, PRECISION: 0.0420988, PRECISION_RECALL_MIN_DEN: 0.1524631, RECALL: 0.1481730, MAP: 0.0694217, MRR: 0.1422551, NDCG: 0.1048262, F1: 0.0655675, HIT_RATE: 0.4209881, ARHR: 0.1651557, NOVELTY: 0.0048385, AVERAGE_POPULARITY: 0.1022493, DIVERSITY_MEAN_INTER_LIST: 0.9849043, DIVERSITY_HERFINDAHL: 0.9984730, COVERAGE_ITEM: 0.4543292, COVERAGE_ITEM_CORRECT: 0.0536516, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193532, DIVERSITY_GINI: 0.1537457, SHANNON_ENTROPY: 11.6233921, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'a': 0.36687497513112827, 'b': 0.9009413670687489, 'c': 0.5092269778661879, 'normalize': True} - results: ROC_AUC: 0.1923559, PRECISION: 0.0417555, PRECISION_RECALL_MIN_DEN: 0.1496336, RECALL: 0.1453558, MAP: 0.0693976, MRR: 0.1422580, NDCG: 0.1041651, F1: 0.0648726, HIT_RATE: 0.4175546, ARHR: 0.1654032, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1133410, DIVERSITY_MEAN_INTER_LIST: 0.9825803, DIVERSITY_HERFINDAHL: 0.9982407, COVERAGE_ITEM: 0.4516882, COVERAGE_ITEM_CORRECT: 0.0509259, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2167359, DIVERSITY_GINI: 0.1461489, SHANNON_ENTROPY: 11.4593645, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'a': 0.07666039970411022, 'b': 0.1951390384819935, 'c': 0.4476534705593799, 'normalize': False} - results: ROC_AUC: 0.1956335, PRECISION: 0.0424089, PRECISION_RECALL_MIN_DEN: 0.1537836, RECALL: 0.1494882, MAP: 0.0701941, MRR: 0.1436382, NDCG: 0.1058644, F1: 0.0660721, HIT_RATE: 0.4240887, ARHR: 0.1668641, NOVELTY: 0.0048313, AVERAGE_POPULARITY: 0.1033846, DIVERSITY_MEAN_INTER_LIST: 0.9847863, DIVERSITY_HERFINDAHL: 0.9984612, COVERAGE_ITEM: 0.4548912, COVERAGE_ITEM_CORRECT: 0.0538210, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2205361, DIVERSITY_GINI: 0.1526810, SHANNON_ENTROPY: 11.6040136, 
