
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.34309197868926083, 'b': 0.018318897832475648, 'c': 0.2497202489619918, 'normalize': True} - results: ROC_AUC: 0.1909991, PRECISION: 0.0412124, PRECISION_RECALL_MIN_DEN: 0.1454988, RECALL: 0.1411095, MAP: 0.0684247, MRR: 0.1427148, NDCG: 0.1024411, F1: 0.0637922, HIT_RATE: 0.4121236, ARHR: 0.1658220, NOVELTY: 0.0047995, AVERAGE_POPULARITY: 0.1054203, DIVERSITY_MEAN_INTER_LIST: 0.9857346, DIVERSITY_HERFINDAHL: 0.9985560, COVERAGE_ITEM: 0.4347334, COVERAGE_ITEM_CORRECT: 0.0504177, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2128350, DIVERSITY_GINI: 0.1345300, SHANNON_ENTROPY: 11.4439729, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.5515277614371705, 'b': 0.9959611139088391, 'c': 0.5941405817209648, 'normalize': True} - results: ROC_AUC: 0.1971212, PRECISION: 0.0428824, PRECISION_RECALL_MIN_DEN: 0.1546536, RECALL: 0.1502611, MAP: 0.0710728, MRR: 0.1456880, NDCG: 0.1069499, F1: 0.0667225, HIT_RATE: 0.4288243, ARHR: 0.1695822, NOVELTY: 0.0048077, AVERAGE_POPULARITY: 0.1057870, DIVERSITY_MEAN_INTER_LIST: 0.9849113, DIVERSITY_HERFINDAHL: 0.9984737, COVERAGE_ITEM: 0.4416092, COVERAGE_ITEM_CORRECT: 0.0538749, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219706, DIVERSITY_GINI: 0.1420784, SHANNON_ENTROPY: 11.5026859, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.14989608400568669, 'b': 0.8491410324201505, 'c': 0.5322935693029427, 'normalize': False} - results: ROC_AUC: 0.1963218, PRECISION: 0.0426107, PRECISION_RECALL_MIN_DEN: 0.1545501, RECALL: 0.1502225, MAP: 0.0707338, MRR: 0.1445268, NDCG: 0.1065262, F1: 0.0663883, HIT_RATE: 0.4261068, ARHR: 0.1678753, NOVELTY: 0.0048170, AVERAGE_POPULARITY: 0.1050219, DIVERSITY_MEAN_INTER_LIST: 0.9846822, DIVERSITY_HERFINDAHL: 0.9984508, COVERAGE_ITEM: 0.4436574, COVERAGE_ITEM_CORRECT: 0.0537902, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2215427, DIVERSITY_GINI: 0.1449872, SHANNON_ENTROPY: 11.5313540, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.09444005226784871, 'b': 0.2264836198332008, 'c': 0.24589784826241617, 'normalize': True} - results: ROC_AUC: 0.1962089, PRECISION: 0.0425437, PRECISION_RECALL_MIN_DEN: 0.1529465, RECALL: 0.1485559, MAP: 0.0708187, MRR: 0.1454994, NDCG: 0.1063017, F1: 0.0661439, HIT_RATE: 0.4254367, ARHR: 0.1692162, NOVELTY: 0.0047963, AVERAGE_POPULARITY: 0.1081662, DIVERSITY_MEAN_INTER_LIST: 0.9845201, DIVERSITY_HERFINDAHL: 0.9984346, COVERAGE_ITEM: 0.4322310, COVERAGE_ITEM_CORRECT: 0.0530356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2205612, DIVERSITY_GINI: 0.1357284, SHANNON_ENTROPY: 11.4308571, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9655956729078398, 'b': 0.8857159707434512, 'c': 0.18512265583579438, 'normalize': True} - results: ROC_AUC: 0.1973001, PRECISION: 0.0430059, PRECISION_RECALL_MIN_DEN: 0.1550033, RECALL: 0.1505675, MAP: 0.0714020, MRR: 0.1462631, NDCG: 0.1072996, F1: 0.0669023, HIT_RATE: 0.4300593, ARHR: 0.1702448, NOVELTY: 0.0048212, AVERAGE_POPULARITY: 0.1026841, DIVERSITY_MEAN_INTER_LIST: 0.9855984, DIVERSITY_HERFINDAHL: 0.9985424, COVERAGE_ITEM: 0.4541059, COVERAGE_ITEM_CORRECT: 0.0543908, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220461, DIVERSITY_GINI: 0.1498164, SHANNON_ENTROPY: 11.5901481, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7692905416120939, 'b': 0.46177870753270467, 'c': 0.9579901629114276, 'normalize': True} - results: ROC_AUC: 0.1947665, PRECISION: 0.0422366, PRECISION_RECALL_MIN_DEN: 0.1504541, RECALL: 0.1460223, MAP: 0.0702061, MRR: 0.1450368, NDCG: 0.1052122, F1: 0.0655204, HIT_RATE: 0.4223661, ARHR: 0.1687243, NOVELTY: 0.0047950, AVERAGE_POPULARITY: 0.1075186, DIVERSITY_MEAN_INTER_LIST: 0.9849978, DIVERSITY_HERFINDAHL: 0.9984824, COVERAGE_ITEM: 0.4316843, COVERAGE_ITEM_CORRECT: 0.0520038, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185227, DIVERSITY_GINI: 0.1339731, SHANNON_ENTROPY: 11.4227524, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5058844482351078, 'b': 0.5881848532264795, 'c': 0.7802044359189312, 'normalize': False} - results: ROC_AUC: 0.1968655, PRECISION: 0.0428717, PRECISION_RECALL_MIN_DEN: 0.1543379, RECALL: 0.1499460, MAP: 0.0709871, MRR: 0.1455406, NDCG: 0.1068119, F1: 0.0666783, HIT_RATE: 0.4287174, ARHR: 0.1694050, NOVELTY: 0.0048025, AVERAGE_POPULARITY: 0.1070597, DIVERSITY_MEAN_INTER_LIST: 0.9846080, DIVERSITY_HERFINDAHL: 0.9984434, COVERAGE_ITEM: 0.4364196, COVERAGE_ITEM_CORRECT: 0.0536824, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220461, DIVERSITY_GINI: 0.1389314, SHANNON_ENTROPY: 11.4659077, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.8810092956893357, 'b': 0.14969052644261363, 'c': 0.6439835231212531, 'normalize': False} - results: ROC_AUC: 0.1943255, PRECISION: 0.0421591, PRECISION_RECALL_MIN_DEN: 0.1501301, RECALL: 0.1457171, MAP: 0.0700061, MRR: 0.1449472, NDCG: 0.1049904, F1: 0.0653963, HIT_RATE: 0.4215909, ARHR: 0.1684713, NOVELTY: 0.0047963, AVERAGE_POPULARITY: 0.1070504, DIVERSITY_MEAN_INTER_LIST: 0.9851484, DIVERSITY_HERFINDAHL: 0.9984974, COVERAGE_ITEM: 0.4325929, COVERAGE_ITEM_CORRECT: 0.0518961, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2184472, DIVERSITY_GINI: 0.1343606, SHANNON_ENTROPY: 11.4298379, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5610066933115331, 'b': 0.36286132740910865, 'c': 0.42931925661840065, 'normalize': True} - results: ROC_AUC: 0.1963483, PRECISION: 0.0426392, PRECISION_RECALL_MIN_DEN: 0.1527941, RECALL: 0.1483775, MAP: 0.0708445, MRR: 0.1456829, NDCG: 0.1063361, F1: 0.0662415, HIT_RATE: 0.4263916, ARHR: 0.1695060, NOVELTY: 0.0048027, AVERAGE_POPULARITY: 0.1061250, DIVERSITY_MEAN_INTER_LIST: 0.9851653, DIVERSITY_HERFINDAHL: 0.9984991, COVERAGE_ITEM: 0.4391145, COVERAGE_ITEM_CORRECT: 0.0530125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206871, DIVERSITY_GINI: 0.1391108, SHANNON_ENTROPY: 11.4764884, 
