
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8701776551599423, 'b': 0.5231113559228738, 'c': 0.08515855261240425, 'normalize': False} - results: ROC_AUC: 0.2039009, PRECISION: 0.0444865, PRECISION_RECALL_MIN_DEN: 0.1607894, RECALL: 0.1561936, MAP: 0.0745012, MRR: 0.1517453, NDCG: 0.1115085, F1: 0.0692481, HIT_RATE: 0.4448652, ARHR: 0.1769810, NOVELTY: 0.0049023, AVERAGE_POPULARITY: 0.0880035, DIVERSITY_MEAN_INTER_LIST: 0.9898589, DIVERSITY_HERFINDAHL: 0.9989684, COVERAGE_ITEM: 0.4847584, COVERAGE_ITEM_CORRECT: 0.0585563, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2287907, DIVERSITY_GINI: 0.1733162, SHANNON_ENTROPY: 11.9411429, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.5684698296456587, 'b': 0.47190078484351905, 'c': 0.10983298857839366, 'normalize': False} - results: ROC_AUC: 0.2050582, PRECISION: 0.0448047, PRECISION_RECALL_MIN_DEN: 0.1617225, RECALL: 0.1571229, MAP: 0.0750110, MRR: 0.1525865, NDCG: 0.1122328, F1: 0.0697254, HIT_RATE: 0.4480474, ARHR: 0.1779291, NOVELTY: 0.0049137, AVERAGE_POPULARITY: 0.0868632, DIVERSITY_MEAN_INTER_LIST: 0.9902710, DIVERSITY_HERFINDAHL: 0.9990096, COVERAGE_ITEM: 0.4806391, COVERAGE_ITEM_CORRECT: 0.0591954, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2304266, DIVERSITY_GINI: 0.1720793, SHANNON_ENTROPY: 11.9576525, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.3664609238242666, 'b': 0.324704792682529, 'c': 0.5424003405639394, 'normalize': True} - results: ROC_AUC: 0.1761748, PRECISION: 0.0387597, PRECISION_RECALL_MIN_DEN: 0.1339164, RECALL: 0.1293177, MAP: 0.0604799, MRR: 0.1301572, NDCG: 0.0922065, F1: 0.0596422, HIT_RATE: 0.3875974, ARHR: 0.1520322, NOVELTY: 0.0048589, AVERAGE_POPULARITY: 0.0835902, DIVERSITY_MEAN_INTER_LIST: 0.9927120, DIVERSITY_HERFINDAHL: 0.9992537, COVERAGE_ITEM: 0.3242733, COVERAGE_ITEM_CORRECT: 0.0486006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001762, DIVERSITY_GINI: 0.1041292, SHANNON_ENTROPY: 11.5799217, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.3774429411557716, 'b': 0.6076076997763542, 'c': 0.706222868746647, 'normalize': False} - results: ROC_AUC: 0.2029429, PRECISION: 0.0449476, PRECISION_RECALL_MIN_DEN: 0.1590625, RECALL: 0.1542112, MAP: 0.0743733, MRR: 0.1527388, NDCG: 0.1110968, F1: 0.0696065, HIT_RATE: 0.4494757, ARHR: 0.1789434, NOVELTY: 0.0049011, AVERAGE_POPULARITY: 0.0873274, DIVERSITY_MEAN_INTER_LIST: 0.9913236, DIVERSITY_HERFINDAHL: 0.9991148, COVERAGE_ITEM: 0.4123734, COVERAGE_ITEM_CORRECT: 0.0577632, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2288662, DIVERSITY_GINI: 0.1383137, SHANNON_ENTROPY: 11.7853000, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.03383884731620269, 'b': 0.41591844906117115, 'c': 0.7554324868842301, 'normalize': True} - results: ROC_AUC: 0.1733928, PRECISION: 0.0378666, PRECISION_RECALL_MIN_DEN: 0.1315549, RECALL: 0.1271065, MAP: 0.0591858, MRR: 0.1276219, NDCG: 0.0904006, F1: 0.0583494, HIT_RATE: 0.3786661, ARHR: 0.1484659, NOVELTY: 0.0048629, AVERAGE_POPULARITY: 0.0823139, DIVERSITY_MEAN_INTER_LIST: 0.9929192, DIVERSITY_HERFINDAHL: 0.9992744, COVERAGE_ITEM: 0.3197767, COVERAGE_ITEM_CORRECT: 0.0482310, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968542, DIVERSITY_GINI: 0.1033955, SHANNON_ENTROPY: 11.5865503, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9292168374209444, 'b': 0.2059471967245931, 'c': 0.008326157061873231, 'normalize': False} - results: ROC_AUC: 0.1997367, PRECISION: 0.0436639, PRECISION_RECALL_MIN_DEN: 0.1571381, RECALL: 0.1526133, MAP: 0.0727425, MRR: 0.1487936, NDCG: 0.1090481, F1: 0.0679000, HIT_RATE: 0.4366391, ARHR: 0.1733599, NOVELTY: 0.0048685, AVERAGE_POPULARITY: 0.0923207, DIVERSITY_MEAN_INTER_LIST: 0.9886257, DIVERSITY_HERFINDAHL: 0.9988451, COVERAGE_ITEM: 0.4823869, COVERAGE_ITEM_CORRECT: 0.0566237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2249402, DIVERSITY_GINI: 0.1680357, SHANNON_ENTROPY: 11.8357542, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.017067361148354724, 'b': 0.7274548621001062, 'c': 0.27353984257960623, 'normalize': False} - results: ROC_AUC: 0.2072126, PRECISION: 0.0455656, PRECISION_RECALL_MIN_DEN: 0.1647463, RECALL: 0.1600732, MAP: 0.0761487, MRR: 0.1545206, NDCG: 0.1139746, F1: 0.0709376, HIT_RATE: 0.4556555, ARHR: 0.1804813, NOVELTY: 0.0049512, AVERAGE_POPULARITY: 0.0824786, DIVERSITY_MEAN_INTER_LIST: 0.9916001, DIVERSITY_HERFINDAHL: 0.9991425, COVERAGE_ITEM: 0.4711068, COVERAGE_ITEM_CORRECT: 0.0609586, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2340003, DIVERSITY_GINI: 0.1709809, SHANNON_ENTROPY: 12.0320119, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.15708440698773365, 'b': 0.9050034190533051, 'c': 0.27673255208201236, 'normalize': False} - results: ROC_AUC: 0.2068043, PRECISION: 0.0454021, PRECISION_RECALL_MIN_DEN: 0.1645360, RECALL: 0.1598720, MAP: 0.0760240, MRR: 0.1542761, NDCG: 0.1137594, F1: 0.0707197, HIT_RATE: 0.4540210, ARHR: 0.1800745, NOVELTY: 0.0049475, AVERAGE_POPULARITY: 0.0827043, DIVERSITY_MEAN_INTER_LIST: 0.9913966, DIVERSITY_HERFINDAHL: 0.9991221, COVERAGE_ITEM: 0.4791684, COVERAGE_ITEM_CORRECT: 0.0608277, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2334466, DIVERSITY_GINI: 0.1749900, SHANNON_ENTROPY: 12.0448829, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.782453296227194, 'b': 0.5921551125766447, 'c': 0.17952870615734298, 'normalize': False} - results: ROC_AUC: 0.2053621, PRECISION: 0.0450136, PRECISION_RECALL_MIN_DEN: 0.1622322, RECALL: 0.1575969, MAP: 0.0750423, MRR: 0.1529211, NDCG: 0.1124438, F1: 0.0700251, HIT_RATE: 0.4501364, ARHR: 0.1784099, NOVELTY: 0.0049119, AVERAGE_POPULARITY: 0.0874458, DIVERSITY_MEAN_INTER_LIST: 0.9902598, DIVERSITY_HERFINDAHL: 0.9990085, COVERAGE_ITEM: 0.4740481, COVERAGE_ITEM_CORRECT: 0.0592031, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2314332, DIVERSITY_GINI: 0.1681613, SHANNON_ENTROPY: 11.9312356, 
