
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.6739063910279792, 'b': 0.42769792876293955, 'c': 0.5361911315555172, 'normalize': False} - results: ROC_AUC: 0.2003729, PRECISION: 0.0437448, PRECISION_RECALL_MIN_DEN: 0.1577683, RECALL: 0.1532498, MAP: 0.0728188, MRR: 0.1487543, NDCG: 0.1092655, F1: 0.0680612, HIT_RATE: 0.4374477, ARHR: 0.1734095, NOVELTY: 0.0048628, AVERAGE_POPULARITY: 0.0936717, DIVERSITY_MEAN_INTER_LIST: 0.9881764, DIVERSITY_HERFINDAHL: 0.9988002, COVERAGE_ITEM: 0.4844581, COVERAGE_ITEM_CORRECT: 0.0568008, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2252171, DIVERSITY_GINI: 0.1695887, SHANNON_ENTROPY: 11.8323526, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.8153834257018133, 'b': 0.5198503320854528, 'c': 0.32527205499510053, 'normalize': True} - results: ROC_AUC: 0.2001016, PRECISION: 0.0436886, PRECISION_RECALL_MIN_DEN: 0.1574897, RECALL: 0.1529838, MAP: 0.0727917, MRR: 0.1486518, NDCG: 0.1091593, F1: 0.0679669, HIT_RATE: 0.4368858, ARHR: 0.1733340, NOVELTY: 0.0048648, AVERAGE_POPULARITY: 0.0930136, DIVERSITY_MEAN_INTER_LIST: 0.9883610, DIVERSITY_HERFINDAHL: 0.9988186, COVERAGE_ITEM: 0.4849817, COVERAGE_ITEM_CORRECT: 0.0566545, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2247892, DIVERSITY_GINI: 0.1698129, SHANNON_ENTROPY: 11.8397554, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.5397133459293663, 'b': 0.4375238322186217, 'c': 0.001298955150541792, 'normalize': False} - results: ROC_AUC: 0.2015811, PRECISION: 0.0439745, PRECISION_RECALL_MIN_DEN: 0.1585025, RECALL: 0.1539534, MAP: 0.0733562, MRR: 0.1497241, NDCG: 0.1098760, F1: 0.0684084, HIT_RATE: 0.4397450, ARHR: 0.1747124, NOVELTY: 0.0049041, AVERAGE_POPULARITY: 0.0857880, DIVERSITY_MEAN_INTER_LIST: 0.9900043, DIVERSITY_HERFINDAHL: 0.9989829, COVERAGE_ITEM: 0.5034225, COVERAGE_ITEM_CORRECT: 0.0583561, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259469, DIVERSITY_GINI: 0.1853404, SHANNON_ENTROPY: 12.0255200, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.2827988276096433, 'b': 0.4795695377103226, 'c': 0.7008385855943122, 'normalize': True} - results: ROC_AUC: 0.2000245, PRECISION: 0.0435969, PRECISION_RECALL_MIN_DEN: 0.1572056, RECALL: 0.1527185, MAP: 0.0726004, MRR: 0.1483858, NDCG: 0.1089491, F1: 0.0678297, HIT_RATE: 0.4359692, ARHR: 0.1729760, NOVELTY: 0.0048526, AVERAGE_POPULARITY: 0.0958418, DIVERSITY_MEAN_INTER_LIST: 0.9875938, DIVERSITY_HERFINDAHL: 0.9987419, COVERAGE_ITEM: 0.4806083, COVERAGE_ITEM_CORRECT: 0.0563927, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244872, DIVERSITY_GINI: 0.1665643, SHANNON_ENTROPY: 11.7871486, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5649039026648955, 'b': 0.0316976265975737, 'c': 0.22576974447454862, 'normalize': True} - results: ROC_AUC: 0.1953945, PRECISION: 0.0422291, PRECISION_RECALL_MIN_DEN: 0.1512992, RECALL: 0.1469192, MAP: 0.0704120, MRR: 0.1452908, NDCG: 0.1055880, F1: 0.0656009, HIT_RATE: 0.4222909, ARHR: 0.1687797, NOVELTY: 0.0048205, AVERAGE_POPULARITY: 0.1009183, DIVERSITY_MEAN_INTER_LIST: 0.9863846, DIVERSITY_HERFINDAHL: 0.9986210, COVERAGE_ITEM: 0.4608123, COVERAGE_ITEM_CORRECT: 0.0529432, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2188247, DIVERSITY_GINI: 0.1510617, SHANNON_ENTROPY: 11.6111035, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.30057594234855617, 'b': 0.8805063838563936, 'c': 0.2643664031508784, 'normalize': True} - results: ROC_AUC: 0.2018866, PRECISION: 0.0438750, PRECISION_RECALL_MIN_DEN: 0.1586864, RECALL: 0.1541716, MAP: 0.0735030, MRR: 0.1499004, NDCG: 0.1100150, F1: 0.0683095, HIT_RATE: 0.4387503, ARHR: 0.1747651, NOVELTY: 0.0049029, AVERAGE_POPULARITY: 0.0861494, DIVERSITY_MEAN_INTER_LIST: 0.9898805, DIVERSITY_HERFINDAHL: 0.9989706, COVERAGE_ITEM: 0.5035149, COVERAGE_ITEM_CORRECT: 0.0583022, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2262489, DIVERSITY_GINI: 0.1860221, SHANNON_ENTROPY: 12.0279653, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.045225131516685176, 'b': 0.547394176726003, 'c': 0.09253925024129596, 'normalize': True} - results: ROC_AUC: 0.2008124, PRECISION: 0.0436712, PRECISION_RECALL_MIN_DEN: 0.1582113, RECALL: 0.1537005, MAP: 0.0731302, MRR: 0.1490849, NDCG: 0.1094941, F1: 0.0680161, HIT_RATE: 0.4367116, ARHR: 0.1737591, NOVELTY: 0.0049255, AVERAGE_POPULARITY: 0.0819464, DIVERSITY_MEAN_INTER_LIST: 0.9907479, DIVERSITY_HERFINDAHL: 0.9990573, COVERAGE_ITEM: 0.5128547, COVERAGE_ITEM_CORRECT: 0.0586487, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2251919, DIVERSITY_GINI: 0.1949931, SHANNON_ENTROPY: 12.1328246, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4605168327554682, 'b': 0.5724706297634683, 'c': 0.44725251392381327, 'normalize': True} - results: ROC_AUC: 0.2006111, PRECISION: 0.0437908, PRECISION_RECALL_MIN_DEN: 0.1578489, RECALL: 0.1533219, MAP: 0.0728851, MRR: 0.1488143, NDCG: 0.1093269, F1: 0.0681240, HIT_RATE: 0.4379078, ARHR: 0.1735544, NOVELTY: 0.0048705, AVERAGE_POPULARITY: 0.0923310, DIVERSITY_MEAN_INTER_LIST: 0.9884858, DIVERSITY_HERFINDAHL: 0.9988311, COVERAGE_ITEM: 0.4887161, COVERAGE_ITEM_CORRECT: 0.0572012, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2254184, DIVERSITY_GINI: 0.1728506, SHANNON_ENTROPY: 11.8697029, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.8600571858361352, 'b': 0.7073853803583907, 'c': 0.40414606401298203, 'normalize': False} - results: ROC_AUC: 0.2013779, PRECISION: 0.0438616, PRECISION_RECALL_MIN_DEN: 0.1581147, RECALL: 0.1535696, MAP: 0.0733291, MRR: 0.1495798, NDCG: 0.1097546, F1: 0.0682337, HIT_RATE: 0.4386157, ARHR: 0.1744704, NOVELTY: 0.0048843, AVERAGE_POPULARITY: 0.0896997, DIVERSITY_MEAN_INTER_LIST: 0.9891265, DIVERSITY_HERFINDAHL: 0.9988952, COVERAGE_ITEM: 0.4949759, COVERAGE_ITEM_CORRECT: 0.0576631, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2253932, DIVERSITY_GINI: 0.1779342, SHANNON_ENTROPY: 11.9336589, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.722813046245338, 'b': 0.23662149359420043, 'c': 0.3270680384055779, 'normalize': False} - results: ROC_AUC: 0.1994271, PRECISION: 0.0435860, PRECISION_RECALL_MIN_DEN: 0.1568332, RECALL: 0.1523146, MAP: 0.0726781, MRR: 0.1485384, NDCG: 0.1088977, F1: 0.0677761, HIT_RATE: 0.4358596, ARHR: 0.1730091, NOVELTY: 0.0048535, AVERAGE_POPULARITY: 0.0952809, DIVERSITY_MEAN_INTER_LIST: 0.9878034, DIVERSITY_HERFINDAHL: 0.9987629, COVERAGE_ITEM: 0.4793301, COVERAGE_ITEM_CORRECT: 0.0560231, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244621, DIVERSITY_GINI: 0.1651089, SHANNON_ENTROPY: 11.7807599, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.5252050289836628, 'b': 0.5671982556367596, 'c': 0.7794770350055481, 'normalize': True} - results: ROC_AUC: 0.2000299, PRECISION: 0.0435471, PRECISION_RECALL_MIN_DEN: 0.1570411, RECALL: 0.1525631, MAP: 0.0725699, MRR: 0.1482713, NDCG: 0.1088836, F1: 0.0677541, HIT_RATE: 0.4354707, ARHR: 0.1727829, NOVELTY: 0.0048518, AVERAGE_POPULARITY: 0.0957473, DIVERSITY_MEAN_INTER_LIST: 0.9876384, DIVERSITY_HERFINDAHL: 0.9987464, COVERAGE_ITEM: 0.4802079, COVERAGE_ITEM_CORRECT: 0.0562156, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2245627, DIVERSITY_GINI: 0.1660401, SHANNON_ENTROPY: 11.7836737, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.9552378858109164, 'b': 0.35717533326007583, 'c': 0.40965931212546314, 'normalize': True} - results: ROC_AUC: 0.1989049, PRECISION: 0.0433526, PRECISION_RECALL_MIN_DEN: 0.1555911, RECALL: 0.1510936, MAP: 0.0722550, MRR: 0.1478075, NDCG: 0.1082246, F1: 0.0673731, HIT_RATE: 0.4335259, ARHR: 0.1721912, NOVELTY: 0.0048486, AVERAGE_POPULARITY: 0.0961002, DIVERSITY_MEAN_INTER_LIST: 0.9876082, DIVERSITY_HERFINDAHL: 0.9987434, COVERAGE_ITEM: 0.4760192, COVERAGE_ITEM_CORRECT: 0.0554610, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2231786, DIVERSITY_GINI: 0.1626326, SHANNON_ENTROPY: 11.7531385, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.08055936110533725, 'b': 0.7596799956179904, 'c': 0.7168262374690276, 'normalize': False} - results: ROC_AUC: 0.2017892, PRECISION: 0.0438856, PRECISION_RECALL_MIN_DEN: 0.1585299, RECALL: 0.1540041, MAP: 0.0733636, MRR: 0.1495504, NDCG: 0.1098680, F1: 0.0683056, HIT_RATE: 0.4388556, ARHR: 0.1744322, NOVELTY: 0.0048902, AVERAGE_POPULARITY: 0.0888881, DIVERSITY_MEAN_INTER_LIST: 0.9892324, DIVERSITY_HERFINDAHL: 0.9989058, COVERAGE_ITEM: 0.4982637, COVERAGE_ITEM_CORRECT: 0.0578787, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259972, DIVERSITY_GINI: 0.1815457, SHANNON_ENTROPY: 11.9692744, 
