
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7096352240855887, 'b': 0.272479943091714, 'c': 0.29914611796150886, 'normalize': False} - results: ROC_AUC: 0.2008525, PRECISION: 0.0439181, PRECISION_RECALL_MIN_DEN: 0.1583747, RECALL: 0.1538309, MAP: 0.0732420, MRR: 0.1494669, NDCG: 0.1097708, F1: 0.0683280, HIT_RATE: 0.4391807, ARHR: 0.1743646, NOVELTY: 0.0048777, AVERAGE_POPULARITY: 0.0909789, DIVERSITY_MEAN_INTER_LIST: 0.9888904, DIVERSITY_HERFINDAHL: 0.9988716, COVERAGE_ITEM: 0.4907488, COVERAGE_ITEM_CORRECT: 0.0574167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2256197, DIVERSITY_GINI: 0.1742729, SHANNON_ENTROPY: 11.8936996, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.9015925929649267, 'b': 0.3277528739465651, 'c': 0.42243802076341974, 'normalize': False} - results: ROC_AUC: 0.2009126, PRECISION: 0.0438683, PRECISION_RECALL_MIN_DEN: 0.1581362, RECALL: 0.1535823, MAP: 0.0732106, MRR: 0.1494522, NDCG: 0.1096837, F1: 0.0682434, HIT_RATE: 0.4386827, ARHR: 0.1743180, NOVELTY: 0.0048756, AVERAGE_POPULARITY: 0.0914118, DIVERSITY_MEAN_INTER_LIST: 0.9887971, DIVERSITY_HERFINDAHL: 0.9988622, COVERAGE_ITEM: 0.4898787, COVERAGE_ITEM_CORRECT: 0.0572474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2254184, DIVERSITY_GINI: 0.1734068, SHANNON_ENTROPY: 11.8831292, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.048439288478163714, 'b': 0.21673847965956833, 'c': 0.4851088117870114, 'normalize': False} - results: ROC_AUC: 0.2028452, PRECISION: 0.0439462, PRECISION_RECALL_MIN_DEN: 0.1589353, RECALL: 0.1544488, MAP: 0.0740121, MRR: 0.1508074, NDCG: 0.1105460, F1: 0.0684232, HIT_RATE: 0.4394621, ARHR: 0.1758153, NOVELTY: 0.0049166, AVERAGE_POPULARITY: 0.0848971, DIVERSITY_MEAN_INTER_LIST: 0.9901903, DIVERSITY_HERFINDAHL: 0.9990015, COVERAGE_ITEM: 0.5115457, COVERAGE_ITEM_CORRECT: 0.0586487, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2262489, DIVERSITY_GINI: 0.1924110, SHANNON_ENTROPY: 12.0876976, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.4819651306203807, 'b': 0.9465085051118444, 'c': 0.5859996724324875, 'normalize': True} - results: ROC_AUC: 0.1987591, PRECISION: 0.0433321, PRECISION_RECALL_MIN_DEN: 0.1548229, RECALL: 0.1503654, MAP: 0.0721324, MRR: 0.1475467, NDCG: 0.1079599, F1: 0.0672755, HIT_RATE: 0.4333205, ARHR: 0.1722807, NOVELTY: 0.0048552, AVERAGE_POPULARITY: 0.1018320, DIVERSITY_MEAN_INTER_LIST: 0.9863167, DIVERSITY_HERFINDAHL: 0.9986142, COVERAGE_ITEM: 0.4833340, COVERAGE_ITEM_CORRECT: 0.0549451, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2233547, DIVERSITY_GINI: 0.1674617, SHANNON_ENTROPY: 11.7439490, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.49235917744081825, 'b': 0.575649109762058, 'c': 0.31029475985917926, 'normalize': True} - results: ROC_AUC: 0.1999265, PRECISION: 0.0436433, PRECISION_RECALL_MIN_DEN: 0.1563564, RECALL: 0.1518798, MAP: 0.0728112, MRR: 0.1485808, NDCG: 0.1089421, F1: 0.0678023, HIT_RATE: 0.4364327, ARHR: 0.1734642, NOVELTY: 0.0048551, AVERAGE_POPULARITY: 0.1004784, DIVERSITY_MEAN_INTER_LIST: 0.9866827, DIVERSITY_HERFINDAHL: 0.9986508, COVERAGE_ITEM: 0.4836651, COVERAGE_ITEM_CORRECT: 0.0556227, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2247892, DIVERSITY_GINI: 0.1673250, SHANNON_ENTROPY: 11.7531508, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7563405359518635, 'b': 0.8786560317052186, 'c': 0.2068330045206926, 'normalize': True} - results: ROC_AUC: 0.2030185, PRECISION: 0.0441444, PRECISION_RECALL_MIN_DEN: 0.1588317, RECALL: 0.1543044, MAP: 0.0738854, MRR: 0.1505736, NDCG: 0.1105217, F1: 0.0686487, HIT_RATE: 0.4414436, ARHR: 0.1757901, NOVELTY: 0.0048743, AVERAGE_POPULARITY: 0.0939844, DIVERSITY_MEAN_INTER_LIST: 0.9882333, DIVERSITY_HERFINDAHL: 0.9988059, COVERAGE_ITEM: 0.4930202, COVERAGE_ITEM_CORRECT: 0.0574937, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2265761, DIVERSITY_GINI: 0.1750383, SHANNON_ENTROPY: 11.8725996, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.016203317979048507, 'b': 0.7441729458260052, 'c': 0.10512817441040459, 'normalize': True} - results: ROC_AUC: 0.2023515, PRECISION: 0.0440667, PRECISION_RECALL_MIN_DEN: 0.1592451, RECALL: 0.1547069, MAP: 0.0740115, MRR: 0.1504752, NDCG: 0.1105544, F1: 0.0685944, HIT_RATE: 0.4406668, ARHR: 0.1756101, NOVELTY: 0.0049138, AVERAGE_POPULARITY: 0.0863580, DIVERSITY_MEAN_INTER_LIST: 0.9898814, DIVERSITY_HERFINDAHL: 0.9989707, COVERAGE_ITEM: 0.5112916, COVERAGE_ITEM_CORRECT: 0.0587642, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2263496, DIVERSITY_GINI: 0.1918019, SHANNON_ENTROPY: 12.0700648, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.16971409200809953, 'b': 0.8748918263364392, 'c': 0.6104881126070831, 'normalize': False} - results: ROC_AUC: 0.2010838, PRECISION: 0.0436495, PRECISION_RECALL_MIN_DEN: 0.1580159, RECALL: 0.1535207, MAP: 0.0733828, MRR: 0.1493398, NDCG: 0.1096631, F1: 0.0679719, HIT_RATE: 0.4364955, ARHR: 0.1740387, NOVELTY: 0.0049308, AVERAGE_POPULARITY: 0.0811526, DIVERSITY_MEAN_INTER_LIST: 0.9909283, DIVERSITY_HERFINDAHL: 0.9990753, COVERAGE_ITEM: 0.5158422, COVERAGE_ITEM_CORRECT: 0.0588258, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250661, DIVERSITY_GINI: 0.1974115, SHANNON_ENTROPY: 12.1573451, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.4901437287247079, 'b': 0.8487434320026368, 'c': 0.6640271031853802, 'normalize': True} - results: ROC_AUC: 0.1965891, PRECISION: 0.0426918, PRECISION_RECALL_MIN_DEN: 0.1525705, RECALL: 0.1481764, MAP: 0.0712836, MRR: 0.1461481, NDCG: 0.1065961, F1: 0.0662845, HIT_RATE: 0.4269183, ARHR: 0.1703078, NOVELTY: 0.0048482, AVERAGE_POPULARITY: 0.1041565, DIVERSITY_MEAN_INTER_LIST: 0.9857193, DIVERSITY_HERFINDAHL: 0.9985545, COVERAGE_ITEM: 0.4774822, COVERAGE_ITEM_CORRECT: 0.0535438, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206116, DIVERSITY_GINI: 0.1635895, SHANNON_ENTROPY: 11.6939513, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.7717537614908145, 'b': 0.9053878927966719, 'c': 0.6859687631423882, 'normalize': False} - results: ROC_AUC: 0.2022148, PRECISION: 0.0439775, PRECISION_RECALL_MIN_DEN: 0.1590486, RECALL: 0.1545316, MAP: 0.0736374, MRR: 0.1502529, NDCG: 0.1102213, F1: 0.0684687, HIT_RATE: 0.4397745, ARHR: 0.1751878, NOVELTY: 0.0049081, AVERAGE_POPULARITY: 0.0854217, DIVERSITY_MEAN_INTER_LIST: 0.9900805, DIVERSITY_HERFINDAHL: 0.9989906, COVERAGE_ITEM: 0.5064562, COVERAGE_ITEM_CORRECT: 0.0584331, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2265761, DIVERSITY_GINI: 0.1877999, SHANNON_ENTROPY: 12.0478139, 
