
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.48519099060294346, 'b': 0.7738468371366959, 'c': 0.819998545826513, 'normalize': True} - results: ROC_AUC: 0.2015959, PRECISION: 0.0438893, PRECISION_RECALL_MIN_DEN: 0.1574530, RECALL: 0.1528971, MAP: 0.0734188, MRR: 0.1503693, NDCG: 0.1097591, F1: 0.0682002, HIT_RATE: 0.4388932, ARHR: 0.1754106, NOVELTY: 0.0048594, AVERAGE_POPULARITY: 0.0950136, DIVERSITY_MEAN_INTER_LIST: 0.9882972, DIVERSITY_HERFINDAHL: 0.9988123, COVERAGE_ITEM: 0.4717998, COVERAGE_ITEM_CORRECT: 0.0569856, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259469, DIVERSITY_GINI: 0.1611118, SHANNON_ENTROPY: 11.7672714, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.27461691477255795, 'b': 0.39320227510632033, 'c': 0.736917410680798, 'normalize': True} - results: ROC_AUC: 0.1990296, PRECISION: 0.0431551, PRECISION_RECALL_MIN_DEN: 0.1536298, RECALL: 0.1490761, MAP: 0.0721153, MRR: 0.1485289, NDCG: 0.1076849, F1: 0.0669326, HIT_RATE: 0.4315510, ARHR: 0.1731849, NOVELTY: 0.0048391, AVERAGE_POPULARITY: 0.0988593, DIVERSITY_MEAN_INTER_LIST: 0.9875236, DIVERSITY_HERFINDAHL: 0.9987349, COVERAGE_ITEM: 0.4569856, COVERAGE_ITEM_CORRECT: 0.0550606, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220964, DIVERSITY_GINI: 0.1503623, SHANNON_ENTROPY: 11.6482481, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.6705497298771677, 'b': 0.49703218433390817, 'c': 0.6293189261225618, 'normalize': True} - results: ROC_AUC: 0.2002277, PRECISION: 0.0435013, PRECISION_RECALL_MIN_DEN: 0.1556930, RECALL: 0.1511510, MAP: 0.0726184, MRR: 0.1489657, NDCG: 0.1086352, F1: 0.0675581, HIT_RATE: 0.4350125, ARHR: 0.1737265, NOVELTY: 0.0048476, AVERAGE_POPULARITY: 0.0969997, DIVERSITY_MEAN_INTER_LIST: 0.9877959, DIVERSITY_HERFINDAHL: 0.9987621, COVERAGE_ITEM: 0.4651627, COVERAGE_ITEM_CORRECT: 0.0558537, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239587, DIVERSITY_GINI: 0.1560370, SHANNON_ENTROPY: 11.7059665, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.30020769250698504, 'b': 0.846723120582309, 'c': 0.4351287006916805, 'normalize': True} - results: ROC_AUC: 0.2027105, PRECISION: 0.0440839, PRECISION_RECALL_MIN_DEN: 0.1594596, RECALL: 0.1549634, MAP: 0.0737629, MRR: 0.1506351, NDCG: 0.1104947, F1: 0.0686407, HIT_RATE: 0.4408393, ARHR: 0.1756683, NOVELTY: 0.0048849, AVERAGE_POPULARITY: 0.0896387, DIVERSITY_MEAN_INTER_LIST: 0.9893852, DIVERSITY_HERFINDAHL: 0.9989210, COVERAGE_ITEM: 0.4891627, COVERAGE_ITEM_CORRECT: 0.0582560, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2272556, DIVERSITY_GINI: 0.1745900, SHANNON_ENTROPY: 11.9193001, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.8222566118306073, 'b': 0.432162049121561, 'c': 0.5531768733213803, 'normalize': False} - results: ROC_AUC: 0.2005147, PRECISION: 0.0436995, PRECISION_RECALL_MIN_DEN: 0.1564019, RECALL: 0.1518384, MAP: 0.0730214, MRR: 0.1496926, NDCG: 0.1091529, F1: 0.0678659, HIT_RATE: 0.4369949, ARHR: 0.1745418, NOVELTY: 0.0048503, AVERAGE_POPULARITY: 0.0964731, DIVERSITY_MEAN_INTER_LIST: 0.9879129, DIVERSITY_HERFINDAHL: 0.9987738, COVERAGE_ITEM: 0.4663330, COVERAGE_ITEM_CORRECT: 0.0562849, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248144, DIVERSITY_GINI: 0.1572552, SHANNON_ENTROPY: 11.7211859, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.5335181233488294, 'b': 0.8529152579932385, 'c': 0.5188900365974992, 'normalize': False} - results: ROC_AUC: 0.2026525, PRECISION: 0.0440420, PRECISION_RECALL_MIN_DEN: 0.1592345, RECALL: 0.1547371, MAP: 0.0737520, MRR: 0.1507562, NDCG: 0.1104315, F1: 0.0685675, HIT_RATE: 0.4404202, ARHR: 0.1758043, NOVELTY: 0.0048816, AVERAGE_POPULARITY: 0.0903571, DIVERSITY_MEAN_INTER_LIST: 0.9892290, DIVERSITY_HERFINDAHL: 0.9989054, COVERAGE_ITEM: 0.4873917, COVERAGE_ITEM_CORRECT: 0.0579942, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2268529, DIVERSITY_GINI: 0.1731157, SHANNON_ENTROPY: 11.9004512, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.19138735162037318, 'b': 0.9133150283192922, 'c': 0.2553396192583934, 'normalize': False} - results: ROC_AUC: 0.2023123, PRECISION: 0.0439282, PRECISION_RECALL_MIN_DEN: 0.1594264, RECALL: 0.1549287, MAP: 0.0739634, MRR: 0.1506386, NDCG: 0.1105612, F1: 0.0684483, HIT_RATE: 0.4392820, ARHR: 0.1755229, NOVELTY: 0.0049120, AVERAGE_POPULARITY: 0.0845320, DIVERSITY_MEAN_INTER_LIST: 0.9903660, DIVERSITY_HERFINDAHL: 0.9990191, COVERAGE_ITEM: 0.5040616, COVERAGE_ITEM_CORRECT: 0.0587103, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2266767, DIVERSITY_GINI: 0.1872912, SHANNON_ENTROPY: 12.0588588, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.04386350002418327, 'b': 0.29579634200094035, 'c': 0.3276732661231148, 'normalize': False} - results: ROC_AUC: 0.2021976, PRECISION: 0.0438962, PRECISION_RECALL_MIN_DEN: 0.1578670, RECALL: 0.1533631, MAP: 0.0738708, MRR: 0.1508659, NDCG: 0.1101783, F1: 0.0682556, HIT_RATE: 0.4389620, ARHR: 0.1759389, NOVELTY: 0.0048686, AVERAGE_POPULARITY: 0.0932399, DIVERSITY_MEAN_INTER_LIST: 0.9887441, DIVERSITY_HERFINDAHL: 0.9988569, COVERAGE_ITEM: 0.4763580, COVERAGE_ITEM_CORRECT: 0.0575245, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259721, DIVERSITY_GINI: 0.1649790, SHANNON_ENTROPY: 11.8171804, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.42647688542052986, 'b': 0.6782157827062124, 'c': 0.97789134382867, 'normalize': True} - results: ROC_AUC: 0.2004638, PRECISION: 0.0434834, PRECISION_RECALL_MIN_DEN: 0.1550534, RECALL: 0.1504905, MAP: 0.0727333, MRR: 0.1494051, NDCG: 0.1085824, F1: 0.0674698, HIT_RATE: 0.4348342, ARHR: 0.1743146, NOVELTY: 0.0048490, AVERAGE_POPULARITY: 0.0970821, DIVERSITY_MEAN_INTER_LIST: 0.9878929, DIVERSITY_HERFINDAHL: 0.9987718, COVERAGE_ITEM: 0.4639384, COVERAGE_ITEM_CORRECT: 0.0559846, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2235309, DIVERSITY_GINI: 0.1554682, SHANNON_ENTROPY: 11.7050111, 
