
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.17000318504254044, 'b': 0.7685584981121235, 'c': 0.4422502861598284, 'normalize': True} - results: ROC_AUC: 0.1863609, PRECISION: 0.0400326, PRECISION_RECALL_MIN_DEN: 0.1401390, RECALL: 0.1357278, MAP: 0.0659181, MRR: 0.1396395, NDCG: 0.0988643, F1: 0.0618274, HIT_RATE: 0.4003265, ARHR: 0.1616351, NOVELTY: 0.0048044, AVERAGE_POPULARITY: 0.1040151, DIVERSITY_MEAN_INTER_LIST: 0.9873149, DIVERSITY_HERFINDAHL: 0.9987140, COVERAGE_ITEM: 0.4259480, COVERAGE_ITEM_CORRECT: 0.0482772, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2083554, DIVERSITY_GINI: 0.1333010, SHANNON_ENTROPY: 11.5199393, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.4150315353012336, 'b': 0.8837457283196637, 'c': 0.6058185275661251, 'normalize': False} - results: ROC_AUC: 0.1928731, PRECISION: 0.0416959, PRECISION_RECALL_MIN_DEN: 0.1488125, RECALL: 0.1444377, MAP: 0.0694016, MRR: 0.1441033, NDCG: 0.1041067, F1: 0.0647092, HIT_RATE: 0.4169591, ARHR: 0.1671953, NOVELTY: 0.0047946, AVERAGE_POPULARITY: 0.1060962, DIVERSITY_MEAN_INTER_LIST: 0.9853617, DIVERSITY_HERFINDAHL: 0.9985188, COVERAGE_ITEM: 0.4430876, COVERAGE_ITEM_CORRECT: 0.0513725, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2162074, DIVERSITY_GINI: 0.1401934, SHANNON_ENTROPY: 11.4891910, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.9752744696451618, 'b': 0.12050149092756726, 'c': 0.8461387418788671, 'normalize': False} - results: ROC_AUC: 0.1934482, PRECISION: 0.0417946, PRECISION_RECALL_MIN_DEN: 0.1497445, RECALL: 0.1453876, MAP: 0.0696148, MRR: 0.1440847, NDCG: 0.1044752, F1: 0.0649238, HIT_RATE: 0.4179460, ARHR: 0.1672960, NOVELTY: 0.0047994, AVERAGE_POPULARITY: 0.1049202, DIVERSITY_MEAN_INTER_LIST: 0.9853032, DIVERSITY_HERFINDAHL: 0.9985129, COVERAGE_ITEM: 0.4502791, COVERAGE_ITEM_CORRECT: 0.0518114, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2167862, DIVERSITY_GINI: 0.1440879, SHANNON_ENTROPY: 11.5158712, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.6268745809093728, 'b': 0.2576171339427284, 'c': 0.30663785428596707, 'normalize': False} - results: ROC_AUC: 0.1937039, PRECISION: 0.0418905, PRECISION_RECALL_MIN_DEN: 0.1494911, RECALL: 0.1451073, MAP: 0.0696460, MRR: 0.1442948, NDCG: 0.1044937, F1: 0.0650112, HIT_RATE: 0.4189051, ARHR: 0.1675733, NOVELTY: 0.0048084, AVERAGE_POPULARITY: 0.1030045, DIVERSITY_MEAN_INTER_LIST: 0.9859923, DIVERSITY_HERFINDAHL: 0.9985818, COVERAGE_ITEM: 0.4526737, COVERAGE_ITEM_CORRECT: 0.0521116, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2169875, DIVERSITY_GINI: 0.1459411, SHANNON_ENTROPY: 11.5562419, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.6143951366733784, 'b': 0.3943161452805266, 'c': 0.4955098151817723, 'normalize': True} - results: ROC_AUC: 0.1903674, PRECISION: 0.0409303, PRECISION_RECALL_MIN_DEN: 0.1443348, RECALL: 0.1399187, MAP: 0.0678268, MRR: 0.1424507, NDCG: 0.1016461, F1: 0.0633324, HIT_RATE: 0.4093035, ARHR: 0.1651910, NOVELTY: 0.0048097, AVERAGE_POPULARITY: 0.1032373, DIVERSITY_MEAN_INTER_LIST: 0.9870218, DIVERSITY_HERFINDAHL: 0.9986847, COVERAGE_ITEM: 0.4368893, COVERAGE_ITEM_CORRECT: 0.0501328, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2121555, DIVERSITY_GINI: 0.1383831, SHANNON_ENTROPY: 11.5416545, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.5815024183202976, 'b': 0.5052970497376308, 'c': 0.8883035567641854, 'normalize': False} - results: ROC_AUC: 0.1929618, PRECISION: 0.0417983, PRECISION_RECALL_MIN_DEN: 0.1495746, RECALL: 0.1452224, MAP: 0.0694879, MRR: 0.1439795, NDCG: 0.1043452, F1: 0.0649116, HIT_RATE: 0.4179829, ARHR: 0.1671546, NOVELTY: 0.0047918, AVERAGE_POPULARITY: 0.1066853, DIVERSITY_MEAN_INTER_LIST: 0.9849396, DIVERSITY_HERFINDAHL: 0.9984766, COVERAGE_ITEM: 0.4449201, COVERAGE_ITEM_CORRECT: 0.0515881, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2167862, DIVERSITY_GINI: 0.1409682, SHANNON_ENTROPY: 11.4794577, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.04930869555522201, 'b': 0.9514493108896603, 'c': 0.8533322117954439, 'normalize': True} - results: ROC_AUC: 0.1868955, PRECISION: 0.0400640, PRECISION_RECALL_MIN_DEN: 0.1404427, RECALL: 0.1360474, MAP: 0.0660161, MRR: 0.1398361, NDCG: 0.0990360, F1: 0.0618985, HIT_RATE: 0.4006402, ARHR: 0.1618755, NOVELTY: 0.0047996, AVERAGE_POPULARITY: 0.1049979, DIVERSITY_MEAN_INTER_LIST: 0.9870031, DIVERSITY_HERFINDAHL: 0.9986829, COVERAGE_ITEM: 0.4242695, COVERAGE_ITEM_CORRECT: 0.0482541, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2086322, DIVERSITY_GINI: 0.1322235, SHANNON_ENTROPY: 11.4987007, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7899297110902435, 'b': 0.6032565824713721, 'c': 0.3097237830604758, 'normalize': True} - results: ROC_AUC: 0.1892166, PRECISION: 0.0407149, PRECISION_RECALL_MIN_DEN: 0.1432753, RECALL: 0.1388501, MAP: 0.0671651, MRR: 0.1417181, NDCG: 0.1007903, F1: 0.0629648, HIT_RATE: 0.4071492, ARHR: 0.1642736, NOVELTY: 0.0048141, AVERAGE_POPULARITY: 0.1022044, DIVERSITY_MEAN_INTER_LIST: 0.9875010, DIVERSITY_HERFINDAHL: 0.9987327, COVERAGE_ITEM: 0.4356574, COVERAGE_ITEM_CORRECT: 0.0496477, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2112747, DIVERSITY_GINI: 0.1382958, SHANNON_ENTROPY: 11.5620757, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'a': 0.8193414871984998, 'b': 0.18433787304085084, 'c': 0.5647123173354281, 'normalize': False} - results: ROC_AUC: 0.1937150, PRECISION: 0.0418126, PRECISION_RECALL_MIN_DEN: 0.1495496, RECALL: 0.1451852, MAP: 0.0696947, MRR: 0.1443242, NDCG: 0.1045281, F1: 0.0649250, HIT_RATE: 0.4181255, ARHR: 0.1675823, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1041075, DIVERSITY_MEAN_INTER_LIST: 0.9855935, DIVERSITY_HERFINDAHL: 0.9985419, COVERAGE_ITEM: 0.4512493, COVERAGE_ITEM_CORRECT: 0.0519962, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2167107, DIVERSITY_GINI: 0.1449043, SHANNON_ENTROPY: 11.5331956, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5970317309610232, 'b': 0.5420103432153753, 'c': 0.8786546636400207, 'normalize': True} - results: ROC_AUC: 0.1900733, PRECISION: 0.0408632, PRECISION_RECALL_MIN_DEN: 0.1440356, RECALL: 0.1396238, MAP: 0.0677282, MRR: 0.1422858, NDCG: 0.1014840, F1: 0.0632222, HIT_RATE: 0.4086324, ARHR: 0.1649629, NOVELTY: 0.0048047, AVERAGE_POPULARITY: 0.1042811, DIVERSITY_MEAN_INTER_LIST: 0.9867624, DIVERSITY_HERFINDAHL: 0.9986588, COVERAGE_ITEM: 0.4344562, COVERAGE_ITEM_CORRECT: 0.0499403, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2119039, DIVERSITY_GINI: 0.1368458, SHANNON_ENTROPY: 11.5198180, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.22979550385695763, 'b': 0.33125963839486544, 'c': 0.7541400749443522, 'normalize': False} - results: ROC_AUC: 0.1924690, PRECISION: 0.0417628, PRECISION_RECALL_MIN_DEN: 0.1494851, RECALL: 0.1451421, MAP: 0.0693709, MRR: 0.1437019, NDCG: 0.1042189, F1: 0.0648611, HIT_RATE: 0.4176283, ARHR: 0.1668135, NOVELTY: 0.0047817, AVERAGE_POPULARITY: 0.1089456, DIVERSITY_MEAN_INTER_LIST: 0.9842515, DIVERSITY_HERFINDAHL: 0.9984078, COVERAGE_ITEM: 0.4404235, COVERAGE_ITEM_CORRECT: 0.0512724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2166855, DIVERSITY_GINI: 0.1380298, SHANNON_ENTROPY: 11.4325643, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.32051992112129585, 'b': 0.0952716272620914, 'c': 0.19053397843415337, 'normalize': False} - results: ROC_AUC: 0.1936029, PRECISION: 0.0419045, PRECISION_RECALL_MIN_DEN: 0.1497444, RECALL: 0.1453695, MAP: 0.0696404, MRR: 0.1442485, NDCG: 0.1045423, F1: 0.0650545, HIT_RATE: 0.4190454, ARHR: 0.1675517, NOVELTY: 0.0048059, AVERAGE_POPULARITY: 0.1035998, DIVERSITY_MEAN_INTER_LIST: 0.9857668, DIVERSITY_HERFINDAHL: 0.9985593, COVERAGE_ITEM: 0.4519423, COVERAGE_ITEM_CORRECT: 0.0520731, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2169624, DIVERSITY_GINI: 0.1453845, SHANNON_ENTROPY: 11.5436745, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.5476846936252622, 'b': 0.5494680028125749, 'c': 0.002202948337855726, 'normalize': False} - results: ROC_AUC: 0.1939856, PRECISION: 0.0417461, PRECISION_RECALL_MIN_DEN: 0.1484778, RECALL: 0.1440562, MAP: 0.0696720, MRR: 0.1449224, NDCG: 0.1042866, F1: 0.0647324, HIT_RATE: 0.4174610, ARHR: 0.1682314, NOVELTY: 0.0048278, AVERAGE_POPULARITY: 0.0989201, DIVERSITY_MEAN_INTER_LIST: 0.9874382, DIVERSITY_HERFINDAHL: 0.9987264, COVERAGE_ITEM: 0.4569009, COVERAGE_ITEM_CORRECT: 0.0523657, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2161570, DIVERSITY_GINI: 0.1493683, SHANNON_ENTROPY: 11.6387062, 
