
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.755848583336449, 'b': 0.7506204386763521, 'c': 0.7260111019578084, 'normalize': True} - results: ROC_AUC: 0.1943855, PRECISION: 0.0421454, PRECISION_RECALL_MIN_DEN: 0.1496764, RECALL: 0.1451732, MAP: 0.0696808, MRR: 0.1452182, NDCG: 0.1045977, F1: 0.0653248, HIT_RATE: 0.4214541, ARHR: 0.1686895, NOVELTY: 0.0048170, AVERAGE_POPULARITY: 0.1025945, DIVERSITY_MEAN_INTER_LIST: 0.9871045, DIVERSITY_HERFINDAHL: 0.9986930, COVERAGE_ITEM: 0.4395534, COVERAGE_ITEM_CORRECT: 0.0521963, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2180445, DIVERSITY_GINI: 0.1413268, SHANNON_ENTROPY: 11.5792463, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.014182469040277427, 'b': 0.007975003654919323, 'c': 0.009458893118406088, 'normalize': False} - results: ROC_AUC: 0.1964415, PRECISION: 0.0428964, PRECISION_RECALL_MIN_DEN: 0.1548947, RECALL: 0.1504589, MAP: 0.0707072, MRR: 0.1447062, NDCG: 0.1065998, F1: 0.0667587, HIT_RATE: 0.4289641, ARHR: 0.1684982, NOVELTY: 0.0048325, AVERAGE_POPULARITY: 0.1011484, DIVERSITY_MEAN_INTER_LIST: 0.9857882, DIVERSITY_HERFINDAHL: 0.9985614, COVERAGE_ITEM: 0.4572705, COVERAGE_ITEM_CORRECT: 0.0545756, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2218196, DIVERSITY_GINI: 0.1535083, SHANNON_ENTROPY: 11.6361980, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.3748398603876399, 'b': 0.9433274019198287, 'c': 0.7039380955508493, 'normalize': True} - results: ROC_AUC: 0.1927946, PRECISION: 0.0417921, PRECISION_RECALL_MIN_DEN: 0.1478864, RECALL: 0.1433713, MAP: 0.0689204, MRR: 0.1441406, NDCG: 0.1034666, F1: 0.0647180, HIT_RATE: 0.4179211, ARHR: 0.1673636, NOVELTY: 0.0048139, AVERAGE_POPULARITY: 0.1032310, DIVERSITY_MEAN_INTER_LIST: 0.9871539, DIVERSITY_HERFINDAHL: 0.9986980, COVERAGE_ITEM: 0.4341713, COVERAGE_ITEM_CORRECT: 0.0515958, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2166855, DIVERSITY_GINI: 0.1385832, SHANNON_ENTROPY: 11.5615757, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.5785428452722534, 'b': 0.1293522049892685, 'c': 0.7984920817838715, 'normalize': True} - results: ROC_AUC: 0.1973063, PRECISION: 0.0430385, PRECISION_RECALL_MIN_DEN: 0.1551957, RECALL: 0.1507562, MAP: 0.0712140, MRR: 0.1460536, NDCG: 0.1071838, F1: 0.0669606, HIT_RATE: 0.4303847, ARHR: 0.1701073, NOVELTY: 0.0048261, AVERAGE_POPULARITY: 0.1016878, DIVERSITY_MEAN_INTER_LIST: 0.9862085, DIVERSITY_HERFINDAHL: 0.9986034, COVERAGE_ITEM: 0.4535361, COVERAGE_ITEM_CORRECT: 0.0544832, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220461, DIVERSITY_GINI: 0.1503920, SHANNON_ENTROPY: 11.6215195, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.4410382898681865, 'b': 0.8734616250407532, 'c': 0.5353742611782084, 'normalize': False} - results: ROC_AUC: 0.1963493, PRECISION: 0.0427727, PRECISION_RECALL_MIN_DEN: 0.1547263, RECALL: 0.1503522, MAP: 0.0705444, MRR: 0.1441160, NDCG: 0.1063912, F1: 0.0665985, HIT_RATE: 0.4277275, ARHR: 0.1677641, NOVELTY: 0.0048343, AVERAGE_POPULARITY: 0.1013161, DIVERSITY_MEAN_INTER_LIST: 0.9857191, DIVERSITY_HERFINDAHL: 0.9985545, COVERAGE_ITEM: 0.4547988, COVERAGE_ITEM_CORRECT: 0.0544139, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217944, DIVERSITY_GINI: 0.1528423, SHANNON_ENTROPY: 11.6334693, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9806322478354573, 'b': 0.6652364373552001, 'c': 0.5363700525161254, 'normalize': False} - results: ROC_AUC: 0.1969274, PRECISION: 0.0430625, PRECISION_RECALL_MIN_DEN: 0.1554849, RECALL: 0.1510373, MAP: 0.0711171, MRR: 0.1455554, NDCG: 0.1071334, F1: 0.0670171, HIT_RATE: 0.4306252, ARHR: 0.1694747, NOVELTY: 0.0048312, AVERAGE_POPULARITY: 0.1012055, DIVERSITY_MEAN_INTER_LIST: 0.9858863, DIVERSITY_HERFINDAHL: 0.9985712, COVERAGE_ITEM: 0.4576092, COVERAGE_ITEM_CORRECT: 0.0547680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2223984, DIVERSITY_GINI: 0.1532011, SHANNON_ENTROPY: 11.6342684, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.6576798042693243, 'b': 0.75918793146889, 'c': 0.5449860179399706, 'normalize': False} - results: ROC_AUC: 0.1967230, PRECISION: 0.0428438, PRECISION_RECALL_MIN_DEN: 0.1547444, RECALL: 0.1503375, MAP: 0.0707482, MRR: 0.1447187, NDCG: 0.1066059, F1: 0.0666830, HIT_RATE: 0.4284379, ARHR: 0.1684782, NOVELTY: 0.0048329, AVERAGE_POPULARITY: 0.1012487, DIVERSITY_MEAN_INTER_LIST: 0.9857882, DIVERSITY_HERFINDAHL: 0.9985614, COVERAGE_ITEM: 0.4559461, COVERAGE_ITEM_CORRECT: 0.0544601, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2218951, DIVERSITY_GINI: 0.1530340, SHANNON_ENTROPY: 11.6342075, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4911178728990476, 'b': 0.21279748119185954, 'c': 0.13373668278014908, 'normalize': False} - results: ROC_AUC: 0.1975374, PRECISION: 0.0427657, PRECISION_RECALL_MIN_DEN: 0.1541574, RECALL: 0.1497408, MAP: 0.0711464, MRR: 0.1460403, NDCG: 0.1068631, F1: 0.0665300, HIT_RATE: 0.4276570, ARHR: 0.1699716, NOVELTY: 0.0048279, AVERAGE_POPULARITY: 0.1009620, DIVERSITY_MEAN_INTER_LIST: 0.9861656, DIVERSITY_HERFINDAHL: 0.9985991, COVERAGE_ITEM: 0.4586949, COVERAGE_ITEM_CORRECT: 0.0541136, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211401, DIVERSITY_GINI: 0.1528110, SHANNON_ENTROPY: 11.6338147, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.6460775906579328, 'b': 0.7253011457279608, 'c': 0.4177977798813153, 'normalize': True} - results: ROC_AUC: 0.1921910, PRECISION: 0.0415452, PRECISION_RECALL_MIN_DEN: 0.1469310, RECALL: 0.1424318, MAP: 0.0686632, MRR: 0.1438651, NDCG: 0.1029957, F1: 0.0643264, HIT_RATE: 0.4154517, ARHR: 0.1669659, NOVELTY: 0.0048162, AVERAGE_POPULARITY: 0.1024543, DIVERSITY_MEAN_INTER_LIST: 0.9873574, DIVERSITY_HERFINDAHL: 0.9987183, COVERAGE_ITEM: 0.4367969, COVERAGE_ITEM_CORRECT: 0.0512416, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2152259, DIVERSITY_GINI: 0.1396273, SHANNON_ENTROPY: 11.5738263, 
