
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.3549308966433688, 'b': 0.5326690379089946, 'c': 0.1288165226141316, 'normalize': False} - results: ROC_AUC: 0.2004075, PRECISION: 0.0438623, PRECISION_RECALL_MIN_DEN: 0.1572582, RECALL: 0.1526850, MAP: 0.0725692, MRR: 0.1489483, NDCG: 0.1090024, F1: 0.0681471, HIT_RATE: 0.4386227, ARHR: 0.1737640, NOVELTY: 0.0048711, AVERAGE_POPULARITY: 0.0917909, DIVERSITY_MEAN_INTER_LIST: 0.9890688, DIVERSITY_HERFINDAHL: 0.9988894, COVERAGE_ITEM: 0.4829798, COVERAGE_ITEM_CORRECT: 0.0568547, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2254687, DIVERSITY_GINI: 0.1689040, SHANNON_ENTROPY: 11.8614317, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.17457298268739466, 'b': 0.05270823592481823, 'c': 0.6225387160130047, 'normalize': True} - results: ROC_AUC: 0.2023095, PRECISION: 0.0440702, PRECISION_RECALL_MIN_DEN: 0.1587078, RECALL: 0.1541535, MAP: 0.0735662, MRR: 0.1502762, NDCG: 0.1101386, F1: 0.0685442, HIT_RATE: 0.4407015, ARHR: 0.1753962, NOVELTY: 0.0049144, AVERAGE_POPULARITY: 0.0839352, DIVERSITY_MEAN_INTER_LIST: 0.9906384, DIVERSITY_HERFINDAHL: 0.9990463, COVERAGE_ITEM: 0.5057863, COVERAGE_ITEM_CORRECT: 0.0588951, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2266012, DIVERSITY_GINI: 0.1884348, SHANNON_ENTROPY: 12.0790305, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.693972780480738, 'b': 0.2958056067502614, 'c': 0.3270131566701762, 'normalize': False} - results: ROC_AUC: 0.2009780, PRECISION: 0.0439817, PRECISION_RECALL_MIN_DEN: 0.1583101, RECALL: 0.1537428, MAP: 0.0730003, MRR: 0.1492805, NDCG: 0.1095676, F1: 0.0683962, HIT_RATE: 0.4398168, ARHR: 0.1741819, NOVELTY: 0.0048852, AVERAGE_POPULARITY: 0.0892127, DIVERSITY_MEAN_INTER_LIST: 0.9893851, DIVERSITY_HERFINDAHL: 0.9989210, COVERAGE_ITEM: 0.4930972, COVERAGE_ITEM_CORRECT: 0.0577709, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2260224, DIVERSITY_GINI: 0.1766452, SHANNON_ENTROPY: 11.9332334, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8211844503456774, 'b': 0.4544580754667752, 'c': 0.4615328360608576, 'normalize': True} - results: ROC_AUC: 0.1975160, PRECISION: 0.0428982, PRECISION_RECALL_MIN_DEN: 0.1523074, RECALL: 0.1477428, MAP: 0.0710782, MRR: 0.1476324, NDCG: 0.1064988, F1: 0.0664893, HIT_RATE: 0.4289819, ARHR: 0.1718775, NOVELTY: 0.0048505, AVERAGE_POPULARITY: 0.0959301, DIVERSITY_MEAN_INTER_LIST: 0.9887593, DIVERSITY_HERFINDAHL: 0.9988585, COVERAGE_ITEM: 0.4608277, COVERAGE_ITEM_CORRECT: 0.0546910, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2208884, DIVERSITY_GINI: 0.1545442, SHANNON_ENTROPY: 11.7433215, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.6690344341476984, 'b': 0.7618050002039983, 'c': 0.14591754610379729, 'normalize': True} - results: ROC_AUC: 0.1897007, PRECISION: 0.0410579, PRECISION_RECALL_MIN_DEN: 0.1440370, RECALL: 0.1394994, MAP: 0.0675836, MRR: 0.1423230, NDCG: 0.1013076, F1: 0.0634417, HIT_RATE: 0.4105790, ARHR: 0.1652048, NOVELTY: 0.0048264, AVERAGE_POPULARITY: 0.1001689, DIVERSITY_MEAN_INTER_LIST: 0.9881697, DIVERSITY_HERFINDAHL: 0.9987995, COVERAGE_ITEM: 0.4391376, COVERAGE_ITEM_CORRECT: 0.0505101, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2121304, DIVERSITY_GINI: 0.1411688, SHANNON_ENTROPY: 11.6165165, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.615510212130416, 'b': 0.9971709979409874, 'c': 0.13224029771339432, 'normalize': False} - results: ROC_AUC: 0.1989700, PRECISION: 0.0433213, PRECISION_RECALL_MIN_DEN: 0.1550825, RECALL: 0.1505462, MAP: 0.0718505, MRR: 0.1479090, NDCG: 0.1078240, F1: 0.0672813, HIT_RATE: 0.4332130, ARHR: 0.1723597, NOVELTY: 0.0048567, AVERAGE_POPULARITY: 0.0941993, DIVERSITY_MEAN_INTER_LIST: 0.9886108, DIVERSITY_HERFINDAHL: 0.9988436, COVERAGE_ITEM: 0.4734783, COVERAGE_ITEM_CORRECT: 0.0557690, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2231786, DIVERSITY_GINI: 0.1617769, SHANNON_ENTROPY: 11.7870851, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.8680014804455136, 'b': 0.5652014394656162, 'c': 0.8839004307078736, 'normalize': True} - results: ROC_AUC: 0.1994197, PRECISION: 0.0435734, PRECISION_RECALL_MIN_DEN: 0.1549247, RECALL: 0.1503157, MAP: 0.0722261, MRR: 0.1490336, NDCG: 0.1081431, F1: 0.0675612, HIT_RATE: 0.4357340, ARHR: 0.1739336, NOVELTY: 0.0048621, AVERAGE_POPULARITY: 0.0937983, DIVERSITY_MEAN_INTER_LIST: 0.9891732, DIVERSITY_HERFINDAHL: 0.9988998, COVERAGE_ITEM: 0.4694745, COVERAGE_ITEM_CORRECT: 0.0562926, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2233547, DIVERSITY_GINI: 0.1607706, SHANNON_ENTROPY: 11.8095803, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.8499428728888658, 'b': 0.9547372123796157, 'c': 0.5105121743754206, 'normalize': True} - results: ROC_AUC: 0.1939426, PRECISION: 0.0420434, PRECISION_RECALL_MIN_DEN: 0.1479273, RECALL: 0.1433011, MAP: 0.0695523, MRR: 0.1456712, NDCG: 0.1040297, F1: 0.0650114, HIT_RATE: 0.4204343, ARHR: 0.1693808, NOVELTY: 0.0048391, AVERAGE_POPULARITY: 0.0979815, DIVERSITY_MEAN_INTER_LIST: 0.9885602, DIVERSITY_HERFINDAHL: 0.9988386, COVERAGE_ITEM: 0.4495476, COVERAGE_ITEM_CORRECT: 0.0528354, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2165345, DIVERSITY_GINI: 0.1476357, SHANNON_ENTROPY: 11.6840963, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.8292414183957896, 'b': 0.6817603937033261, 'c': 0.45614821596792643, 'normalize': True} - results: ROC_AUC: 0.1951572, PRECISION: 0.0424852, PRECISION_RECALL_MIN_DEN: 0.1499818, RECALL: 0.1453533, MAP: 0.0701089, MRR: 0.1464525, NDCG: 0.1050357, F1: 0.0657508, HIT_RATE: 0.4248524, ARHR: 0.1704335, NOVELTY: 0.0048431, AVERAGE_POPULARITY: 0.0972938, DIVERSITY_MEAN_INTER_LIST: 0.9886102, DIVERSITY_HERFINDAHL: 0.9988436, COVERAGE_ITEM: 0.4535746, COVERAGE_ITEM_CORRECT: 0.0537440, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2186234, DIVERSITY_GINI: 0.1500273, SHANNON_ENTROPY: 11.7036644, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.8746287537742782, 'b': 0.8341664544114725, 'c': 0.5522219669639926, 'normalize': False} - results: ROC_AUC: 0.2016499, PRECISION: 0.0439996, PRECISION_RECALL_MIN_DEN: 0.1583272, RECALL: 0.1537522, MAP: 0.0732455, MRR: 0.1497194, NDCG: 0.1097790, F1: 0.0684189, HIT_RATE: 0.4399957, ARHR: 0.1746863, NOVELTY: 0.0048907, AVERAGE_POPULARITY: 0.0882615, DIVERSITY_MEAN_INTER_LIST: 0.9896720, DIVERSITY_HERFINDAHL: 0.9989497, COVERAGE_ITEM: 0.4952531, COVERAGE_ITEM_CORRECT: 0.0578864, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2262741, DIVERSITY_GINI: 0.1786012, SHANNON_ENTROPY: 11.9608304, 
