
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.29895788661098016, 'b': 0.6931595977698508, 'c': 0.2679712327347458, 'normalize': False} - results: ROC_AUC: 0.1960860, PRECISION: 0.0426277, PRECISION_RECALL_MIN_DEN: 0.1538621, RECALL: 0.1494155, MAP: 0.0703314, MRR: 0.1451164, NDCG: 0.1060340, F1: 0.0663310, HIT_RATE: 0.4262773, ARHR: 0.1689164, NOVELTY: 0.0049553, AVERAGE_POPULARITY: 0.0769282, DIVERSITY_MEAN_INTER_LIST: 0.9920128, DIVERSITY_HERFINDAHL: 0.9991838, COVERAGE_ITEM: 0.5311877, COVERAGE_ITEM_CORRECT: 0.0578094, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2205109, DIVERSITY_GINI: 0.2085068, SHANNON_ENTROPY: 12.2786996, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.1266388798542303, 'b': 0.8082667030137557, 'c': 0.45955933419117734, 'normalize': True} - results: ROC_AUC: 0.1904165, PRECISION: 0.0412989, PRECISION_RECALL_MIN_DEN: 0.1467895, RECALL: 0.1425538, MAP: 0.0684850, MRR: 0.1419260, NDCG: 0.1027753, F1: 0.0640417, HIT_RATE: 0.4129890, ARHR: 0.1648923, NOVELTY: 0.0048028, AVERAGE_POPULARITY: 0.1142319, DIVERSITY_MEAN_INTER_LIST: 0.9828664, DIVERSITY_HERFINDAHL: 0.9982693, COVERAGE_ITEM: 0.4535823, COVERAGE_ITEM_CORRECT: 0.0498171, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2143199, DIVERSITY_GINI: 0.1461659, SHANNON_ENTROPY: 11.4632074, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.17219655766630274, 'b': 0.28154712636882656, 'c': 0.6986064919251999, 'normalize': False} - results: ROC_AUC: 0.1971115, PRECISION: 0.0427302, PRECISION_RECALL_MIN_DEN: 0.1547351, RECALL: 0.1503076, MAP: 0.0708669, MRR: 0.1459734, NDCG: 0.1066961, F1: 0.0665429, HIT_RATE: 0.4273019, ARHR: 0.1697587, NOVELTY: 0.0049671, AVERAGE_POPULARITY: 0.0758845, DIVERSITY_MEAN_INTER_LIST: 0.9922545, DIVERSITY_HERFINDAHL: 0.9992079, COVERAGE_ITEM: 0.5358999, COVERAGE_ITEM_CORRECT: 0.0581405, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2212156, DIVERSITY_GINI: 0.2128349, SHANNON_ENTROPY: 12.3214823, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.7761109239068831, 'b': 0.8326177366984925, 'c': 0.5886093464536262, 'normalize': True} - results: ROC_AUC: 0.1991401, PRECISION: 0.0432009, PRECISION_RECALL_MIN_DEN: 0.1557308, RECALL: 0.1513146, MAP: 0.0723106, MRR: 0.1480468, NDCG: 0.1082642, F1: 0.0672107, HIT_RATE: 0.4320094, ARHR: 0.1727212, NOVELTY: 0.0049333, AVERAGE_POPULARITY: 0.0862031, DIVERSITY_MEAN_INTER_LIST: 0.9902818, DIVERSITY_HERFINDAHL: 0.9990107, COVERAGE_ITEM: 0.5242810, COVERAGE_ITEM_CORRECT: 0.0575168, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2223229, DIVERSITY_GINI: 0.1997229, SHANNON_ENTROPY: 12.1446346, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.8075993432559161, 'b': 0.415472646835667, 'c': 0.3586597325305115, 'normalize': False} - results: ROC_AUC: 0.1509835, PRECISION: 0.0324604, PRECISION_RECALL_MIN_DEN: 0.1173391, RECALL: 0.1138129, MAP: 0.0511654, MRR: 0.1081727, NDCG: 0.0788710, F1: 0.0505106, HIT_RATE: 0.3246038, ARHR: 0.1238502, NOVELTY: 0.0051887, AVERAGE_POPULARITY: 0.0348057, DIVERSITY_MEAN_INTER_LIST: 0.9972506, DIVERSITY_HERFINDAHL: 0.9997074, COVERAGE_ITEM: 0.5937940, COVERAGE_ITEM_CORRECT: 0.0525197, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1752863, DIVERSITY_GINI: 0.2769966, SHANNON_ENTROPY: 12.9954414, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.37305867117935937, 'b': 0.6177524757418285, 'c': 0.3999221799958168, 'normalize': False} - results: ROC_AUC: 0.1906582, PRECISION: 0.0413732, PRECISION_RECALL_MIN_DEN: 0.1490546, RECALL: 0.1447128, MAP: 0.0677950, MRR: 0.1405967, NDCG: 0.1024984, F1: 0.0643489, HIT_RATE: 0.4137320, ARHR: 0.1634234, NOVELTY: 0.0050055, AVERAGE_POPULARITY: 0.0677180, DIVERSITY_MEAN_INTER_LIST: 0.9936595, DIVERSITY_HERFINDAHL: 0.9993484, COVERAGE_ITEM: 0.5498826, COVERAGE_ITEM_CORRECT: 0.0575322, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2147729, DIVERSITY_GINI: 0.2266762, SHANNON_ENTROPY: 12.4783292, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.6568524109406984, 'b': 0.5655385351955986, 'c': 0.10461246111994052, 'normalize': False} - results: ROC_AUC: 0.1673161, PRECISION: 0.0360831, PRECISION_RECALL_MIN_DEN: 0.1291084, RECALL: 0.1251431, MAP: 0.0574736, MRR: 0.1216311, NDCG: 0.0879162, F1: 0.0560145, HIT_RATE: 0.3608314, ARHR: 0.1402067, NOVELTY: 0.0051297, AVERAGE_POPULARITY: 0.0449314, DIVERSITY_MEAN_INTER_LIST: 0.9965096, DIVERSITY_HERFINDAHL: 0.9996334, COVERAGE_ITEM: 0.5831222, COVERAGE_ITEM_CORRECT: 0.0548219, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1911665, DIVERSITY_GINI: 0.2638319, SHANNON_ENTROPY: 12.8671657, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.0042620707402926125, 'b': 0.31857861961713235, 'c': 0.683886714044395, 'normalize': False} - results: ROC_AUC: 0.1929676, PRECISION: 0.0413602, PRECISION_RECALL_MIN_DEN: 0.1484083, RECALL: 0.1441933, MAP: 0.0693565, MRR: 0.1438238, NDCG: 0.1039882, F1: 0.0642792, HIT_RATE: 0.4136015, ARHR: 0.1665609, NOVELTY: 0.0047625, AVERAGE_POPULARITY: 0.1164856, DIVERSITY_MEAN_INTER_LIST: 0.9818963, DIVERSITY_HERFINDAHL: 0.9981723, COVERAGE_ITEM: 0.4360269, COVERAGE_ITEM_CORRECT: 0.0501020, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2156034, DIVERSITY_GINI: 0.1336137, SHANNON_ENTROPY: 11.3166761, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'a': 0.25763320510312543, 'b': 0.7819488224473146, 'c': 0.9799033939853233, 'normalize': False} - results: ROC_AUC: 0.2007165, PRECISION: 0.0438681, PRECISION_RECALL_MIN_DEN: 0.1580705, RECALL: 0.1535612, MAP: 0.0730142, MRR: 0.1494335, NDCG: 0.1095455, F1: 0.0682412, HIT_RATE: 0.4386807, ARHR: 0.1742944, NOVELTY: 0.0048978, AVERAGE_POPULARITY: 0.0887466, DIVERSITY_MEAN_INTER_LIST: 0.9895416, DIVERSITY_HERFINDAHL: 0.9989367, COVERAGE_ITEM: 0.5055476, COVERAGE_ITEM_CORRECT: 0.0578787, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2257707, DIVERSITY_GINI: 0.1859086, SHANNON_ENTROPY: 12.0144399, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.9107320919611793, 'b': 0.7253737925109236, 'c': 0.9903173622978374, 'normalize': True} - results: ROC_AUC: 0.1981757, PRECISION: 0.0433108, PRECISION_RECALL_MIN_DEN: 0.1550956, RECALL: 0.1506747, MAP: 0.0718707, MRR: 0.1473776, NDCG: 0.1078237, F1: 0.0672796, HIT_RATE: 0.4331077, ARHR: 0.1719869, NOVELTY: 0.0049152, AVERAGE_POPULARITY: 0.0920581, DIVERSITY_MEAN_INTER_LIST: 0.9889655, DIVERSITY_HERFINDAHL: 0.9988791, COVERAGE_ITEM: 0.5124389, COVERAGE_ITEM_CORRECT: 0.0565852, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2227759, DIVERSITY_GINI: 0.1902540, SHANNON_ENTROPY: 12.0279126, 
