
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.13361070288788937, 'b': 0.7472224116186396, 'c': 0.20353395516502032, 'normalize': True} - results: ROC_AUC: 0.1992654, PRECISION: 0.0437693, PRECISION_RECALL_MIN_DEN: 0.1573260, RECALL: 0.1528190, MAP: 0.0725514, MRR: 0.1487108, NDCG: 0.1089695, F1: 0.0680476, HIT_RATE: 0.4376927, ARHR: 0.1735095, NOVELTY: 0.0048318, AVERAGE_POPULARITY: 0.0996021, DIVERSITY_MEAN_INTER_LIST: 0.9870066, DIVERSITY_HERFINDAHL: 0.9986832, COVERAGE_ITEM: 0.4670645, COVERAGE_ITEM_CORRECT: 0.0559615, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2245124, DIVERSITY_GINI: 0.1565921, SHANNON_ENTROPY: 11.6864975, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.31460728953577083, 'b': 0.591947988677866, 'c': 0.739068943985881, 'normalize': False} - results: ROC_AUC: 0.2007402, PRECISION: 0.0438191, PRECISION_RECALL_MIN_DEN: 0.1570079, RECALL: 0.1524830, MAP: 0.0728977, MRR: 0.1495992, NDCG: 0.1091977, F1: 0.0680744, HIT_RATE: 0.4381907, ARHR: 0.1745077, NOVELTY: 0.0048500, AVERAGE_POPULARITY: 0.0961908, DIVERSITY_MEAN_INTER_LIST: 0.9882826, DIVERSITY_HERFINDAHL: 0.9988108, COVERAGE_ITEM: 0.4605967, COVERAGE_ITEM_CORRECT: 0.0564851, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248144, DIVERSITY_GINI: 0.1539247, SHANNON_ENTROPY: 11.7140182, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.5704038647256225, 'b': 0.7535347390033998, 'c': 0.8021868181979922, 'normalize': True} - results: ROC_AUC: 0.1964394, PRECISION: 0.0429445, PRECISION_RECALL_MIN_DEN: 0.1550543, RECALL: 0.1506433, MAP: 0.0712271, MRR: 0.1463340, NDCG: 0.1071155, F1: 0.0668356, HIT_RATE: 0.4294446, ARHR: 0.1703373, NOVELTY: 0.0049306, AVERAGE_POPULARITY: 0.0808691, DIVERSITY_MEAN_INTER_LIST: 0.9915738, DIVERSITY_HERFINDAHL: 0.9991399, COVERAGE_ITEM: 0.5094052, COVERAGE_ITEM_CORRECT: 0.0580019, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2209639, DIVERSITY_GINI: 0.1911708, SHANNON_ENTROPY: 12.1375488, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.5747388783937318, 'b': 0.6911398377044284, 'c': 0.09179176792740941, 'normalize': True} - results: ROC_AUC: 0.1802402, PRECISION: 0.0388493, PRECISION_RECALL_MIN_DEN: 0.1400519, RECALL: 0.1359598, MAP: 0.0633319, MRR: 0.1321303, NDCG: 0.0960685, F1: 0.0604302, HIT_RATE: 0.3884925, ARHR: 0.1529359, NOVELTY: 0.0050584, AVERAGE_POPULARITY: 0.0575311, DIVERSITY_MEAN_INTER_LIST: 0.9952066, DIVERSITY_HERFINDAHL: 0.9995031, COVERAGE_ITEM: 0.5653975, COVERAGE_ITEM_CORRECT: 0.0562541, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035988, DIVERSITY_GINI: 0.2437804, SHANNON_ENTROPY: 12.6670660, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9843586255208995, 'b': 0.5720753000630581, 'c': 0.5472979998490034, 'normalize': False} - results: ROC_AUC: 0.1841521, PRECISION: 0.0393086, PRECISION_RECALL_MIN_DEN: 0.1442435, RECALL: 0.1402411, MAP: 0.0657794, MRR: 0.1348289, NDCG: 0.0991994, F1: 0.0614054, HIT_RATE: 0.3930864, ARHR: 0.1556486, NOVELTY: 0.0050400, AVERAGE_POPULARITY: 0.0604304, DIVERSITY_MEAN_INTER_LIST: 0.9948474, DIVERSITY_HERFINDAHL: 0.9994672, COVERAGE_ITEM: 0.5509605, COVERAGE_ITEM_CORRECT: 0.0565929, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2064930, DIVERSITY_GINI: 0.2311719, SHANNON_ENTROPY: 12.5730499, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9999285207444569, 'b': 0.12786603019624057, 'c': 0.899294913646726, 'normalize': True} - results: ROC_AUC: 0.1725398, PRECISION: 0.0364684, PRECISION_RECALL_MIN_DEN: 0.1365109, RECALL: 0.1330320, MAP: 0.0614238, MRR: 0.1252865, NDCG: 0.0931201, F1: 0.0572433, HIT_RATE: 0.3646841, ARHR: 0.1435438, NOVELTY: 0.0050785, AVERAGE_POPULARITY: 0.0539789, DIVERSITY_MEAN_INTER_LIST: 0.9957128, DIVERSITY_HERFINDAHL: 0.9995537, COVERAGE_ITEM: 0.5587526, COVERAGE_ITEM_CORRECT: 0.0548989, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955203, DIVERSITY_GINI: 0.2411519, SHANNON_ENTROPY: 12.6898998, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.7705638027844387, 'b': 0.7192069600485945, 'c': 0.14873305648426785, 'normalize': False} - results: ROC_AUC: 0.1799559, PRECISION: 0.0386870, PRECISION_RECALL_MIN_DEN: 0.1398988, RECALL: 0.1357497, MAP: 0.0634108, MRR: 0.1319026, NDCG: 0.0960349, F1: 0.0602134, HIT_RATE: 0.3868695, ARHR: 0.1524909, NOVELTY: 0.0050687, AVERAGE_POPULARITY: 0.0556885, DIVERSITY_MEAN_INTER_LIST: 0.9954062, DIVERSITY_HERFINDAHL: 0.9995230, COVERAGE_ITEM: 0.5644504, COVERAGE_ITEM_CORRECT: 0.0562079, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2029948, DIVERSITY_GINI: 0.2440736, SHANNON_ENTROPY: 12.6829938, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.0754615756348347, 'b': 0.1406582132594009, 'c': 0.002269954378786188, 'normalize': False} - results: ROC_AUC: 0.1909255, PRECISION: 0.0416172, PRECISION_RECALL_MIN_DEN: 0.1500593, RECALL: 0.1456764, MAP: 0.0678469, MRR: 0.1407655, NDCG: 0.1027907, F1: 0.0647392, HIT_RATE: 0.4161722, ARHR: 0.1636562, NOVELTY: 0.0049961, AVERAGE_POPULARITY: 0.0689411, DIVERSITY_MEAN_INTER_LIST: 0.9934357, DIVERSITY_HERFINDAHL: 0.9993260, COVERAGE_ITEM: 0.5457632, COVERAGE_ITEM_CORRECT: 0.0574552, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2162577, DIVERSITY_GINI: 0.2228986, SHANNON_ENTROPY: 12.4426409, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.1949158850760117, 'b': 0.5036225416948339, 'c': 0.5307775542275734, 'normalize': False} - results: ROC_AUC: 0.2001223, PRECISION: 0.0436744, PRECISION_RECALL_MIN_DEN: 0.1562902, RECALL: 0.1517826, MAP: 0.0725864, MRR: 0.1488695, NDCG: 0.1087502, F1: 0.0678300, HIT_RATE: 0.4367440, ARHR: 0.1737574, NOVELTY: 0.0048319, AVERAGE_POPULARITY: 0.0997785, DIVERSITY_MEAN_INTER_LIST: 0.9873718, DIVERSITY_HERFINDAHL: 0.9987197, COVERAGE_ITEM: 0.4507103, COVERAGE_ITEM_CORRECT: 0.0555765, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2242356, DIVERSITY_GINI: 0.1470316, SHANNON_ENTROPY: 11.6216952, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.18915441055824528, 'b': 0.23291654838348802, 'c': 0.7779179384828256, 'normalize': False} - results: ROC_AUC: 0.1959887, PRECISION: 0.0430561, PRECISION_RECALL_MIN_DEN: 0.1527945, RECALL: 0.1482498, MAP: 0.0710143, MRR: 0.1467415, NDCG: 0.1064796, F1: 0.0667297, HIT_RATE: 0.4305615, ARHR: 0.1711980, NOVELTY: 0.0048290, AVERAGE_POPULARITY: 0.1003828, DIVERSITY_MEAN_INTER_LIST: 0.9874626, DIVERSITY_HERFINDAHL: 0.9987288, COVERAGE_ITEM: 0.4409240, COVERAGE_ITEM_CORRECT: 0.0546756, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2208884, DIVERSITY_GINI: 0.1406791, SHANNON_ENTROPY: 11.5691104, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.10186659977205384, 'b': 0.03177656830452314, 'c': 0.15314017922691117, 'normalize': False} - results: ROC_AUC: 0.1959777, PRECISION: 0.0421610, PRECISION_RECALL_MIN_DEN: 0.1540737, RECALL: 0.1499199, MAP: 0.0715368, MRR: 0.1457736, NDCG: 0.1071179, F1: 0.0658132, HIT_RATE: 0.4216102, ARHR: 0.1689341, NOVELTY: 0.0049483, AVERAGE_POPULARITY: 0.0775222, DIVERSITY_MEAN_INTER_LIST: 0.9922929, DIVERSITY_HERFINDAHL: 0.9992118, COVERAGE_ITEM: 0.5047700, COVERAGE_ITEM_CORRECT: 0.0577940, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185982, DIVERSITY_GINI: 0.1899950, SHANNON_ENTROPY: 12.1688998, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.47034231483017186, 'b': 0.3104541961054473, 'c': 0.42977666689164096, 'normalize': False} - results: ROC_AUC: 0.1930133, PRECISION: 0.0415810, PRECISION_RECALL_MIN_DEN: 0.1517420, RECALL: 0.1475205, MAP: 0.0700142, MRR: 0.1431563, NDCG: 0.1050533, F1: 0.0648756, HIT_RATE: 0.4158103, ARHR: 0.1659860, NOVELTY: 0.0049801, AVERAGE_POPULARITY: 0.0714400, DIVERSITY_MEAN_INTER_LIST: 0.9932509, DIVERSITY_HERFINDAHL: 0.9993075, COVERAGE_ITEM: 0.5257825, COVERAGE_ITEM_CORRECT: 0.0578556, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160060, DIVERSITY_GINI: 0.2074332, SHANNON_ENTROPY: 12.3346820, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'a': 0.42506189638073666, 'b': 0.9584691742066013, 'c': 0.8874634690430384, 'normalize': False} - results: ROC_AUC: 0.2012170, PRECISION: 0.0439887, PRECISION_RECALL_MIN_DEN: 0.1581974, RECALL: 0.1536771, MAP: 0.0731195, MRR: 0.1498088, NDCG: 0.1096623, F1: 0.0683980, HIT_RATE: 0.4398872, ARHR: 0.1747725, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.0963223, DIVERSITY_MEAN_INTER_LIST: 0.9881753, DIVERSITY_HERFINDAHL: 0.9988001, COVERAGE_ITEM: 0.4628835, COVERAGE_ITEM_CORRECT: 0.0566622, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259721, DIVERSITY_GINI: 0.1553131, SHANNON_ENTROPY: 11.7214709, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'a': 0.44739082339712066, 'b': 0.4781358409901739, 'c': 0.6328096850810054, 'normalize': False} - results: ROC_AUC: 0.1999804, PRECISION: 0.0435112, PRECISION_RECALL_MIN_DEN: 0.1575442, RECALL: 0.1531508, MAP: 0.0729984, MRR: 0.1493192, NDCG: 0.1093778, F1: 0.0677686, HIT_RATE: 0.4351125, ARHR: 0.1737336, NOVELTY: 0.0049116, AVERAGE_POPULARITY: 0.0843273, DIVERSITY_MEAN_INTER_LIST: 0.9909055, DIVERSITY_HERFINDAHL: 0.9990730, COVERAGE_ITEM: 0.4925274, COVERAGE_ITEM_CORRECT: 0.0581405, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239084, DIVERSITY_GINI: 0.1790181, SHANNON_ENTROPY: 12.0232353, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'a': 0.3673474849913035, 'b': 0.7812733816854486, 'c': 0.5533007982506128, 'normalize': True} - results: ROC_AUC: 0.1990670, PRECISION: 0.0438292, PRECISION_RECALL_MIN_DEN: 0.1579352, RECALL: 0.1534084, MAP: 0.0722873, MRR: 0.1481439, NDCG: 0.1088168, F1: 0.0681791, HIT_RATE: 0.4382924, ARHR: 0.1729616, NOVELTY: 0.0048929, AVERAGE_POPULARITY: 0.0877634, DIVERSITY_MEAN_INTER_LIST: 0.9900777, DIVERSITY_HERFINDAHL: 0.9989903, COVERAGE_ITEM: 0.4937363, COVERAGE_ITEM_CORRECT: 0.0579634, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2246131, DIVERSITY_GINI: 0.1776990, SHANNON_ENTROPY: 11.9723814, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'a': 0.14753321935038247, 'b': 0.16843845709176833, 'c': 0.6448814721053034, 'normalize': False} - results: ROC_AUC: 0.1952679, PRECISION: 0.0429221, PRECISION_RECALL_MIN_DEN: 0.1522568, RECALL: 0.1477162, MAP: 0.0707304, MRR: 0.1462408, NDCG: 0.1060792, F1: 0.0665138, HIT_RATE: 0.4292211, ARHR: 0.1706298, NOVELTY: 0.0048270, AVERAGE_POPULARITY: 0.1007902, DIVERSITY_MEAN_INTER_LIST: 0.9873791, DIVERSITY_HERFINDAHL: 0.9987205, COVERAGE_ITEM: 0.4387911, COVERAGE_ITEM_CORRECT: 0.0543523, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2202341, DIVERSITY_GINI: 0.1392427, SHANNON_ENTROPY: 11.5536570, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'a': 0.22778971159649503, 'b': 0.019314220811953223, 'c': 0.21509823661221988, 'normalize': False} - results: ROC_AUC: 0.1828100, PRECISION: 0.0385597, PRECISION_RECALL_MIN_DEN: 0.1441460, RECALL: 0.1405254, MAP: 0.0657655, MRR: 0.1335676, NDCG: 0.0991104, F1: 0.0605138, HIT_RATE: 0.3855975, ARHR: 0.1533807, NOVELTY: 0.0050335, AVERAGE_POPULARITY: 0.0616524, DIVERSITY_MEAN_INTER_LIST: 0.9947413, DIVERSITY_HERFINDAHL: 0.9994566, COVERAGE_ITEM: 0.5415438, COVERAGE_ITEM_CORRECT: 0.0561771, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2052095, DIVERSITY_GINI: 0.2239162, SHANNON_ENTROPY: 12.5255870, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'a': 0.0745988963176737, 'b': 0.05464018500422731, 'c': 0.37600449236350486, 'normalize': True} - results: ROC_AUC: 0.1959205, PRECISION: 0.0427835, PRECISION_RECALL_MIN_DEN: 0.1531633, RECALL: 0.1487011, MAP: 0.0712603, MRR: 0.1465855, NDCG: 0.1066559, F1: 0.0664465, HIT_RATE: 0.4278347, ARHR: 0.1708499, NOVELTY: 0.0048476, AVERAGE_POPULARITY: 0.0966568, DIVERSITY_MEAN_INTER_LIST: 0.9884362, DIVERSITY_HERFINDAHL: 0.9988262, COVERAGE_ITEM: 0.4546526, COVERAGE_ITEM_CORRECT: 0.0550298, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2199069, DIVERSITY_GINI: 0.1493040, SHANNON_ENTROPY: 11.6772570, 
