
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.5510752470757934, 'b': 0.9712484705096841, 'c': 0.059275882109768877, 'normalize': False} - results: ROC_AUC: 0.1947949, PRECISION: 0.0426592, PRECISION_RECALL_MIN_DEN: 0.1539131, RECALL: 0.1494645, MAP: 0.0699340, MRR: 0.1440223, NDCG: 0.1056362, F1: 0.0663737, HIT_RATE: 0.4265922, ARHR: 0.1677290, NOVELTY: 0.0049766, AVERAGE_POPULARITY: 0.0716645, DIVERSITY_MEAN_INTER_LIST: 0.9930214, DIVERSITY_HERFINDAHL: 0.9992846, COVERAGE_ITEM: 0.5353378, COVERAGE_ITEM_CORRECT: 0.0587719, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2207374, DIVERSITY_GINI: 0.2130463, SHANNON_ENTROPY: 12.3549967, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.33235740620950566, 'b': 0.32747527502524204, 'c': 0.5321901745304057, 'normalize': True} - results: ROC_AUC: 0.1926545, PRECISION: 0.0423907, PRECISION_RECALL_MIN_DEN: 0.1517824, RECALL: 0.1472685, MAP: 0.0690752, MRR: 0.1428830, NDCG: 0.1043404, F1: 0.0658313, HIT_RATE: 0.4239067, ARHR: 0.1666035, NOVELTY: 0.0049742, AVERAGE_POPULARITY: 0.0726286, DIVERSITY_MEAN_INTER_LIST: 0.9928613, DIVERSITY_HERFINDAHL: 0.9992686, COVERAGE_ITEM: 0.5380096, COVERAGE_ITEM_CORRECT: 0.0582329, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2182962, DIVERSITY_GINI: 0.2146216, SHANNON_ENTROPY: 12.3559116, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.7365858694136785, 'b': 0.7747856560235787, 'c': 0.6194453172359211, 'normalize': True} - results: ROC_AUC: 0.1866495, PRECISION: 0.0410126, PRECISION_RECALL_MIN_DEN: 0.1463339, RECALL: 0.1419445, MAP: 0.0661600, MRR: 0.1378139, NDCG: 0.1003563, F1: 0.0636377, HIT_RATE: 0.4101259, ARHR: 0.1603361, NOVELTY: 0.0050238, AVERAGE_POPULARITY: 0.0631547, DIVERSITY_MEAN_INTER_LIST: 0.9944219, DIVERSITY_HERFINDAHL: 0.9994246, COVERAGE_ITEM: 0.5564504, COVERAGE_ITEM_CORRECT: 0.0577940, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2120045, DIVERSITY_GINI: 0.2326218, SHANNON_ENTROPY: 12.5516401, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.71047025896431, 'b': 0.8798259326247043, 'c': 0.16614695291127482, 'normalize': True} - results: ROC_AUC: 0.1803438, PRECISION: 0.0393584, PRECISION_RECALL_MIN_DEN: 0.1411086, RECALL: 0.1368999, MAP: 0.0634441, MRR: 0.1324359, NDCG: 0.0964573, F1: 0.0611386, HIT_RATE: 0.3935843, ARHR: 0.1536748, NOVELTY: 0.0050668, AVERAGE_POPULARITY: 0.0551070, DIVERSITY_MEAN_INTER_LIST: 0.9955177, DIVERSITY_HERFINDAHL: 0.9995342, COVERAGE_ITEM: 0.5688701, COVERAGE_ITEM_CORRECT: 0.0572628, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2050837, DIVERSITY_GINI: 0.2464432, SHANNON_ENTROPY: 12.6987924, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.8967595036336167, 'b': 0.7742818385923568, 'c': 0.12793872097293438, 'normalize': True} - results: ROC_AUC: 0.1682966, PRECISION: 0.0366163, PRECISION_RECALL_MIN_DEN: 0.1314059, RECALL: 0.1274230, MAP: 0.0583113, MRR: 0.1222330, NDCG: 0.0891813, F1: 0.0568852, HIT_RATE: 0.3661634, ARHR: 0.1413798, NOVELTY: 0.0051213, AVERAGE_POPULARITY: 0.0453531, DIVERSITY_MEAN_INTER_LIST: 0.9965368, DIVERSITY_HERFINDAHL: 0.9996361, COVERAGE_ITEM: 0.5821367, COVERAGE_ITEM_CORRECT: 0.0558460, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1930540, DIVERSITY_GINI: 0.2623282, SHANNON_ENTROPY: 12.8588266, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9856266337336737, 'b': 0.288044904441435, 'c': 0.04783707287517193, 'normalize': True} - results: ROC_AUC: 0.1334110, PRECISION: 0.0286581, PRECISION_RECALL_MIN_DEN: 0.1034762, RECALL: 0.1003628, MAP: 0.0444414, MRR: 0.0944128, NDCG: 0.0690021, F1: 0.0445817, HIT_RATE: 0.2865807, ARHR: 0.1075576, NOVELTY: 0.0052362, AVERAGE_POPULARITY: 0.0259977, DIVERSITY_MEAN_INTER_LIST: 0.9976498, DIVERSITY_HERFINDAHL: 0.9997474, COVERAGE_ITEM: 0.6000770, COVERAGE_ITEM_CORRECT: 0.0502868, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1570152, DIVERSITY_GINI: 0.2856432, SHANNON_ENTROPY: 13.0757977, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.4464781920904046, 'b': 0.8590158988239384, 'c': 0.08716944551066376, 'normalize': True} - results: ROC_AUC: 0.1890184, PRECISION: 0.0414828, PRECISION_RECALL_MIN_DEN: 0.1487054, RECALL: 0.1442806, MAP: 0.0671475, MRR: 0.1393622, NDCG: 0.1017985, F1: 0.0644383, HIT_RATE: 0.4148284, ARHR: 0.1623597, NOVELTY: 0.0050143, AVERAGE_POPULARITY: 0.0643894, DIVERSITY_MEAN_INTER_LIST: 0.9942580, DIVERSITY_HERFINDAHL: 0.9994082, COVERAGE_ITEM: 0.5523080, COVERAGE_ITEM_CORRECT: 0.0584254, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2142444, DIVERSITY_GINI: 0.2282990, SHANNON_ENTROPY: 12.5144390, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.03735224322379172, 'b': 0.0500054013941177, 'c': 0.25492225784440153, 'normalize': False} - results: ROC_AUC: 0.1988426, PRECISION: 0.0432709, PRECISION_RECALL_MIN_DEN: 0.1554432, RECALL: 0.1509610, MAP: 0.0718608, MRR: 0.1475521, NDCG: 0.1079076, F1: 0.0672614, HIT_RATE: 0.4327087, ARHR: 0.1718535, NOVELTY: 0.0048367, AVERAGE_POPULARITY: 0.0987402, DIVERSITY_MEAN_INTER_LIST: 0.9869547, DIVERSITY_HERFINDAHL: 0.9986780, COVERAGE_ITEM: 0.4738017, COVERAGE_ITEM_CORRECT: 0.0553455, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2229269, DIVERSITY_GINI: 0.1610491, SHANNON_ENTROPY: 11.7221070, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.7508888040371926, 'b': 0.6226149306794969, 'c': 0.022406462745072634, 'normalize': False} - results: ROC_AUC: 0.1629014, PRECISION: 0.0351009, PRECISION_RECALL_MIN_DEN: 0.1258269, RECALL: 0.1219739, MAP: 0.0554912, MRR: 0.1173039, NDCG: 0.0851951, F1: 0.0545130, HIT_RATE: 0.3510089, ARHR: 0.1349751, NOVELTY: 0.0051527, AVERAGE_POPULARITY: 0.0399902, DIVERSITY_MEAN_INTER_LIST: 0.9969157, DIVERSITY_HERFINDAHL: 0.9996740, COVERAGE_ITEM: 0.5876651, COVERAGE_ITEM_CORRECT: 0.0547372, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1870895, DIVERSITY_GINI: 0.2690802, SHANNON_ENTROPY: 12.9245319, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.9356560430159266, 'b': 0.9147584707479708, 'c': 0.016422632674891195, 'normalize': False} - results: ROC_AUC: 0.1679420, PRECISION: 0.0363763, PRECISION_RECALL_MIN_DEN: 0.1302609, RECALL: 0.1262801, MAP: 0.0577297, MRR: 0.1216577, NDCG: 0.0884251, F1: 0.0564820, HIT_RATE: 0.3637628, ARHR: 0.1404004, NOVELTY: 0.0051323, AVERAGE_POPULARITY: 0.0434407, DIVERSITY_MEAN_INTER_LIST: 0.9966536, DIVERSITY_HERFINDAHL: 0.9996477, COVERAGE_ITEM: 0.5837382, COVERAGE_ITEM_CORRECT: 0.0555765, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925506, DIVERSITY_GINI: 0.2639409, SHANNON_ENTROPY: 12.8761747, 
