
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8702772026237334, 'b': 0.9180929753466189, 'c': 0.6323710599146373, 'normalize': False} - results: ROC_AUC: 0.2020312, PRECISION: 0.0442288, PRECISION_RECALL_MIN_DEN: 0.1626007, RECALL: 0.1581655, MAP: 0.0732414, MRR: 0.1483244, NDCG: 0.1107211, F1: 0.0691268, HIT_RATE: 0.4422883, ARHR: 0.1725793, NOVELTY: 0.0049693, AVERAGE_POPULARITY: 0.0815306, DIVERSITY_MEAN_INTER_LIST: 0.9914801, DIVERSITY_HERFINDAHL: 0.9991305, COVERAGE_ITEM: 0.4701598, COVERAGE_ITEM_CORRECT: 0.0594264, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2299987, DIVERSITY_GINI: 0.1732699, SHANNON_ENTROPY: 12.0595500, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.4805662966504697, 'b': 0.6919201255247736, 'c': 0.9594913305709202, 'normalize': True} - results: ROC_AUC: 0.1783546, PRECISION: 0.0393081, PRECISION_RECALL_MIN_DEN: 0.1359344, RECALL: 0.1312872, MAP: 0.0614264, MRR: 0.1316787, NDCG: 0.0935914, F1: 0.0605008, HIT_RATE: 0.3930812, ARHR: 0.1538375, NOVELTY: 0.0048681, AVERAGE_POPULARITY: 0.0826535, DIVERSITY_MEAN_INTER_LIST: 0.9928515, DIVERSITY_HERFINDAHL: 0.9992676, COVERAGE_ITEM: 0.3250510, COVERAGE_ITEM_CORRECT: 0.0502560, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022398, DIVERSITY_GINI: 0.1051245, SHANNON_ENTROPY: 11.6001321, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.23842938807950803, 'b': 0.5907599217943871, 'c': 0.11886629096034587, 'normalize': True} - results: ROC_AUC: 0.1971723, PRECISION: 0.0436152, PRECISION_RECALL_MIN_DEN: 0.1532425, RECALL: 0.1484923, MAP: 0.0711041, MRR: 0.1471455, NDCG: 0.1068044, F1: 0.0674257, HIT_RATE: 0.4361518, ARHR: 0.1723833, NOVELTY: 0.0048908, AVERAGE_POPULARITY: 0.0868634, DIVERSITY_MEAN_INTER_LIST: 0.9917892, DIVERSITY_HERFINDAHL: 0.9991614, COVERAGE_ITEM: 0.3742522, COVERAGE_ITEM_CORRECT: 0.0557459, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2225242, DIVERSITY_GINI: 0.1225252, SHANNON_ENTROPY: 11.6977210, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8379839737522465, 'b': 0.2524527039329006, 'c': 0.08582530582682991, 'normalize': True} - results: ROC_AUC: 0.1898180, PRECISION: 0.0410886, PRECISION_RECALL_MIN_DEN: 0.1536652, RECALL: 0.1499212, MAP: 0.0681611, MRR: 0.1373805, NDCG: 0.1038577, F1: 0.0644987, HIT_RATE: 0.4108858, ARHR: 0.1581959, NOVELTY: 0.0050856, AVERAGE_POPULARITY: 0.0601144, DIVERSITY_MEAN_INTER_LIST: 0.9955872, DIVERSITY_HERFINDAHL: 0.9995411, COVERAGE_ITEM: 0.4673879, COVERAGE_ITEM_CORRECT: 0.0614437, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2181955, DIVERSITY_GINI: 0.1820696, SHANNON_ENTROPY: 12.3676519, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.13960020265343723, 'b': 0.45816464777599586, 'c': 0.20809968648168548, 'normalize': True} - results: ROC_AUC: 0.1867092, PRECISION: 0.0414000, PRECISION_RECALL_MIN_DEN: 0.1435456, RECALL: 0.1387137, MAP: 0.0655854, MRR: 0.1389868, NDCG: 0.0993263, F1: 0.0637677, HIT_RATE: 0.4139995, ARHR: 0.1630675, NOVELTY: 0.0048635, AVERAGE_POPULARITY: 0.0862273, DIVERSITY_MEAN_INTER_LIST: 0.9921527, DIVERSITY_HERFINDAHL: 0.9991977, COVERAGE_ITEM: 0.3391261, COVERAGE_ITEM_CORRECT: 0.0520577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2108720, DIVERSITY_GINI: 0.1084821, SHANNON_ENTROPY: 11.5921818, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.8639980718617013, 'b': 0.06160648716897156, 'c': 0.1915365593828206, 'normalize': False} - results: ROC_AUC: 0.1517879, PRECISION: 0.0318003, PRECISION_RECALL_MIN_DEN: 0.1227945, RECALL: 0.1198610, MAP: 0.0527715, MRR: 0.1064063, NDCG: 0.0811606, F1: 0.0502630, HIT_RATE: 0.3180030, ARHR: 0.1199598, NOVELTY: 0.0052528, AVERAGE_POPULARITY: 0.0320702, DIVERSITY_MEAN_INTER_LIST: 0.9974470, DIVERSITY_HERFINDAHL: 0.9997271, COVERAGE_ITEM: 0.5714803, COVERAGE_ITEM_CORRECT: 0.0542368, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1775513, DIVERSITY_GINI: 0.2639597, SHANNON_ENTROPY: 12.9638226, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.19983705048899586, 'b': 0.10100907132268558, 'c': 0.2985428002325495, 'normalize': False} - results: ROC_AUC: 0.2030800, PRECISION: 0.0444279, PRECISION_RECALL_MIN_DEN: 0.1609541, RECALL: 0.1564882, MAP: 0.0737187, MRR: 0.1501801, NDCG: 0.1110333, F1: 0.0692072, HIT_RATE: 0.4442794, ARHR: 0.1750320, NOVELTY: 0.0049666, AVERAGE_POPULARITY: 0.0786668, DIVERSITY_MEAN_INTER_LIST: 0.9929951, DIVERSITY_HERFINDAHL: 0.9992820, COVERAGE_ITEM: 0.4165390, COVERAGE_ITEM_CORRECT: 0.0604196, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2296212, DIVERSITY_GINI: 0.1467557, SHANNON_ENTROPY: 11.9590351, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.9407132060698467, 'b': 0.49291264228780807, 'c': 0.23807787242225315, 'normalize': True} - results: ROC_AUC: 0.1945366, PRECISION: 0.0425836, PRECISION_RECALL_MIN_DEN: 0.1521746, RECALL: 0.1477896, MAP: 0.0698738, MRR: 0.1440439, NDCG: 0.1054312, F1: 0.0661162, HIT_RATE: 0.4258360, ARHR: 0.1675309, NOVELTY: 0.0049591, AVERAGE_POPULARITY: 0.0749552, DIVERSITY_MEAN_INTER_LIST: 0.9939188, DIVERSITY_HERFINDAHL: 0.9993743, COVERAGE_ITEM: 0.3907218, COVERAGE_ITEM_CORRECT: 0.0586410, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2203599, DIVERSITY_GINI: 0.1359667, SHANNON_ENTROPY: 11.9315729, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.8390606703507598, 'b': 0.15370557466061655, 'c': 0.200596969246373, 'normalize': False} - results: ROC_AUC: 0.1697749, PRECISION: 0.0359202, PRECISION_RECALL_MIN_DEN: 0.1362684, RECALL: 0.1329059, MAP: 0.0594353, MRR: 0.1209555, NDCG: 0.0911018, F1: 0.0565542, HIT_RATE: 0.3592017, ARHR: 0.1376658, NOVELTY: 0.0051848, AVERAGE_POPULARITY: 0.0434243, DIVERSITY_MEAN_INTER_LIST: 0.9967553, DIVERSITY_HERFINDAHL: 0.9996579, COVERAGE_ITEM: 0.5574052, COVERAGE_ITEM_CORRECT: 0.0566006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1961495, DIVERSITY_GINI: 0.2487087, SHANNON_ENTROPY: 12.8268468, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3469163128822557, 'b': 0.019377972909661038, 'c': 0.8957787445620694, 'normalize': True} - results: ROC_AUC: 0.1716074, PRECISION: 0.0374464, PRECISION_RECALL_MIN_DEN: 0.1306863, RECALL: 0.1263800, MAP: 0.0583575, MRR: 0.1256956, NDCG: 0.0894626, F1: 0.0577738, HIT_RATE: 0.3744642, ARHR: 0.1458303, NOVELTY: 0.0048735, AVERAGE_POPULARITY: 0.0803338, DIVERSITY_MEAN_INTER_LIST: 0.9932303, DIVERSITY_HERFINDAHL: 0.9993055, COVERAGE_ITEM: 0.3182907, COVERAGE_ITEM_CORRECT: 0.0487623, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955203, DIVERSITY_GINI: 0.1037992, SHANNON_ENTROPY: 11.6092103, 
