
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.4936353323623973, 'b': 0.10532090248985096, 'c': 0.8918298196182621, 'normalize': True} - results: ROC_AUC: 0.1880675, PRECISION: 0.0411537, PRECISION_RECALL_MIN_DEN: 0.1473544, RECALL: 0.1429556, MAP: 0.0668317, MRR: 0.1388378, NDCG: 0.1011849, F1: 0.0639092, HIT_RATE: 0.4115373, ARHR: 0.1614887, NOVELTY: 0.0050008, AVERAGE_POPULARITY: 0.0684082, DIVERSITY_MEAN_INTER_LIST: 0.9935411, DIVERSITY_HERFINDAHL: 0.9993366, COVERAGE_ITEM: 0.5479962, COVERAGE_ITEM_CORRECT: 0.0570703, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2132629, DIVERSITY_GINI: 0.2252409, SHANNON_ENTROPY: 12.4641028, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.27684535971671204, 'b': 0.8954796199311539, 'c': 0.8771337123133643, 'normalize': True} - results: ROC_AUC: 0.1970089, PRECISION: 0.0429779, PRECISION_RECALL_MIN_DEN: 0.1550639, RECALL: 0.1506530, MAP: 0.0708156, MRR: 0.1450929, NDCG: 0.1067343, F1: 0.0668767, HIT_RATE: 0.4297793, ARHR: 0.1692237, NOVELTY: 0.0048811, AVERAGE_POPULARITY: 0.0923077, DIVERSITY_MEAN_INTER_LIST: 0.9881740, DIVERSITY_HERFINDAHL: 0.9987999, COVERAGE_ITEM: 0.4877690, COVERAGE_ITEM_CORRECT: 0.0560847, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217441, DIVERSITY_GINI: 0.1758165, SHANNON_ENTROPY: 11.9013406, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.6276875350752404, 'b': 0.25044158281384726, 'c': 0.3185542080356624, 'normalize': False} - results: ROC_AUC: 0.1810803, PRECISION: 0.0390755, PRECISION_RECALL_MIN_DEN: 0.1406218, RECALL: 0.1364527, MAP: 0.0633828, MRR: 0.1323927, NDCG: 0.0963154, F1: 0.0607527, HIT_RATE: 0.3907552, ARHR: 0.1533673, NOVELTY: 0.0050433, AVERAGE_POPULARITY: 0.0616445, DIVERSITY_MEAN_INTER_LIST: 0.9943962, DIVERSITY_HERFINDAHL: 0.9994221, COVERAGE_ITEM: 0.5505448, COVERAGE_ITEM_CORRECT: 0.0556843, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2049075, DIVERSITY_GINI: 0.2340371, SHANNON_ENTROPY: 12.5774975, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.10301543730136756, 'b': 0.6844244740667814, 'c': 0.1965986582600207, 'normalize': True} - results: ROC_AUC: 0.1952088, PRECISION: 0.0424520, PRECISION_RECALL_MIN_DEN: 0.1533435, RECALL: 0.1489731, MAP: 0.0700439, MRR: 0.1432213, NDCG: 0.1055375, F1: 0.0660744, HIT_RATE: 0.4245201, ARHR: 0.1668149, NOVELTY: 0.0048797, AVERAGE_POPULARITY: 0.0931812, DIVERSITY_MEAN_INTER_LIST: 0.9876492, DIVERSITY_HERFINDAHL: 0.9987475, COVERAGE_ITEM: 0.4793224, COVERAGE_ITEM_CORRECT: 0.0551761, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2201334, DIVERSITY_GINI: 0.1717293, SHANNON_ENTROPY: 11.8592694, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.518448023347726, 'b': 0.7907114136963731, 'c': 0.39846986259818773, 'normalize': True} - results: ROC_AUC: 0.1876098, PRECISION: 0.0408674, PRECISION_RECALL_MIN_DEN: 0.1469935, RECALL: 0.1426384, MAP: 0.0663976, MRR: 0.1374908, NDCG: 0.1006423, F1: 0.0635320, HIT_RATE: 0.4086739, ARHR: 0.1599355, NOVELTY: 0.0049836, AVERAGE_POPULARITY: 0.0726372, DIVERSITY_MEAN_INTER_LIST: 0.9925183, DIVERSITY_HERFINDAHL: 0.9992343, COVERAGE_ITEM: 0.5301559, COVERAGE_ITEM_CORRECT: 0.0560924, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2123820, DIVERSITY_GINI: 0.2139295, SHANNON_ENTROPY: 12.3572065, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.043141619725950105, 'b': 0.25849799634761433, 'c': 0.005280159455441137, 'normalize': True} - results: ROC_AUC: 0.1926192, PRECISION: 0.0418301, PRECISION_RECALL_MIN_DEN: 0.1511860, RECALL: 0.1468640, MAP: 0.0687044, MRR: 0.1409310, NDCG: 0.1037835, F1: 0.0651136, HIT_RATE: 0.4183007, ARHR: 0.1638995, NOVELTY: 0.0049070, AVERAGE_POPULARITY: 0.0880628, DIVERSITY_MEAN_INTER_LIST: 0.9887872, DIVERSITY_HERFINDAHL: 0.9988612, COVERAGE_ITEM: 0.4879384, COVERAGE_ITEM_CORRECT: 0.0549682, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2176167, DIVERSITY_GINI: 0.1801714, SHANNON_ENTROPY: 11.9721231, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.32005426960642286, 'b': 0.45187889280299864, 'c': 0.1767963179279837, 'normalize': False} - results: ROC_AUC: 0.1921596, PRECISION: 0.0418755, PRECISION_RECALL_MIN_DEN: 0.1514961, RECALL: 0.1471441, MAP: 0.0685637, MRR: 0.1409577, NDCG: 0.1037377, F1: 0.0651966, HIT_RATE: 0.4187553, ARHR: 0.1640395, NOVELTY: 0.0049301, AVERAGE_POPULARITY: 0.0831465, DIVERSITY_MEAN_INTER_LIST: 0.9901218, DIVERSITY_HERFINDAHL: 0.9989947, COVERAGE_ITEM: 0.5017440, COVERAGE_ITEM_CORRECT: 0.0556535, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172644, DIVERSITY_GINI: 0.1909869, SHANNON_ENTROPY: 12.1013327, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7608982072640345, 'b': 0.9400124150617444, 'c': 0.03791792205423528, 'normalize': True} - results: ROC_AUC: 0.1755273, PRECISION: 0.0376981, PRECISION_RECALL_MIN_DEN: 0.1357965, RECALL: 0.1318094, MAP: 0.0610000, MRR: 0.1275776, NDCG: 0.0929150, F1: 0.0586270, HIT_RATE: 0.3769813, ARHR: 0.1474682, NOVELTY: 0.0050612, AVERAGE_POPULARITY: 0.0588360, DIVERSITY_MEAN_INTER_LIST: 0.9947434, DIVERSITY_HERFINDAHL: 0.9994568, COVERAGE_ITEM: 0.5528393, COVERAGE_ITEM_CORRECT: 0.0542907, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989682, DIVERSITY_GINI: 0.2377891, SHANNON_ENTROPY: 12.6243182, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.405485314937435, 'b': 0.3665440660919233, 'c': 0.43353480376489384, 'normalize': False} - results: ROC_AUC: 0.1929757, PRECISION: 0.0419814, PRECISION_RECALL_MIN_DEN: 0.1515661, RECALL: 0.1471785, MAP: 0.0687615, MRR: 0.1417509, NDCG: 0.1039995, F1: 0.0653282, HIT_RATE: 0.4198139, ARHR: 0.1649597, NOVELTY: 0.0049400, AVERAGE_POPULARITY: 0.0808363, DIVERSITY_MEAN_INTER_LIST: 0.9908103, DIVERSITY_HERFINDAHL: 0.9990635, COVERAGE_ITEM: 0.5113763, COVERAGE_ITEM_CORRECT: 0.0560770, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2176922, DIVERSITY_GINI: 0.1973352, SHANNON_ENTROPY: 12.1698063, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5695879018715462, 'b': 0.9755858748741875, 'c': 0.9584175489786985, 'normalize': False} - results: ROC_AUC: 0.1957780, PRECISION: 0.0424944, PRECISION_RECALL_MIN_DEN: 0.1534386, RECALL: 0.1490391, MAP: 0.0702191, MRR: 0.1437903, NDCG: 0.1057321, F1: 0.0661321, HIT_RATE: 0.4249441, ARHR: 0.1674743, NOVELTY: 0.0048940, AVERAGE_POPULARITY: 0.0899947, DIVERSITY_MEAN_INTER_LIST: 0.9885812, DIVERSITY_HERFINDAHL: 0.9988407, COVERAGE_ITEM: 0.4884774, COVERAGE_ITEM_CORRECT: 0.0556227, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2200831, DIVERSITY_GINI: 0.1786293, SHANNON_ENTROPY: 11.9452067, 
