
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2500880727191486, 'b': 0.31256409885578657, 'c': 0.5814289781964102, 'normalize': False} - results: ROC_AUC: 0.1914004, PRECISION: 0.0414012, PRECISION_RECALL_MIN_DEN: 0.1501372, RECALL: 0.1458531, MAP: 0.0682008, MRR: 0.1403013, NDCG: 0.1030714, F1: 0.0644950, HIT_RATE: 0.4140116, ARHR: 0.1629888, NOVELTY: 0.0049449, AVERAGE_POPULARITY: 0.0805939, DIVERSITY_MEAN_INTER_LIST: 0.9906865, DIVERSITY_HERFINDAHL: 0.9990511, COVERAGE_ITEM: 0.5080731, COVERAGE_ITEM_CORRECT: 0.0555534, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2156789, DIVERSITY_GINI: 0.1966224, SHANNON_ENTROPY: 12.1665370, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.9979863752059519, 'b': 0.8035976610337026, 'c': 0.3252606755847108, 'normalize': True} - results: ROC_AUC: 0.1850623, PRECISION: 0.0396795, PRECISION_RECALL_MIN_DEN: 0.1441708, RECALL: 0.1400939, MAP: 0.0655455, MRR: 0.1353561, NDCG: 0.0990938, F1: 0.0618421, HIT_RATE: 0.3967949, ARHR: 0.1568708, NOVELTY: 0.0050294, AVERAGE_POPULARITY: 0.0659157, DIVERSITY_MEAN_INTER_LIST: 0.9937698, DIVERSITY_HERFINDAHL: 0.9993594, COVERAGE_ITEM: 0.5500982, COVERAGE_ITEM_CORRECT: 0.0558999, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2081289, DIVERSITY_GINI: 0.2314694, SHANNON_ENTROPY: 12.5314556, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.25160093976759296, 'b': 0.39102649670105694, 'c': 0.4328824008754213, 'normalize': True} - results: ROC_AUC: 0.1967015, PRECISION: 0.0431196, PRECISION_RECALL_MIN_DEN: 0.1548600, RECALL: 0.1504873, MAP: 0.0711146, MRR: 0.1454713, NDCG: 0.1070493, F1: 0.0670312, HIT_RATE: 0.4311958, ARHR: 0.1696346, NOVELTY: 0.0048720, AVERAGE_POPULARITY: 0.1008267, DIVERSITY_MEAN_INTER_LIST: 0.9864400, DIVERSITY_HERFINDAHL: 0.9986266, COVERAGE_ITEM: 0.4899788, COVERAGE_ITEM_CORRECT: 0.0548989, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2226752, DIVERSITY_GINI: 0.1740466, SHANNON_ENTROPY: 11.8213931, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.016477601133351286, 'b': 0.7119677891518182, 'c': 0.19985260086695972, 'normalize': True} - results: ROC_AUC: 0.1954401, PRECISION: 0.0425191, PRECISION_RECALL_MIN_DEN: 0.1537924, RECALL: 0.1495214, MAP: 0.0702387, MRR: 0.1433369, NDCG: 0.1059490, F1: 0.0662090, HIT_RATE: 0.4251913, ARHR: 0.1667478, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.1095576, DIVERSITY_MEAN_INTER_LIST: 0.9832758, DIVERSITY_HERFINDAHL: 0.9983102, COVERAGE_ITEM: 0.4549374, COVERAGE_ITEM_CORRECT: 0.0530972, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2205109, DIVERSITY_GINI: 0.1501746, SHANNON_ENTROPY: 11.5283768, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.792059012119983, 'b': 0.5026796140592206, 'c': 0.25126669961126774, 'normalize': True} - results: ROC_AUC: 0.1819549, PRECISION: 0.0390826, PRECISION_RECALL_MIN_DEN: 0.1423179, RECALL: 0.1383313, MAP: 0.0643979, MRR: 0.1329881, NDCG: 0.0975188, F1: 0.0609455, HIT_RATE: 0.3908257, ARHR: 0.1538962, NOVELTY: 0.0050494, AVERAGE_POPULARITY: 0.0622733, DIVERSITY_MEAN_INTER_LIST: 0.9943526, DIVERSITY_HERFINDAHL: 0.9994177, COVERAGE_ITEM: 0.5566044, COVERAGE_ITEM_CORRECT: 0.0559692, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2059142, DIVERSITY_GINI: 0.2382503, SHANNON_ENTROPY: 12.6029868, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.24071516228709272, 'b': 0.5357057108572292, 'c': 0.28697726898591797, 'normalize': False} - results: ROC_AUC: 0.1927836, PRECISION: 0.0418758, PRECISION_RECALL_MIN_DEN: 0.1515796, RECALL: 0.1472351, MAP: 0.0687857, MRR: 0.1410352, NDCG: 0.1039433, F1: 0.0652057, HIT_RATE: 0.4187584, ARHR: 0.1640457, NOVELTY: 0.0049101, AVERAGE_POPULARITY: 0.0873580, DIVERSITY_MEAN_INTER_LIST: 0.9889811, DIVERSITY_HERFINDAHL: 0.9988806, COVERAGE_ITEM: 0.4898633, COVERAGE_ITEM_CORRECT: 0.0548835, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178684, DIVERSITY_GINI: 0.1819022, SHANNON_ENTROPY: 11.9932276, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.8254214626069678, 'b': 0.17808467815845055, 'c': 0.9781697352090675, 'normalize': False} - results: ROC_AUC: 0.1590051, PRECISION: 0.0337683, PRECISION_RECALL_MIN_DEN: 0.1236439, RECALL: 0.1202001, MAP: 0.0547116, MRR: 0.1146354, NDCG: 0.0838013, F1: 0.0527225, HIT_RATE: 0.3376833, ARHR: 0.1310435, NOVELTY: 0.0051532, AVERAGE_POPULARITY: 0.0424471, DIVERSITY_MEAN_INTER_LIST: 0.9966771, DIVERSITY_HERFINDAHL: 0.9996501, COVERAGE_ITEM: 0.5801501, COVERAGE_ITEM_CORRECT: 0.0527738, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1827105, DIVERSITY_GINI: 0.2653367, SHANNON_ENTROPY: 12.8973784, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.8610718604490165, 'b': 0.15084709163294444, 'c': 0.41897046158521756, 'normalize': True} - results: ROC_AUC: 0.1811825, PRECISION: 0.0385779, PRECISION_RECALL_MIN_DEN: 0.1409326, RECALL: 0.1370363, MAP: 0.0644147, MRR: 0.1328294, NDCG: 0.0971525, F1: 0.0602058, HIT_RATE: 0.3857785, ARHR: 0.1533243, NOVELTY: 0.0050603, AVERAGE_POPULARITY: 0.0617464, DIVERSITY_MEAN_INTER_LIST: 0.9945048, DIVERSITY_HERFINDAHL: 0.9994329, COVERAGE_ITEM: 0.5638653, COVERAGE_ITEM_CORRECT: 0.0556612, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035737, DIVERSITY_GINI: 0.2423157, SHANNON_ENTROPY: 12.6318354, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.4819024847816078, 'b': 0.569296181444061, 'c': 0.6681904493051113, 'normalize': False} - results: ROC_AUC: 0.1900314, PRECISION: 0.0411678, PRECISION_RECALL_MIN_DEN: 0.1491329, RECALL: 0.1448359, MAP: 0.0673962, MRR: 0.1391065, NDCG: 0.1021188, F1: 0.0641123, HIT_RATE: 0.4116777, ARHR: 0.1615826, NOVELTY: 0.0049556, AVERAGE_POPULARITY: 0.0784429, DIVERSITY_MEAN_INTER_LIST: 0.9911376, DIVERSITY_HERFINDAHL: 0.9990962, COVERAGE_ITEM: 0.5114302, COVERAGE_ITEM_CORRECT: 0.0554918, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2146722, DIVERSITY_GINI: 0.2000707, SHANNON_ENTROPY: 12.2109614, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.766916957411516, 'b': 0.3706452843910418, 'c': 0.4543266640754171, 'normalize': False} - results: ROC_AUC: 0.1758101, PRECISION: 0.0375953, PRECISION_RECALL_MIN_DEN: 0.1361075, RECALL: 0.1322050, MAP: 0.0609901, MRR: 0.1275319, NDCG: 0.0930185, F1: 0.0585414, HIT_RATE: 0.3759533, ARHR: 0.1472603, NOVELTY: 0.0050666, AVERAGE_POPULARITY: 0.0578356, DIVERSITY_MEAN_INTER_LIST: 0.9948646, DIVERSITY_HERFINDAHL: 0.9994689, COVERAGE_ITEM: 0.5542868, COVERAGE_ITEM_CORRECT: 0.0544062, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992450, DIVERSITY_GINI: 0.2393258, SHANNON_ENTROPY: 12.6409786, 
