
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.9547921098861932, 'b': 0.6865624367173659, 'c': 0.2897708194970486, 'normalize': False} - results: ROC_AUC: 0.1883372, PRECISION: 0.0405355, PRECISION_RECALL_MIN_DEN: 0.1476212, RECALL: 0.1434154, MAP: 0.0667994, MRR: 0.1379005, NDCG: 0.1011290, F1: 0.0632060, HIT_RATE: 0.4053547, ARHR: 0.1598715, NOVELTY: 0.0049871, AVERAGE_POPULARITY: 0.0718507, DIVERSITY_MEAN_INTER_LIST: 0.9926459, DIVERSITY_HERFINDAHL: 0.9992470, COVERAGE_ITEM: 0.5252127, COVERAGE_ITEM_CORRECT: 0.0556458, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2121304, DIVERSITY_GINI: 0.2116515, SHANNON_ENTROPY: 12.3524585, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.4672172614953559, 'b': 0.6251129559683445, 'c': 0.37122171725236813, 'normalize': False} - results: ROC_AUC: 0.1954782, PRECISION: 0.0422678, PRECISION_RECALL_MIN_DEN: 0.1537192, RECALL: 0.1493945, MAP: 0.0702553, MRR: 0.1437713, NDCG: 0.1058179, F1: 0.0658924, HIT_RATE: 0.4226777, ARHR: 0.1670848, NOVELTY: 0.0049116, AVERAGE_POPULARITY: 0.0862893, DIVERSITY_MEAN_INTER_LIST: 0.9896579, DIVERSITY_HERFINDAHL: 0.9989483, COVERAGE_ITEM: 0.4909644, COVERAGE_ITEM_CORRECT: 0.0558383, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2195797, DIVERSITY_GINI: 0.1819892, SHANNON_ENTROPY: 12.0140963, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.2163878078712828, 'b': 0.3076812802646896, 'c': 0.2305187971532338, 'normalize': True} - results: ROC_AUC: 0.1925982, PRECISION: 0.0415489, PRECISION_RECALL_MIN_DEN: 0.1511405, RECALL: 0.1468784, MAP: 0.0692800, MRR: 0.1418075, NDCG: 0.1042528, F1: 0.0647739, HIT_RATE: 0.4154892, ARHR: 0.1645879, NOVELTY: 0.0049573, AVERAGE_POPULARITY: 0.0769983, DIVERSITY_MEAN_INTER_LIST: 0.9919392, DIVERSITY_HERFINDAHL: 0.9991764, COVERAGE_ITEM: 0.5144023, COVERAGE_ITEM_CORRECT: 0.0567392, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2161570, DIVERSITY_GINI: 0.2005900, SHANNON_ENTROPY: 12.2389887, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.6152331663494494, 'b': 0.23902803630382846, 'c': 0.832850166526183, 'normalize': False} - results: ROC_AUC: 0.1972330, PRECISION: 0.0425565, PRECISION_RECALL_MIN_DEN: 0.1558316, RECALL: 0.1516024, MAP: 0.0718926, MRR: 0.1463100, NDCG: 0.1078183, F1: 0.0664566, HIT_RATE: 0.4255652, ARHR: 0.1697623, NOVELTY: 0.0049353, AVERAGE_POPULARITY: 0.0806203, DIVERSITY_MEAN_INTER_LIST: 0.9914799, DIVERSITY_HERFINDAHL: 0.9991305, COVERAGE_ITEM: 0.5028912, COVERAGE_ITEM_CORRECT: 0.0575168, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2208884, DIVERSITY_GINI: 0.1894360, SHANNON_ENTROPY: 12.1336512, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.3228550061355188, 'b': 0.08282425375521675, 'c': 0.7703840303577234, 'normalize': True} - results: ROC_AUC: 0.1943315, PRECISION: 0.0419058, PRECISION_RECALL_MIN_DEN: 0.1523551, RECALL: 0.1482459, MAP: 0.0706853, MRR: 0.1444132, NDCG: 0.1059593, F1: 0.0653404, HIT_RATE: 0.4190579, ARHR: 0.1675692, NOVELTY: 0.0049371, AVERAGE_POPULARITY: 0.0798303, DIVERSITY_MEAN_INTER_LIST: 0.9919274, DIVERSITY_HERFINDAHL: 0.9991752, COVERAGE_ITEM: 0.5034610, COVERAGE_ITEM_CORRECT: 0.0572782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171637, DIVERSITY_GINI: 0.1882952, SHANNON_ENTROPY: 12.1380135, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9113817629458657, 'b': 0.1818692182086187, 'c': 0.39599346252225776, 'normalize': False} - results: ROC_AUC: 0.1744099, PRECISION: 0.0369445, PRECISION_RECALL_MIN_DEN: 0.1365942, RECALL: 0.1329653, MAP: 0.0613392, MRR: 0.1266402, NDCG: 0.0932307, F1: 0.0578221, HIT_RATE: 0.3694452, ARHR: 0.1453722, NOVELTY: 0.0050790, AVERAGE_POPULARITY: 0.0543897, DIVERSITY_MEAN_INTER_LIST: 0.9955239, DIVERSITY_HERFINDAHL: 0.9995348, COVERAGE_ITEM: 0.5587218, COVERAGE_ITEM_CORRECT: 0.0547988, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975337, DIVERSITY_GINI: 0.2425785, SHANNON_ENTROPY: 12.6902688, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.07788800147411314, 'b': 0.39170644254263776, 'c': 0.23337170348681896, 'normalize': True} - results: ROC_AUC: 0.1983460, PRECISION: 0.0432284, PRECISION_RECALL_MIN_DEN: 0.1565146, RECALL: 0.1521010, MAP: 0.0719705, MRR: 0.1467453, NDCG: 0.1081221, F1: 0.0673225, HIT_RATE: 0.4322845, ARHR: 0.1707669, NOVELTY: 0.0048598, AVERAGE_POPULARITY: 0.0960440, DIVERSITY_MEAN_INTER_LIST: 0.9874890, DIVERSITY_HERFINDAHL: 0.9987315, COVERAGE_ITEM: 0.4667719, COVERAGE_ITEM_CORRECT: 0.0558999, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2236819, DIVERSITY_GINI: 0.1617200, SHANNON_ENTROPY: 11.7687779, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.25636009365401985, 'b': 0.2503491773659203, 'c': 0.9772191496062319, 'normalize': True} - results: ROC_AUC: 0.1985564, PRECISION: 0.0433448, PRECISION_RECALL_MIN_DEN: 0.1564087, RECALL: 0.1519906, MAP: 0.0724133, MRR: 0.1481091, NDCG: 0.1085070, F1: 0.0674527, HIT_RATE: 0.4334479, ARHR: 0.1726685, NOVELTY: 0.0048714, AVERAGE_POPULARITY: 0.0926683, DIVERSITY_MEAN_INTER_LIST: 0.9891532, DIVERSITY_HERFINDAHL: 0.9988978, COVERAGE_ITEM: 0.4704986, COVERAGE_ITEM_CORRECT: 0.0567007, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2224236, DIVERSITY_GINI: 0.1624198, SHANNON_ENTROPY: 11.8216525, 
