
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.07420769786908767, 'b': 0.584898150644118, 'c': 0.3803601317012001, 'normalize': False} - results: ROC_AUC: 0.2077801, PRECISION: 0.0457420, PRECISION_RECALL_MIN_DEN: 0.1651629, RECALL: 0.1604430, MAP: 0.0763618, MRR: 0.1546832, NDCG: 0.1143007, F1: 0.0711880, HIT_RATE: 0.4574201, ARHR: 0.1809176, NOVELTY: 0.0049558, AVERAGE_POPULARITY: 0.0811432, DIVERSITY_MEAN_INTER_LIST: 0.9922379, DIVERSITY_HERFINDAHL: 0.9992063, COVERAGE_ITEM: 0.4518653, COVERAGE_ITEM_CORRECT: 0.0611973, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2344533, DIVERSITY_GINI: 0.1617865, SHANNON_ENTROPY: 12.0084509, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.012481450806760667, 'b': 0.04091717773991555, 'c': 0.4942720492603744, 'normalize': False} - results: ROC_AUC: 0.1784863, PRECISION: 0.0393114, PRECISION_RECALL_MIN_DEN: 0.1358150, RECALL: 0.1311254, MAP: 0.0615412, MRR: 0.1320219, NDCG: 0.0936007, F1: 0.0604879, HIT_RATE: 0.3931144, ARHR: 0.1543612, NOVELTY: 0.0048682, AVERAGE_POPULARITY: 0.0824170, DIVERSITY_MEAN_INTER_LIST: 0.9928960, DIVERSITY_HERFINDAHL: 0.9992721, COVERAGE_ITEM: 0.3277074, COVERAGE_ITEM_CORRECT: 0.0501251, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2018875, DIVERSITY_GINI: 0.1059851, SHANNON_ENTROPY: 11.6092518, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.3072036971364605, 'b': 0.6755467938912014, 'c': 0.750810437761914, 'normalize': True} - results: ROC_AUC: 0.1794519, PRECISION: 0.0395911, PRECISION_RECALL_MIN_DEN: 0.1368169, RECALL: 0.1321235, MAP: 0.0618089, MRR: 0.1325310, NDCG: 0.0941673, F1: 0.0609250, HIT_RATE: 0.3959112, ARHR: 0.1549625, NOVELTY: 0.0048740, AVERAGE_POPULARITY: 0.0816992, DIVERSITY_MEAN_INTER_LIST: 0.9930178, DIVERSITY_HERFINDAHL: 0.9992842, COVERAGE_ITEM: 0.3302252, COVERAGE_ITEM_CORRECT: 0.0509413, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033723, DIVERSITY_GINI: 0.1072441, SHANNON_ENTROPY: 11.6282785, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.5202026697055189, 'b': 0.4736564103945159, 'c': 0.2665810050669504, 'normalize': True} - results: ROC_AUC: 0.1906727, PRECISION: 0.0421658, PRECISION_RECALL_MIN_DEN: 0.1477602, RECALL: 0.1432293, MAP: 0.0681899, MRR: 0.1419289, NDCG: 0.1027573, F1: 0.0651504, HIT_RATE: 0.4216583, ARHR: 0.1659520, NOVELTY: 0.0049205, AVERAGE_POPULARITY: 0.0778553, DIVERSITY_MEAN_INTER_LIST: 0.9935827, DIVERSITY_HERFINDAHL: 0.9993407, COVERAGE_ITEM: 0.3663369, COVERAGE_ITEM_CORRECT: 0.0563465, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2159054, DIVERSITY_GINI: 0.1231630, SHANNON_ENTROPY: 11.8026288, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5125449695112825, 'b': 0.7746478124614522, 'c': 0.5422559444365219, 'normalize': True} - results: ROC_AUC: 0.1855662, PRECISION: 0.0411206, PRECISION_RECALL_MIN_DEN: 0.1427068, RECALL: 0.1379801, MAP: 0.0655553, MRR: 0.1383629, NDCG: 0.0990239, F1: 0.0633584, HIT_RATE: 0.4112055, ARHR: 0.1621003, NOVELTY: 0.0048905, AVERAGE_POPULARITY: 0.0807149, DIVERSITY_MEAN_INTER_LIST: 0.9931626, DIVERSITY_HERFINDAHL: 0.9992987, COVERAGE_ITEM: 0.3464408, COVERAGE_ITEM_CORRECT: 0.0537209, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2095634, DIVERSITY_GINI: 0.1136138, SHANNON_ENTROPY: 11.6942368, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6927685074406732, 'b': 0.22652368564841113, 'c': 0.07677782873585849, 'normalize': False} - results: ROC_AUC: 0.1570474, PRECISION: 0.0333448, PRECISION_RECALL_MIN_DEN: 0.1247479, RECALL: 0.1214437, MAP: 0.0542153, MRR: 0.1112405, NDCG: 0.0833193, F1: 0.0523218, HIT_RATE: 0.3334481, ARHR: 0.1266911, NOVELTY: 0.0052062, AVERAGE_POPULARITY: 0.0351619, DIVERSITY_MEAN_INTER_LIST: 0.9973212, DIVERSITY_HERFINDAHL: 0.9997145, COVERAGE_ITEM: 0.5835457, COVERAGE_ITEM_CORRECT: 0.0547834, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1820310, DIVERSITY_GINI: 0.2713949, SHANNON_ENTROPY: 12.9799846, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.4956018067753887, 'b': 0.390388099390074, 'c': 0.31698152259141216, 'normalize': True} - results: ROC_AUC: 0.1865362, PRECISION: 0.0414555, PRECISION_RECALL_MIN_DEN: 0.1445244, RECALL: 0.1399066, MAP: 0.0664432, MRR: 0.1391876, NDCG: 0.1003044, F1: 0.0639588, HIT_RATE: 0.4145553, ARHR: 0.1628088, NOVELTY: 0.0049079, AVERAGE_POPULARITY: 0.0785756, DIVERSITY_MEAN_INTER_LIST: 0.9934927, DIVERSITY_HERFINDAHL: 0.9993317, COVERAGE_ITEM: 0.3541944, COVERAGE_ITEM_CORRECT: 0.0551376, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2117529, DIVERSITY_GINI: 0.1178640, SHANNON_ENTROPY: 11.7522555, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.987438742042579, 'b': 0.5910614346100247, 'c': 0.8259988109482205, 'normalize': True} - results: ROC_AUC: 0.1828934, PRECISION: 0.0404241, PRECISION_RECALL_MIN_DEN: 0.1407144, RECALL: 0.1360929, MAP: 0.0642580, MRR: 0.1360468, NDCG: 0.0973864, F1: 0.0623326, HIT_RATE: 0.4042411, ARHR: 0.1589142, NOVELTY: 0.0048962, AVERAGE_POPULARITY: 0.0790455, DIVERSITY_MEAN_INTER_LIST: 0.9934319, DIVERSITY_HERFINDAHL: 0.9993256, COVERAGE_ITEM: 0.3421752, COVERAGE_ITEM_CORRECT: 0.0533436, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2071222, DIVERSITY_GINI: 0.1128614, SHANNON_ENTROPY: 11.7047957, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.7123243957878405, 'b': 0.471297865549271, 'c': 0.7683574397797274, 'normalize': True} - results: ROC_AUC: 0.1806445, PRECISION: 0.0399086, PRECISION_RECALL_MIN_DEN: 0.1389449, RECALL: 0.1343275, MAP: 0.0628447, MRR: 0.1337101, NDCG: 0.0956195, F1: 0.0615345, HIT_RATE: 0.3990858, ARHR: 0.1562205, NOVELTY: 0.0048884, AVERAGE_POPULARITY: 0.0796555, DIVERSITY_MEAN_INTER_LIST: 0.9933409, DIVERSITY_HERFINDAHL: 0.9993165, COVERAGE_ITEM: 0.3352069, COVERAGE_ITEM_CORRECT: 0.0522887, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2049075, DIVERSITY_GINI: 0.1101259, SHANNON_ENTROPY: 11.6745868, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.8665154533596223, 'b': 0.06487503808913099, 'c': 0.7796675519108981, 'normalize': True} - results: ROC_AUC: 0.1780497, PRECISION: 0.0390112, PRECISION_RECALL_MIN_DEN: 0.1362765, RECALL: 0.1318398, MAP: 0.0613528, MRR: 0.1312833, NDCG: 0.0937151, F1: 0.0602066, HIT_RATE: 0.3901118, ARHR: 0.1526309, NOVELTY: 0.0048933, AVERAGE_POPULARITY: 0.0783676, DIVERSITY_MEAN_INTER_LIST: 0.9935335, DIVERSITY_HERFINDAHL: 0.9993358, COVERAGE_ITEM: 0.3322117, COVERAGE_ITEM_CORRECT: 0.0518422, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.1096558, SHANNON_ENTROPY: 11.6825372, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.20203367183870985, 'b': 0.21533951614575236, 'c': 0.5760274040372789, 'normalize': False} - results: ROC_AUC: 0.2004746, PRECISION: 0.0441035, PRECISION_RECALL_MIN_DEN: 0.1564748, RECALL: 0.1518417, MAP: 0.0726520, MRR: 0.1488740, NDCG: 0.1089735, F1: 0.0683526, HIT_RATE: 0.4410349, ARHR: 0.1742525, NOVELTY: 0.0049500, AVERAGE_POPULARITY: 0.0772729, DIVERSITY_MEAN_INTER_LIST: 0.9935270, DIVERSITY_HERFINDAHL: 0.9993351, COVERAGE_ITEM: 0.3987603, COVERAGE_ITEM_CORRECT: 0.0596728, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2253932, DIVERSITY_GINI: 0.1380302, SHANNON_ENTROPY: 11.9181297, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.6159424262396515, 'b': 0.9338996323072868, 'c': 0.4324273922878902, 'normalize': True} - results: ROC_AUC: 0.1906057, PRECISION: 0.0421835, PRECISION_RECALL_MIN_DEN: 0.1474131, RECALL: 0.1427284, MAP: 0.0680741, MRR: 0.1419386, NDCG: 0.1024616, F1: 0.0651200, HIT_RATE: 0.4218348, ARHR: 0.1663711, NOVELTY: 0.0049063, AVERAGE_POPULARITY: 0.0799020, DIVERSITY_MEAN_INTER_LIST: 0.9932659, DIVERSITY_HERFINDAHL: 0.9993090, COVERAGE_ITEM: 0.3617632, COVERAGE_ITEM_CORRECT: 0.0554764, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2147477, DIVERSITY_GINI: 0.1201856, SHANNON_ENTROPY: 11.7575493, 
