
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.36145738550750056, 'b': 0.42988148995086406, 'c': 0.0661301653900699, 'normalize': False} - results: ROC_AUC: 0.1803509, PRECISION: 0.0390945, PRECISION_RECALL_MIN_DEN: 0.1412926, RECALL: 0.1371533, MAP: 0.0636665, MRR: 0.1316513, NDCG: 0.0966131, F1: 0.0608448, HIT_RATE: 0.3909446, ARHR: 0.1526522, NOVELTY: 0.0050755, AVERAGE_POPULARITY: 0.0541556, DIVERSITY_MEAN_INTER_LIST: 0.9955540, DIVERSITY_HERFINDAHL: 0.9995378, COVERAGE_ITEM: 0.5658287, COVERAGE_ITEM_CORRECT: 0.0574475, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2047313, DIVERSITY_GINI: 0.2486558, SHANNON_ENTROPY: 12.7247857, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.949906947612119, 'b': 0.1596873163774072, 'c': 0.5723955672514007, 'normalize': False} - results: ROC_AUC: 0.1346906, PRECISION: 0.0285918, PRECISION_RECALL_MIN_DEN: 0.1059976, RECALL: 0.1030481, MAP: 0.0453826, MRR: 0.0948369, NDCG: 0.0703446, F1: 0.0447605, HIT_RATE: 0.2859184, ARHR: 0.1075099, NOVELTY: 0.0052350, AVERAGE_POPULARITY: 0.0265704, DIVERSITY_MEAN_INTER_LIST: 0.9976673, DIVERSITY_HERFINDAHL: 0.9997491, COVERAGE_ITEM: 0.5994764, COVERAGE_ITEM_CORRECT: 0.0501097, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1581226, DIVERSITY_GINI: 0.2855423, SHANNON_ENTROPY: 13.0772625, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.844105348405622, 'b': 0.6097471625284068, 'c': 0.8890527576706737, 'normalize': False} - results: ROC_AUC: 0.1732301, PRECISION: 0.0373060, PRECISION_RECALL_MIN_DEN: 0.1357308, RECALL: 0.1318539, MAP: 0.0606335, MRR: 0.1256739, NDCG: 0.0923588, F1: 0.0581555, HIT_RATE: 0.3730598, ARHR: 0.1449044, NOVELTY: 0.0051118, AVERAGE_POPULARITY: 0.0480886, DIVERSITY_MEAN_INTER_LIST: 0.9962493, DIVERSITY_HERFINDAHL: 0.9996073, COVERAGE_ITEM: 0.5771088, COVERAGE_ITEM_CORRECT: 0.0564312, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978608, DIVERSITY_GINI: 0.2596223, SHANNON_ENTROPY: 12.8309192, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.5162974036312958, 'b': 0.8920930445400627, 'c': 0.41355353820642726, 'normalize': True} - results: ROC_AUC: 0.1986100, PRECISION: 0.0430912, PRECISION_RECALL_MIN_DEN: 0.1557946, RECALL: 0.1513451, MAP: 0.0723296, MRR: 0.1477250, NDCG: 0.1081729, F1: 0.0670818, HIT_RATE: 0.4309117, ARHR: 0.1721047, NOVELTY: 0.0049706, AVERAGE_POPULARITY: 0.0771270, DIVERSITY_MEAN_INTER_LIST: 0.9919945, DIVERSITY_HERFINDAHL: 0.9991819, COVERAGE_ITEM: 0.5380327, COVERAGE_ITEM_CORRECT: 0.0588566, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2222222, DIVERSITY_GINI: 0.2150341, SHANNON_ENTROPY: 12.3256818, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.1532635561833479, 'b': 0.5734479402923064, 'c': 0.23313726811660035, 'normalize': False} - results: ROC_AUC: 0.1948569, PRECISION: 0.0425146, PRECISION_RECALL_MIN_DEN: 0.1537719, RECALL: 0.1493150, MAP: 0.0701125, MRR: 0.1437772, NDCG: 0.1056848, F1: 0.0661843, HIT_RATE: 0.4251465, ARHR: 0.1673875, NOVELTY: 0.0049899, AVERAGE_POPULARITY: 0.0694909, DIVERSITY_MEAN_INTER_LIST: 0.9932095, DIVERSITY_HERFINDAHL: 0.9993034, COVERAGE_ITEM: 0.5392031, COVERAGE_ITEM_CORRECT: 0.0593340, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2199824, DIVERSITY_GINI: 0.2206377, SHANNON_ENTROPY: 12.4238741, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.056516549426006715, 'b': 0.5351916484531805, 'c': 0.8530131429027352, 'normalize': False} - results: ROC_AUC: 0.2002919, PRECISION: 0.0434544, PRECISION_RECALL_MIN_DEN: 0.1575232, RECALL: 0.1530345, MAP: 0.0729518, MRR: 0.1487419, NDCG: 0.1091612, F1: 0.0676880, HIT_RATE: 0.4345443, ARHR: 0.1732827, NOVELTY: 0.0049479, AVERAGE_POPULARITY: 0.0780607, DIVERSITY_MEAN_INTER_LIST: 0.9915910, DIVERSITY_HERFINDAHL: 0.9991416, COVERAGE_ITEM: 0.5251357, COVERAGE_ITEM_CORRECT: 0.0590799, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2241349, DIVERSITY_GINI: 0.2055981, SHANNON_ENTROPY: 12.2442295, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9969872590605192, 'b': 0.4121186644414109, 'c': 0.2664621849354997, 'normalize': False} - results: ROC_AUC: 0.1545297, PRECISION: 0.0329457, PRECISION_RECALL_MIN_DEN: 0.1211569, RECALL: 0.1177460, MAP: 0.0529240, MRR: 0.1103351, NDCG: 0.0813680, F1: 0.0514835, HIT_RATE: 0.3294569, ARHR: 0.1261136, NOVELTY: 0.0051818, AVERAGE_POPULARITY: 0.0359357, DIVERSITY_MEAN_INTER_LIST: 0.9972477, DIVERSITY_HERFINDAHL: 0.9997072, COVERAGE_ITEM: 0.5913224, COVERAGE_ITEM_CORRECT: 0.0534822, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1786083, DIVERSITY_GINI: 0.2761748, SHANNON_ENTROPY: 12.9921721, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.20906612887781956, 'b': 0.8496594041527686, 'c': 0.630780845645572, 'normalize': True} - results: ROC_AUC: 0.2005299, PRECISION: 0.0438758, PRECISION_RECALL_MIN_DEN: 0.1572322, RECALL: 0.1527355, MAP: 0.0729169, MRR: 0.1486452, NDCG: 0.1091886, F1: 0.0681685, HIT_RATE: 0.4387585, ARHR: 0.1739085, NOVELTY: 0.0048906, AVERAGE_POPULARITY: 0.0960178, DIVERSITY_MEAN_INTER_LIST: 0.9878531, DIVERSITY_HERFINDAHL: 0.9987679, COVERAGE_ITEM: 0.5012204, COVERAGE_ITEM_CORRECT: 0.0566545, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2253177, DIVERSITY_GINI: 0.1822689, SHANNON_ENTROPY: 11.9205914, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.7815063754960055, 'b': 0.76664458521905, 'c': 0.2564671386726572, 'normalize': False} - results: ROC_AUC: 0.1771232, PRECISION: 0.0382001, PRECISION_RECALL_MIN_DEN: 0.1384122, RECALL: 0.1343757, MAP: 0.0621113, MRR: 0.1288483, NDCG: 0.0944544, F1: 0.0594880, HIT_RATE: 0.3820006, ARHR: 0.1489538, NOVELTY: 0.0050923, AVERAGE_POPULARITY: 0.0511841, DIVERSITY_MEAN_INTER_LIST: 0.9959149, DIVERSITY_HERFINDAHL: 0.9995739, COVERAGE_ITEM: 0.5705332, COVERAGE_ITEM_CORRECT: 0.0568316, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012080, DIVERSITY_GINI: 0.2536982, SHANNON_ENTROPY: 12.7763000, 
