
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.5973391701157723, 'b': 0.053314855078007165, 'c': 0.15919349930787, 'normalize': True} - results: ROC_AUC: 0.1506656, PRECISION: 0.0316197, PRECISION_RECALL_MIN_DEN: 0.1170393, RECALL: 0.1138912, MAP: 0.0511984, MRR: 0.1069841, NDCG: 0.0787671, F1: 0.0494949, HIT_RATE: 0.3161972, ARHR: 0.1217651, NOVELTY: 0.0051933, AVERAGE_POPULARITY: 0.0350870, DIVERSITY_MEAN_INTER_LIST: 0.9973087, DIVERSITY_HERFINDAHL: 0.9997132, COVERAGE_ITEM: 0.5902060, COVERAGE_ITEM_CORRECT: 0.0519654, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1732981, DIVERSITY_GINI: 0.2758096, SHANNON_ENTROPY: 12.9986135, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.34944611161136424, 'b': 0.08286534608002018, 'c': 0.46179943607242346, 'normalize': False} - results: ROC_AUC: 0.1897726, PRECISION: 0.0411185, PRECISION_RECALL_MIN_DEN: 0.1490406, RECALL: 0.1447468, MAP: 0.0672062, MRR: 0.1387806, NDCG: 0.1019066, F1: 0.0640439, HIT_RATE: 0.4111853, ARHR: 0.1611947, NOVELTY: 0.0049525, AVERAGE_POPULARITY: 0.0788194, DIVERSITY_MEAN_INTER_LIST: 0.9910227, DIVERSITY_HERFINDAHL: 0.9990848, COVERAGE_ITEM: 0.5091049, COVERAGE_ITEM_CORRECT: 0.0553609, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2145967, DIVERSITY_GINI: 0.1981983, SHANNON_ENTROPY: 12.1933798, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29574112410450687, 'b': 0.6244070302377706, 'c': 0.8043101015010656, 'normalize': True} - results: ROC_AUC: 0.2002066, PRECISION: 0.0442574, PRECISION_RECALL_MIN_DEN: 0.1578196, RECALL: 0.1531518, MAP: 0.0723678, MRR: 0.1491870, NDCG: 0.1090142, F1: 0.0686704, HIT_RATE: 0.4425740, ARHR: 0.1743440, NOVELTY: 0.0048664, AVERAGE_POPULARITY: 0.0937477, DIVERSITY_MEAN_INTER_LIST: 0.9892053, DIVERSITY_HERFINDAHL: 0.9989030, COVERAGE_ITEM: 0.4666872, COVERAGE_ITEM_CORRECT: 0.0574475, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2269284, DIVERSITY_GINI: 0.1614574, SHANNON_ENTROPY: 11.8336350, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.44581318032559647, 'b': 0.8217801611199292, 'c': 0.8686804578475139, 'normalize': False} - results: ROC_AUC: 0.1932501, PRECISION: 0.0421093, PRECISION_RECALL_MIN_DEN: 0.1523594, RECALL: 0.1479938, MAP: 0.0690923, MRR: 0.1416630, NDCG: 0.1044352, F1: 0.0655634, HIT_RATE: 0.4210931, ARHR: 0.1648862, NOVELTY: 0.0049168, AVERAGE_POPULARITY: 0.0858329, DIVERSITY_MEAN_INTER_LIST: 0.9894887, DIVERSITY_HERFINDAHL: 0.9989314, COVERAGE_ITEM: 0.4921501, COVERAGE_ITEM_CORRECT: 0.0555072, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185982, DIVERSITY_GINI: 0.1838276, SHANNON_ENTROPY: 12.0257816, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.8201703888132338, 'b': 0.07161660095642121, 'c': 0.38304811660444515, 'normalize': False} - results: ROC_AUC: 0.1733017, PRECISION: 0.0371252, PRECISION_RECALL_MIN_DEN: 0.1344437, RECALL: 0.1305841, MAP: 0.0599889, MRR: 0.1257190, NDCG: 0.0916860, F1: 0.0578126, HIT_RATE: 0.3712521, ARHR: 0.1449665, NOVELTY: 0.0050796, AVERAGE_POPULARITY: 0.0554648, DIVERSITY_MEAN_INTER_LIST: 0.9951970, DIVERSITY_HERFINDAHL: 0.9995021, COVERAGE_ITEM: 0.5572204, COVERAGE_ITEM_CORRECT: 0.0542060, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972568, DIVERSITY_GINI: 0.2426874, SHANNON_ENTROPY: 12.6798236, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.3173561585317813, 'b': 0.9991427484840616, 'c': 0.6748959780041361, 'normalize': True} - results: ROC_AUC: 0.1984211, PRECISION: 0.0435761, PRECISION_RECALL_MIN_DEN: 0.1544567, RECALL: 0.1497865, MAP: 0.0712729, MRR: 0.1480460, NDCG: 0.1072266, F1: 0.0675111, HIT_RATE: 0.4357609, ARHR: 0.1728888, NOVELTY: 0.0048524, AVERAGE_POPULARITY: 0.0960109, DIVERSITY_MEAN_INTER_LIST: 0.9890085, DIVERSITY_HERFINDAHL: 0.9988834, COVERAGE_ITEM: 0.4557151, COVERAGE_ITEM_CORRECT: 0.0560308, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2235561, DIVERSITY_GINI: 0.1534940, SHANNON_ENTROPY: 11.7620551, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.7516898217991724, 'b': 0.45369815454929796, 'c': 0.968406273117164, 'normalize': False} - results: ROC_AUC: 0.1899386, PRECISION: 0.0412601, PRECISION_RECALL_MIN_DEN: 0.1494977, RECALL: 0.1451773, MAP: 0.0674304, MRR: 0.1392178, NDCG: 0.1022198, F1: 0.0642578, HIT_RATE: 0.4126010, ARHR: 0.1617593, NOVELTY: 0.0049522, AVERAGE_POPULARITY: 0.0787786, DIVERSITY_MEAN_INTER_LIST: 0.9910714, DIVERSITY_HERFINDAHL: 0.9990896, COVERAGE_ITEM: 0.5092127, COVERAGE_ITEM_CORRECT: 0.0555611, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2148735, DIVERSITY_GINI: 0.1982587, SHANNON_ENTROPY: 12.1953788, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.8206572202388013, 'b': 0.3784777643034962, 'c': 0.9536528270180739, 'normalize': False} - results: ROC_AUC: 0.1890952, PRECISION: 0.0409597, PRECISION_RECALL_MIN_DEN: 0.1482369, RECALL: 0.1439603, MAP: 0.0669689, MRR: 0.1384363, NDCG: 0.1015141, F1: 0.0637740, HIT_RATE: 0.4095968, ARHR: 0.1607713, NOVELTY: 0.0049629, AVERAGE_POPULARITY: 0.0767519, DIVERSITY_MEAN_INTER_LIST: 0.9915062, DIVERSITY_HERFINDAHL: 0.9991331, COVERAGE_ITEM: 0.5137478, COVERAGE_ITEM_CORRECT: 0.0553994, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2137914, DIVERSITY_GINI: 0.2022785, SHANNON_ENTROPY: 12.2419089, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.046610359553578624, 'b': 0.5005477733841615, 'c': 0.9763420882882038, 'normalize': True} - results: ROC_AUC: 0.1980301, PRECISION: 0.0431588, PRECISION_RECALL_MIN_DEN: 0.1545417, RECALL: 0.1500109, MAP: 0.0712590, MRR: 0.1467223, NDCG: 0.1070970, F1: 0.0670315, HIT_RATE: 0.4315877, ARHR: 0.1709429, NOVELTY: 0.0048271, AVERAGE_POPULARITY: 0.1017738, DIVERSITY_MEAN_INTER_LIST: 0.9869628, DIVERSITY_HERFINDAHL: 0.9986788, COVERAGE_ITEM: 0.4444966, COVERAGE_ITEM_CORRECT: 0.0545448, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2231031, DIVERSITY_GINI: 0.1461481, SHANNON_ENTROPY: 11.6226042, 
