
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.4881590077607444, 'b': 0.20081626691083249, 'c': 0.2623140889346908, 'normalize': True} - results: ROC_AUC: 0.1876534, PRECISION: 0.0406066, PRECISION_RECALL_MIN_DEN: 0.1470829, RECALL: 0.1429987, MAP: 0.0669146, MRR: 0.1379683, NDCG: 0.1012305, F1: 0.0632514, HIT_RATE: 0.4060664, ARHR: 0.1598884, NOVELTY: 0.0050602, AVERAGE_POPULARITY: 0.0577905, DIVERSITY_MEAN_INTER_LIST: 0.9955107, DIVERSITY_HERFINDAHL: 0.9995335, COVERAGE_ITEM: 0.5592839, COVERAGE_ITEM_CORRECT: 0.0598961, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2116270, DIVERSITY_GINI: 0.2401890, SHANNON_ENTROPY: 12.6718828, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.38363935777077096, 'b': 0.7441426530045098, 'c': 0.598864893828389, 'normalize': False} - results: ROC_AUC: 0.1898290, PRECISION: 0.0412676, PRECISION_RECALL_MIN_DEN: 0.1492150, RECALL: 0.1448649, MAP: 0.0679586, MRR: 0.1396738, NDCG: 0.1025443, F1: 0.0642355, HIT_RATE: 0.4126759, ARHR: 0.1624286, NOVELTY: 0.0050327, AVERAGE_POPULARITY: 0.0617292, DIVERSITY_MEAN_INTER_LIST: 0.9946282, DIVERSITY_HERFINDAHL: 0.9994452, COVERAGE_ITEM: 0.5518460, COVERAGE_ITEM_CORRECT: 0.0590106, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141437, DIVERSITY_GINI: 0.2343330, SHANNON_ENTROPY: 12.5856875, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.6776278311394702, 'b': 0.5320285721506642, 'c': 0.8584851408266911, 'normalize': False} - results: ROC_AUC: 0.1838441, PRECISION: 0.0399107, PRECISION_RECALL_MIN_DEN: 0.1444897, RECALL: 0.1402696, MAP: 0.0653652, MRR: 0.1345895, NDCG: 0.0989232, F1: 0.0621402, HIT_RATE: 0.3991073, ARHR: 0.1563312, NOVELTY: 0.0050614, AVERAGE_POPULARITY: 0.0566528, DIVERSITY_MEAN_INTER_LIST: 0.9952763, DIVERSITY_HERFINDAHL: 0.9995100, COVERAGE_ITEM: 0.5609856, COVERAGE_ITEM_CORRECT: 0.0581097, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2081289, DIVERSITY_GINI: 0.2437874, SHANNON_ENTROPY: 12.6796350, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.7778700433001888, 'b': 0.5002350769147496, 'c': 0.778869293237108, 'normalize': False} - results: ROC_AUC: 0.1795304, PRECISION: 0.0387051, PRECISION_RECALL_MIN_DEN: 0.1399269, RECALL: 0.1358364, MAP: 0.0632535, MRR: 0.1309425, NDCG: 0.0958995, F1: 0.0602435, HIT_RATE: 0.3870510, ARHR: 0.1515605, NOVELTY: 0.0050844, AVERAGE_POPULARITY: 0.0525887, DIVERSITY_MEAN_INTER_LIST: 0.9957860, DIVERSITY_HERFINDAHL: 0.9995610, COVERAGE_ITEM: 0.5680462, COVERAGE_ITEM_CORRECT: 0.0573474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.2510806, SHANNON_ENTROPY: 12.7529007, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.591048703840591, 'b': 0.1239206111606134, 'c': 0.73551927445136, 'normalize': False} - results: ROC_AUC: 0.1815219, PRECISION: 0.0394229, PRECISION_RECALL_MIN_DEN: 0.1425223, RECALL: 0.1383508, MAP: 0.0643130, MRR: 0.1328620, NDCG: 0.0975023, F1: 0.0613606, HIT_RATE: 0.3942291, ARHR: 0.1541894, NOVELTY: 0.0050703, AVERAGE_POPULARITY: 0.0550176, DIVERSITY_MEAN_INTER_LIST: 0.9954541, DIVERSITY_HERFINDAHL: 0.9995278, COVERAGE_ITEM: 0.5637421, COVERAGE_ITEM_CORRECT: 0.0577016, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2059645, DIVERSITY_GINI: 0.2468492, SHANNON_ENTROPY: 12.7083456, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.7106466950218706, 'b': 0.8623583197155437, 'c': 0.9025620788422002, 'normalize': True} - results: ROC_AUC: 0.2015713, PRECISION: 0.0442148, PRECISION_RECALL_MIN_DEN: 0.1583143, RECALL: 0.1536550, MAP: 0.0729308, MRR: 0.1497656, NDCG: 0.1095461, F1: 0.0686690, HIT_RATE: 0.4421475, ARHR: 0.1752543, NOVELTY: 0.0049428, AVERAGE_POPULARITY: 0.0788486, DIVERSITY_MEAN_INTER_LIST: 0.9924977, DIVERSITY_HERFINDAHL: 0.9992322, COVERAGE_ITEM: 0.5093744, COVERAGE_ITEM_CORRECT: 0.0604119, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2260979, DIVERSITY_GINI: 0.1933636, SHANNON_ENTROPY: 12.2075963, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.6450965126739451, 'b': 0.07813061243107756, 'c': 0.48639286588668396, 'normalize': False} - results: ROC_AUC: 0.1701990, PRECISION: 0.0367192, PRECISION_RECALL_MIN_DEN: 0.1333688, RECALL: 0.1295398, MAP: 0.0592657, MRR: 0.1231824, NDCG: 0.0905302, F1: 0.0572172, HIT_RATE: 0.3671920, ARHR: 0.1419583, NOVELTY: 0.0051222, AVERAGE_POPULARITY: 0.0458748, DIVERSITY_MEAN_INTER_LIST: 0.9964790, DIVERSITY_HERFINDAHL: 0.9996303, COVERAGE_ITEM: 0.5791646, COVERAGE_ITEM_CORRECT: 0.0561617, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1952435, DIVERSITY_GINI: 0.2622851, SHANNON_ENTROPY: 12.8612523, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.41984683862910166, 'b': 0.006443949551047769, 'c': 0.009416226422062414, 'normalize': True} - results: ROC_AUC: 0.1130796, PRECISION: 0.0240861, PRECISION_RECALL_MIN_DEN: 0.0889853, RECALL: 0.0864360, MAP: 0.0380649, MRR: 0.0788532, NDCG: 0.0588938, F1: 0.0376716, HIT_RATE: 0.2408606, ARHR: 0.0892610, NOVELTY: 0.0052804, AVERAGE_POPULARITY: 0.0190724, DIVERSITY_MEAN_INTER_LIST: 0.9977689, DIVERSITY_HERFINDAHL: 0.9997593, COVERAGE_ITEM: 0.6028258, COVERAGE_ITEM_CORRECT: 0.0456901, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1343652, DIVERSITY_GINI: 0.2890696, SHANNON_ENTROPY: 13.1067453, 

