
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8004841727063292, 'b': 0.5273131316094214, 'c': 0.8009326194820656, 'normalize': True} - results: ROC_AUC: 0.1794649, PRECISION: 0.0389682, PRECISION_RECALL_MIN_DEN: 0.1343202, RECALL: 0.1297567, MAP: 0.0616809, MRR: 0.1336886, NDCG: 0.0936087, F1: 0.0599359, HIT_RATE: 0.3896823, ARHR: 0.1556375, NOVELTY: 0.0048453, AVERAGE_POPULARITY: 0.0873047, DIVERSITY_MEAN_INTER_LIST: 0.9920313, DIVERSITY_HERFINDAHL: 0.9991856, COVERAGE_ITEM: 0.3318422, COVERAGE_ITEM_CORRECT: 0.0474302, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013590, DIVERSITY_GINI: 0.1052960, SHANNON_ENTROPY: 11.5535391, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6601892310937537, 'b': 0.04748431828718837, 'c': 0.9161364105476298, 'normalize': False} - results: ROC_AUC: 0.1798952, PRECISION: 0.0389224, PRECISION_RECALL_MIN_DEN: 0.1340276, RECALL: 0.1294644, MAP: 0.0615459, MRR: 0.1336591, NDCG: 0.0934736, F1: 0.0598503, HIT_RATE: 0.3892240, ARHR: 0.1556340, NOVELTY: 0.0048451, AVERAGE_POPULARITY: 0.0875712, DIVERSITY_MEAN_INTER_LIST: 0.9919687, DIVERSITY_HERFINDAHL: 0.9991793, COVERAGE_ITEM: 0.3331588, COVERAGE_ITEM_CORRECT: 0.0471838, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013338, DIVERSITY_GINI: 0.1056365, SHANNON_ENTROPY: 11.5528481, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.4794120025518753, 'b': 0.6387194566398117, 'c': 0.43625045783979666, 'normalize': True} - results: ROC_AUC: 0.1807005, PRECISION: 0.0391947, PRECISION_RECALL_MIN_DEN: 0.1349164, RECALL: 0.1302999, MAP: 0.0620177, MRR: 0.1344408, NDCG: 0.0941113, F1: 0.0602616, HIT_RATE: 0.3919470, ARHR: 0.1566852, NOVELTY: 0.0048422, AVERAGE_POPULARITY: 0.0886532, DIVERSITY_MEAN_INTER_LIST: 0.9917362, DIVERSITY_HERFINDAHL: 0.9991561, COVERAGE_ITEM: 0.3367084, COVERAGE_ITEM_CORRECT: 0.0471453, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2021140, DIVERSITY_GINI: 0.1064216, SHANNON_ENTROPY: 11.5468053, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9839851694739485, 'b': 0.04965875615681116, 'c': 0.2678584630833591, 'normalize': False} - results: ROC_AUC: 0.1736748, PRECISION: 0.0378839, PRECISION_RECALL_MIN_DEN: 0.1307549, RECALL: 0.1263245, MAP: 0.0591332, MRR: 0.1285762, NDCG: 0.0903172, F1: 0.0582871, HIT_RATE: 0.3788393, ARHR: 0.1495589, NOVELTY: 0.0048548, AVERAGE_POPULARITY: 0.0845129, DIVERSITY_MEAN_INTER_LIST: 0.9925355, DIVERSITY_HERFINDAHL: 0.9992360, COVERAGE_ITEM: 0.3230645, COVERAGE_ITEM_CORRECT: 0.0468219, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1973072, DIVERSITY_GINI: 0.1034144, SHANNON_ENTROPY: 11.5641926, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.2742924830763697, 'b': 0.5379090418771328, 'c': 0.2542977522124847, 'normalize': True} - results: ROC_AUC: 0.1819159, PRECISION: 0.0392400, PRECISION_RECALL_MIN_DEN: 0.1350529, RECALL: 0.1304646, MAP: 0.0621531, MRR: 0.1347606, NDCG: 0.0943497, F1: 0.0603329, HIT_RATE: 0.3924005, ARHR: 0.1571090, NOVELTY: 0.0048389, AVERAGE_POPULARITY: 0.0900160, DIVERSITY_MEAN_INTER_LIST: 0.9914267, DIVERSITY_HERFINDAHL: 0.9991251, COVERAGE_ITEM: 0.3415130, COVERAGE_ITEM_CORRECT: 0.0467141, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024160, DIVERSITY_GINI: 0.1075366, SHANNON_ENTROPY: 11.5396945, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6328407484654567, 'b': 0.034837535263440474, 'c': 0.5159381904176225, 'normalize': True} - results: ROC_AUC: 0.1761065, PRECISION: 0.0383151, PRECISION_RECALL_MIN_DEN: 0.1327093, RECALL: 0.1282469, MAP: 0.0603673, MRR: 0.1307492, NDCG: 0.0919102, F1: 0.0590017, HIT_RATE: 0.3831511, ARHR: 0.1520370, NOVELTY: 0.0048518, AVERAGE_POPULARITY: 0.0851178, DIVERSITY_MEAN_INTER_LIST: 0.9924582, DIVERSITY_HERFINDAHL: 0.9992283, COVERAGE_ITEM: 0.3240577, COVERAGE_ITEM_CORRECT: 0.0475457, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1990940, DIVERSITY_GINI: 0.1036720, SHANNON_ENTROPY: 11.5631279, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.3871632892694016, 'b': 0.9492672161251688, 'c': 0.29656482663949874, 'normalize': True} - results: ROC_AUC: 0.1820848, PRECISION: 0.0392471, PRECISION_RECALL_MIN_DEN: 0.1350209, RECALL: 0.1304242, MAP: 0.0621429, MRR: 0.1347367, NDCG: 0.0943363, F1: 0.0603367, HIT_RATE: 0.3924709, ARHR: 0.1570940, NOVELTY: 0.0048379, AVERAGE_POPULARITY: 0.0905825, DIVERSITY_MEAN_INTER_LIST: 0.9912724, DIVERSITY_HERFINDAHL: 0.9991097, COVERAGE_ITEM: 0.3437921, COVERAGE_ITEM_CORRECT: 0.0465602, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026173, DIVERSITY_GINI: 0.1080760, SHANNON_ENTROPY: 11.5358830, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.41128585884793933, 'b': 0.9978759012946641, 'c': 0.17192964847984818, 'normalize': False} - results: ROC_AUC: 0.1775105, PRECISION: 0.0379296, PRECISION_RECALL_MIN_DEN: 0.1306126, RECALL: 0.1263773, MAP: 0.0607479, MRR: 0.1319380, NDCG: 0.0920588, F1: 0.0583466, HIT_RATE: 0.3792961, ARHR: 0.1528087, NOVELTY: 0.0047947, AVERAGE_POPULARITY: 0.1073235, DIVERSITY_MEAN_INTER_LIST: 0.9859812, DIVERSITY_HERFINDAHL: 0.9985807, COVERAGE_ITEM: 0.3878114, COVERAGE_ITEM_CORRECT: 0.0423330, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978860, DIVERSITY_GINI: 0.1188949, SHANNON_ENTROPY: 11.3738581, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5871692974652369, 'b': 0.06170044040084456, 'c': 0.2812128955933217, 'normalize': True} - results: ROC_AUC: 0.1733263, PRECISION: 0.0376897, PRECISION_RECALL_MIN_DEN: 0.1306191, RECALL: 0.1262824, MAP: 0.0590992, MRR: 0.1282980, NDCG: 0.0902666, F1: 0.0580521, HIT_RATE: 0.3768966, ARHR: 0.1488801, NOVELTY: 0.0048559, AVERAGE_POPULARITY: 0.0838982, DIVERSITY_MEAN_INTER_LIST: 0.9926588, DIVERSITY_HERFINDAHL: 0.9992483, COVERAGE_ITEM: 0.3206314, COVERAGE_ITEM_CORRECT: 0.0472377, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968542, DIVERSITY_GINI: 0.1029556, SHANNON_ENTROPY: 11.5676146, 
