
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8004841727063292, 'b': 0.5273131316094214, 'c': 0.8009326194820656, 'normalize': True} - results: ROC_AUC: 0.1759188, PRECISION: 0.0379893, PRECISION_RECALL_MIN_DEN: 0.1307266, RECALL: 0.1262694, MAP: 0.0592652, MRR: 0.1292920, NDCG: 0.0905821, F1: 0.0584061, HIT_RATE: 0.3798932, ARHR: 0.1504183, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.0896006, DIVERSITY_MEAN_INTER_LIST: 0.9915149, DIVERSITY_HERFINDAHL: 0.9991340, COVERAGE_ITEM: 0.3205852, COVERAGE_ITEM_CORRECT: 0.0453128, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1977853, DIVERSITY_GINI: 0.1015044, SHANNON_ENTROPY: 11.4954871, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6601892310937537, 'b': 0.04748431828718837, 'c': 0.9161364105476298, 'normalize': False} - results: ROC_AUC: 0.1761189, PRECISION: 0.0381667, PRECISION_RECALL_MIN_DEN: 0.1314448, RECALL: 0.1269893, MAP: 0.0593817, MRR: 0.1296989, NDCG: 0.0908979, F1: 0.0586928, HIT_RATE: 0.3816670, ARHR: 0.1509736, NOVELTY: 0.0048437, AVERAGE_POPULARITY: 0.0888229, DIVERSITY_MEAN_INTER_LIST: 0.9916837, DIVERSITY_HERFINDAHL: 0.9991508, COVERAGE_ITEM: 0.3198999, COVERAGE_ITEM_CORRECT: 0.0456516, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1984900, DIVERSITY_GINI: 0.1014440, SHANNON_ENTROPY: 11.5022389, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.4794120025518753, 'b': 0.6387194566398117, 'c': 0.43625045783979666, 'normalize': True} - results: ROC_AUC: 0.1771937, PRECISION: 0.0384810, PRECISION_RECALL_MIN_DEN: 0.1320465, RECALL: 0.1275257, MAP: 0.0599109, MRR: 0.1305379, NDCG: 0.0915652, F1: 0.0591214, HIT_RATE: 0.3848095, ARHR: 0.1521177, NOVELTY: 0.0048395, AVERAGE_POPULARITY: 0.0907265, DIVERSITY_MEAN_INTER_LIST: 0.9912585, DIVERSITY_HERFINDAHL: 0.9991083, COVERAGE_ITEM: 0.3259827, COVERAGE_ITEM_CORRECT: 0.0454052, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1994463, DIVERSITY_GINI: 0.1028032, SHANNON_ENTROPY: 11.4929745, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9839851694739485, 'b': 0.04965875615681116, 'c': 0.2678584630833591, 'normalize': False} - results: ROC_AUC: 0.1723347, PRECISION: 0.0375658, PRECISION_RECALL_MIN_DEN: 0.1298098, RECALL: 0.1254005, MAP: 0.0584655, MRR: 0.1276167, NDCG: 0.0894774, F1: 0.0578126, HIT_RATE: 0.3756580, ARHR: 0.1482568, NOVELTY: 0.0048524, AVERAGE_POPULARITY: 0.0852035, DIVERSITY_MEAN_INTER_LIST: 0.9924060, DIVERSITY_HERFINDAHL: 0.9992231, COVERAGE_ITEM: 0.3114225, COVERAGE_ITEM_CORRECT: 0.0462137, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960488, DIVERSITY_GINI: 0.0999325, SHANNON_ENTROPY: 11.5250884, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.2742924830763697, 'b': 0.5379090418771328, 'c': 0.2542977522124847, 'normalize': True} - results: ROC_AUC: 0.1786645, PRECISION: 0.0386753, PRECISION_RECALL_MIN_DEN: 0.1324386, RECALL: 0.1278930, MAP: 0.0605833, MRR: 0.1317766, NDCG: 0.0922903, F1: 0.0593902, HIT_RATE: 0.3867527, ARHR: 0.1536740, NOVELTY: 0.0048363, AVERAGE_POPULARITY: 0.0920331, DIVERSITY_MEAN_INTER_LIST: 0.9909454, DIVERSITY_HERFINDAHL: 0.9990770, COVERAGE_ITEM: 0.3315265, COVERAGE_ITEM_CORRECT: 0.0452512, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999748, DIVERSITY_GINI: 0.1041190, SHANNON_ENTROPY: 11.4882634, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6328407484654567, 'b': 0.034837535263440474, 'c': 0.5159381904176225, 'normalize': True} - results: ROC_AUC: 0.1729921, PRECISION: 0.0374805, PRECISION_RECALL_MIN_DEN: 0.1295159, RECALL: 0.1251354, MAP: 0.0581577, MRR: 0.1271770, NDCG: 0.0892345, F1: 0.0576828, HIT_RATE: 0.3748046, ARHR: 0.1476681, NOVELTY: 0.0048486, AVERAGE_POPULARITY: 0.0871755, DIVERSITY_MEAN_INTER_LIST: 0.9920169, DIVERSITY_HERFINDAHL: 0.9991842, COVERAGE_ITEM: 0.3116535, COVERAGE_ITEM_CORRECT: 0.0454129, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1959985, DIVERSITY_GINI: 0.0994923, SHANNON_ENTROPY: 11.5032064, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.3871632892694016, 'b': 0.9492672161251688, 'c': 0.29656482663949874, 'normalize': True} - results: ROC_AUC: 0.1786235, PRECISION: 0.0389082, PRECISION_RECALL_MIN_DEN: 0.1329606, RECALL: 0.1283433, MAP: 0.0608288, MRR: 0.1322838, NDCG: 0.0926561, F1: 0.0597131, HIT_RATE: 0.3890816, ARHR: 0.1543848, NOVELTY: 0.0048352, AVERAGE_POPULARITY: 0.0923168, DIVERSITY_MEAN_INTER_LIST: 0.9908683, DIVERSITY_HERFINDAHL: 0.9990693, COVERAGE_ITEM: 0.3336054, COVERAGE_ITEM_CORRECT: 0.0453821, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2003272, DIVERSITY_GINI: 0.1046533, SHANNON_ENTROPY: 11.4882454, 
