
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8004841727063292, 'b': 0.5273131316094214, 'c': 0.8009326194820656, 'normalize': True} - results: ROC_AUC: 0.1791723, PRECISION: 0.0389295, PRECISION_RECALL_MIN_DEN: 0.1341748, RECALL: 0.1296010, MAP: 0.0615491, MRR: 0.1332999, NDCG: 0.0934236, F1: 0.0598734, HIT_RATE: 0.3892947, ARHR: 0.1552368, NOVELTY: 0.0048432, AVERAGE_POPULARITY: 0.0875378, DIVERSITY_MEAN_INTER_LIST: 0.9920008, DIVERSITY_HERFINDAHL: 0.9991825, COVERAGE_ITEM: 0.3296323, COVERAGE_ITEM_CORRECT: 0.0473455, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2011828, DIVERSITY_GINI: 0.1044365, SHANNON_ENTROPY: 11.5440902, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6601892310937537, 'b': 0.04748431828718837, 'c': 0.9161364105476298, 'normalize': False} - results: ROC_AUC: 0.1806601, PRECISION: 0.0390568, PRECISION_RECALL_MIN_DEN: 0.1347057, RECALL: 0.1301316, MAP: 0.0617763, MRR: 0.1338730, NDCG: 0.0938454, F1: 0.0600800, HIT_RATE: 0.3905680, ARHR: 0.1559561, NOVELTY: 0.0048369, AVERAGE_POPULARITY: 0.0893956, DIVERSITY_MEAN_INTER_LIST: 0.9916155, DIVERSITY_HERFINDAHL: 0.9991440, COVERAGE_ITEM: 0.3332512, COVERAGE_ITEM_CORRECT: 0.0467064, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2021140, DIVERSITY_GINI: 0.1047560, SHANNON_ENTROPY: 11.5253255, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.4794120025518753, 'b': 0.6387194566398117, 'c': 0.43625045783979666, 'normalize': True} - results: ROC_AUC: 0.1800979, PRECISION: 0.0390920, PRECISION_RECALL_MIN_DEN: 0.1345312, RECALL: 0.1299187, MAP: 0.0618454, MRR: 0.1340018, NDCG: 0.0938390, F1: 0.0600993, HIT_RATE: 0.3909202, ARHR: 0.1560803, NOVELTY: 0.0048381, AVERAGE_POPULARITY: 0.0889969, DIVERSITY_MEAN_INTER_LIST: 0.9916989, DIVERSITY_HERFINDAHL: 0.9991524, COVERAGE_ITEM: 0.3328431, COVERAGE_ITEM_CORRECT: 0.0468835, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2019378, DIVERSITY_GINI: 0.1047967, SHANNON_ENTROPY: 11.5301577, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9839851694739485, 'b': 0.04965875615681116, 'c': 0.2678584630833591, 'normalize': False} - results: ROC_AUC: 0.1745580, PRECISION: 0.0380145, PRECISION_RECALL_MIN_DEN: 0.1312666, RECALL: 0.1268196, MAP: 0.0593605, MRR: 0.1290882, NDCG: 0.0906745, F1: 0.0584947, HIT_RATE: 0.3801453, ARHR: 0.1502546, NOVELTY: 0.0048477, AVERAGE_POPULARITY: 0.0860280, DIVERSITY_MEAN_INTER_LIST: 0.9922687, DIVERSITY_HERFINDAHL: 0.9992093, COVERAGE_ITEM: 0.3230337, COVERAGE_ITEM_CORRECT: 0.0465987, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1976847, DIVERSITY_GINI: 0.1027063, SHANNON_ENTROPY: 11.5420259, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.2742924830763697, 'b': 0.5379090418771328, 'c': 0.2542977522124847, 'normalize': True} - results: ROC_AUC: 0.1811278, PRECISION: 0.0391518, PRECISION_RECALL_MIN_DEN: 0.1349299, RECALL: 0.1303414, MAP: 0.0619913, MRR: 0.1341829, NDCG: 0.0941315, F1: 0.0602148, HIT_RATE: 0.3915179, ARHR: 0.1563517, NOVELTY: 0.0048331, AVERAGE_POPULARITY: 0.0905396, DIVERSITY_MEAN_INTER_LIST: 0.9913600, DIVERSITY_HERFINDAHL: 0.9991185, COVERAGE_ITEM: 0.3360000, COVERAGE_ITEM_CORRECT: 0.0465371, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2023657, DIVERSITY_GINI: 0.1052427, SHANNON_ENTROPY: 11.5155576, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6328407484654567, 'b': 0.034837535263440474, 'c': 0.5159381904176225, 'normalize': True} - results: ROC_AUC: 0.1759721, PRECISION: 0.0383257, PRECISION_RECALL_MIN_DEN: 0.1326456, RECALL: 0.1281744, MAP: 0.0603368, MRR: 0.1307355, NDCG: 0.0918724, F1: 0.0590066, HIT_RATE: 0.3832566, ARHR: 0.1520311, NOVELTY: 0.0048516, AVERAGE_POPULARITY: 0.0851379, DIVERSITY_MEAN_INTER_LIST: 0.9924555, DIVERSITY_HERFINDAHL: 0.9992280, COVERAGE_ITEM: 0.3237575, COVERAGE_ITEM_CORRECT: 0.0475457, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989933, DIVERSITY_GINI: 0.1035642, SHANNON_ENTROPY: 11.5619544, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.3871632892694016, 'b': 0.9492672161251688, 'c': 0.29656482663949874, 'normalize': True} - results: ROC_AUC: 0.1811532, PRECISION: 0.0390244, PRECISION_RECALL_MIN_DEN: 0.1346000, RECALL: 0.1300536, MAP: 0.0617620, MRR: 0.1338608, NDCG: 0.0938716, F1: 0.0600335, HIT_RATE: 0.3902441, ARHR: 0.1559588, NOVELTY: 0.0048307, AVERAGE_POPULARITY: 0.0913119, DIVERSITY_MEAN_INTER_LIST: 0.9911826, DIVERSITY_HERFINDAHL: 0.9991007, COVERAGE_ITEM: 0.3370703, COVERAGE_ITEM_CORRECT: 0.0460828, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020637, DIVERSITY_GINI: 0.1052834, SHANNON_ENTROPY: 11.5064459, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.41128585884793933, 'b': 0.9978759012946641, 'c': 0.17192964847984818, 'normalize': False} - results: ROC_AUC: 0.1761449, PRECISION: 0.0374238, PRECISION_RECALL_MIN_DEN: 0.1301106, RECALL: 0.1260067, MAP: 0.0604169, MRR: 0.1305529, NDCG: 0.0915217, F1: 0.0577068, HIT_RATE: 0.3742383, ARHR: 0.1508384, NOVELTY: 0.0047628, AVERAGE_POPULARITY: 0.1151280, DIVERSITY_MEAN_INTER_LIST: 0.9833562, DIVERSITY_HERFINDAHL: 0.9983182, COVERAGE_ITEM: 0.3879731, COVERAGE_ITEM_CORRECT: 0.0408085, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966780, DIVERSITY_GINI: 0.1149885, SHANNON_ENTROPY: 11.2305194, 
