
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8004841727063292, 'b': 0.5273131316094214, 'c': 0.8009326194820656, 'normalize': True} - results: ROC_AUC: 0.1754863, PRECISION: 0.0379117, PRECISION_RECALL_MIN_DEN: 0.1305238, RECALL: 0.1260872, MAP: 0.0591132, MRR: 0.1288711, NDCG: 0.0903788, F1: 0.0582949, HIT_RATE: 0.3791175, ARHR: 0.1499499, NOVELTY: 0.0048405, AVERAGE_POPULARITY: 0.0897803, DIVERSITY_MEAN_INTER_LIST: 0.9914909, DIVERSITY_HERFINDAHL: 0.9991316, COVERAGE_ITEM: 0.3181367, COVERAGE_ITEM_CORRECT: 0.0451819, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972065, DIVERSITY_GINI: 0.1005726, SHANNON_ENTROPY: 11.4853866, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6601892310937537, 'b': 0.04748431828718837, 'c': 0.9161364105476298, 'normalize': False} - results: ROC_AUC: 0.1765337, PRECISION: 0.0382827, PRECISION_RECALL_MIN_DEN: 0.1318347, RECALL: 0.1273463, MAP: 0.0596733, MRR: 0.1300369, NDCG: 0.0912380, F1: 0.0588677, HIT_RATE: 0.3828269, ARHR: 0.1514815, NOVELTY: 0.0048350, AVERAGE_POPULARITY: 0.0906965, DIVERSITY_MEAN_INTER_LIST: 0.9913100, DIVERSITY_HERFINDAHL: 0.9991135, COVERAGE_ITEM: 0.3202310, COVERAGE_ITEM_CORRECT: 0.0452589, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1987165, DIVERSITY_GINI: 0.1006276, SHANNON_ENTROPY: 11.4743738, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.4794120025518753, 'b': 0.6387194566398117, 'c': 0.43625045783979666, 'normalize': True} - results: ROC_AUC: 0.1766628, PRECISION: 0.0383216, PRECISION_RECALL_MIN_DEN: 0.1318160, RECALL: 0.1273362, MAP: 0.0596264, MRR: 0.1298337, NDCG: 0.0912180, F1: 0.0589126, HIT_RATE: 0.3832162, ARHR: 0.1511760, NOVELTY: 0.0048352, AVERAGE_POPULARITY: 0.0911655, DIVERSITY_MEAN_INTER_LIST: 0.9911965, DIVERSITY_HERFINDAHL: 0.9991021, COVERAGE_ITEM: 0.3216554, COVERAGE_ITEM_CORRECT: 0.0452358, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991192, DIVERSITY_GINI: 0.1010455, SHANNON_ENTROPY: 11.4735772, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9839851694739485, 'b': 0.04965875615681116, 'c': 0.2678584630833591, 'normalize': False} - results: ROC_AUC: 0.1732155, PRECISION: 0.0378307, PRECISION_RECALL_MIN_DEN: 0.1305682, RECALL: 0.1261317, MAP: 0.0587932, MRR: 0.1281641, NDCG: 0.0899887, F1: 0.0582036, HIT_RATE: 0.3783070, ARHR: 0.1491063, NOVELTY: 0.0048454, AVERAGE_POPULARITY: 0.0866641, DIVERSITY_MEAN_INTER_LIST: 0.9921497, DIVERSITY_HERFINDAHL: 0.9991974, COVERAGE_ITEM: 0.3116150, COVERAGE_ITEM_CORRECT: 0.0460982, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968793, DIVERSITY_GINI: 0.0992547, SHANNON_ENTROPY: 11.5039599, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.2742924830763697, 'b': 0.5379090418771328, 'c': 0.2542977522124847, 'normalize': True} - results: ROC_AUC: 0.1777675, PRECISION: 0.0385299, PRECISION_RECALL_MIN_DEN: 0.1321330, RECALL: 0.1276106, MAP: 0.0601700, MRR: 0.1308122, NDCG: 0.0918153, F1: 0.0591881, HIT_RATE: 0.3852991, ARHR: 0.1524598, NOVELTY: 0.0048304, AVERAGE_POPULARITY: 0.0926363, DIVERSITY_MEAN_INTER_LIST: 0.9908593, DIVERSITY_HERFINDAHL: 0.9990684, COVERAGE_ITEM: 0.3254437, COVERAGE_ITEM_CORRECT: 0.0450433, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997483, DIVERSITY_GINI: 0.1017124, SHANNON_ENTROPY: 11.4620908, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6328407484654567, 'b': 0.034837535263440474, 'c': 0.5159381904176225, 'normalize': True} - results: ROC_AUC: 0.1729742, PRECISION: 0.0374310, PRECISION_RECALL_MIN_DEN: 0.1293889, RECALL: 0.1250253, MAP: 0.0581435, MRR: 0.1271284, NDCG: 0.0891863, F1: 0.0576127, HIT_RATE: 0.3743104, ARHR: 0.1475837, NOVELTY: 0.0048485, AVERAGE_POPULARITY: 0.0871938, DIVERSITY_MEAN_INTER_LIST: 0.9920151, DIVERSITY_HERFINDAHL: 0.9991840, COVERAGE_ITEM: 0.3114764, COVERAGE_ITEM_CORRECT: 0.0453282, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1958475, DIVERSITY_GINI: 0.0994220, SHANNON_ENTROPY: 11.5024605, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.3871632892694016, 'b': 0.9492672161251688, 'c': 0.29656482663949874, 'normalize': True} - results: ROC_AUC: 0.1782595, PRECISION: 0.0385829, PRECISION_RECALL_MIN_DEN: 0.1324716, RECALL: 0.1279360, MAP: 0.0604352, MRR: 0.1313305, NDCG: 0.0921255, F1: 0.0592856, HIT_RATE: 0.3858288, ARHR: 0.1531860, NOVELTY: 0.0048280, AVERAGE_POPULARITY: 0.0931433, DIVERSITY_MEAN_INTER_LIST: 0.9907455, DIVERSITY_HERFINDAHL: 0.9990570, COVERAGE_ITEM: 0.3269528, COVERAGE_ITEM_CORRECT: 0.0450356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995470, DIVERSITY_GINI: 0.1018682, SHANNON_ENTROPY: 11.4569966, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.41128585884793933, 'b': 0.9978759012946641, 'c': 0.17192964847984818, 'normalize': False} - results: ROC_AUC: 0.1754974, PRECISION: 0.0371977, PRECISION_RECALL_MIN_DEN: 0.1290146, RECALL: 0.1249280, MAP: 0.0599274, MRR: 0.1299788, NDCG: 0.0908555, F1: 0.0573253, HIT_RATE: 0.3719766, ARHR: 0.1501048, NOVELTY: 0.0047595, AVERAGE_POPULARITY: 0.1158458, DIVERSITY_MEAN_INTER_LIST: 0.9831756, DIVERSITY_HERFINDAHL: 0.9983002, COVERAGE_ITEM: 0.3781944, COVERAGE_ITEM_CORRECT: 0.0403465, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1957972, DIVERSITY_GINI: 0.1113491, SHANNON_ENTROPY: 11.1969265, 
