
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8004841727063292, 'b': 0.5273131316094214, 'c': 0.8009326194820656, 'normalize': True} - results: ROC_AUC: 0.1748436, PRECISION: 0.0379894, PRECISION_RECALL_MIN_DEN: 0.1309635, RECALL: 0.1264764, MAP: 0.0593081, MRR: 0.1291020, NDCG: 0.0905600, F1: 0.0584286, HIT_RATE: 0.3798944, ARHR: 0.1502465, NOVELTY: 0.0048438, AVERAGE_POPULARITY: 0.0871965, DIVERSITY_MEAN_INTER_LIST: 0.9920220, DIVERSITY_HERFINDAHL: 0.9991847, COVERAGE_ITEM: 0.3149413, COVERAGE_ITEM_CORRECT: 0.0462060, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1976595, DIVERSITY_GINI: 0.1000544, SHANNON_ENTROPY: 11.5040054, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6601892310937537, 'b': 0.04748431828718837, 'c': 0.9161364105476298, 'normalize': False} - results: ROC_AUC: 0.1785384, PRECISION: 0.0384661, PRECISION_RECALL_MIN_DEN: 0.1322533, RECALL: 0.1279280, MAP: 0.0613011, MRR: 0.1325298, NDCG: 0.0929077, F1: 0.0591467, HIT_RATE: 0.3846614, ARHR: 0.1539405, NOVELTY: 0.0048002, AVERAGE_POPULARITY: 0.1045936, DIVERSITY_MEAN_INTER_LIST: 0.9870869, DIVERSITY_HERFINDAHL: 0.9986912, COVERAGE_ITEM: 0.3697324, COVERAGE_ITEM_CORRECT: 0.0430491, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995722, DIVERSITY_GINI: 0.1130826, SHANNON_ENTROPY: 11.3768907, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.4794120025518753, 'b': 0.6387194566398117, 'c': 0.43625045783979666, 'normalize': True} - results: ROC_AUC: 0.1755858, PRECISION: 0.0380954, PRECISION_RECALL_MIN_DEN: 0.1311966, RECALL: 0.1267241, MAP: 0.0595165, MRR: 0.1294715, NDCG: 0.0908396, F1: 0.0585803, HIT_RATE: 0.3809544, ARHR: 0.1507045, NOVELTY: 0.0048388, AVERAGE_POPULARITY: 0.0881847, DIVERSITY_MEAN_INTER_LIST: 0.9918202, DIVERSITY_HERFINDAHL: 0.9991645, COVERAGE_ITEM: 0.3149413, COVERAGE_ITEM_CORRECT: 0.0461521, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1982132, DIVERSITY_GINI: 0.0995388, SHANNON_ENTROPY: 11.4875461, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9839851694739485, 'b': 0.04965875615681116, 'c': 0.2678584630833591, 'normalize': False} - results: ROC_AUC: 0.1797932, PRECISION: 0.0390348, PRECISION_RECALL_MIN_DEN: 0.1340808, RECALL: 0.1295087, MAP: 0.0614967, MRR: 0.1334717, NDCG: 0.0935042, F1: 0.0599876, HIT_RATE: 0.3903483, ARHR: 0.1556143, NOVELTY: 0.0048307, AVERAGE_POPULARITY: 0.0926267, DIVERSITY_MEAN_INTER_LIST: 0.9907708, DIVERSITY_HERFINDAHL: 0.9990596, COVERAGE_ITEM: 0.3355380, COVERAGE_ITEM_CORRECT: 0.0456978, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013087, DIVERSITY_GINI: 0.1047979, SHANNON_ENTROPY: 11.4806973, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.2742924830763697, 'b': 0.5379090418771328, 'c': 0.2542977522124847, 'normalize': True} - results: ROC_AUC: 0.1763759, PRECISION: 0.0382720, PRECISION_RECALL_MIN_DEN: 0.1318423, RECALL: 0.1273681, MAP: 0.0599008, MRR: 0.1301873, NDCG: 0.0913688, F1: 0.0588578, HIT_RATE: 0.3827200, ARHR: 0.1515237, NOVELTY: 0.0048336, AVERAGE_POPULARITY: 0.0893715, DIVERSITY_MEAN_INTER_LIST: 0.9915700, DIVERSITY_HERFINDAHL: 0.9991395, COVERAGE_ITEM: 0.3160346, COVERAGE_ITEM_CORRECT: 0.0459904, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989178, DIVERSITY_GINI: 0.0993605, SHANNON_ENTROPY: 11.4720688, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6328407484654567, 'b': 0.034837535263440474, 'c': 0.5159381904176225, 'normalize': True} - results: ROC_AUC: 0.1721494, PRECISION: 0.0376220, PRECISION_RECALL_MIN_DEN: 0.1295989, RECALL: 0.1251890, MAP: 0.0583878, MRR: 0.1273270, NDCG: 0.0893808, F1: 0.0578560, HIT_RATE: 0.3762196, ARHR: 0.1480919, NOVELTY: 0.0048518, AVERAGE_POPULARITY: 0.0851924, DIVERSITY_MEAN_INTER_LIST: 0.9924113, DIVERSITY_HERFINDAHL: 0.9992236, COVERAGE_ITEM: 0.3121001, COVERAGE_ITEM_CORRECT: 0.0463600, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960992, DIVERSITY_GINI: 0.1000648, SHANNON_ENTROPY: 11.5259756, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.3871632892694016, 'b': 0.9492672161251688, 'c': 0.29656482663949874, 'normalize': True} - results: ROC_AUC: 0.1764838, PRECISION: 0.0382191, PRECISION_RECALL_MIN_DEN: 0.1317693, RECALL: 0.1273061, MAP: 0.0598781, MRR: 0.1300831, NDCG: 0.0913361, F1: 0.0587886, HIT_RATE: 0.3821906, ARHR: 0.1514523, NOVELTY: 0.0048308, AVERAGE_POPULARITY: 0.0898174, DIVERSITY_MEAN_INTER_LIST: 0.9914733, DIVERSITY_HERFINDAHL: 0.9991298, COVERAGE_ITEM: 0.3149028, COVERAGE_ITEM_CORRECT: 0.0458595, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988675, DIVERSITY_GINI: 0.0988034, SHANNON_ENTROPY: 11.4614206, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.41128585884793933, 'b': 0.9978759012946641, 'c': 0.17192964847984818, 'normalize': False} - results: ROC_AUC: 0.1777655, PRECISION: 0.0378832, PRECISION_RECALL_MIN_DEN: 0.1302519, RECALL: 0.1259618, MAP: 0.0607565, MRR: 0.1317888, NDCG: 0.0919364, F1: 0.0582470, HIT_RATE: 0.3788318, ARHR: 0.1526811, NOVELTY: 0.0047728, AVERAGE_POPULARITY: 0.1051562, DIVERSITY_MEAN_INTER_LIST: 0.9871114, DIVERSITY_HERFINDAHL: 0.9986937, COVERAGE_ITEM: 0.3467488, COVERAGE_ITEM_CORRECT: 0.0421097, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972065, DIVERSITY_GINI: 0.1016723, SHANNON_ENTROPY: 11.2590655, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5871692974652369, 'b': 0.06170044040084456, 'c': 0.2812128955933217, 'normalize': True} - results: ROC_AUC: 0.1708282, PRECISION: 0.0369651, PRECISION_RECALL_MIN_DEN: 0.1279771, RECALL: 0.1237155, MAP: 0.0576888, MRR: 0.1256533, NDCG: 0.0883060, F1: 0.0569221, HIT_RATE: 0.3696511, ARHR: 0.1457591, NOVELTY: 0.0048546, AVERAGE_POPULARITY: 0.0841300, DIVERSITY_MEAN_INTER_LIST: 0.9925993, DIVERSITY_HERFINDAHL: 0.9992424, COVERAGE_ITEM: 0.3081655, COVERAGE_ITEM_CORRECT: 0.0462137, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1936580, DIVERSITY_GINI: 0.0992773, SHANNON_ENTROPY: 11.5291228, 
