
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8004841727063292, 'b': 0.5273131316094214, 'c': 0.8009326194820656, 'normalize': True} - results: ROC_AUC: 0.1737349, PRECISION: 0.0378196, PRECISION_RECALL_MIN_DEN: 0.1303332, RECALL: 0.1258698, MAP: 0.0589622, MRR: 0.1281329, NDCG: 0.0900435, F1: 0.0581629, HIT_RATE: 0.3781958, ARHR: 0.1491984, NOVELTY: 0.0048405, AVERAGE_POPULARITY: 0.0874190, DIVERSITY_MEAN_INTER_LIST: 0.9919971, DIVERSITY_HERFINDAHL: 0.9991822, COVERAGE_ITEM: 0.3108912, COVERAGE_ITEM_CORRECT: 0.0459596, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969297, DIVERSITY_GINI: 0.0986082, SHANNON_ENTROPY: 11.4887356, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6601892310937537, 'b': 0.04748431828718837, 'c': 0.9161364105476298, 'normalize': False} - results: ROC_AUC: 0.1771827, PRECISION: 0.0378514, PRECISION_RECALL_MIN_DEN: 0.1311085, RECALL: 0.1269258, MAP: 0.0609886, MRR: 0.1315637, NDCG: 0.0922844, F1: 0.0583124, HIT_RATE: 0.3785136, ARHR: 0.1523005, NOVELTY: 0.0047668, AVERAGE_POPULARITY: 0.1123765, DIVERSITY_MEAN_INTER_LIST: 0.9846223, DIVERSITY_HERFINDAHL: 0.9984448, COVERAGE_ITEM: 0.3683311, COVERAGE_ITEM_CORRECT: 0.0414244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978105, DIVERSITY_GINI: 0.1089882, SHANNON_ENTROPY: 11.2364929, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.4794120025518753, 'b': 0.6387194566398117, 'c': 0.43625045783979666, 'normalize': True} - results: ROC_AUC: 0.1745560, PRECISION: 0.0379751, PRECISION_RECALL_MIN_DEN: 0.1307598, RECALL: 0.1262790, MAP: 0.0592657, MRR: 0.1287307, NDCG: 0.0904438, F1: 0.0583903, HIT_RATE: 0.3797511, ARHR: 0.1499189, NOVELTY: 0.0048356, AVERAGE_POPULARITY: 0.0884534, DIVERSITY_MEAN_INTER_LIST: 0.9917827, DIVERSITY_HERFINDAHL: 0.9991607, COVERAGE_ITEM: 0.3112223, COVERAGE_ITEM_CORRECT: 0.0459211, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1974330, DIVERSITY_GINI: 0.0982100, SHANNON_ENTROPY: 11.4726849, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9839851694739485, 'b': 0.04965875615681116, 'c': 0.2678584630833591, 'normalize': False} - results: ROC_AUC: 0.1798730, PRECISION: 0.0390983, PRECISION_RECALL_MIN_DEN: 0.1345275, RECALL: 0.1300130, MAP: 0.0615414, MRR: 0.1333803, NDCG: 0.0937294, F1: 0.0601163, HIT_RATE: 0.3909832, ARHR: 0.1553596, NOVELTY: 0.0048095, AVERAGE_POPULARITY: 0.0975245, DIVERSITY_MEAN_INTER_LIST: 0.9896248, DIVERSITY_HERFINDAHL: 0.9989450, COVERAGE_ITEM: 0.3360616, COVERAGE_ITEM_CORRECT: 0.0446583, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025922, DIVERSITY_GINI: 0.1027856, SHANNON_ENTROPY: 11.4053238, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.2742924830763697, 'b': 0.5379090418771328, 'c': 0.2542977522124847, 'normalize': True} - results: ROC_AUC: 0.1757710, PRECISION: 0.0380633, PRECISION_RECALL_MIN_DEN: 0.1312531, RECALL: 0.1267785, MAP: 0.0597109, MRR: 0.1295154, NDCG: 0.0909883, F1: 0.0585480, HIT_RATE: 0.3806334, ARHR: 0.1508244, NOVELTY: 0.0048306, AVERAGE_POPULARITY: 0.0895944, DIVERSITY_MEAN_INTER_LIST: 0.9915406, DIVERSITY_HERFINDAHL: 0.9991365, COVERAGE_ITEM: 0.3124004, COVERAGE_ITEM_CORRECT: 0.0456978, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1982635, DIVERSITY_GINI: 0.0980492, SHANNON_ENTROPY: 11.4576217, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.6328407484654567, 'b': 0.034837535263440474, 'c': 0.5159381904176225, 'normalize': True} - results: ROC_AUC: 0.1713388, PRECISION: 0.0373853, PRECISION_RECALL_MIN_DEN: 0.1290722, RECALL: 0.1247094, MAP: 0.0580076, MRR: 0.1262530, NDCG: 0.0888576, F1: 0.0575255, HIT_RATE: 0.3738528, ARHR: 0.1468019, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.0853763, DIVERSITY_MEAN_INTER_LIST: 0.9923922, DIVERSITY_HERFINDAHL: 0.9992217, COVERAGE_ITEM: 0.3084735, COVERAGE_ITEM_CORRECT: 0.0461598, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1949667, DIVERSITY_GINI: 0.0987637, SHANNON_ENTROPY: 11.5122986, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.3871632892694016, 'b': 0.9492672161251688, 'c': 0.29656482663949874, 'normalize': True} - results: ROC_AUC: 0.1759153, PRECISION: 0.0380880, PRECISION_RECALL_MIN_DEN: 0.1311913, RECALL: 0.1267168, MAP: 0.0597843, MRR: 0.1298425, NDCG: 0.0910696, F1: 0.0585704, HIT_RATE: 0.3808804, ARHR: 0.1511683, NOVELTY: 0.0048281, AVERAGE_POPULARITY: 0.0900835, DIVERSITY_MEAN_INTER_LIST: 0.9914328, DIVERSITY_HERFINDAHL: 0.9991258, COVERAGE_ITEM: 0.3120924, COVERAGE_ITEM_CORRECT: 0.0456285, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1982635, DIVERSITY_GINI: 0.0977017, SHANNON_ENTROPY: 11.4485482, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.41128585884793933, 'b': 0.9978759012946641, 'c': 0.17192964847984818, 'normalize': False} - results: ROC_AUC: 0.1777574, PRECISION: 0.0376999, PRECISION_RECALL_MIN_DEN: 0.1300002, RECALL: 0.1257924, MAP: 0.0606484, MRR: 0.1313264, NDCG: 0.0917750, F1: 0.0580123, HIT_RATE: 0.3769991, ARHR: 0.1520335, NOVELTY: 0.0047620, AVERAGE_POPULARITY: 0.1079848, DIVERSITY_MEAN_INTER_LIST: 0.9863024, DIVERSITY_HERFINDAHL: 0.9986128, COVERAGE_ITEM: 0.3468412, COVERAGE_ITEM_CORRECT: 0.0415091, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1971058, DIVERSITY_GINI: 0.1006540, SHANNON_ENTROPY: 11.2152214, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5871692974652369, 'b': 0.06170044040084456, 'c': 0.2812128955933217, 'normalize': True} - results: ROC_AUC: 0.1699935, PRECISION: 0.0368697, PRECISION_RECALL_MIN_DEN: 0.1277150, RECALL: 0.1234792, MAP: 0.0573439, MRR: 0.1247854, NDCG: 0.0879182, F1: 0.0567837, HIT_RATE: 0.3686969, ARHR: 0.1447881, NOVELTY: 0.0048528, AVERAGE_POPULARITY: 0.0842581, DIVERSITY_MEAN_INTER_LIST: 0.9925845, DIVERSITY_HERFINDAHL: 0.9992409, COVERAGE_ITEM: 0.3058017, COVERAGE_ITEM_CORRECT: 0.0460751, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1931043, DIVERSITY_GINI: 0.0984798, SHANNON_ENTROPY: 11.5204807, 
