
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.41865277767776543, 'b': 0.028804943725009198, 'c': 0.06138591069644796, 'normalize': False} - results: ROC_AUC: 0.1341094, PRECISION: 0.0281674, PRECISION_RECALL_MIN_DEN: 0.1066955, RECALL: 0.1039049, MAP: 0.0460693, MRR: 0.0936640, NDCG: 0.0707810, F1: 0.0443185, HIT_RATE: 0.2816741, ARHR: 0.1054521, NOVELTY: 0.0052925, AVERAGE_POPULARITY: 0.0268768, DIVERSITY_MEAN_INTER_LIST: 0.9976776, DIVERSITY_HERFINDAHL: 0.9997501, COVERAGE_ITEM: 0.5699249, COVERAGE_ITEM_CORRECT: 0.0508643, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1578206, DIVERSITY_GINI: 0.2686916, SHANNON_ENTROPY: 13.0149569, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.320730852116937, 'b': 0.23759350778481209, 'c': 0.06573927921554758, 'normalize': True} - results: ROC_AUC: 0.1885131, PRECISION: 0.0416542, PRECISION_RECALL_MIN_DEN: 0.1491131, RECALL: 0.1447216, MAP: 0.0675329, MRR: 0.1382847, NDCG: 0.1021553, F1: 0.0646879, HIT_RATE: 0.4165420, ARHR: 0.1612505, NOVELTY: 0.0050031, AVERAGE_POPULARITY: 0.0680866, DIVERSITY_MEAN_INTER_LIST: 0.9949025, DIVERSITY_HERFINDAHL: 0.9994727, COVERAGE_ITEM: 0.4165775, COVERAGE_ITEM_CORRECT: 0.0587488, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2162577, DIVERSITY_GINI: 0.1505572, SHANNON_ENTROPY: 12.1016384, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.6213055072709037, 'b': 0.18011066517944233, 'c': 0.3285488428869923, 'normalize': False} - results: ROC_AUC: 0.1821381, PRECISION: 0.0395798, PRECISION_RECALL_MIN_DEN: 0.1474651, RECALL: 0.1435578, MAP: 0.0645594, MRR: 0.1300115, NDCG: 0.0986105, F1: 0.0620505, HIT_RATE: 0.3957975, ARHR: 0.1498581, NOVELTY: 0.0051146, AVERAGE_POPULARITY: 0.0556176, DIVERSITY_MEAN_INTER_LIST: 0.9960571, DIVERSITY_HERFINDAHL: 0.9995881, COVERAGE_ITEM: 0.4624216, COVERAGE_ITEM_CORRECT: 0.0602040, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2110482, DIVERSITY_GINI: 0.1831544, SHANNON_ENTROPY: 12.4128150, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.3514629852641596, 'b': 0.9990483199355089, 'c': 0.5028673673026962, 'normalize': True} - results: ROC_AUC: 0.1796889, PRECISION: 0.0397949, PRECISION_RECALL_MIN_DEN: 0.1377762, RECALL: 0.1330758, MAP: 0.0627319, MRR: 0.1336198, NDCG: 0.0951227, F1: 0.0612678, HIT_RATE: 0.3979494, ARHR: 0.1562915, NOVELTY: 0.0048734, AVERAGE_POPULARITY: 0.0813924, DIVERSITY_MEAN_INTER_LIST: 0.9930970, DIVERSITY_HERFINDAHL: 0.9992922, COVERAGE_ITEM: 0.3354995, COVERAGE_ITEM_CORRECT: 0.0504254, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040518, DIVERSITY_GINI: 0.1088828, SHANNON_ENTROPY: 11.6439807, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.21020545403305152, 'b': 0.15966181406146143, 'c': 0.4391082907431392, 'normalize': False} - results: ROC_AUC: 0.1881283, PRECISION: 0.0420923, PRECISION_RECALL_MIN_DEN: 0.1465581, RECALL: 0.1418215, MAP: 0.0672852, MRR: 0.1404078, NDCG: 0.1015393, F1: 0.0649167, HIT_RATE: 0.4209231, ARHR: 0.1646634, NOVELTY: 0.0049167, AVERAGE_POPULARITY: 0.0772594, DIVERSITY_MEAN_INTER_LIST: 0.9937016, DIVERSITY_HERFINDAHL: 0.9993526, COVERAGE_ITEM: 0.3638037, COVERAGE_ITEM_CORRECT: 0.0555380, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2143954, DIVERSITY_GINI: 0.1219358, SHANNON_ENTROPY: 11.7963118, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.873074077976914, 'b': 0.9566728011614903, 'c': 0.10724769249550739, 'normalize': True} - results: ROC_AUC: 0.1892251, PRECISION: 0.0418069, PRECISION_RECALL_MIN_DEN: 0.1501715, RECALL: 0.1457472, MAP: 0.0675348, MRR: 0.1378101, NDCG: 0.1022960, F1: 0.0649740, HIT_RATE: 0.4180690, ARHR: 0.1610981, NOVELTY: 0.0050456, AVERAGE_POPULARITY: 0.0639680, DIVERSITY_MEAN_INTER_LIST: 0.9952745, DIVERSITY_HERFINDAHL: 0.9995099, COVERAGE_ITEM: 0.4558229, COVERAGE_ITEM_CORRECT: 0.0596189, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2164339, DIVERSITY_GINI: 0.1724011, SHANNON_ENTROPY: 12.2735743, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.010980679570071096, 'b': 0.46210730552809487, 'c': 0.7947855555583435, 'normalize': True} - results: ROC_AUC: 0.1698772, PRECISION: 0.0370259, PRECISION_RECALL_MIN_DEN: 0.1288718, RECALL: 0.1245949, MAP: 0.0577462, MRR: 0.1246770, NDCG: 0.0884095, F1: 0.0570867, HIT_RATE: 0.3702591, ARHR: 0.1447650, NOVELTY: 0.0048626, AVERAGE_POPULARITY: 0.0818937, DIVERSITY_MEAN_INTER_LIST: 0.9930017, DIVERSITY_HERFINDAHL: 0.9992826, COVERAGE_ITEM: 0.3166891, COVERAGE_ITEM_CORRECT: 0.0471145, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1938342, DIVERSITY_GINI: 0.1023840, SHANNON_ENTROPY: 11.5804603, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.33160620686353653, 'b': 0.5924862166766236, 'c': 0.5317771007196115, 'normalize': True} - results: ROC_AUC: 0.1774273, PRECISION: 0.0392260, PRECISION_RECALL_MIN_DEN: 0.1356222, RECALL: 0.1309500, MAP: 0.0615865, MRR: 0.1316238, NDCG: 0.0935392, F1: 0.0603681, HIT_RATE: 0.3922602, ARHR: 0.1538096, NOVELTY: 0.0048749, AVERAGE_POPULARITY: 0.0808003, DIVERSITY_MEAN_INTER_LIST: 0.9931945, DIVERSITY_HERFINDAHL: 0.9993019, COVERAGE_ITEM: 0.3297786, COVERAGE_ITEM_CORRECT: 0.0502406, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016610, DIVERSITY_GINI: 0.1073326, SHANNON_ENTROPY: 11.6374388, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.06376008544467461, 'b': 0.281790890495539, 'c': 0.6120144941446789, 'normalize': False} - results: ROC_AUC: 0.1805745, PRECISION: 0.0396507, PRECISION_RECALL_MIN_DEN: 0.1371025, RECALL: 0.1324582, MAP: 0.0626787, MRR: 0.1342797, NDCG: 0.0950398, F1: 0.0610309, HIT_RATE: 0.3965067, ARHR: 0.1568101, NOVELTY: 0.0048641, AVERAGE_POPULARITY: 0.0829673, DIVERSITY_MEAN_INTER_LIST: 0.9928104, DIVERSITY_HERFINDAHL: 0.9992635, COVERAGE_ITEM: 0.3385794, COVERAGE_ITEM_CORRECT: 0.0490626, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040267, DIVERSITY_GINI: 0.1089111, SHANNON_ENTROPY: 11.6245220, 
