
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1945437, PRECISION: 0.0423870, PRECISION_RECALL_MIN_DEN: 0.1493842, RECALL: 0.1448117, MAP: 0.0699984, MRR: 0.1452799, NDCG: 0.1047155, F1: 0.0655774, HIT_RATE: 0.4238695, ARHR: 0.1697410, NOVELTY: 0.0049383, AVERAGE_POPULARITY: 0.0865685, DIVERSITY_MEAN_INTER_LIST: 0.9905964, DIVERSITY_HERFINDAHL: 0.9990421, COVERAGE_ITEM: 0.4767199, COVERAGE_ITEM_CORRECT: 0.0541521, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172644, DIVERSITY_GINI: 0.1671357, SHANNON_ENTROPY: 11.9260645, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1940589, PRECISION: 0.0421637, PRECISION_RECALL_MIN_DEN: 0.1487942, RECALL: 0.1441992, MAP: 0.0698835, MRR: 0.1449458, NDCG: 0.1043656, F1: 0.0652473, HIT_RATE: 0.4216368, ARHR: 0.1693048, NOVELTY: 0.0049287, AVERAGE_POPULARITY: 0.0886592, DIVERSITY_MEAN_INTER_LIST: 0.9901610, DIVERSITY_HERFINDAHL: 0.9989986, COVERAGE_ITEM: 0.4829259, COVERAGE_ITEM_CORRECT: 0.0536978, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2164842, DIVERSITY_GINI: 0.1693677, SHANNON_ENTROPY: 11.9179684, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1844200, PRECISION: 0.0396187, PRECISION_RECALL_MIN_DEN: 0.1388661, RECALL: 0.1344755, MAP: 0.0654965, MRR: 0.1375666, NDCG: 0.0979332, F1: 0.0612022, HIT_RATE: 0.3961874, ARHR: 0.1596429, NOVELTY: 0.0049182, AVERAGE_POPULARITY: 0.0877203, DIVERSITY_MEAN_INTER_LIST: 0.9902132, DIVERSITY_HERFINDAHL: 0.9990038, COVERAGE_ITEM: 0.4652859, COVERAGE_ITEM_CORRECT: 0.0488085, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2050333, DIVERSITY_GINI: 0.1577070, SHANNON_ENTROPY: 11.8263439, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1964890, PRECISION: 0.0427897, PRECISION_RECALL_MIN_DEN: 0.1506901, RECALL: 0.1461125, MAP: 0.0708158, MRR: 0.1468311, NDCG: 0.1058130, F1: 0.0661923, HIT_RATE: 0.4278970, ARHR: 0.1715080, NOVELTY: 0.0049159, AVERAGE_POPULARITY: 0.0927707, DIVERSITY_MEAN_INTER_LIST: 0.9891676, DIVERSITY_HERFINDAHL: 0.9988993, COVERAGE_ITEM: 0.4784139, COVERAGE_ITEM_CORRECT: 0.0542753, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193029, DIVERSITY_GINI: 0.1661202, SHANNON_ENTROPY: 11.8554713, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1835734, PRECISION: 0.0394446, PRECISION_RECALL_MIN_DEN: 0.1376640, RECALL: 0.1332725, MAP: 0.0645537, MRR: 0.1364800, NDCG: 0.0969031, F1: 0.0608708, HIT_RATE: 0.3944458, ARHR: 0.1584984, NOVELTY: 0.0048349, AVERAGE_POPULARITY: 0.1061202, DIVERSITY_MEAN_INTER_LIST: 0.9855754, DIVERSITY_HERFINDAHL: 0.9985401, COVERAGE_ITEM: 0.4517113, COVERAGE_ITEM_CORRECT: 0.0459519, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2048068, DIVERSITY_GINI: 0.1441259, SHANNON_ENTROPY: 11.5186427, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1858600, PRECISION: 0.0404748, PRECISION_RECALL_MIN_DEN: 0.1445210, RECALL: 0.1401409, MAP: 0.0667834, MRR: 0.1375882, NDCG: 0.1000985, F1: 0.0628077, HIT_RATE: 0.4047479, ARHR: 0.1605424, NOVELTY: 0.0050496, AVERAGE_POPULARITY: 0.0674810, DIVERSITY_MEAN_INTER_LIST: 0.9940481, DIVERSITY_HERFINDAHL: 0.9993872, COVERAGE_ITEM: 0.5414052, COVERAGE_ITEM_CORRECT: 0.0570857, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2091859, DIVERSITY_GINI: 0.2219462, SHANNON_ENTROPY: 12.4795260, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1908640, PRECISION: 0.0414850, PRECISION_RECALL_MIN_DEN: 0.1454426, RECALL: 0.1408807, MAP: 0.0687802, MRR: 0.1429927, NDCG: 0.1025613, F1: 0.0640937, HIT_RATE: 0.4148502, ARHR: 0.1668384, NOVELTY: 0.0049186, AVERAGE_POPULARITY: 0.0891101, DIVERSITY_MEAN_INTER_LIST: 0.9900059, DIVERSITY_HERFINDAHL: 0.9989831, COVERAGE_ITEM: 0.4679423, COVERAGE_ITEM_CORRECT: 0.0519885, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2125582, DIVERSITY_GINI: 0.1600653, SHANNON_ENTROPY: 11.8406520, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1972532, PRECISION: 0.0430683, PRECISION_RECALL_MIN_DEN: 0.1527346, RECALL: 0.1481095, MAP: 0.0713027, MRR: 0.1474174, NDCG: 0.1066334, F1: 0.0667291, HIT_RATE: 0.4306826, ARHR: 0.1722900, NOVELTY: 0.0049385, AVERAGE_POPULARITY: 0.0900066, DIVERSITY_MEAN_INTER_LIST: 0.9897257, DIVERSITY_HERFINDAHL: 0.9989551, COVERAGE_ITEM: 0.4929894, COVERAGE_ITEM_CORRECT: 0.0560539, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2207122, DIVERSITY_GINI: 0.1773688, SHANNON_ENTROPY: 11.9672676, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1923700, PRECISION: 0.0419480, PRECISION_RECALL_MIN_DEN: 0.1470690, RECALL: 0.1425089, MAP: 0.0689512, MRR: 0.1438357, NDCG: 0.1032329, F1: 0.0648153, HIT_RATE: 0.4194800, ARHR: 0.1679972, NOVELTY: 0.0048761, AVERAGE_POPULARITY: 0.1001957, DIVERSITY_MEAN_INTER_LIST: 0.9872522, DIVERSITY_HERFINDAHL: 0.9987078, COVERAGE_ITEM: 0.4661482, COVERAGE_ITEM_CORRECT: 0.0516728, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2149742, DIVERSITY_GINI: 0.1557285, SHANNON_ENTROPY: 11.6890546, 
