
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1933626, PRECISION: 0.0419973, PRECISION_RECALL_MIN_DEN: 0.1483812, RECALL: 0.1438337, MAP: 0.0695548, MRR: 0.1440906, NDCG: 0.1039916, F1: 0.0650105, HIT_RATE: 0.4199735, ARHR: 0.1680777, NOVELTY: 0.0049088, AVERAGE_POPULARITY: 0.0923668, DIVERSITY_MEAN_INTER_LIST: 0.9891527, DIVERSITY_HERFINDAHL: 0.9988978, COVERAGE_ITEM: 0.4691280, COVERAGE_ITEM_CORRECT: 0.0527738, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2157040, DIVERSITY_GINI: 0.1600419, SHANNON_ENTROPY: 11.8037122, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1935652, PRECISION: 0.0419829, PRECISION_RECALL_MIN_DEN: 0.1486251, RECALL: 0.1440643, MAP: 0.0699980, MRR: 0.1442521, NDCG: 0.1042960, F1: 0.0650171, HIT_RATE: 0.4198289, ARHR: 0.1683830, NOVELTY: 0.0049354, AVERAGE_POPULARITY: 0.0874655, DIVERSITY_MEAN_INTER_LIST: 0.9903277, DIVERSITY_HERFINDAHL: 0.9990153, COVERAGE_ITEM: 0.4879461, COVERAGE_ITEM_CORRECT: 0.0539442, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2156285, DIVERSITY_GINI: 0.1727818, SHANNON_ENTROPY: 11.9486370, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1844475, PRECISION: 0.0394639, PRECISION_RECALL_MIN_DEN: 0.1387028, RECALL: 0.1343227, MAP: 0.0655423, MRR: 0.1374177, NDCG: 0.0978745, F1: 0.0610023, HIT_RATE: 0.3946394, ARHR: 0.1593704, NOVELTY: 0.0049208, AVERAGE_POPULARITY: 0.0873548, DIVERSITY_MEAN_INTER_LIST: 0.9902179, DIVERSITY_HERFINDAHL: 0.9990043, COVERAGE_ITEM: 0.4652551, COVERAGE_ITEM_CORRECT: 0.0487238, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2047062, DIVERSITY_GINI: 0.1577731, SHANNON_ENTROPY: 11.8269642, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1934278, PRECISION: 0.0421742, PRECISION_RECALL_MIN_DEN: 0.1486466, RECALL: 0.1440898, MAP: 0.0698389, MRR: 0.1448907, NDCG: 0.1043782, F1: 0.0652486, HIT_RATE: 0.4217422, ARHR: 0.1688963, NOVELTY: 0.0048688, AVERAGE_POPULARITY: 0.1018826, DIVERSITY_MEAN_INTER_LIST: 0.9866032, DIVERSITY_HERFINDAHL: 0.9986429, COVERAGE_ITEM: 0.4645544, COVERAGE_ITEM_CORRECT: 0.0520654, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2167610, DIVERSITY_GINI: 0.1540379, SHANNON_ENTROPY: 11.6508576, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1815662, PRECISION: 0.0384584, PRECISION_RECALL_MIN_DEN: 0.1356848, RECALL: 0.1314947, MAP: 0.0639008, MRR: 0.1350257, NDCG: 0.0957473, F1: 0.0595092, HIT_RATE: 0.3845844, ARHR: 0.1559963, NOVELTY: 0.0047972, AVERAGE_POPULARITY: 0.1139668, DIVERSITY_MEAN_INTER_LIST: 0.9829023, DIVERSITY_HERFINDAHL: 0.9982729, COVERAGE_ITEM: 0.4423715, COVERAGE_ITEM_CORRECT: 0.0438807, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2019378, DIVERSITY_GINI: 0.1359092, SHANNON_ENTROPY: 11.3471914, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1795342, PRECISION: 0.0390997, PRECISION_RECALL_MIN_DEN: 0.1394445, RECALL: 0.1351613, MAP: 0.0637325, MRR: 0.1320919, NDCG: 0.0960493, F1: 0.0606516, HIT_RATE: 0.3909975, ARHR: 0.1537387, NOVELTY: 0.0050681, AVERAGE_POPULARITY: 0.0630130, DIVERSITY_MEAN_INTER_LIST: 0.9946427, DIVERSITY_HERFINDAHL: 0.9994467, COVERAGE_ITEM: 0.5480885, COVERAGE_ITEM_CORRECT: 0.0558152, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034730, DIVERSITY_GINI: 0.2304272, SHANNON_ENTROPY: 12.5667181, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1895799, PRECISION: 0.0410428, PRECISION_RECALL_MIN_DEN: 0.1441282, RECALL: 0.1396114, MAP: 0.0682869, MRR: 0.1419329, NDCG: 0.1017541, F1: 0.0634346, HIT_RATE: 0.4104275, ARHR: 0.1653002, NOVELTY: 0.0048935, AVERAGE_POPULARITY: 0.0941330, DIVERSITY_MEAN_INTER_LIST: 0.9887101, DIVERSITY_HERFINDAHL: 0.9988535, COVERAGE_ITEM: 0.4621136, COVERAGE_ITEM_CORRECT: 0.0506949, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2108469, DIVERSITY_GINI: 0.1544337, SHANNON_ENTROPY: 11.7360576, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1955478, PRECISION: 0.0426940, PRECISION_RECALL_MIN_DEN: 0.1514106, RECALL: 0.1468778, MAP: 0.0706634, MRR: 0.1462746, NDCG: 0.1057977, F1: 0.0661554, HIT_RATE: 0.4269396, ARHR: 0.1705599, NOVELTY: 0.0048774, AVERAGE_POPULARITY: 0.1018034, DIVERSITY_MEAN_INTER_LIST: 0.9865502, DIVERSITY_HERFINDAHL: 0.9986376, COVERAGE_ITEM: 0.4728701, COVERAGE_ITEM_CORRECT: 0.0534822, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193029, DIVERSITY_GINI: 0.1597200, SHANNON_ENTROPY: 11.6992016, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1890176, PRECISION: 0.0408728, PRECISION_RECALL_MIN_DEN: 0.1438222, RECALL: 0.1393191, MAP: 0.0676800, MRR: 0.1412266, NDCG: 0.1011830, F1: 0.0632020, HIT_RATE: 0.4087277, ARHR: 0.1642300, NOVELTY: 0.0048287, AVERAGE_POPULARITY: 0.1095193, DIVERSITY_MEAN_INTER_LIST: 0.9843443, DIVERSITY_HERFINDAHL: 0.9984170, COVERAGE_ITEM: 0.4528277, COVERAGE_ITEM_CORRECT: 0.0489471, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2108469, DIVERSITY_GINI: 0.1443039, SHANNON_ENTROPY: 11.4798728, 
