
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1896316, PRECISION: 0.0417683, PRECISION_RECALL_MIN_DEN: 0.1490262, RECALL: 0.1445117, MAP: 0.0680071, MRR: 0.1396600, NDCG: 0.1024467, F1: 0.0648047, HIT_RATE: 0.4176827, ARHR: 0.1634270, NOVELTY: 0.0050280, AVERAGE_POPULARITY: 0.0676627, DIVERSITY_MEAN_INTER_LIST: 0.9940002, DIVERSITY_HERFINDAHL: 0.9993825, COVERAGE_ITEM: 0.5052243, COVERAGE_ITEM_CORRECT: 0.0575707, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2151000, DIVERSITY_GINI: 0.1940834, SHANNON_ENTROPY: 12.2982572, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1945099, PRECISION: 0.0425951, PRECISION_RECALL_MIN_DEN: 0.1499176, RECALL: 0.1452086, MAP: 0.0701881, MRR: 0.1456772, NDCG: 0.1048918, F1: 0.0658676, HIT_RATE: 0.4259511, ARHR: 0.1702219, NOVELTY: 0.0049128, AVERAGE_POPULARITY: 0.0865727, DIVERSITY_MEAN_INTER_LIST: 0.9913211, DIVERSITY_HERFINDAHL: 0.9991146, COVERAGE_ITEM: 0.4681809, COVERAGE_ITEM_CORRECT: 0.0552839, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2177677, DIVERSITY_GINI: 0.1628598, SHANNON_ENTROPY: 11.9322295, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1852182, PRECISION: 0.0400510, PRECISION_RECALL_MIN_DEN: 0.1402654, RECALL: 0.1358017, MAP: 0.0659561, MRR: 0.1387338, NDCG: 0.0987174, F1: 0.0618575, HIT_RATE: 0.4005097, ARHR: 0.1611508, NOVELTY: 0.0049141, AVERAGE_POPULARITY: 0.0865576, DIVERSITY_MEAN_INTER_LIST: 0.9908993, DIVERSITY_HERFINDAHL: 0.9990724, COVERAGE_ITEM: 0.4587103, COVERAGE_ITEM_CORRECT: 0.0500327, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2066692, DIVERSITY_GINI: 0.1553354, SHANNON_ENTROPY: 11.8454386, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1699184, PRECISION: 0.0369219, PRECISION_RECALL_MIN_DEN: 0.1324834, RECALL: 0.1283770, MAP: 0.0590476, MRR: 0.1229504, NDCG: 0.0898947, F1: 0.0573474, HIT_RATE: 0.3692186, ARHR: 0.1422946, NOVELTY: 0.0051391, AVERAGE_POPULARITY: 0.0468309, DIVERSITY_MEAN_INTER_LIST: 0.9965253, DIVERSITY_HERFINDAHL: 0.9996349, COVERAGE_ITEM: 0.5555804, COVERAGE_ITEM_CORRECT: 0.0560308, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945640, DIVERSITY_GINI: 0.2441275, SHANNON_ENTROPY: 12.7721165, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1938589, PRECISION: 0.0424993, PRECISION_RECALL_MIN_DEN: 0.1511892, RECALL: 0.1465951, MAP: 0.0696879, MRR: 0.1436867, NDCG: 0.1046729, F1: 0.0658940, HIT_RATE: 0.4249934, ARHR: 0.1681733, NOVELTY: 0.0049856, AVERAGE_POPULARITY: 0.0752354, DIVERSITY_MEAN_INTER_LIST: 0.9930368, DIVERSITY_HERFINDAHL: 0.9992861, COVERAGE_ITEM: 0.4894937, COVERAGE_ITEM_CORRECT: 0.0570395, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2181452, DIVERSITY_GINI: 0.1804742, SHANNON_ENTROPY: 12.1494946, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1926905, PRECISION: 0.0422663, PRECISION_RECALL_MIN_DEN: 0.1510675, RECALL: 0.1465811, MAP: 0.0695839, MRR: 0.1429293, NDCG: 0.1045009, F1: 0.0656118, HIT_RATE: 0.4226628, ARHR: 0.1669640, NOVELTY: 0.0049929, AVERAGE_POPULARITY: 0.0718837, DIVERSITY_MEAN_INTER_LIST: 0.9939031, DIVERSITY_HERFINDAHL: 0.9993727, COVERAGE_ITEM: 0.5199384, COVERAGE_ITEM_CORRECT: 0.0593417, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174405, DIVERSITY_GINI: 0.2043652, SHANNON_ENTROPY: 12.3622267, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1899204, PRECISION: 0.0416261, PRECISION_RECALL_MIN_DEN: 0.1472188, RECALL: 0.1427286, MAP: 0.0679918, MRR: 0.1406414, NDCG: 0.1021751, F1: 0.0644529, HIT_RATE: 0.4162612, ARHR: 0.1646799, NOVELTY: 0.0049926, AVERAGE_POPULARITY: 0.0745811, DIVERSITY_MEAN_INTER_LIST: 0.9928258, DIVERSITY_HERFINDAHL: 0.9992650, COVERAGE_ITEM: 0.4851742, COVERAGE_ITEM_CORRECT: 0.0552146, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2138417, DIVERSITY_GINI: 0.1770103, SHANNON_ENTROPY: 12.1125420, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1247604, PRECISION: 0.0263264, PRECISION_RECALL_MIN_DEN: 0.0967110, RECALL: 0.0938940, MAP: 0.0419236, MRR: 0.0875100, NDCG: 0.0646028, F1: 0.0411215, HIT_RATE: 0.2632639, ARHR: 0.0987071, NOVELTY: 0.0052609, AVERAGE_POPULARITY: 0.0246476, DIVERSITY_MEAN_INTER_LIST: 0.9977636, DIVERSITY_HERFINDAHL: 0.9997587, COVERAGE_ITEM: 0.5865640, COVERAGE_ITEM_CORRECT: 0.0476843, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1467220, DIVERSITY_GINI: 0.2817758, SHANNON_ENTROPY: 13.0789911, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1660902, PRECISION: 0.0359254, PRECISION_RECALL_MIN_DEN: 0.1292337, RECALL: 0.1252795, MAP: 0.0576609, MRR: 0.1200329, NDCG: 0.0877958, F1: 0.0558368, HIT_RATE: 0.3592539, ARHR: 0.1384307, NOVELTY: 0.0051535, AVERAGE_POPULARITY: 0.0444339, DIVERSITY_MEAN_INTER_LIST: 0.9967684, DIVERSITY_HERFINDAHL: 0.9996592, COVERAGE_ITEM: 0.5620327, COVERAGE_ITEM_CORRECT: 0.0554302, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1904115, DIVERSITY_GINI: 0.2512090, SHANNON_ENTROPY: 12.8306490, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1325021, PRECISION: 0.0278810, PRECISION_RECALL_MIN_DEN: 0.1020377, RECALL: 0.0990178, MAP: 0.0445805, MRR: 0.0934554, NDCG: 0.0685042, F1: 0.0435090, HIT_RATE: 0.2788102, ARHR: 0.1055626, NOVELTY: 0.0052470, AVERAGE_POPULARITY: 0.0273332, DIVERSITY_MEAN_INTER_LIST: 0.9976834, DIVERSITY_HERFINDAHL: 0.9997507, COVERAGE_ITEM: 0.5836073, COVERAGE_ITEM_CORRECT: 0.0490549, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1546496, DIVERSITY_GINI: 0.2781567, SHANNON_ENTROPY: 13.0529982, 
