
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1893693, PRECISION: 0.0417823, PRECISION_RECALL_MIN_DEN: 0.1492217, RECALL: 0.1447021, MAP: 0.0681033, MRR: 0.1396070, NDCG: 0.1025252, F1: 0.0648406, HIT_RATE: 0.4178226, ARHR: 0.1633463, NOVELTY: 0.0050298, AVERAGE_POPULARITY: 0.0676828, DIVERSITY_MEAN_INTER_LIST: 0.9939608, DIVERSITY_HERFINDAHL: 0.9993785, COVERAGE_ITEM: 0.5068104, COVERAGE_ITEM_CORRECT: 0.0576246, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2152007, DIVERSITY_GINI: 0.1951023, SHANNON_ENTROPY: 12.3026083, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1908335, PRECISION: 0.0417578, PRECISION_RECALL_MIN_DEN: 0.1466158, RECALL: 0.1420517, MAP: 0.0684648, MRR: 0.1427771, NDCG: 0.1025735, F1: 0.0645411, HIT_RATE: 0.4175778, ARHR: 0.1667726, NOVELTY: 0.0049165, AVERAGE_POPULARITY: 0.0944377, DIVERSITY_MEAN_INTER_LIST: 0.9888619, DIVERSITY_HERFINDAHL: 0.9988687, COVERAGE_ITEM: 0.4879538, COVERAGE_ITEM_CORRECT: 0.0523118, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2142192, DIVERSITY_GINI: 0.1734633, SHANNON_ENTROPY: 11.8961921, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1853766, PRECISION: 0.0398130, PRECISION_RECALL_MIN_DEN: 0.1387302, RECALL: 0.1343095, MAP: 0.0656926, MRR: 0.1380924, NDCG: 0.0981706, F1: 0.0614158, HIT_RATE: 0.3981299, ARHR: 0.1603377, NOVELTY: 0.0049107, AVERAGE_POPULARITY: 0.0909982, DIVERSITY_MEAN_INTER_LIST: 0.9896023, DIVERSITY_HERFINDAHL: 0.9989427, COVERAGE_ITEM: 0.4707680, COVERAGE_ITEM_CORRECT: 0.0486237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2060400, DIVERSITY_GINI: 0.1604963, SHANNON_ENTROPY: 11.8180152, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1670876, PRECISION: 0.0362365, PRECISION_RECALL_MIN_DEN: 0.1294668, RECALL: 0.1253673, MAP: 0.0577646, MRR: 0.1206005, NDCG: 0.0879312, F1: 0.0562214, HIT_RATE: 0.3623650, ARHR: 0.1395025, NOVELTY: 0.0051464, AVERAGE_POPULARITY: 0.0457657, DIVERSITY_MEAN_INTER_LIST: 0.9965570, DIVERSITY_HERFINDAHL: 0.9996381, COVERAGE_ITEM: 0.5581906, COVERAGE_ITEM_CORRECT: 0.0552146, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1910910, DIVERSITY_GINI: 0.2469936, SHANNON_ENTROPY: 12.7912776, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1941496, PRECISION: 0.0424965, PRECISION_RECALL_MIN_DEN: 0.1513308, RECALL: 0.1467900, MAP: 0.0700088, MRR: 0.1441149, NDCG: 0.1050004, F1: 0.0659100, HIT_RATE: 0.4249648, ARHR: 0.1684249, NOVELTY: 0.0049928, AVERAGE_POPULARITY: 0.0758802, DIVERSITY_MEAN_INTER_LIST: 0.9927210, DIVERSITY_HERFINDAHL: 0.9992546, COVERAGE_ITEM: 0.4993725, COVERAGE_ITEM_CORRECT: 0.0566776, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185730, DIVERSITY_GINI: 0.1864439, SHANNON_ENTROPY: 12.1719515, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1860688, PRECISION: 0.0405984, PRECISION_RECALL_MIN_DEN: 0.1446444, RECALL: 0.1402592, MAP: 0.0665980, MRR: 0.1376904, NDCG: 0.1001152, F1: 0.0629678, HIT_RATE: 0.4059837, ARHR: 0.1604959, NOVELTY: 0.0050040, AVERAGE_POPULARITY: 0.0766786, DIVERSITY_MEAN_INTER_LIST: 0.9923474, DIVERSITY_HERFINDAHL: 0.9992172, COVERAGE_ITEM: 0.5379249, COVERAGE_ITEM_CORRECT: 0.0554379, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2100919, DIVERSITY_GINI: 0.2170169, SHANNON_ENTROPY: 12.3661441, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1901322, PRECISION: 0.0416333, PRECISION_RECALL_MIN_DEN: 0.1473172, RECALL: 0.1428200, MAP: 0.0680814, MRR: 0.1408386, NDCG: 0.1022797, F1: 0.0644704, HIT_RATE: 0.4163328, ARHR: 0.1648050, NOVELTY: 0.0049940, AVERAGE_POPULARITY: 0.0747125, DIVERSITY_MEAN_INTER_LIST: 0.9927657, DIVERSITY_HERFINDAHL: 0.9992590, COVERAGE_ITEM: 0.4866295, COVERAGE_ITEM_CORRECT: 0.0550914, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141185, DIVERSITY_GINI: 0.1779077, SHANNON_ENTROPY: 12.1152909, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1188724, PRECISION: 0.0251069, PRECISION_RECALL_MIN_DEN: 0.0920026, RECALL: 0.0892426, MAP: 0.0395003, MRR: 0.0830817, NDCG: 0.0611515, F1: 0.0391877, HIT_RATE: 0.2510691, ARHR: 0.0936240, NOVELTY: 0.0052692, AVERAGE_POPULARITY: 0.0231271, DIVERSITY_MEAN_INTER_LIST: 0.9977758, DIVERSITY_HERFINDAHL: 0.9997599, COVERAGE_ITEM: 0.5866795, COVERAGE_ITEM_CORRECT: 0.0459904, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1403549, DIVERSITY_GINI: 0.2825354, SHANNON_ENTROPY: 13.0845058, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1608466, PRECISION: 0.0347836, PRECISION_RECALL_MIN_DEN: 0.1244982, RECALL: 0.1205669, MAP: 0.0551794, MRR: 0.1155793, NDCG: 0.0843054, F1: 0.0539894, HIT_RATE: 0.3478361, ARHR: 0.1330218, NOVELTY: 0.0051652, AVERAGE_POPULARITY: 0.0424748, DIVERSITY_MEAN_INTER_LIST: 0.9968245, DIVERSITY_HERFINDAHL: 0.9996648, COVERAGE_ITEM: 0.5660751, COVERAGE_ITEM_CORRECT: 0.0540597, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1853026, DIVERSITY_GINI: 0.2555489, SHANNON_ENTROPY: 12.8596055, 
