
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1930493, PRECISION: 0.0421312, PRECISION_RECALL_MIN_DEN: 0.1502714, RECALL: 0.1457711, MAP: 0.0696262, MRR: 0.1431343, NDCG: 0.1043282, F1: 0.0653671, HIT_RATE: 0.4213118, ARHR: 0.1673085, NOVELTY: 0.0049751, AVERAGE_POPULARITY: 0.0770556, DIVERSITY_MEAN_INTER_LIST: 0.9924726, DIVERSITY_HERFINDAHL: 0.9992297, COVERAGE_ITEM: 0.4861136, COVERAGE_ITEM_CORRECT: 0.0560077, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2165849, DIVERSITY_GINI: 0.1769963, SHANNON_ENTROPY: 12.0922270, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1918490, PRECISION: 0.0419406, PRECISION_RECALL_MIN_DEN: 0.1487235, RECALL: 0.1441867, MAP: 0.0695526, MRR: 0.1425128, NDCG: 0.1037842, F1: 0.0649782, HIT_RATE: 0.4194062, ARHR: 0.1667109, NOVELTY: 0.0049624, AVERAGE_POPULARITY: 0.0788561, DIVERSITY_MEAN_INTER_LIST: 0.9922263, DIVERSITY_HERFINDAHL: 0.9992051, COVERAGE_ITEM: 0.4920808, COVERAGE_ITEM_CORRECT: 0.0554610, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2152259, DIVERSITY_GINI: 0.1790359, SHANNON_ENTROPY: 12.0859785, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1839883, PRECISION: 0.0395018, PRECISION_RECALL_MIN_DEN: 0.1386555, RECALL: 0.1342900, MAP: 0.0653565, MRR: 0.1371643, NDCG: 0.0977384, F1: 0.0610442, HIT_RATE: 0.3950180, ARHR: 0.1592479, NOVELTY: 0.0049321, AVERAGE_POPULARITY: 0.0843875, DIVERSITY_MEAN_INTER_LIST: 0.9909149, DIVERSITY_HERFINDAHL: 0.9990740, COVERAGE_ITEM: 0.4647007, COVERAGE_ITEM_CORRECT: 0.0493167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2044797, DIVERSITY_GINI: 0.1586110, SHANNON_ENTROPY: 11.8666904, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1913639, PRECISION: 0.0416078, PRECISION_RECALL_MIN_DEN: 0.1497120, RECALL: 0.1453035, MAP: 0.0698111, MRR: 0.1422411, NDCG: 0.1041298, F1: 0.0646896, HIT_RATE: 0.4160781, ARHR: 0.1658936, NOVELTY: 0.0049831, AVERAGE_POPULARITY: 0.0739857, DIVERSITY_MEAN_INTER_LIST: 0.9930649, DIVERSITY_HERFINDAHL: 0.9992889, COVERAGE_ITEM: 0.5047469, COVERAGE_ITEM_CORRECT: 0.0568932, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2146974, DIVERSITY_GINI: 0.1917638, SHANNON_ENTROPY: 12.2251305, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1877458, PRECISION: 0.0407632, PRECISION_RECALL_MIN_DEN: 0.1422631, RECALL: 0.1377796, MAP: 0.0669914, MRR: 0.1403311, NDCG: 0.1002482, F1: 0.0629111, HIT_RATE: 0.4076317, ARHR: 0.1636058, NOVELTY: 0.0048594, AVERAGE_POPULARITY: 0.0962334, DIVERSITY_MEAN_INTER_LIST: 0.9885791, DIVERSITY_HERFINDAHL: 0.9988404, COVERAGE_ITEM: 0.4431569, COVERAGE_ITEM_CORRECT: 0.0502714, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2093117, DIVERSITY_GINI: 0.1419096, SHANNON_ENTROPY: 11.6213647, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1658965, PRECISION: 0.0355256, PRECISION_RECALL_MIN_DEN: 0.1303021, RECALL: 0.1266612, MAP: 0.0587925, MRR: 0.1203116, NDCG: 0.0889941, F1: 0.0554868, HIT_RATE: 0.3552557, ARHR: 0.1383020, NOVELTY: 0.0050995, AVERAGE_POPULARITY: 0.0527359, DIVERSITY_MEAN_INTER_LIST: 0.9959551, DIVERSITY_HERFINDAHL: 0.9995779, COVERAGE_ITEM: 0.5542098, COVERAGE_ITEM_CORRECT: 0.0534822, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1896313, DIVERSITY_GINI: 0.2411420, SHANNON_ENTROPY: 12.7123049, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1912995, PRECISION: 0.0416617, PRECISION_RECALL_MIN_DEN: 0.1471900, RECALL: 0.1426899, MAP: 0.0688730, MRR: 0.1423822, NDCG: 0.1030046, F1: 0.0644912, HIT_RATE: 0.4166168, ARHR: 0.1662801, NOVELTY: 0.0049515, AVERAGE_POPULARITY: 0.0815633, DIVERSITY_MEAN_INTER_LIST: 0.9915840, DIVERSITY_HERFINDAHL: 0.9991409, COVERAGE_ITEM: 0.4721771, COVERAGE_ITEM_CORRECT: 0.0538595, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2142695, DIVERSITY_GINI: 0.1655506, SHANNON_ENTROPY: 11.9595083, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1786745, PRECISION: 0.0381298, PRECISION_RECALL_MIN_DEN: 0.1404238, RECALL: 0.1366056, MAP: 0.0643454, MRR: 0.1306119, NDCG: 0.0967287, F1: 0.0596163, HIT_RATE: 0.3812979, ARHR: 0.1504859, NOVELTY: 0.0050331, AVERAGE_POPULARITY: 0.0637140, DIVERSITY_MEAN_INTER_LIST: 0.9945633, DIVERSITY_HERFINDAHL: 0.9994388, COVERAGE_ITEM: 0.5334360, COVERAGE_ITEM_CORRECT: 0.0547757, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2018623, DIVERSITY_GINI: 0.2192777, SHANNON_ENTROPY: 12.4910779, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1934025, PRECISION: 0.0420284, PRECISION_RECALL_MIN_DEN: 0.1510832, RECALL: 0.1466458, MAP: 0.0704549, MRR: 0.1438997, NDCG: 0.1051382, F1: 0.0653310, HIT_RATE: 0.4202839, ARHR: 0.1677004, NOVELTY: 0.0049400, AVERAGE_POPULARITY: 0.0816378, DIVERSITY_MEAN_INTER_LIST: 0.9917007, DIVERSITY_HERFINDAHL: 0.9991525, COVERAGE_ITEM: 0.4895322, COVERAGE_ITEM_CORRECT: 0.0562233, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2166855, DIVERSITY_GINI: 0.1774396, SHANNON_ENTROPY: 12.0509878, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1799135, PRECISION: 0.0385471, PRECISION_RECALL_MIN_DEN: 0.1412926, RECALL: 0.1373848, MAP: 0.0648874, MRR: 0.1318728, NDCG: 0.0974481, F1: 0.0602004, HIT_RATE: 0.3854705, ARHR: 0.1522150, NOVELTY: 0.0050327, AVERAGE_POPULARITY: 0.0639665, DIVERSITY_MEAN_INTER_LIST: 0.9945368, DIVERSITY_HERFINDAHL: 0.9994361, COVERAGE_ITEM: 0.5319962, COVERAGE_ITEM_CORRECT: 0.0552069, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2029948, DIVERSITY_GINI: 0.2179159, SHANNON_ENTROPY: 12.4804929, 
