
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.3598307369255694, 'b': 0.9238742605453991, 'c': 0.09362526992787447, 'normalize': False} - results: ROC_AUC: 0.2025391, PRECISION: 0.0446498, PRECISION_RECALL_MIN_DEN: 0.1616819, RECALL: 0.1570992, MAP: 0.0738851, MRR: 0.1497332, NDCG: 0.1110396, F1: 0.0695340, HIT_RATE: 0.4464978, ARHR: 0.1751510, NOVELTY: 0.0049518, AVERAGE_POPULARITY: 0.0797429, DIVERSITY_MEAN_INTER_LIST: 0.9920341, DIVERSITY_HERFINDAHL: 0.9991859, COVERAGE_ITEM: 0.4834880, COVERAGE_ITEM_CORRECT: 0.0600885, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2293444, DIVERSITY_GINI: 0.1777170, SHANNON_ENTROPY: 12.0907397, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.2816706654492423, 'b': 0.1170103087980087, 'c': 0.7205129170144585, 'normalize': True} - results: ROC_AUC: 0.1729380, PRECISION: 0.0378422, PRECISION_RECALL_MIN_DEN: 0.1318655, RECALL: 0.1274646, MAP: 0.0591362, MRR: 0.1272741, NDCG: 0.0904347, F1: 0.0583584, HIT_RATE: 0.3784216, ARHR: 0.1479574, NOVELTY: 0.0048733, AVERAGE_POPULARITY: 0.0805835, DIVERSITY_MEAN_INTER_LIST: 0.9931990, DIVERSITY_HERFINDAHL: 0.9993023, COVERAGE_ITEM: 0.3199307, COVERAGE_ITEM_CORRECT: 0.0492474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1973323, DIVERSITY_GINI: 0.1041949, SHANNON_ENTROPY: 11.6108767, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.2068966510657751, 'b': 0.8238955230772244, 'c': 0.38416351418104855, 'normalize': True} - results: ROC_AUC: 0.1817937, PRECISION: 0.0402925, PRECISION_RECALL_MIN_DEN: 0.1389399, RECALL: 0.1341493, MAP: 0.0636082, MRR: 0.1353678, NDCG: 0.0962703, F1: 0.0619708, HIT_RATE: 0.4029254, ARHR: 0.1586190, NOVELTY: 0.0048630, AVERAGE_POPULARITY: 0.0836622, DIVERSITY_MEAN_INTER_LIST: 0.9927072, DIVERSITY_HERFINDAHL: 0.9992532, COVERAGE_ITEM: 0.3326814, COVERAGE_ITEM_CORRECT: 0.0507180, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2059897, DIVERSITY_GINI: 0.1068743, SHANNON_ENTROPY: 11.6035787, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.1773967985179359, 'b': 0.0025523791031492053, 'c': 0.40511745092965024, 'normalize': True} - results: ROC_AUC: 0.1726070, PRECISION: 0.0376054, PRECISION_RECALL_MIN_DEN: 0.1314203, RECALL: 0.1270727, MAP: 0.0588893, MRR: 0.1266353, NDCG: 0.0901139, F1: 0.0580358, HIT_RATE: 0.3760543, ARHR: 0.1469858, NOVELTY: 0.0048764, AVERAGE_POPULARITY: 0.0800891, DIVERSITY_MEAN_INTER_LIST: 0.9932718, DIVERSITY_HERFINDAHL: 0.9993096, COVERAGE_ITEM: 0.3198614, COVERAGE_ITEM_CORRECT: 0.0491781, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965018, DIVERSITY_GINI: 0.1044983, SHANNON_ENTROPY: 11.6184440, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.0572670870023725, 'b': 0.7358648293404277, 'c': 0.8777537494822664, 'normalize': False} - results: ROC_AUC: 0.1883683, PRECISION: 0.0415124, PRECISION_RECALL_MIN_DEN: 0.1437314, RECALL: 0.1389327, MAP: 0.0662291, MRR: 0.1406228, NDCG: 0.1000503, F1: 0.0639227, HIT_RATE: 0.4151241, ARHR: 0.1645414, NOVELTY: 0.0048459, AVERAGE_POPULARITY: 0.0887293, DIVERSITY_MEAN_INTER_LIST: 0.9916090, DIVERSITY_HERFINDAHL: 0.9991434, COVERAGE_ITEM: 0.3489586, COVERAGE_ITEM_CORRECT: 0.0505794, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2123569, DIVERSITY_GINI: 0.1099041, SHANNON_ENTROPY: 11.5640495, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7839849330704367, 'b': 0.023338414922365217, 'c': 0.05224763003021539, 'normalize': True} - results: ROC_AUC: 0.1545383, PRECISION: 0.0325867, PRECISION_RECALL_MIN_DEN: 0.1257112, RECALL: 0.1227683, MAP: 0.0539461, MRR: 0.1075251, NDCG: 0.0829516, F1: 0.0515009, HIT_RATE: 0.3258666, ARHR: 0.1217239, NOVELTY: 0.0052376, AVERAGE_POPULARITY: 0.0381941, DIVERSITY_MEAN_INTER_LIST: 0.9972895, DIVERSITY_HERFINDAHL: 0.9997113, COVERAGE_ITEM: 0.5304639, COVERAGE_ITEM_CORRECT: 0.0558614, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1814270, DIVERSITY_GINI: 0.2353309, SHANNON_ENTROPY: 12.8178260, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.6685463448611546, 'b': 0.8379231571564152, 'c': 0.7920756923996225, 'normalize': False} - results: ROC_AUC: 0.1991884, PRECISION: 0.0441130, PRECISION_RECALL_MIN_DEN: 0.1566241, RECALL: 0.1518515, MAP: 0.0719460, MRR: 0.1477829, NDCG: 0.1081936, F1: 0.0683652, HIT_RATE: 0.4411300, ARHR: 0.1735428, NOVELTY: 0.0049415, AVERAGE_POPULARITY: 0.0784558, DIVERSITY_MEAN_INTER_LIST: 0.9932870, DIVERSITY_HERFINDAHL: 0.9993111, COVERAGE_ITEM: 0.4038268, COVERAGE_ITEM_CORRECT: 0.0584485, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2252422, DIVERSITY_GINI: 0.1388678, SHANNON_ENTROPY: 11.9050343, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7470499249380425, 'b': 0.06568704205750843, 'c': 0.09154232713805589, 'normalize': False} - results: ROC_AUC: 0.1328419, PRECISION: 0.0277682, PRECISION_RECALL_MIN_DEN: 0.1046590, RECALL: 0.1018423, MAP: 0.0453943, MRR: 0.0926628, NDCG: 0.0696335, F1: 0.0436369, HIT_RATE: 0.2776818, ARHR: 0.1044205, NOVELTY: 0.0052888, AVERAGE_POPULARITY: 0.0261381, DIVERSITY_MEAN_INTER_LIST: 0.9977077, DIVERSITY_HERFINDAHL: 0.9997531, COVERAGE_ITEM: 0.5754302, COVERAGE_ITEM_CORRECT: 0.0503330, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1553794, DIVERSITY_GINI: 0.2731116, SHANNON_ENTROPY: 13.0371669, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.08299255008892249, 'b': 0.885767218690461, 'c': 0.038411853823270954, 'normalize': False} - results: ROC_AUC: 0.1997464, PRECISION: 0.0435973, PRECISION_RECALL_MIN_DEN: 0.1564878, RECALL: 0.1519822, MAP: 0.0726395, MRR: 0.1489247, NDCG: 0.1088494, F1: 0.0677562, HIT_RATE: 0.4359729, ARHR: 0.1733894, NOVELTY: 0.0048656, AVERAGE_POPULARITY: 0.0932541, DIVERSITY_MEAN_INTER_LIST: 0.9887865, DIVERSITY_HERFINDAHL: 0.9988612, COVERAGE_ITEM: 0.4614206, COVERAGE_ITEM_CORRECT: 0.0560385, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244369, DIVERSITY_GINI: 0.1560845, SHANNON_ENTROPY: 11.7622625, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5257364180390249, 'b': 0.5238730034197704, 'c': 0.2988059371106215, 'normalize': True} - results: ROC_AUC: 0.1865754, PRECISION: 0.0414698, PRECISION_RECALL_MIN_DEN: 0.1446375, RECALL: 0.1399620, MAP: 0.0663086, MRR: 0.1389625, NDCG: 0.1001447, F1: 0.0639813, HIT_RATE: 0.4146976, ARHR: 0.1626972, NOVELTY: 0.0049085, AVERAGE_POPULARITY: 0.0785275, DIVERSITY_MEAN_INTER_LIST: 0.9935364, DIVERSITY_HERFINDAHL: 0.9993361, COVERAGE_ITEM: 0.3568970, COVERAGE_ITEM_CORRECT: 0.0550221, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2119290, DIVERSITY_GINI: 0.1188104, SHANNON_ENTROPY: 11.7618432, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.4509915004017059, 'b': 0.12149909854300825, 'c': 0.1329303739990191, 'normalize': True} - results: ROC_AUC: 0.1845784, PRECISION: 0.0407319, PRECISION_RECALL_MIN_DEN: 0.1462837, RECALL: 0.1420379, MAP: 0.0656978, MRR: 0.1353969, NDCG: 0.0998903, F1: 0.0633079, HIT_RATE: 0.4073188, ARHR: 0.1572063, NOVELTY: 0.0049796, AVERAGE_POPULARITY: 0.0703590, DIVERSITY_MEAN_INTER_LIST: 0.9946407, DIVERSITY_HERFINDAHL: 0.9994465, COVERAGE_ITEM: 0.3901598, COVERAGE_ITEM_CORRECT: 0.0580327, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2122059, DIVERSITY_GINI: 0.1376096, SHANNON_ENTROPY: 11.9911940, 
