
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1965619, PRECISION: 0.0432609, PRECISION_RECALL_MIN_DEN: 0.1557006, RECALL: 0.1511843, MAP: 0.0713374, MRR: 0.1454082, NDCG: 0.1072032, F1: 0.0672706, HIT_RATE: 0.4326094, ARHR: 0.1700382, NOVELTY: 0.0049679, AVERAGE_POPULARITY: 0.0748212, DIVERSITY_MEAN_INTER_LIST: 0.9926191, DIVERSITY_HERFINDAHL: 0.9992444, COVERAGE_ITEM: 0.5120154, COVERAGE_ITEM_CORRECT: 0.0590568, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2221971, DIVERSITY_GINI: 0.1963407, SHANNON_ENTROPY: 12.2325481, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1947620, PRECISION: 0.0429381, PRECISION_RECALL_MIN_DEN: 0.1540375, RECALL: 0.1494719, MAP: 0.0707367, MRR: 0.1442942, NDCG: 0.1061661, F1: 0.0667109, HIT_RATE: 0.4293809, ARHR: 0.1687680, NOVELTY: 0.0049752, AVERAGE_POPULARITY: 0.0748741, DIVERSITY_MEAN_INTER_LIST: 0.9927169, DIVERSITY_HERFINDAHL: 0.9992541, COVERAGE_ITEM: 0.5095515, COVERAGE_ITEM_CORRECT: 0.0583715, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2204857, DIVERSITY_GINI: 0.1927348, SHANNON_ENTROPY: 12.2083036, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1988948, PRECISION: 0.0433778, PRECISION_RECALL_MIN_DEN: 0.1560171, RECALL: 0.1515459, MAP: 0.0721025, MRR: 0.1476144, NDCG: 0.1081454, F1: 0.0674486, HIT_RATE: 0.4337783, ARHR: 0.1720242, NOVELTY: 0.0048871, AVERAGE_POPULARITY: 0.0888847, DIVERSITY_MEAN_INTER_LIST: 0.9896270, DIVERSITY_HERFINDAHL: 0.9989452, COVERAGE_ITEM: 0.4798845, COVERAGE_ITEM_CORRECT: 0.0566622, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2236567, DIVERSITY_GINI: 0.1676019, SHANNON_ENTROPY: 11.8781630, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1879945, PRECISION: 0.0412046, PRECISION_RECALL_MIN_DEN: 0.1477668, RECALL: 0.1433497, MAP: 0.0672178, MRR: 0.1381758, NDCG: 0.1013613, F1: 0.0640090, HIT_RATE: 0.4120463, ARHR: 0.1612626, NOVELTY: 0.0050459, AVERAGE_POPULARITY: 0.0624474, DIVERSITY_MEAN_INTER_LIST: 0.9946806, DIVERSITY_HERFINDAHL: 0.9994505, COVERAGE_ITEM: 0.5302791, COVERAGE_ITEM_CORRECT: 0.0584485, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133132, DIVERSITY_GINI: 0.2155436, SHANNON_ENTROPY: 12.4742355, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1931142, PRECISION: 0.0422235, PRECISION_RECALL_MIN_DEN: 0.1506182, RECALL: 0.1461251, MAP: 0.0697921, MRR: 0.1436762, NDCG: 0.1046237, F1: 0.0655148, HIT_RATE: 0.4222353, ARHR: 0.1677635, NOVELTY: 0.0049318, AVERAGE_POPULARITY: 0.0837212, DIVERSITY_MEAN_INTER_LIST: 0.9909134, DIVERSITY_HERFINDAHL: 0.9990738, COVERAGE_ITEM: 0.4713917, COVERAGE_ITEM_CORRECT: 0.0548373, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2169624, DIVERSITY_GINI: 0.1642560, SHANNON_ENTROPY: 11.9169412, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1676156, PRECISION: 0.0367170, PRECISION_RECALL_MIN_DEN: 0.1308923, RECALL: 0.1267916, MAP: 0.0580400, MRR: 0.1212206, NDCG: 0.0886203, F1: 0.0569425, HIT_RATE: 0.3671698, ARHR: 0.1407672, NOVELTY: 0.0051358, AVERAGE_POPULARITY: 0.0468443, DIVERSITY_MEAN_INTER_LIST: 0.9965095, DIVERSITY_HERFINDAHL: 0.9996333, COVERAGE_ITEM: 0.5586910, COVERAGE_ITEM_CORRECT: 0.0559461, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1929533, DIVERSITY_GINI: 0.2461546, SHANNON_ENTROPY: 12.7806758, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1997054, PRECISION: 0.0437671, PRECISION_RECALL_MIN_DEN: 0.1576680, RECALL: 0.1531413, MAP: 0.0725626, MRR: 0.1478822, NDCG: 0.1089045, F1: 0.0680761, HIT_RATE: 0.4376710, ARHR: 0.1728997, NOVELTY: 0.0049268, AVERAGE_POPULARITY: 0.0819337, DIVERSITY_MEAN_INTER_LIST: 0.9911856, DIVERSITY_HERFINDAHL: 0.9991010, COVERAGE_ITEM: 0.4952685, COVERAGE_ITEM_CORRECT: 0.0584408, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2245879, DIVERSITY_GINI: 0.1814203, SHANNON_ENTROPY: 12.0567840, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1682396, PRECISION: 0.0368969, PRECISION_RECALL_MIN_DEN: 0.1318172, RECALL: 0.1276781, MAP: 0.0584256, MRR: 0.1215978, NDCG: 0.0891279, F1: 0.0572482, HIT_RATE: 0.3689691, ARHR: 0.1411434, NOVELTY: 0.0051407, AVERAGE_POPULARITY: 0.0461882, DIVERSITY_MEAN_INTER_LIST: 0.9964809, DIVERSITY_HERFINDAHL: 0.9996305, COVERAGE_ITEM: 0.5540096, COVERAGE_ITEM_CORRECT: 0.0558383, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1935573, DIVERSITY_GINI: 0.2425363, SHANNON_ENTROPY: 12.7600106, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1907692, PRECISION: 0.0419227, PRECISION_RECALL_MIN_DEN: 0.1502661, RECALL: 0.1458016, MAP: 0.0687404, MRR: 0.1404050, NDCG: 0.1033465, F1: 0.0651202, HIT_RATE: 0.4192273, ARHR: 0.1641408, NOVELTY: 0.0050292, AVERAGE_POPULARITY: 0.0661313, DIVERSITY_MEAN_INTER_LIST: 0.9941628, DIVERSITY_HERFINDAHL: 0.9993987, COVERAGE_ITEM: 0.5146487, COVERAGE_ITEM_CORRECT: 0.0585255, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2161067, DIVERSITY_GINI: 0.2023665, SHANNON_ENTROPY: 12.3615794, 
