
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.2023881, PRECISION: 0.0443929, PRECISION_RECALL_MIN_DEN: 0.1595777, RECALL: 0.1549734, MAP: 0.0739765, MRR: 0.1509309, NDCG: 0.1106948, F1: 0.0690132, HIT_RATE: 0.4439293, ARHR: 0.1762896, NOVELTY: 0.0049059, AVERAGE_POPULARITY: 0.0901962, DIVERSITY_MEAN_INTER_LIST: 0.9895501, DIVERSITY_HERFINDAHL: 0.9989375, COVERAGE_ITEM: 0.4850356, COVERAGE_ITEM_CORRECT: 0.0581405, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2280609, DIVERSITY_GINI: 0.1719723, SHANNON_ENTROPY: 11.9163405, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.2002638, PRECISION: 0.0436019, PRECISION_RECALL_MIN_DEN: 0.1562153, RECALL: 0.1516599, MAP: 0.0733126, MRR: 0.1498262, NDCG: 0.1091806, F1: 0.0677300, HIT_RATE: 0.4360190, ARHR: 0.1748705, NOVELTY: 0.0049070, AVERAGE_POPULARITY: 0.0913062, DIVERSITY_MEAN_INTER_LIST: 0.9893452, DIVERSITY_HERFINDAHL: 0.9989170, COVERAGE_ITEM: 0.4872069, COVERAGE_ITEM_CORRECT: 0.0566237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2241601, DIVERSITY_GINI: 0.1727868, SHANNON_ENTROPY: 11.9108477, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.2000503, PRECISION: 0.0436437, PRECISION_RECALL_MIN_DEN: 0.1567238, RECALL: 0.1522143, MAP: 0.0728199, MRR: 0.1490958, NDCG: 0.1090161, F1: 0.0678353, HIT_RATE: 0.4364367, ARHR: 0.1737279, NOVELTY: 0.0048626, AVERAGE_POPULARITY: 0.0954524, DIVERSITY_MEAN_INTER_LIST: 0.9881200, DIVERSITY_HERFINDAHL: 0.9987945, COVERAGE_ITEM: 0.4709451, COVERAGE_ITEM_CORRECT: 0.0561078, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244117, DIVERSITY_GINI: 0.1601449, SHANNON_ENTROPY: 11.7582147, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1992924, PRECISION: 0.0435739, PRECISION_RECALL_MIN_DEN: 0.1552262, RECALL: 0.1506456, MAP: 0.0725073, MRR: 0.1493306, NDCG: 0.1083635, F1: 0.0675935, HIT_RATE: 0.4357387, ARHR: 0.1743917, NOVELTY: 0.0049029, AVERAGE_POPULARITY: 0.0941407, DIVERSITY_MEAN_INTER_LIST: 0.9887238, DIVERSITY_HERFINDAHL: 0.9988549, COVERAGE_ITEM: 0.4784216, COVERAGE_ITEM_CORRECT: 0.0559769, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2232289, DIVERSITY_GINI: 0.1666838, SHANNON_ENTROPY: 11.8444216, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1872425, PRECISION: 0.0402964, PRECISION_RECALL_MIN_DEN: 0.1413414, RECALL: 0.1369353, MAP: 0.0663981, MRR: 0.1395481, NDCG: 0.0995076, F1: 0.0622673, HIT_RATE: 0.4029645, ARHR: 0.1621382, NOVELTY: 0.0048182, AVERAGE_POPULARITY: 0.1084023, DIVERSITY_MEAN_INTER_LIST: 0.9848599, DIVERSITY_HERFINDAHL: 0.9984686, COVERAGE_ITEM: 0.4441886, COVERAGE_ITEM_CORRECT: 0.0476150, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2086322, DIVERSITY_GINI: 0.1406326, SHANNON_ENTROPY: 11.4707577, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1865780, PRECISION: 0.0405205, PRECISION_RECALL_MIN_DEN: 0.1446990, RECALL: 0.1403434, MAP: 0.0670198, MRR: 0.1378248, NDCG: 0.1003610, F1: 0.0628831, HIT_RATE: 0.4052051, ARHR: 0.1607886, NOVELTY: 0.0050472, AVERAGE_POPULARITY: 0.0674184, DIVERSITY_MEAN_INTER_LIST: 0.9940177, DIVERSITY_HERFINDAHL: 0.9993842, COVERAGE_ITEM: 0.5438383, COVERAGE_ITEM_CORRECT: 0.0573782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2094627, DIVERSITY_GINI: 0.2241298, SHANNON_ENTROPY: 12.4915541, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.2016234, PRECISION: 0.0440401, PRECISION_RECALL_MIN_DEN: 0.1578126, RECALL: 0.1532241, MAP: 0.0734494, MRR: 0.1502807, NDCG: 0.1098615, F1: 0.0684144, HIT_RATE: 0.4404009, ARHR: 0.1754361, NOVELTY: 0.0048801, AVERAGE_POPULARITY: 0.0942734, DIVERSITY_MEAN_INTER_LIST: 0.9885325, DIVERSITY_HERFINDAHL: 0.9988358, COVERAGE_ITEM: 0.4738017, COVERAGE_ITEM_CORRECT: 0.0569394, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259469, DIVERSITY_GINI: 0.1630484, SHANNON_ENTROPY: 11.8028737, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1974505, PRECISION: 0.0431813, PRECISION_RECALL_MIN_DEN: 0.1534188, RECALL: 0.1488149, MAP: 0.0716040, MRR: 0.1477460, NDCG: 0.1070437, F1: 0.0669362, HIT_RATE: 0.4318134, ARHR: 0.1727125, NOVELTY: 0.0049343, AVERAGE_POPULARITY: 0.0902252, DIVERSITY_MEAN_INTER_LIST: 0.9896719, DIVERSITY_HERFINDAHL: 0.9989497, COVERAGE_ITEM: 0.4910183, COVERAGE_ITEM_CORRECT: 0.0562695, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2212407, DIVERSITY_GINI: 0.1765597, SHANNON_ENTROPY: 11.9618354, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1947589, PRECISION: 0.0424604, PRECISION_RECALL_MIN_DEN: 0.1495679, RECALL: 0.1450249, MAP: 0.0700887, MRR: 0.1455365, NDCG: 0.1048654, F1: 0.0656869, HIT_RATE: 0.4246038, ARHR: 0.1700365, NOVELTY: 0.0048670, AVERAGE_POPULARITY: 0.1012005, DIVERSITY_MEAN_INTER_LIST: 0.9869383, DIVERSITY_HERFINDAHL: 0.9986764, COVERAGE_ITEM: 0.4627372, COVERAGE_ITEM_CORRECT: 0.0527430, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2175915, DIVERSITY_GINI: 0.1542065, SHANNON_ENTROPY: 11.6702250, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1979302, PRECISION: 0.0432802, PRECISION_RECALL_MIN_DEN: 0.1539162, RECALL: 0.1493207, MAP: 0.0718356, MRR: 0.1480423, NDCG: 0.1073739, F1: 0.0671063, HIT_RATE: 0.4328016, ARHR: 0.1730470, NOVELTY: 0.0049372, AVERAGE_POPULARITY: 0.0893534, DIVERSITY_MEAN_INTER_LIST: 0.9898603, DIVERSITY_HERFINDAHL: 0.9989685, COVERAGE_ITEM: 0.4927122, COVERAGE_ITEM_CORRECT: 0.0565159, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217189, DIVERSITY_GINI: 0.1779716, SHANNON_ENTROPY: 11.9798748, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.15889526200422235, 'b': 0.2938627213739898, 'c': 0.08919510334006976, 'normalize': False} - results: ROC_AUC: 0.2022495, PRECISION: 0.0442905, PRECISION_RECALL_MIN_DEN: 0.1590463, RECALL: 0.1544462, MAP: 0.0739326, MRR: 0.1508213, NDCG: 0.1105076, F1: 0.0688372, HIT_RATE: 0.4429054, ARHR: 0.1761675, NOVELTY: 0.0049020, AVERAGE_POPULARITY: 0.0912263, DIVERSITY_MEAN_INTER_LIST: 0.9893162, DIVERSITY_HERFINDAHL: 0.9989141, COVERAGE_ITEM: 0.4823484, COVERAGE_ITEM_CORRECT: 0.0577401, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2275072, DIVERSITY_GINI: 0.1699118, SHANNON_ENTROPY: 11.8912562, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.40351871534810646, 'b': 0.3112329794809601, 'c': 0.697267388315978, 'normalize': False} - results: ROC_AUC: 0.1922167, PRECISION: 0.0417286, PRECISION_RECALL_MIN_DEN: 0.1470066, RECALL: 0.1424934, MAP: 0.0689459, MRR: 0.1436740, NDCG: 0.1031822, F1: 0.0645514, HIT_RATE: 0.4172857, ARHR: 0.1674376, NOVELTY: 0.0048458, AVERAGE_POPULARITY: 0.1044352, DIVERSITY_MEAN_INTER_LIST: 0.9860270, DIVERSITY_HERFINDAHL: 0.9985853, COVERAGE_ITEM: 0.4547218, COVERAGE_ITEM_CORRECT: 0.0509952, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2148232, DIVERSITY_GINI: 0.1482500, SHANNON_ENTROPY: 11.5826894, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.3062596325597406, 'b': 0.20544775885188232, 'c': 0.08153707254481092, 'normalize': False} - results: ROC_AUC: 0.1925932, PRECISION: 0.0420683, PRECISION_RECALL_MIN_DEN: 0.1511331, RECALL: 0.1466304, MAP: 0.0697164, MRR: 0.1425276, NDCG: 0.1044655, F1: 0.0653770, HIT_RATE: 0.4206829, ARHR: 0.1664542, NOVELTY: 0.0050255, AVERAGE_POPULARITY: 0.0691192, DIVERSITY_MEAN_INTER_LIST: 0.9936728, DIVERSITY_HERFINDAHL: 0.9993497, COVERAGE_ITEM: 0.5351915, COVERAGE_ITEM_CORRECT: 0.0588335, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171134, DIVERSITY_GINI: 0.2171274, SHANNON_ENTROPY: 12.4275533, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'a': 0.726504287503122, 'b': 0.09117241748840711, 'c': 0.4651561165384266, 'normalize': True} - results: ROC_AUC: 0.1709814, PRECISION: 0.0366644, PRECISION_RECALL_MIN_DEN: 0.1317695, RECALL: 0.1277936, MAP: 0.0602835, MRR: 0.1245995, NDCG: 0.0907903, F1: 0.0569799, HIT_RATE: 0.3666440, ARHR: 0.1443297, NOVELTY: 0.0051324, AVERAGE_POPULARITY: 0.0512327, DIVERSITY_MEAN_INTER_LIST: 0.9960741, DIVERSITY_HERFINDAHL: 0.9995898, COVERAGE_ITEM: 0.5653898, COVERAGE_ITEM_CORRECT: 0.0554456, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1931043, DIVERSITY_GINI: 0.2511812, SHANNON_ENTROPY: 12.7813157, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'a': 0.5460201378519737, 'b': 0.32024341642443616, 'c': 0.9020078710965056, 'normalize': True} - results: ROC_AUC: 0.1959347, PRECISION: 0.0428355, PRECISION_RECALL_MIN_DEN: 0.1526362, RECALL: 0.1480693, MAP: 0.0711194, MRR: 0.1462589, NDCG: 0.1062981, F1: 0.0664456, HIT_RATE: 0.4283546, ARHR: 0.1710532, NOVELTY: 0.0049607, AVERAGE_POPULARITY: 0.0837599, DIVERSITY_MEAN_INTER_LIST: 0.9911027, DIVERSITY_HERFINDAHL: 0.9990928, COVERAGE_ITEM: 0.5122772, COVERAGE_ITEM_CORRECT: 0.0569548, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2196300, DIVERSITY_GINI: 0.1922004, SHANNON_ENTROPY: 12.1297306, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'a': 0.691692874545093, 'b': 0.8792132050255275, 'c': 0.6302839244484225, 'normalize': True} - results: ROC_AUC: 0.1941186, PRECISION: 0.0425097, PRECISION_RECALL_MIN_DEN: 0.1527391, RECALL: 0.1482151, MAP: 0.0702713, MRR: 0.1440280, NDCG: 0.1054300, F1: 0.0660676, HIT_RATE: 0.4250966, ARHR: 0.1683674, NOVELTY: 0.0049971, AVERAGE_POPULARITY: 0.0743305, DIVERSITY_MEAN_INTER_LIST: 0.9928749, DIVERSITY_HERFINDAHL: 0.9992699, COVERAGE_ITEM: 0.5295938, COVERAGE_ITEM_CORRECT: 0.0586795, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2189254, DIVERSITY_GINI: 0.2090764, SHANNON_ENTROPY: 12.3289818, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'a': 0.8978309114164305, 'b': 0.4854872045282991, 'c': 0.5843535501206276, 'normalize': False} - results: ROC_AUC: 0.2004633, PRECISION: 0.0437188, PRECISION_RECALL_MIN_DEN: 0.1567698, RECALL: 0.1522058, MAP: 0.0727898, MRR: 0.1497669, NDCG: 0.1089549, F1: 0.0679238, HIT_RATE: 0.4371882, ARHR: 0.1748273, NOVELTY: 0.0049340, AVERAGE_POPULARITY: 0.0884884, DIVERSITY_MEAN_INTER_LIST: 0.9900285, DIVERSITY_HERFINDAHL: 0.9989854, COVERAGE_ITEM: 0.4934052, COVERAGE_ITEM_CORRECT: 0.0574013, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2245627, DIVERSITY_GINI: 0.1783249, SHANNON_ENTROPY: 11.9881467, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'a': 0.9662016322698685, 'b': 0.4963111377096092, 'c': 0.6874259637686088, 'normalize': False} - results: ROC_AUC: 0.2001186, PRECISION: 0.0437006, PRECISION_RECALL_MIN_DEN: 0.1564567, RECALL: 0.1518803, MAP: 0.0727571, MRR: 0.1496734, NDCG: 0.1088323, F1: 0.0678692, HIT_RATE: 0.4370059, ARHR: 0.1747793, NOVELTY: 0.0049248, AVERAGE_POPULARITY: 0.0904066, DIVERSITY_MEAN_INTER_LIST: 0.9896050, DIVERSITY_HERFINDAHL: 0.9989430, COVERAGE_ITEM: 0.4884620, COVERAGE_ITEM_CORRECT: 0.0569625, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2243866, DIVERSITY_GINI: 0.1745245, SHANNON_ENTROPY: 11.9416661, 
