
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1988771, PRECISION: 0.0435188, PRECISION_RECALL_MIN_DEN: 0.1570425, RECALL: 0.1525130, MAP: 0.0729281, MRR: 0.1478532, NDCG: 0.1088907, F1: 0.0677132, HIT_RATE: 0.4351884, ARHR: 0.1728223, NOVELTY: 0.0049294, AVERAGE_POPULARITY: 0.0811306, DIVERSITY_MEAN_INTER_LIST: 0.9914795, DIVERSITY_HERFINDAHL: 0.9991304, COVERAGE_ITEM: 0.5011049, COVERAGE_ITEM_CORRECT: 0.0586564, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2232289, DIVERSITY_GINI: 0.1865028, SHANNON_ENTROPY: 12.1062477, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1969293, PRECISION: 0.0432258, PRECISION_RECALL_MIN_DEN: 0.1552981, RECALL: 0.1507414, MAP: 0.0718639, MRR: 0.1464935, NDCG: 0.1075675, F1: 0.0671839, HIT_RATE: 0.4322579, ARHR: 0.1711553, NOVELTY: 0.0049270, AVERAGE_POPULARITY: 0.0818033, DIVERSITY_MEAN_INTER_LIST: 0.9914742, DIVERSITY_HERFINDAHL: 0.9991299, COVERAGE_ITEM: 0.5025602, COVERAGE_ITEM_CORRECT: 0.0580635, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219957, DIVERSITY_GINI: 0.1863722, SHANNON_ENTROPY: 12.0996025, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1999892, PRECISION: 0.0436497, PRECISION_RECALL_MIN_DEN: 0.1571934, RECALL: 0.1527181, MAP: 0.0726702, MRR: 0.1486985, NDCG: 0.1089816, F1: 0.0678929, HIT_RATE: 0.4364966, ARHR: 0.1733711, NOVELTY: 0.0048647, AVERAGE_POPULARITY: 0.0924307, DIVERSITY_MEAN_INTER_LIST: 0.9888582, DIVERSITY_HERFINDAHL: 0.9988683, COVERAGE_ITEM: 0.4760500, COVERAGE_ITEM_CORRECT: 0.0567546, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250912, DIVERSITY_GINI: 0.1640024, SHANNON_ENTROPY: 11.8154009, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1935321, PRECISION: 0.0420418, PRECISION_RECALL_MIN_DEN: 0.1521237, RECALL: 0.1476982, MAP: 0.0708870, MRR: 0.1440956, NDCG: 0.1057040, F1: 0.0654511, HIT_RATE: 0.4204184, ARHR: 0.1677345, NOVELTY: 0.0049643, AVERAGE_POPULARITY: 0.0755044, DIVERSITY_MEAN_INTER_LIST: 0.9926924, DIVERSITY_HERFINDAHL: 0.9992517, COVERAGE_ITEM: 0.5111068, COVERAGE_ITEM_CORRECT: 0.0577940, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172140, DIVERSITY_GINI: 0.1964084, SHANNON_ENTROPY: 12.2358393, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1951505, PRECISION: 0.0427252, PRECISION_RECALL_MIN_DEN: 0.1515231, RECALL: 0.1469891, MAP: 0.0706294, MRR: 0.1457867, NDCG: 0.1057470, F1: 0.0662030, HIT_RATE: 0.4272519, ARHR: 0.1702417, NOVELTY: 0.0048311, AVERAGE_POPULARITY: 0.1000913, DIVERSITY_MEAN_INTER_LIST: 0.9875149, DIVERSITY_HERFINDAHL: 0.9987340, COVERAGE_ITEM: 0.4419172, COVERAGE_ITEM_CORRECT: 0.0540289, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193532, DIVERSITY_GINI: 0.1412032, SHANNON_ENTROPY: 11.5748917, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1657774, PRECISION: 0.0354092, PRECISION_RECALL_MIN_DEN: 0.1302122, RECALL: 0.1265689, MAP: 0.0587819, MRR: 0.1203039, NDCG: 0.0889431, F1: 0.0553361, HIT_RATE: 0.3540925, ARHR: 0.1382263, NOVELTY: 0.0050955, AVERAGE_POPULARITY: 0.0526969, DIVERSITY_MEAN_INTER_LIST: 0.9959389, DIVERSITY_HERFINDAHL: 0.9995763, COVERAGE_ITEM: 0.5573205, COVERAGE_ITEM_CORRECT: 0.0533205, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1890776, DIVERSITY_GINI: 0.2438210, SHANNON_ENTROPY: 12.7258851, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.2013730, PRECISION: 0.0440108, PRECISION_RECALL_MIN_DEN: 0.1588133, RECALL: 0.1542753, MAP: 0.0736132, MRR: 0.1496852, NDCG: 0.1101027, F1: 0.0684829, HIT_RATE: 0.4401080, ARHR: 0.1748657, NOVELTY: 0.0048950, AVERAGE_POPULARITY: 0.0873407, DIVERSITY_MEAN_INTER_LIST: 0.9901297, DIVERSITY_HERFINDAHL: 0.9989955, COVERAGE_ITEM: 0.4862753, COVERAGE_ITEM_CORRECT: 0.0582637, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2258966, DIVERSITY_GINI: 0.1734958, SHANNON_ENTROPY: 11.9475823, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1790509, PRECISION: 0.0380980, PRECISION_RECALL_MIN_DEN: 0.1403774, RECALL: 0.1365651, MAP: 0.0644856, MRR: 0.1309363, NDCG: 0.0968418, F1: 0.0595733, HIT_RATE: 0.3809796, ARHR: 0.1508369, NOVELTY: 0.0050319, AVERAGE_POPULARITY: 0.0638350, DIVERSITY_MEAN_INTER_LIST: 0.9945369, DIVERSITY_HERFINDAHL: 0.9994361, COVERAGE_ITEM: 0.5337748, COVERAGE_ITEM_CORRECT: 0.0546910, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2017365, DIVERSITY_GINI: 0.2196611, SHANNON_ENTROPY: 12.4917758, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1956798, PRECISION: 0.0424309, PRECISION_RECALL_MIN_DEN: 0.1531591, RECALL: 0.1487437, MAP: 0.0715910, MRR: 0.1452334, NDCG: 0.1066655, F1: 0.0660259, HIT_RATE: 0.4243093, ARHR: 0.1693441, NOVELTY: 0.0049257, AVERAGE_POPULARITY: 0.0827818, DIVERSITY_MEAN_INTER_LIST: 0.9914078, DIVERSITY_HERFINDAHL: 0.9991233, COVERAGE_ITEM: 0.4912493, COVERAGE_ITEM_CORRECT: 0.0569625, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2187744, DIVERSITY_GINI: 0.1791926, SHANNON_ENTROPY: 12.0494157, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1804208, PRECISION: 0.0385540, PRECISION_RECALL_MIN_DEN: 0.1416559, RECALL: 0.1377414, MAP: 0.0651299, MRR: 0.1322397, NDCG: 0.0977178, F1: 0.0602432, HIT_RATE: 0.3855404, ARHR: 0.1526182, NOVELTY: 0.0050281, AVERAGE_POPULARITY: 0.0642556, DIVERSITY_MEAN_INTER_LIST: 0.9944748, DIVERSITY_HERFINDAHL: 0.9994299, COVERAGE_ITEM: 0.5340443, COVERAGE_ITEM_CORRECT: 0.0551684, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030955, DIVERSITY_GINI: 0.2192695, SHANNON_ENTROPY: 12.4848959, 
