
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.934973154613103, 'b': 0.3970778674275399, 'c': 0.2843828779499133, 'normalize': True} - results: ROC_AUC: 0.1887260, PRECISION: 0.0415378, PRECISION_RECALL_MIN_DEN: 0.1470074, RECALL: 0.1425429, MAP: 0.0671848, MRR: 0.1392250, NDCG: 0.1015527, F1: 0.0643282, HIT_RATE: 0.4153777, ARHR: 0.1624860, NOVELTY: 0.0049568, AVERAGE_POPULARITY: 0.0746119, DIVERSITY_MEAN_INTER_LIST: 0.9940340, DIVERSITY_HERFINDAHL: 0.9993858, COVERAGE_ITEM: 0.3886352, COVERAGE_ITEM_CORRECT: 0.0569394, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2143199, DIVERSITY_GINI: 0.1346569, SHANNON_ENTROPY: 11.9274328, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.3167590301949354, 'b': 0.9287472141229102, 'c': 0.9958958786914162, 'normalize': False} - results: ROC_AUC: 0.1871425, PRECISION: 0.0408091, PRECISION_RECALL_MIN_DEN: 0.1408620, RECALL: 0.1361999, MAP: 0.0659326, MRR: 0.1399815, NDCG: 0.0991216, F1: 0.0628003, HIT_RATE: 0.4080914, ARHR: 0.1632952, NOVELTY: 0.0048319, AVERAGE_POPULARITY: 0.0984380, DIVERSITY_MEAN_INTER_LIST: 0.9888559, DIVERSITY_HERFINDAHL: 0.9988681, COVERAGE_ITEM: 0.3823215, COVERAGE_ITEM_CORRECT: 0.0474379, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2092865, DIVERSITY_GINI: 0.1198183, SHANNON_ENTROPY: 11.5131104, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.6492360722667689, 'b': 0.8884253222370491, 'c': 0.3620297007095868, 'normalize': False} - results: ROC_AUC: 0.1938997, PRECISION: 0.0424565, PRECISION_RECALL_MIN_DEN: 0.1480381, RECALL: 0.1433874, MAP: 0.0693994, MRR: 0.1450554, NDCG: 0.1039961, F1: 0.0655134, HIT_RATE: 0.4245648, ARHR: 0.1695873, NOVELTY: 0.0048598, AVERAGE_POPULARITY: 0.0988987, DIVERSITY_MEAN_INTER_LIST: 0.9882433, DIVERSITY_HERFINDAHL: 0.9988069, COVERAGE_ITEM: 0.4241232, COVERAGE_ITEM_CORRECT: 0.0516343, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172140, DIVERSITY_GINI: 0.1382239, SHANNON_ENTROPY: 11.6270646, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.4095100549994467, 'b': 0.91638238465498, 'c': 0.13533958397028725, 'normalize': True} - results: ROC_AUC: 0.1935960, PRECISION: 0.0427602, PRECISION_RECALL_MIN_DEN: 0.1481884, RECALL: 0.1433163, MAP: 0.0692963, MRR: 0.1449824, NDCG: 0.1038635, F1: 0.0658658, HIT_RATE: 0.4276016, ARHR: 0.1703221, NOVELTY: 0.0048861, AVERAGE_POPULARITY: 0.0886177, DIVERSITY_MEAN_INTER_LIST: 0.9913542, DIVERSITY_HERFINDAHL: 0.9991179, COVERAGE_ITEM: 0.3915765, COVERAGE_ITEM_CORRECT: 0.0531203, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2168365, DIVERSITY_GINI: 0.1286624, SHANNON_ENTROPY: 11.7166367, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.39389179845273026, 'b': 0.22468304233056707, 'c': 0.5826424677534683, 'normalize': True} - results: ROC_AUC: 0.1773434, PRECISION: 0.0390071, PRECISION_RECALL_MIN_DEN: 0.1352437, RECALL: 0.1306403, MAP: 0.0616035, MRR: 0.1316478, NDCG: 0.0934971, F1: 0.0600759, HIT_RATE: 0.3900711, ARHR: 0.1534750, NOVELTY: 0.0048783, AVERAGE_POPULARITY: 0.0809054, DIVERSITY_MEAN_INTER_LIST: 0.9931459, DIVERSITY_HERFINDAHL: 0.9992970, COVERAGE_ITEM: 0.3288393, COVERAGE_ITEM_CORRECT: 0.0504100, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012583, DIVERSITY_GINI: 0.1072603, SHANNON_ENTROPY: 11.6367628, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.513310615503198, 'b': 0.318362650541501, 'c': 0.1895068798869684, 'normalize': True} - results: ROC_AUC: 0.1891759, PRECISION: 0.0420388, PRECISION_RECALL_MIN_DEN: 0.1469452, RECALL: 0.1422873, MAP: 0.0673151, MRR: 0.1403001, NDCG: 0.1016898, F1: 0.0649010, HIT_RATE: 0.4203880, ARHR: 0.1645527, NOVELTY: 0.0049314, AVERAGE_POPULARITY: 0.0778247, DIVERSITY_MEAN_INTER_LIST: 0.9935574, DIVERSITY_HERFINDAHL: 0.9993382, COVERAGE_ITEM: 0.3774398, COVERAGE_ITEM_CORRECT: 0.0561617, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2145464, DIVERSITY_GINI: 0.1280499, SHANNON_ENTROPY: 11.8431501, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.823536660423978, 'b': 0.030472100493881056, 'c': 0.9838895947367389, 'normalize': False} - results: ROC_AUC: 0.1849004, PRECISION: 0.0402125, PRECISION_RECALL_MIN_DEN: 0.1457204, RECALL: 0.1417416, MAP: 0.0655816, MRR: 0.1348200, NDCG: 0.0997306, F1: 0.0626506, HIT_RATE: 0.4021247, ARHR: 0.1558766, NOVELTY: 0.0049989, AVERAGE_POPULARITY: 0.0685572, DIVERSITY_MEAN_INTER_LIST: 0.9947868, DIVERSITY_HERFINDAHL: 0.9994611, COVERAGE_ITEM: 0.3913609, COVERAGE_ITEM_CORRECT: 0.0582098, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2120800, DIVERSITY_GINI: 0.1397452, SHANNON_ENTROPY: 12.0208449, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.05915161344787591, 'b': 0.630260779845943, 'c': 0.674926332657061, 'normalize': False} - results: ROC_AUC: 0.1826180, PRECISION: 0.0395511, PRECISION_RECALL_MIN_DEN: 0.1363192, RECALL: 0.1318215, MAP: 0.0633334, MRR: 0.1357261, NDCG: 0.0956991, F1: 0.0608441, HIT_RATE: 0.3955113, ARHR: 0.1580356, NOVELTY: 0.0048185, AVERAGE_POPULARITY: 0.1000931, DIVERSITY_MEAN_INTER_LIST: 0.9884533, DIVERSITY_HERFINDAHL: 0.9988279, COVERAGE_ITEM: 0.3755842, COVERAGE_ITEM_CORRECT: 0.0451434, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2042783, DIVERSITY_GINI: 0.1165199, SHANNON_ENTROPY: 11.4670273, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.9934254804874789, 'b': 0.4537006857410858, 'c': 0.4851862161614432, 'normalize': True} - results: ROC_AUC: 0.1858090, PRECISION: 0.0411908, PRECISION_RECALL_MIN_DEN: 0.1441805, RECALL: 0.1395945, MAP: 0.0660292, MRR: 0.1381938, NDCG: 0.0998070, F1: 0.0636111, HIT_RATE: 0.4119077, ARHR: 0.1616233, NOVELTY: 0.0049190, AVERAGE_POPULARITY: 0.0778898, DIVERSITY_MEAN_INTER_LIST: 0.9935937, DIVERSITY_HERFINDAHL: 0.9993418, COVERAGE_ITEM: 0.3622868, COVERAGE_ITEM_CORRECT: 0.0552454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2115767, DIVERSITY_GINI: 0.1216039, SHANNON_ENTROPY: 11.7919824, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.45996592128589286, 'b': 0.6336080469919995, 'c': 0.9504363395103897, 'normalize': True} - results: ROC_AUC: 0.1769935, PRECISION: 0.0390921, PRECISION_RECALL_MIN_DEN: 0.1352720, RECALL: 0.1306296, MAP: 0.0612394, MRR: 0.1314795, NDCG: 0.0931782, F1: 0.0601754, HIT_RATE: 0.3909212, ARHR: 0.1534960, NOVELTY: 0.0048689, AVERAGE_POPULARITY: 0.0825577, DIVERSITY_MEAN_INTER_LIST: 0.9928676, DIVERSITY_HERFINDAHL: 0.9992692, COVERAGE_ITEM: 0.3280539, COVERAGE_ITEM_CORRECT: 0.0496092, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2015603, DIVERSITY_GINI: 0.1060810, SHANNON_ENTROPY: 11.6086811, 
