
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.06257450764706853, 'b': 0.08168573034855488, 'c': 0.5550102092872891, 'normalize': True} - results: ROC_AUC: 0.1701590, PRECISION: 0.0367821, PRECISION_RECALL_MIN_DEN: 0.1289737, RECALL: 0.1248190, MAP: 0.0577775, MRR: 0.1247526, NDCG: 0.0884849, F1: 0.0568199, HIT_RATE: 0.3678205, ARHR: 0.1443958, NOVELTY: 0.0048649, AVERAGE_POPULARITY: 0.0820533, DIVERSITY_MEAN_INTER_LIST: 0.9929464, DIVERSITY_HERFINDAHL: 0.9992771, COVERAGE_ITEM: 0.3156266, COVERAGE_ITEM_CORRECT: 0.0469913, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1932553, DIVERSITY_GINI: 0.1021474, SHANNON_ENTROPY: 11.5771542, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6735544949870516, 'b': 0.21401439962996022, 'c': 0.5029740689679365, 'normalize': True} - results: ROC_AUC: 0.1816139, PRECISION: 0.0400875, PRECISION_RECALL_MIN_DEN: 0.1398608, RECALL: 0.1353325, MAP: 0.0636963, MRR: 0.1349204, NDCG: 0.0966483, F1: 0.0618525, HIT_RATE: 0.4008746, ARHR: 0.1574468, NOVELTY: 0.0048978, AVERAGE_POPULARITY: 0.0798007, DIVERSITY_MEAN_INTER_LIST: 0.9933085, DIVERSITY_HERFINDAHL: 0.9993133, COVERAGE_ITEM: 0.3424062, COVERAGE_ITEM_CORRECT: 0.0529971, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2067195, DIVERSITY_GINI: 0.1132319, SHANNON_ENTROPY: 11.7036667, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.373255391177234, 'b': 0.5024499689056506, 'c': 0.6190685735242538, 'normalize': False} - results: ROC_AUC: 0.1858133, PRECISION: 0.0406924, PRECISION_RECALL_MIN_DEN: 0.1445020, RECALL: 0.1402685, MAP: 0.0657876, MRR: 0.1369944, NDCG: 0.0997992, F1: 0.0630838, HIT_RATE: 0.4069236, ARHR: 0.1592179, NOVELTY: 0.0049520, AVERAGE_POPULARITY: 0.0740959, DIVERSITY_MEAN_INTER_LIST: 0.9940989, DIVERSITY_HERFINDAHL: 0.9993923, COVERAGE_ITEM: 0.3696554, COVERAGE_ITEM_CORRECT: 0.0566622, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2115012, DIVERSITY_GINI: 0.1273940, SHANNON_ENTROPY: 11.8763010, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9548795117183235, 'b': 0.10901925362825629, 'c': 0.7292538169168991, 'normalize': False} - results: ROC_AUC: 0.1789641, PRECISION: 0.0380002, PRECISION_RECALL_MIN_DEN: 0.1439834, RECALL: 0.1405556, MAP: 0.0624717, MRR: 0.1264174, NDCG: 0.0960490, F1: 0.0598251, HIT_RATE: 0.3800017, ARHR: 0.1442017, NOVELTY: 0.0050894, AVERAGE_POPULARITY: 0.0583911, DIVERSITY_MEAN_INTER_LIST: 0.9958233, DIVERSITY_HERFINDAHL: 0.9995647, COVERAGE_ITEM: 0.4313609, COVERAGE_ITEM_CORRECT: 0.0587950, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2073990, DIVERSITY_GINI: 0.1654896, SHANNON_ENTROPY: 12.2851742, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9999855093068025, 'b': 0.838079194595782, 'c': 0.6886116237673273, 'normalize': False} - results: ROC_AUC: 0.1809754, PRECISION: 0.0386640, PRECISION_RECALL_MIN_DEN: 0.1458593, RECALL: 0.1423702, MAP: 0.0636412, MRR: 0.1286329, NDCG: 0.0976175, F1: 0.0608122, HIT_RATE: 0.3866404, ARHR: 0.1470286, NOVELTY: 0.0050933, AVERAGE_POPULARITY: 0.0590965, DIVERSITY_MEAN_INTER_LIST: 0.9957329, DIVERSITY_HERFINDAHL: 0.9995557, COVERAGE_ITEM: 0.4409394, COVERAGE_ITEM_CORRECT: 0.0592108, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2098905, DIVERSITY_GINI: 0.1702473, SHANNON_ENTROPY: 12.3103283, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.17339470088830336, 'b': 0.29051254823578915, 'c': 0.4713472075710752, 'normalize': True} - results: ROC_AUC: 0.1757048, PRECISION: 0.0385762, PRECISION_RECALL_MIN_DEN: 0.1339728, RECALL: 0.1294580, MAP: 0.0603169, MRR: 0.1300520, NDCG: 0.0921091, F1: 0.0594397, HIT_RATE: 0.3857624, ARHR: 0.1514764, NOVELTY: 0.0048618, AVERAGE_POPULARITY: 0.0845352, DIVERSITY_MEAN_INTER_LIST: 0.9925091, DIVERSITY_HERFINDAHL: 0.9992334, COVERAGE_ITEM: 0.3242271, COVERAGE_ITEM_CORRECT: 0.0480847, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002265, DIVERSITY_GINI: 0.1041699, SHANNON_ENTROPY: 11.5734725, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.7645129493668286, 'b': 0.10457725135909415, 'c': 0.4552377874522364, 'normalize': True} - results: ROC_AUC: 0.1817277, PRECISION: 0.0400349, PRECISION_RECALL_MIN_DEN: 0.1404237, RECALL: 0.1359978, MAP: 0.0637422, MRR: 0.1343062, NDCG: 0.0968689, F1: 0.0618594, HIT_RATE: 0.4003491, ARHR: 0.1564577, NOVELTY: 0.0049156, AVERAGE_POPULARITY: 0.0771670, DIVERSITY_MEAN_INTER_LIST: 0.9937167, DIVERSITY_HERFINDAHL: 0.9993541, COVERAGE_ITEM: 0.3497671, COVERAGE_ITEM_CORRECT: 0.0542984, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2071977, DIVERSITY_GINI: 0.1173587, SHANNON_ENTROPY: 11.7648692, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.1337841196614972, 'b': 0.6236285473108212, 'c': 0.399583354251696, 'normalize': False} - results: ROC_AUC: 0.1843877, PRECISION: 0.0408553, PRECISION_RECALL_MIN_DEN: 0.1422841, RECALL: 0.1376749, MAP: 0.0649404, MRR: 0.1376712, NDCG: 0.0985118, F1: 0.0630116, HIT_RATE: 0.4085530, ARHR: 0.1608466, NOVELTY: 0.0048952, AVERAGE_POPULARITY: 0.0815175, DIVERSITY_MEAN_INTER_LIST: 0.9929952, DIVERSITY_HERFINDAHL: 0.9992820, COVERAGE_ITEM: 0.3467411, COVERAGE_ITEM_CORRECT: 0.0531280, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2097395, DIVERSITY_GINI: 0.1141201, SHANNON_ENTROPY: 11.6937848, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'a': 0.5682600003311091, 'b': 0.2586202034897895, 'c': 0.24815974112736733, 'normalize': True} - results: ROC_AUC: 0.1863968, PRECISION: 0.0413849, PRECISION_RECALL_MIN_DEN: 0.1447662, RECALL: 0.1401725, MAP: 0.0661045, MRR: 0.1386979, NDCG: 0.1001351, F1: 0.0639021, HIT_RATE: 0.4138495, ARHR: 0.1621594, NOVELTY: 0.0049201, AVERAGE_POPULARITY: 0.0796578, DIVERSITY_MEAN_INTER_LIST: 0.9932720, DIVERSITY_HERFINDAHL: 0.9993097, COVERAGE_ITEM: 0.3658595, COVERAGE_ITEM_CORRECT: 0.0549374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2126085, DIVERSITY_GINI: 0.1229265, SHANNON_ENTROPY: 11.7880180, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'a': 0.7536657094354658, 'b': 0.7185168388009251, 'c': 0.134317199845898, 'normalize': True} - results: ROC_AUC: 0.1933818, PRECISION: 0.0427288, PRECISION_RECALL_MIN_DEN: 0.1508593, RECALL: 0.1462866, MAP: 0.0691734, MRR: 0.1438024, NDCG: 0.1044105, F1: 0.0661379, HIT_RATE: 0.4272881, ARHR: 0.1683520, NOVELTY: 0.0049509, AVERAGE_POPULARITY: 0.0839422, DIVERSITY_MEAN_INTER_LIST: 0.9920877, DIVERSITY_HERFINDAHL: 0.9991912, COVERAGE_ITEM: 0.4247238, COVERAGE_ITEM_CORRECT: 0.0557074, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2196049, DIVERSITY_GINI: 0.1485824, SHANNON_ENTROPY: 11.9294255, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.18537876668814304, 'b': 0.7163311604715148, 'c': 0.19726620596212713, 'normalize': False} - results: ROC_AUC: 0.1910930, PRECISION: 0.0418594, PRECISION_RECALL_MIN_DEN: 0.1494161, RECALL: 0.1451106, MAP: 0.0683156, MRR: 0.1410725, NDCG: 0.1032684, F1: 0.0649750, HIT_RATE: 0.4185936, ARHR: 0.1643577, NOVELTY: 0.0049765, AVERAGE_POPULARITY: 0.0754929, DIVERSITY_MEAN_INTER_LIST: 0.9937467, DIVERSITY_HERFINDAHL: 0.9993571, COVERAGE_ITEM: 0.3994841, COVERAGE_ITEM_CORRECT: 0.0574244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171385, DIVERSITY_GINI: 0.1405583, SHANNON_ENTROPY: 11.9633786, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.5005217802914517, 'b': 0.8271538223629883, 'c': 0.40479794487191867, 'normalize': False} - results: ROC_AUC: 0.1863526, PRECISION: 0.0400672, PRECISION_RECALL_MIN_DEN: 0.1481989, RECALL: 0.1444137, MAP: 0.0657891, MRR: 0.1338113, NDCG: 0.1003615, F1: 0.0627298, HIT_RATE: 0.4006721, ARHR: 0.1540954, NOVELTY: 0.0050476, AVERAGE_POPULARITY: 0.0654013, DIVERSITY_MEAN_INTER_LIST: 0.9950718, DIVERSITY_HERFINDAHL: 0.9994896, COVERAGE_ITEM: 0.4232608, COVERAGE_ITEM_CORRECT: 0.0586025, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2136655, DIVERSITY_GINI: 0.1575688, SHANNON_ENTROPY: 12.1752374, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.8686582764450707, 'b': 0.20909300682346282, 'c': 0.2555658581211578, 'normalize': True} - results: ROC_AUC: 0.1863796, PRECISION: 0.0409757, PRECISION_RECALL_MIN_DEN: 0.1464593, RECALL: 0.1421912, MAP: 0.0663783, MRR: 0.1374582, NDCG: 0.1006990, F1: 0.0636163, HIT_RATE: 0.4097572, ARHR: 0.1596936, NOVELTY: 0.0049673, AVERAGE_POPULARITY: 0.0736733, DIVERSITY_MEAN_INTER_LIST: 0.9941527, DIVERSITY_HERFINDAHL: 0.9993977, COVERAGE_ITEM: 0.3889740, COVERAGE_ITEM_CORRECT: 0.0568855, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133887, DIVERSITY_GINI: 0.1358641, SHANNON_ENTROPY: 11.9482895, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'a': 0.6255858121237882, 'b': 0.21339347447834117, 'c': 0.7294610098859561, 'normalize': True} - results: ROC_AUC: 0.1781222, PRECISION: 0.0391658, PRECISION_RECALL_MIN_DEN: 0.1364451, RECALL: 0.1319095, MAP: 0.0618538, MRR: 0.1320851, NDCG: 0.0941077, F1: 0.0603978, HIT_RATE: 0.3916578, ARHR: 0.1537522, NOVELTY: 0.0048833, AVERAGE_POPULARITY: 0.0807788, DIVERSITY_MEAN_INTER_LIST: 0.9931589, DIVERSITY_HERFINDAHL: 0.9992983, COVERAGE_ITEM: 0.3311107, COVERAGE_ITEM_CORRECT: 0.0510260, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026677, DIVERSITY_GINI: 0.1083668, SHANNON_ENTROPY: 11.6493594, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'a': 0.5659241496107488, 'b': 0.8273987712022262, 'c': 0.6147701985213967, 'normalize': True} - results: ROC_AUC: 0.1826471, PRECISION: 0.0402186, PRECISION_RECALL_MIN_DEN: 0.1392404, RECALL: 0.1345427, MAP: 0.0637317, MRR: 0.1360323, NDCG: 0.0965535, F1: 0.0619254, HIT_RATE: 0.4021861, ARHR: 0.1589915, NOVELTY: 0.0048675, AVERAGE_POPULARITY: 0.0865728, DIVERSITY_MEAN_INTER_LIST: 0.9920752, DIVERSITY_HERFINDAHL: 0.9991900, COVERAGE_ITEM: 0.3406275, COVERAGE_ITEM_CORRECT: 0.0498710, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2063672, DIVERSITY_GINI: 0.1095092, SHANNON_ENTROPY: 11.6013109, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'a': 0.6183084298852128, 'b': 0.9184083005282055, 'c': 0.9051159299914076, 'normalize': False} - results: ROC_AUC: 0.1863335, PRECISION: 0.0407779, PRECISION_RECALL_MIN_DEN: 0.1454908, RECALL: 0.1412880, MAP: 0.0661128, MRR: 0.1373423, NDCG: 0.1003186, F1: 0.0632895, HIT_RATE: 0.4077793, ARHR: 0.1595134, NOVELTY: 0.0049641, AVERAGE_POPULARITY: 0.0731567, DIVERSITY_MEAN_INTER_LIST: 0.9942085, DIVERSITY_HERFINDAHL: 0.9994033, COVERAGE_ITEM: 0.3770395, COVERAGE_ITEM_CORRECT: 0.0570164, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2124324, DIVERSITY_GINI: 0.1311342, SHANNON_ENTROPY: 11.9146644, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'a': 0.5251730047190974, 'b': 0.41056791859138997, 'c': 0.1396443933968178, 'normalize': True} - results: ROC_AUC: 0.1913509, PRECISION: 0.0424386, PRECISION_RECALL_MIN_DEN: 0.1487309, RECALL: 0.1440801, MAP: 0.0683617, MRR: 0.1423803, NDCG: 0.1031510, F1: 0.0655634, HIT_RATE: 0.4243863, ARHR: 0.1668215, NOVELTY: 0.0049348, AVERAGE_POPULARITY: 0.0825841, DIVERSITY_MEAN_INTER_LIST: 0.9925751, DIVERSITY_HERFINDAHL: 0.9992400, COVERAGE_ITEM: 0.3968277, COVERAGE_ITEM_CORRECT: 0.0553224, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174657, DIVERSITY_GINI: 0.1356185, SHANNON_ENTROPY: 11.8551058, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'a': 0.9041549946570973, 'b': 0.4635048124600486, 'c': 0.5612440316157393, 'normalize': True} - results: ROC_AUC: 0.1844545, PRECISION: 0.0408828, PRECISION_RECALL_MIN_DEN: 0.1423195, RECALL: 0.1377021, MAP: 0.0651155, MRR: 0.1374808, NDCG: 0.0986032, F1: 0.0630467, HIT_RATE: 0.4088284, ARHR: 0.1606376, NOVELTY: 0.0048997, AVERAGE_POPULARITY: 0.0811088, DIVERSITY_MEAN_INTER_LIST: 0.9930693, DIVERSITY_HERFINDAHL: 0.9992894, COVERAGE_ITEM: 0.3509605, COVERAGE_ITEM_CORRECT: 0.0535977, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2099157, DIVERSITY_GINI: 0.1160347, SHANNON_ENTROPY: 11.7155394, 
