
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1398256, PRECISION: 0.0291147, PRECISION_RECALL_MIN_DEN: 0.1075142, RECALL: 0.1045111, MAP: 0.0479200, MRR: 0.0994932, NDCG: 0.0730523, F1: 0.0455404, HIT_RATE: 0.2911470, ARHR: 0.1123259, NOVELTY: 0.0052211, AVERAGE_POPULARITY: 0.0327771, DIVERSITY_MEAN_INTER_LIST: 0.9974503, DIVERSITY_HERFINDAHL: 0.9997274, COVERAGE_ITEM: 0.5816054, COVERAGE_ITEM_CORRECT: 0.0491858, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1611929, DIVERSITY_GINI: 0.2748840, SHANNON_ENTROPY: 13.0158836, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1924778, PRECISION: 0.0421169, PRECISION_RECALL_MIN_DEN: 0.1483236, RECALL: 0.1437950, MAP: 0.0690935, MRR: 0.1435919, NDCG: 0.1036424, F1: 0.0651497, HIT_RATE: 0.4211690, ARHR: 0.1674192, NOVELTY: 0.0048527, AVERAGE_POPULARITY: 0.1033428, DIVERSITY_MEAN_INTER_LIST: 0.9870034, DIVERSITY_HERFINDAHL: 0.9986829, COVERAGE_ITEM: 0.4626064, COVERAGE_ITEM_CORRECT: 0.0519192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2164590, DIVERSITY_GINI: 0.1550999, SHANNON_ENTROPY: 11.6894489, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1747648, PRECISION: 0.0371197, PRECISION_RECALL_MIN_DEN: 0.1300596, RECALL: 0.1260559, MAP: 0.0608659, MRR: 0.1289518, NDCG: 0.0916138, F1: 0.0573468, HIT_RATE: 0.3711965, ARHR: 0.1489343, NOVELTY: 0.0048421, AVERAGE_POPULARITY: 0.1118996, DIVERSITY_MEAN_INTER_LIST: 0.9839501, DIVERSITY_HERFINDAHL: 0.9983776, COVERAGE_ITEM: 0.4496477, COVERAGE_ITEM_CORRECT: 0.0422021, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1951680, DIVERSITY_GINI: 0.1490440, SHANNON_ENTROPY: 11.5466213, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1299221, PRECISION: 0.0271358, PRECISION_RECALL_MIN_DEN: 0.1002963, RECALL: 0.0974799, MAP: 0.0440022, MRR: 0.0913622, NDCG: 0.0674814, F1: 0.0424519, HIT_RATE: 0.2713583, ARHR: 0.1028664, NOVELTY: 0.0052489, AVERAGE_POPULARITY: 0.0270494, DIVERSITY_MEAN_INTER_LIST: 0.9977103, DIVERSITY_HERFINDAHL: 0.9997534, COVERAGE_ITEM: 0.5856708, COVERAGE_ITEM_CORRECT: 0.0479923, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1515037, DIVERSITY_GINI: 0.2804439, SHANNON_ENTROPY: 13.0670761, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1801100, PRECISION: 0.0381440, PRECISION_RECALL_MIN_DEN: 0.1381803, RECALL: 0.1342448, MAP: 0.0635151, MRR: 0.1308852, NDCG: 0.0956908, F1: 0.0594067, HIT_RATE: 0.3814400, ARHR: 0.1507526, NOVELTY: 0.0050949, AVERAGE_POPULARITY: 0.0556191, DIVERSITY_MEAN_INTER_LIST: 0.9957186, DIVERSITY_HERFINDAHL: 0.9995543, COVERAGE_ITEM: 0.5567969, COVERAGE_ITEM_CORRECT: 0.0565929, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020888, DIVERSITY_GINI: 0.2428145, SHANNON_ENTROPY: 12.7117961, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1960663, PRECISION: 0.0428109, PRECISION_RECALL_MIN_DEN: 0.1534453, RECALL: 0.1489196, MAP: 0.0710119, MRR: 0.1455889, NDCG: 0.1063469, F1: 0.0665017, HIT_RATE: 0.4281092, ARHR: 0.1701448, NOVELTY: 0.0049684, AVERAGE_POPULARITY: 0.0773196, DIVERSITY_MEAN_INTER_LIST: 0.9928992, DIVERSITY_HERFINDAHL: 0.9992724, COVERAGE_ITEM: 0.5154341, COVERAGE_ITEM_CORRECT: 0.0591261, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2201082, DIVERSITY_GINI: 0.1987886, SHANNON_ENTROPY: 12.2713970, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1529544, PRECISION: 0.0319627, PRECISION_RECALL_MIN_DEN: 0.1177719, RECALL: 0.1144732, MAP: 0.0529660, MRR: 0.1097304, NDCG: 0.0804336, F1: 0.0499709, HIT_RATE: 0.3196273, ARHR: 0.1246130, NOVELTY: 0.0051813, AVERAGE_POPULARITY: 0.0406533, DIVERSITY_MEAN_INTER_LIST: 0.9969258, DIVERSITY_HERFINDAHL: 0.9996750, COVERAGE_ITEM: 0.5754764, COVERAGE_ITEM_CORRECT: 0.0510953, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1749088, DIVERSITY_GINI: 0.2662557, SHANNON_ENTROPY: 12.9302553, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1201809, PRECISION: 0.0251883, PRECISION_RECALL_MIN_DEN: 0.0928433, RECALL: 0.0901726, MAP: 0.0402228, MRR: 0.0838707, NDCG: 0.0620117, F1: 0.0393761, HIT_RATE: 0.2518831, ARHR: 0.0944747, NOVELTY: 0.0052695, AVERAGE_POPULARITY: 0.0230019, DIVERSITY_MEAN_INTER_LIST: 0.9978064, DIVERSITY_HERFINDAHL: 0.9997630, COVERAGE_ITEM: 0.5883041, COVERAGE_ITEM_CORRECT: 0.0465063, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1412860, DIVERSITY_GINI: 0.2839854, SHANNON_ENTROPY: 13.0941845, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1377635, PRECISION: 0.0284643, PRECISION_RECALL_MIN_DEN: 0.1054765, RECALL: 0.1025529, MAP: 0.0469302, MRR: 0.0973309, NDCG: 0.0715631, F1: 0.0445590, HIT_RATE: 0.2846434, ARHR: 0.1095709, NOVELTY: 0.0052357, AVERAGE_POPULARITY: 0.0299269, DIVERSITY_MEAN_INTER_LIST: 0.9976245, DIVERSITY_HERFINDAHL: 0.9997448, COVERAGE_ITEM: 0.5836766, COVERAGE_ITEM_CORRECT: 0.0493013, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1586511, DIVERSITY_GINI: 0.2776858, SHANNON_ENTROPY: 13.0448127, 
