
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7671299191394406, 'b': 0.7255965738064235, 'c': 0.5809918556097606, 'normalize': True} - results: ROC_AUC: 0.1820318, PRECISION: 0.0402150, PRECISION_RECALL_MIN_DEN: 0.1403893, RECALL: 0.1358533, MAP: 0.0643041, MRR: 0.1353753, NDCG: 0.0972688, F1: 0.0620588, HIT_RATE: 0.4021503, ARHR: 0.1580325, NOVELTY: 0.0048894, AVERAGE_POPULARITY: 0.0806085, DIVERSITY_MEAN_INTER_LIST: 0.9931623, DIVERSITY_HERFINDAHL: 0.9992987, COVERAGE_ITEM: 0.3405505, COVERAGE_ITEM_CORRECT: 0.0530510, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2069209, DIVERSITY_GINI: 0.1117864, SHANNON_ENTROPY: 11.6800138, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.2517845224749899, 'b': 0.9345762642416822, 'c': 0.30298752688528957, 'normalize': True} - results: ROC_AUC: 0.1820099, PRECISION: 0.0402439, PRECISION_RECALL_MIN_DEN: 0.1394061, RECALL: 0.1346900, MAP: 0.0638942, MRR: 0.1358085, NDCG: 0.0966453, F1: 0.0619708, HIT_RATE: 0.4024390, ARHR: 0.1588310, NOVELTY: 0.0048549, AVERAGE_POPULARITY: 0.0860149, DIVERSITY_MEAN_INTER_LIST: 0.9921761, DIVERSITY_HERFINDAHL: 0.9992001, COVERAGE_ITEM: 0.3325043, COVERAGE_ITEM_CORRECT: 0.0505871, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2064175, DIVERSITY_GINI: 0.1058200, SHANNON_ENTROPY: 11.5654853, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.00976109745431586, 'b': 0.39447917407818156, 'c': 0.7288509144280809, 'normalize': False} - results: ROC_AUC: 0.1783827, PRECISION: 0.0385762, PRECISION_RECALL_MIN_DEN: 0.1332731, RECALL: 0.1287966, MAP: 0.0614579, MRR: 0.1323934, NDCG: 0.0930590, F1: 0.0593697, HIT_RATE: 0.3857621, ARHR: 0.1540171, NOVELTY: 0.0048171, AVERAGE_POPULARITY: 0.0922809, DIVERSITY_MEAN_INTER_LIST: 0.9908621, DIVERSITY_HERFINDAHL: 0.9990687, COVERAGE_ITEM: 0.3240500, COVERAGE_ITEM_CORRECT: 0.0456593, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2006292, DIVERSITY_GINI: 0.0997716, SHANNON_ENTROPY: 11.4344057, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.8175232317204375, 'b': 0.8451105766308844, 'c': 0.5750837715897249, 'normalize': True} - results: ROC_AUC: 0.1829182, PRECISION: 0.0404657, PRECISION_RECALL_MIN_DEN: 0.1410202, RECALL: 0.1364700, MAP: 0.0646178, MRR: 0.1360425, NDCG: 0.0977656, F1: 0.0624218, HIT_RATE: 0.4046573, ARHR: 0.1589011, NOVELTY: 0.0048904, AVERAGE_POPULARITY: 0.0807456, DIVERSITY_MEAN_INTER_LIST: 0.9931334, DIVERSITY_HERFINDAHL: 0.9992958, COVERAGE_ITEM: 0.3433455, COVERAGE_ITEM_CORRECT: 0.0534052, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2079527, DIVERSITY_GINI: 0.1127275, SHANNON_ENTROPY: 11.6864322, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.7577460941081942, 'b': 0.1557589211871642, 'c': 0.8980820393262308, 'normalize': True} - results: ROC_AUC: 0.1765747, PRECISION: 0.0387032, PRECISION_RECALL_MIN_DEN: 0.1352314, RECALL: 0.1307824, MAP: 0.0613114, MRR: 0.1307888, NDCG: 0.0932952, F1: 0.0597294, HIT_RATE: 0.3870325, ARHR: 0.1519199, NOVELTY: 0.0048868, AVERAGE_POPULARITY: 0.0793776, DIVERSITY_MEAN_INTER_LIST: 0.9933853, DIVERSITY_HERFINDAHL: 0.9993210, COVERAGE_ITEM: 0.3287392, COVERAGE_ITEM_CORRECT: 0.0512647, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2010570, DIVERSITY_GINI: 0.1081237, SHANNON_ENTROPY: 11.6598892, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.5565294822062771, 'b': 0.28633565757675045, 'c': 0.21163314536921668, 'normalize': False} - results: ROC_AUC: 0.1891252, PRECISION: 0.0407349, PRECISION_RECALL_MIN_DEN: 0.1522863, RECALL: 0.1485008, MAP: 0.0684244, MRR: 0.1371594, NDCG: 0.1035676, F1: 0.0639308, HIT_RATE: 0.4073487, ARHR: 0.1581581, NOVELTY: 0.0050574, AVERAGE_POPULARITY: 0.0662187, DIVERSITY_MEAN_INTER_LIST: 0.9946747, DIVERSITY_HERFINDAHL: 0.9994499, COVERAGE_ITEM: 0.4710452, COVERAGE_ITEM_CORRECT: 0.0589952, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160312, DIVERSITY_GINI: 0.1817496, SHANNON_ENTROPY: 12.2958665, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.09771599077186413, 'b': 0.8194180214408213, 'c': 0.8901830649255714, 'normalize': True} - results: ROC_AUC: 0.1722803, PRECISION: 0.0373540, PRECISION_RECALL_MIN_DEN: 0.1306258, RECALL: 0.1263794, MAP: 0.0589161, MRR: 0.1271025, NDCG: 0.0899650, F1: 0.0576638, HIT_RATE: 0.3735398, ARHR: 0.1473079, NOVELTY: 0.0048558, AVERAGE_POPULARITY: 0.0837261, DIVERSITY_MEAN_INTER_LIST: 0.9926546, DIVERSITY_HERFINDAHL: 0.9992479, COVERAGE_ITEM: 0.3159731, COVERAGE_ITEM_CORRECT: 0.0469836, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1959230, DIVERSITY_GINI: 0.1014232, SHANNON_ENTROPY: 11.5527182, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7573279317171184, 'b': 0.04822693878531982, 'c': 0.0457666328739429, 'normalize': True} - results: ROC_AUC: 0.1536708, PRECISION: 0.0323037, PRECISION_RECALL_MIN_DEN: 0.1249309, RECALL: 0.1220372, MAP: 0.0536681, MRR: 0.1067876, NDCG: 0.0824690, F1: 0.0510836, HIT_RATE: 0.3230370, ARHR: 0.1207801, NOVELTY: 0.0052408, AVERAGE_POPULARITY: 0.0378698, DIVERSITY_MEAN_INTER_LIST: 0.9973023, DIVERSITY_HERFINDAHL: 0.9997126, COVERAGE_ITEM: 0.5357921, COVERAGE_ITEM_CORRECT: 0.0553994, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1801686, DIVERSITY_GINI: 0.2392710, SHANNON_ENTROPY: 12.8383546, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5992819414056674, 'b': 0.04186109972060482, 'c': 0.606687757643837, 'normalize': False} - results: ROC_AUC: 0.1843826, PRECISION: 0.0395652, PRECISION_RECALL_MIN_DEN: 0.1454534, RECALL: 0.1417241, MAP: 0.0651853, MRR: 0.1331789, NDCG: 0.0992163, F1: 0.0618605, HIT_RATE: 0.3956521, ARHR: 0.1530888, NOVELTY: 0.0050230, AVERAGE_POPULARITY: 0.0662968, DIVERSITY_MEAN_INTER_LIST: 0.9950216, DIVERSITY_HERFINDAHL: 0.9994846, COVERAGE_ITEM: 0.4027411, COVERAGE_ITEM_CORRECT: 0.0581636, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2113754, DIVERSITY_GINI: 0.1466252, SHANNON_ENTROPY: 12.0903957, 
