
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1944495, PRECISION: 0.0424001, PRECISION_RECALL_MIN_DEN: 0.1494252, RECALL: 0.1448553, MAP: 0.0700909, MRR: 0.1459421, NDCG: 0.1048023, F1: 0.0655969, HIT_RATE: 0.4240009, ARHR: 0.1704443, NOVELTY: 0.0048462, AVERAGE_POPULARITY: 0.1000988, DIVERSITY_MEAN_INTER_LIST: 0.9875695, DIVERSITY_HERFINDAHL: 0.9987395, COVERAGE_ITEM: 0.4433263, COVERAGE_ITEM_CORRECT: 0.0529894, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2173147, DIVERSITY_GINI: 0.1428843, SHANNON_ENTROPY: 11.5994641, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1957810, PRECISION: 0.0427178, PRECISION_RECALL_MIN_DEN: 0.1508206, RECALL: 0.1461939, MAP: 0.0709924, MRR: 0.1465356, NDCG: 0.1058165, F1: 0.0661154, HIT_RATE: 0.4271781, ARHR: 0.1713831, NOVELTY: 0.0048727, AVERAGE_POPULARITY: 0.0972021, DIVERSITY_MEAN_INTER_LIST: 0.9882194, DIVERSITY_HERFINDAHL: 0.9988045, COVERAGE_ITEM: 0.4643080, COVERAGE_ITEM_CORRECT: 0.0539519, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185730, DIVERSITY_GINI: 0.1559096, SHANNON_ENTROPY: 11.7307366, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1885310, PRECISION: 0.0406329, PRECISION_RECALL_MIN_DEN: 0.1423053, RECALL: 0.1378242, MAP: 0.0670656, MRR: 0.1409703, NDCG: 0.1003004, F1: 0.0627594, HIT_RATE: 0.4063292, ARHR: 0.1639366, NOVELTY: 0.0048027, AVERAGE_POPULARITY: 0.1057633, DIVERSITY_MEAN_INTER_LIST: 0.9861676, DIVERSITY_HERFINDAHL: 0.9985993, COVERAGE_ITEM: 0.4236458, COVERAGE_ITEM_CORRECT: 0.0491242, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2097144, DIVERSITY_GINI: 0.1292362, SHANNON_ENTROPY: 11.4187778, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1967538, PRECISION: 0.0428141, PRECISION_RECALL_MIN_DEN: 0.1511412, RECALL: 0.1465618, MAP: 0.0709749, MRR: 0.1471996, NDCG: 0.1060293, F1: 0.0662675, HIT_RATE: 0.4281412, ARHR: 0.1720616, NOVELTY: 0.0048713, AVERAGE_POPULARITY: 0.0988139, DIVERSITY_MEAN_INTER_LIST: 0.9877324, DIVERSITY_HERFINDAHL: 0.9987558, COVERAGE_ITEM: 0.4583869, COVERAGE_ITEM_CORRECT: 0.0536362, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193029, DIVERSITY_GINI: 0.1528143, SHANNON_ENTROPY: 11.6942473, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1835883, PRECISION: 0.0393253, PRECISION_RECALL_MIN_DEN: 0.1374025, RECALL: 0.1330456, MAP: 0.0643224, MRR: 0.1362725, NDCG: 0.0966714, F1: 0.0607050, HIT_RATE: 0.3932533, ARHR: 0.1581541, NOVELTY: 0.0047915, AVERAGE_POPULARITY: 0.1114609, DIVERSITY_MEAN_INTER_LIST: 0.9841492, DIVERSITY_HERFINDAHL: 0.9983975, COVERAGE_ITEM: 0.4249394, COVERAGE_ITEM_CORRECT: 0.0455746, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2047565, DIVERSITY_GINI: 0.1295003, SHANNON_ENTROPY: 11.3513925, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1860653, PRECISION: 0.0403617, PRECISION_RECALL_MIN_DEN: 0.1449048, RECALL: 0.1406101, MAP: 0.0669072, MRR: 0.1376526, NDCG: 0.1003264, F1: 0.0627178, HIT_RATE: 0.4036165, ARHR: 0.1603963, NOVELTY: 0.0050386, AVERAGE_POPULARITY: 0.0690828, DIVERSITY_MEAN_INTER_LIST: 0.9937668, DIVERSITY_HERFINDAHL: 0.9993591, COVERAGE_ITEM: 0.5385640, COVERAGE_ITEM_CORRECT: 0.0568547, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2091607, DIVERSITY_GINI: 0.2195056, SHANNON_ENTROPY: 12.4494236, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1914088, PRECISION: 0.0414778, PRECISION_RECALL_MIN_DEN: 0.1454186, RECALL: 0.1408953, MAP: 0.0681427, MRR: 0.1428005, NDCG: 0.1021249, F1: 0.0640867, HIT_RATE: 0.4147779, ARHR: 0.1664821, NOVELTY: 0.0048167, AVERAGE_POPULARITY: 0.1042973, DIVERSITY_MEAN_INTER_LIST: 0.9865167, DIVERSITY_HERFINDAHL: 0.9986342, COVERAGE_ITEM: 0.4287430, COVERAGE_ITEM_CORRECT: 0.0507411, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2135900, DIVERSITY_GINI: 0.1330263, SHANNON_ENTROPY: 11.4703387, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1971351, PRECISION: 0.0431459, PRECISION_RECALL_MIN_DEN: 0.1531848, RECALL: 0.1485873, MAP: 0.0714630, MRR: 0.1476003, NDCG: 0.1068806, F1: 0.0668704, HIT_RATE: 0.4314588, ARHR: 0.1725174, NOVELTY: 0.0049246, AVERAGE_POPULARITY: 0.0914091, DIVERSITY_MEAN_INTER_LIST: 0.9894337, DIVERSITY_HERFINDAHL: 0.9989259, COVERAGE_ITEM: 0.4846044, COVERAGE_ITEM_CORRECT: 0.0560539, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211401, DIVERSITY_GINI: 0.1723668, SHANNON_ENTROPY: 11.9231325, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1925815, PRECISION: 0.0418492, PRECISION_RECALL_MIN_DEN: 0.1468546, RECALL: 0.1423072, MAP: 0.0688324, MRR: 0.1437613, NDCG: 0.1030733, F1: 0.0646771, HIT_RATE: 0.4184918, ARHR: 0.1678658, NOVELTY: 0.0048443, AVERAGE_POPULARITY: 0.1039327, DIVERSITY_MEAN_INTER_LIST: 0.9863101, DIVERSITY_HERFINDAHL: 0.9986136, COVERAGE_ITEM: 0.4481925, COVERAGE_ITEM_CORRECT: 0.0512339, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2144457, DIVERSITY_GINI: 0.1452356, SHANNON_ENTROPY: 11.5748046, 
