
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1930985, PRECISION: 0.0421633, PRECISION_RECALL_MIN_DEN: 0.1482071, RECALL: 0.1436355, MAP: 0.0696253, MRR: 0.1448629, NDCG: 0.1040813, F1: 0.0651881, HIT_RATE: 0.4216334, ARHR: 0.1690016, NOVELTY: 0.0048342, AVERAGE_POPULARITY: 0.1047908, DIVERSITY_MEAN_INTER_LIST: 0.9862011, DIVERSITY_HERFINDAHL: 0.9986027, COVERAGE_ITEM: 0.4458518, COVERAGE_ITEM_CORRECT: 0.0518114, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160815, DIVERSITY_GINI: 0.1415421, SHANNON_ENTROPY: 11.5252442, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1950958, PRECISION: 0.0424697, PRECISION_RECALL_MIN_DEN: 0.1504712, RECALL: 0.1459159, MAP: 0.0708690, MRR: 0.1455699, NDCG: 0.1055483, F1: 0.0657890, HIT_RATE: 0.4246969, ARHR: 0.1699870, NOVELTY: 0.0048814, AVERAGE_POPULARITY: 0.0968814, DIVERSITY_MEAN_INTER_LIST: 0.9882105, DIVERSITY_HERFINDAHL: 0.9988036, COVERAGE_ITEM: 0.4755342, COVERAGE_ITEM_CORRECT: 0.0539057, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2177425, DIVERSITY_GINI: 0.1620434, SHANNON_ENTROPY: 11.7726269, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1876161, PRECISION: 0.0406930, PRECISION_RECALL_MIN_DEN: 0.1424683, RECALL: 0.1379643, MAP: 0.0669586, MRR: 0.1404179, NDCG: 0.1002361, F1: 0.0628450, HIT_RATE: 0.4069295, ARHR: 0.1634122, NOVELTY: 0.0048106, AVERAGE_POPULARITY: 0.1062219, DIVERSITY_MEAN_INTER_LIST: 0.9860018, DIVERSITY_HERFINDAHL: 0.9985828, COVERAGE_ITEM: 0.4344870, COVERAGE_ITEM_CORRECT: 0.0493705, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2096389, DIVERSITY_GINI: 0.1335415, SHANNON_ENTROPY: 11.4399557, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1938113, PRECISION: 0.0421807, PRECISION_RECALL_MIN_DEN: 0.1489028, RECALL: 0.1443689, MAP: 0.0700927, MRR: 0.1452815, NDCG: 0.1046375, F1: 0.0652845, HIT_RATE: 0.4218075, ARHR: 0.1693643, NOVELTY: 0.0048406, AVERAGE_POPULARITY: 0.1066655, DIVERSITY_MEAN_INTER_LIST: 0.9853712, DIVERSITY_HERFINDAHL: 0.9985197, COVERAGE_ITEM: 0.4542214, COVERAGE_ITEM_CORRECT: 0.0516189, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2165849, DIVERSITY_GINI: 0.1464586, SHANNON_ENTROPY: 11.5396567, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1814372, PRECISION: 0.0384766, PRECISION_RECALL_MIN_DEN: 0.1360596, RECALL: 0.1318803, MAP: 0.0636716, MRR: 0.1347805, NDCG: 0.0956605, F1: 0.0595707, HIT_RATE: 0.3847655, ARHR: 0.1557304, NOVELTY: 0.0047754, AVERAGE_POPULARITY: 0.1177839, DIVERSITY_MEAN_INTER_LIST: 0.9817931, DIVERSITY_HERFINDAHL: 0.9981620, COVERAGE_ITEM: 0.4332243, COVERAGE_ITEM_CORRECT: 0.0434880, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2021895, DIVERSITY_GINI: 0.1297098, SHANNON_ENTROPY: 11.2534819, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1797660, PRECISION: 0.0390430, PRECISION_RECALL_MIN_DEN: 0.1397382, RECALL: 0.1355503, MAP: 0.0642070, MRR: 0.1324464, NDCG: 0.0965417, F1: 0.0606229, HIT_RATE: 0.3904304, ARHR: 0.1540330, NOVELTY: 0.0050573, AVERAGE_POPULARITY: 0.0648258, DIVERSITY_MEAN_INTER_LIST: 0.9943329, DIVERSITY_HERFINDAHL: 0.9994157, COVERAGE_ITEM: 0.5463792, COVERAGE_ITEM_CORRECT: 0.0556073, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031458, DIVERSITY_GINI: 0.2285662, SHANNON_ENTROPY: 12.5379843, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1897154, PRECISION: 0.0411632, PRECISION_RECALL_MIN_DEN: 0.1442148, RECALL: 0.1396895, MAP: 0.0678062, MRR: 0.1419072, NDCG: 0.1014675, F1: 0.0635860, HIT_RATE: 0.4116321, ARHR: 0.1653406, NOVELTY: 0.0048104, AVERAGE_POPULARITY: 0.1081169, DIVERSITY_MEAN_INTER_LIST: 0.9853249, DIVERSITY_HERFINDAHL: 0.9985151, COVERAGE_ITEM: 0.4355804, COVERAGE_ITEM_CORRECT: 0.0496323, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2119542, DIVERSITY_GINI: 0.1340438, SHANNON_ENTROPY: 11.4220697, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1957643, PRECISION: 0.0426055, PRECISION_RECALL_MIN_DEN: 0.1511951, RECALL: 0.1466738, MAP: 0.0706191, MRR: 0.1462112, NDCG: 0.1056892, F1: 0.0660287, HIT_RATE: 0.4260554, ARHR: 0.1704704, NOVELTY: 0.0048740, AVERAGE_POPULARITY: 0.1023667, DIVERSITY_MEAN_INTER_LIST: 0.9864036, DIVERSITY_HERFINDAHL: 0.9986229, COVERAGE_ITEM: 0.4716227, COVERAGE_ITEM_CORRECT: 0.0533513, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2190260, DIVERSITY_GINI: 0.1587655, SHANNON_ENTROPY: 11.6853618, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1893899, PRECISION: 0.0409717, PRECISION_RECALL_MIN_DEN: 0.1443582, RECALL: 0.1398667, MAP: 0.0678565, MRR: 0.1415998, NDCG: 0.1014939, F1: 0.0633759, HIT_RATE: 0.4097171, ARHR: 0.1646285, NOVELTY: 0.0048145, AVERAGE_POPULARITY: 0.1119896, DIVERSITY_MEAN_INTER_LIST: 0.9836409, DIVERSITY_HERFINDAHL: 0.9983467, COVERAGE_ITEM: 0.4481078, COVERAGE_ITEM_CORRECT: 0.0488393, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2115767, DIVERSITY_GINI: 0.1406386, SHANNON_ENTROPY: 11.4218122, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1961157, PRECISION: 0.0426728, PRECISION_RECALL_MIN_DEN: 0.1515216, RECALL: 0.1469926, MAP: 0.0707855, MRR: 0.1465032, NDCG: 0.1059147, F1: 0.0661416, HIT_RATE: 0.4267278, ARHR: 0.1708213, NOVELTY: 0.0048749, AVERAGE_POPULARITY: 0.1019517, DIVERSITY_MEAN_INTER_LIST: 0.9865523, DIVERSITY_HERFINDAHL: 0.9986378, COVERAGE_ITEM: 0.4713763, COVERAGE_ITEM_CORRECT: 0.0535746, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193280, DIVERSITY_GINI: 0.1587953, SHANNON_ENTROPY: 11.6911129, 
