
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1940585, PRECISION: 0.0419297, PRECISION_RECALL_MIN_DEN: 0.1510252, RECALL: 0.1466674, MAP: 0.0705695, MRR: 0.1437121, NDCG: 0.1052194, F1: 0.0652133, HIT_RATE: 0.4192972, ARHR: 0.1674549, NOVELTY: 0.0048977, AVERAGE_POPULARITY: 0.0884236, DIVERSITY_MEAN_INTER_LIST: 0.9903864, DIVERSITY_HERFINDAHL: 0.9990211, COVERAGE_ITEM: 0.4736708, COVERAGE_ITEM_CORRECT: 0.0553378, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2166855, DIVERSITY_GINI: 0.1655943, SHANNON_ENTROPY: 11.9014746, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1961820, PRECISION: 0.0432801, PRECISION_RECALL_MIN_DEN: 0.1526257, RECALL: 0.1478557, MAP: 0.0712279, MRR: 0.1470909, NDCG: 0.1064423, F1: 0.0669586, HIT_RATE: 0.4328012, ARHR: 0.1722633, NOVELTY: 0.0048697, AVERAGE_POPULARITY: 0.0933756, DIVERSITY_MEAN_INTER_LIST: 0.9898370, DIVERSITY_HERFINDAHL: 0.9989662, COVERAGE_ITEM: 0.4589567, COVERAGE_ITEM_CORRECT: 0.0557998, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206116, DIVERSITY_GINI: 0.1553453, SHANNON_ENTROPY: 11.8063658, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1901700, PRECISION: 0.0414741, PRECISION_RECALL_MIN_DEN: 0.1450793, RECALL: 0.1404480, MAP: 0.0680790, MRR: 0.1426607, NDCG: 0.1018638, F1: 0.0640359, HIT_RATE: 0.4147408, ARHR: 0.1663567, NOVELTY: 0.0048152, AVERAGE_POPULARITY: 0.1027253, DIVERSITY_MEAN_INTER_LIST: 0.9873998, DIVERSITY_HERFINDAHL: 0.9987225, COVERAGE_ITEM: 0.4297902, COVERAGE_ITEM_CORRECT: 0.0509798, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2125330, DIVERSITY_GINI: 0.1342026, SHANNON_ENTROPY: 11.5172705, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1780059, PRECISION: 0.0380456, PRECISION_RECALL_MIN_DEN: 0.1399572, RECALL: 0.1361806, MAP: 0.0642301, MRR: 0.1304972, NDCG: 0.0965541, F1: 0.0594730, HIT_RATE: 0.3804556, ARHR: 0.1502244, NOVELTY: 0.0050453, AVERAGE_POPULARITY: 0.0617219, DIVERSITY_MEAN_INTER_LIST: 0.9948714, DIVERSITY_HERFINDAHL: 0.9994696, COVERAGE_ITEM: 0.5384254, COVERAGE_ITEM_CORRECT: 0.0550760, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012332, DIVERSITY_GINI: 0.2242227, SHANNON_ENTROPY: 12.5412969, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1961579, PRECISION: 0.0428204, PRECISION_RECALL_MIN_DEN: 0.1522974, RECALL: 0.1477146, MAP: 0.0713231, MRR: 0.1465099, NDCG: 0.1063994, F1: 0.0663912, HIT_RATE: 0.4282042, ARHR: 0.1713149, NOVELTY: 0.0048778, AVERAGE_POPULARITY: 0.0924397, DIVERSITY_MEAN_INTER_LIST: 0.9896950, DIVERSITY_HERFINDAHL: 0.9989520, COVERAGE_ITEM: 0.4615053, COVERAGE_ITEM_CORRECT: 0.0557074, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193532, DIVERSITY_GINI: 0.1564984, SHANNON_ENTROPY: 11.8020615, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1925669, PRECISION: 0.0421497, PRECISION_RECALL_MIN_DEN: 0.1511317, RECALL: 0.1467071, MAP: 0.0696819, MRR: 0.1427945, NDCG: 0.1045907, F1: 0.0654839, HIT_RATE: 0.4214975, ARHR: 0.1666988, NOVELTY: 0.0049856, AVERAGE_POPULARITY: 0.0730477, DIVERSITY_MEAN_INTER_LIST: 0.9936713, DIVERSITY_HERFINDAHL: 0.9993496, COVERAGE_ITEM: 0.5191376, COVERAGE_ITEM_CORRECT: 0.0591877, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171637, DIVERSITY_GINI: 0.2034816, SHANNON_ENTROPY: 12.3435700, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1926997, PRECISION: 0.0417457, PRECISION_RECALL_MIN_DEN: 0.1477415, RECALL: 0.1432433, MAP: 0.0695984, MRR: 0.1438873, NDCG: 0.1037553, F1: 0.0646461, HIT_RATE: 0.4174567, ARHR: 0.1679546, NOVELTY: 0.0048499, AVERAGE_POPULARITY: 0.0971188, DIVERSITY_MEAN_INTER_LIST: 0.9884961, DIVERSITY_HERFINDAHL: 0.9988321, COVERAGE_ITEM: 0.4471299, COVERAGE_ITEM_CORRECT: 0.0531665, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2143450, DIVERSITY_GINI: 0.1458108, SHANNON_ENTROPY: 11.6589456, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1285904, PRECISION: 0.0268036, PRECISION_RECALL_MIN_DEN: 0.0997280, RECALL: 0.0969750, MAP: 0.0435549, MRR: 0.0899543, NDCG: 0.0668650, F1: 0.0419974, HIT_RATE: 0.2680359, ARHR: 0.1012354, NOVELTY: 0.0052454, AVERAGE_POPULARITY: 0.0273077, DIVERSITY_MEAN_INTER_LIST: 0.9977031, DIVERSITY_HERFINDAHL: 0.9997527, COVERAGE_ITEM: 0.5849471, COVERAGE_ITEM_CORRECT: 0.0476997, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1500189, DIVERSITY_GINI: 0.2796476, SHANNON_ENTROPY: 13.0623696, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1735577, PRECISION: 0.0369428, PRECISION_RECALL_MIN_DEN: 0.1366684, RECALL: 0.1330374, MAP: 0.0620679, MRR: 0.1263835, NDCG: 0.0937265, F1: 0.0578267, HIT_RATE: 0.3694280, ARHR: 0.1450228, NOVELTY: 0.0050786, AVERAGE_POPULARITY: 0.0562017, DIVERSITY_MEAN_INTER_LIST: 0.9955740, DIVERSITY_HERFINDAHL: 0.9995398, COVERAGE_ITEM: 0.5488893, COVERAGE_ITEM_CORRECT: 0.0549451, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1970555, DIVERSITY_GINI: 0.2355504, SHANNON_ENTROPY: 12.6546832, 
