
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1803039, PRECISION: 0.0386788, PRECISION_RECALL_MIN_DEN: 0.1347215, RECALL: 0.1303938, MAP: 0.0630648, MRR: 0.1349154, NDCG: 0.0948907, F1: 0.0596596, HIT_RATE: 0.3867884, ARHR: 0.1560793, NOVELTY: 0.0048030, AVERAGE_POPULARITY: 0.1059708, DIVERSITY_MEAN_INTER_LIST: 0.9866439, DIVERSITY_HERFINDAHL: 0.9986470, COVERAGE_ITEM: 0.4251781, COVERAGE_ITEM_CORRECT: 0.0449586, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020637, DIVERSITY_GINI: 0.1314290, SHANNON_ENTROPY: 11.4703209, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1789742, PRECISION: 0.0378935, PRECISION_RECALL_MIN_DEN: 0.1316410, RECALL: 0.1274305, MAP: 0.0623555, MRR: 0.1333878, NDCG: 0.0934725, F1: 0.0584133, HIT_RATE: 0.3789352, ARHR: 0.1542191, NOVELTY: 0.0048229, AVERAGE_POPULARITY: 0.1053138, DIVERSITY_MEAN_INTER_LIST: 0.9862515, DIVERSITY_HERFINDAHL: 0.9986077, COVERAGE_ITEM: 0.4438268, COVERAGE_ITEM_CORRECT: 0.0433725, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986662, DIVERSITY_GINI: 0.1392827, SHANNON_ENTROPY: 11.5020587, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1803211, PRECISION: 0.0385980, PRECISION_RECALL_MIN_DEN: 0.1345184, RECALL: 0.1301838, MAP: 0.0631280, MRR: 0.1348593, NDCG: 0.0948386, F1: 0.0595415, HIT_RATE: 0.3859804, ARHR: 0.1560397, NOVELTY: 0.0048119, AVERAGE_POPULARITY: 0.1042961, DIVERSITY_MEAN_INTER_LIST: 0.9871303, DIVERSITY_HERFINDAHL: 0.9986956, COVERAGE_ITEM: 0.4280577, COVERAGE_ITEM_CORRECT: 0.0451126, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2015855, DIVERSITY_GINI: 0.1332961, SHANNON_ENTROPY: 11.5041838, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1769379, PRECISION: 0.0375257, PRECISION_RECALL_MIN_DEN: 0.1294051, RECALL: 0.1252577, MAP: 0.0613248, MRR: 0.1316216, NDCG: 0.0920879, F1: 0.0577481, HIT_RATE: 0.3752570, ARHR: 0.1522940, NOVELTY: 0.0048254, AVERAGE_POPULARITY: 0.1074628, DIVERSITY_MEAN_INTER_LIST: 0.9852337, DIVERSITY_HERFINDAHL: 0.9985060, COVERAGE_ITEM: 0.4549528, COVERAGE_ITEM_CORRECT: 0.0426102, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1962753, DIVERSITY_GINI: 0.1435795, SHANNON_ENTROPY: 11.4872517, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1756935, PRECISION: 0.0374409, PRECISION_RECALL_MIN_DEN: 0.1290351, RECALL: 0.1248627, MAP: 0.0609033, MRR: 0.1307833, NDCG: 0.0915850, F1: 0.0576050, HIT_RATE: 0.3744085, ARHR: 0.1513780, NOVELTY: 0.0048390, AVERAGE_POPULARITY: 0.1047366, DIVERSITY_MEAN_INTER_LIST: 0.9859362, DIVERSITY_HERFINDAHL: 0.9985762, COVERAGE_ITEM: 0.4594803, COVERAGE_ITEM_CORRECT: 0.0425332, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1956462, DIVERSITY_GINI: 0.1462375, SHANNON_ENTROPY: 11.5335069, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1763687, PRECISION: 0.0375540, PRECISION_RECALL_MIN_DEN: 0.1303796, RECALL: 0.1262151, MAP: 0.0610627, MRR: 0.1312579, NDCG: 0.0920391, F1: 0.0578834, HIT_RATE: 0.3755404, ARHR: 0.1517655, NOVELTY: 0.0048055, AVERAGE_POPULARITY: 0.1116449, DIVERSITY_MEAN_INTER_LIST: 0.9839342, DIVERSITY_HERFINDAHL: 0.9983760, COVERAGE_ITEM: 0.4456285, COVERAGE_ITEM_CORRECT: 0.0422252, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967535, DIVERSITY_GINI: 0.1390927, SHANNON_ENTROPY: 11.4111729, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1760638, PRECISION: 0.0373986, PRECISION_RECALL_MIN_DEN: 0.1293435, RECALL: 0.1252176, MAP: 0.0608386, MRR: 0.1309460, NDCG: 0.0916326, F1: 0.0575936, HIT_RATE: 0.3739858, ARHR: 0.1514094, NOVELTY: 0.0048180, AVERAGE_POPULARITY: 0.1102667, DIVERSITY_MEAN_INTER_LIST: 0.9842750, DIVERSITY_HERFINDAHL: 0.9984101, COVERAGE_ITEM: 0.4553224, COVERAGE_ITEM_CORRECT: 0.0421174, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1958475, DIVERSITY_GINI: 0.1431903, SHANNON_ENTROPY: 11.4473593, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1767550, PRECISION: 0.0372966, PRECISION_RECALL_MIN_DEN: 0.1287769, RECALL: 0.1246279, MAP: 0.0612820, MRR: 0.1314059, NDCG: 0.0918343, F1: 0.0574095, HIT_RATE: 0.3729664, ARHR: 0.1519612, NOVELTY: 0.0048449, AVERAGE_POPULARITY: 0.1025924, DIVERSITY_MEAN_INTER_LIST: 0.9866377, DIVERSITY_HERFINDAHL: 0.9986463, COVERAGE_ITEM: 0.4578171, COVERAGE_ITEM_CORRECT: 0.0426025, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1952435, DIVERSITY_GINI: 0.1461908, SHANNON_ENTROPY: 11.5630669, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1797502, PRECISION: 0.0385336, PRECISION_RECALL_MIN_DEN: 0.1339058, RECALL: 0.1295815, MAP: 0.0628590, MRR: 0.1341779, NDCG: 0.0944715, F1: 0.0594015, HIT_RATE: 0.3853359, ARHR: 0.1553044, NOVELTY: 0.0048087, AVERAGE_POPULARITY: 0.1055247, DIVERSITY_MEAN_INTER_LIST: 0.9866601, DIVERSITY_HERFINDAHL: 0.9986486, COVERAGE_ITEM: 0.4293436, COVERAGE_ITEM_CORRECT: 0.0447045, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012332, DIVERSITY_GINI: 0.1332881, SHANNON_ENTROPY: 11.4830851, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1793935, PRECISION: 0.0380561, PRECISION_RECALL_MIN_DEN: 0.1320608, RECALL: 0.1278109, MAP: 0.0625935, MRR: 0.1340037, NDCG: 0.0938019, F1: 0.0586476, HIT_RATE: 0.3805612, ARHR: 0.1549209, NOVELTY: 0.0048187, AVERAGE_POPULARITY: 0.1052601, DIVERSITY_MEAN_INTER_LIST: 0.9864311, DIVERSITY_HERFINDAHL: 0.9986257, COVERAGE_ITEM: 0.4385294, COVERAGE_ITEM_CORRECT: 0.0437575, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991695, DIVERSITY_GINI: 0.1371609, SHANNON_ENTROPY: 11.4973470, 
