
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1667961, PRECISION: 0.0353312, PRECISION_RECALL_MIN_DEN: 0.1205277, RECALL: 0.1165923, MAP: 0.0568275, MRR: 0.1239193, NDCG: 0.0858326, F1: 0.0542273, HIT_RATE: 0.3533118, ARHR: 0.1430519, NOVELTY: 0.0048405, AVERAGE_POPULARITY: 0.1139463, DIVERSITY_MEAN_INTER_LIST: 0.9829399, DIVERSITY_HERFINDAHL: 0.9982766, COVERAGE_ITEM: 0.4496708, COVERAGE_ITEM_CORRECT: 0.0382060, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1858311, DIVERSITY_GINI: 0.1451462, SHANNON_ENTROPY: 11.4568761, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1727645, PRECISION: 0.0366317, PRECISION_RECALL_MIN_DEN: 0.1249790, RECALL: 0.1209035, MAP: 0.0590147, MRR: 0.1285448, NDCG: 0.0890509, F1: 0.0562261, HIT_RATE: 0.3663166, ARHR: 0.1485840, NOVELTY: 0.0048344, AVERAGE_POPULARITY: 0.1093408, DIVERSITY_MEAN_INTER_LIST: 0.9845330, DIVERSITY_HERFINDAHL: 0.9984359, COVERAGE_ITEM: 0.4481078, COVERAGE_ITEM_CORRECT: 0.0407854, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1918208, DIVERSITY_GINI: 0.1419527, SHANNON_ENTROPY: 11.4661746, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1671176, PRECISION: 0.0354194, PRECISION_RECALL_MIN_DEN: 0.1206581, RECALL: 0.1167122, MAP: 0.0569041, MRR: 0.1242124, NDCG: 0.0859641, F1: 0.0543442, HIT_RATE: 0.3541936, ARHR: 0.1434525, NOVELTY: 0.0048456, AVERAGE_POPULARITY: 0.1125160, DIVERSITY_MEAN_INTER_LIST: 0.9834572, DIVERSITY_HERFINDAHL: 0.9983283, COVERAGE_ITEM: 0.4504331, COVERAGE_ITEM_CORRECT: 0.0384909, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1861835, DIVERSITY_GINI: 0.1460046, SHANNON_ENTROPY: 11.4813442, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1737474, PRECISION: 0.0369498, PRECISION_RECALL_MIN_DEN: 0.1264393, RECALL: 0.1223154, MAP: 0.0594091, MRR: 0.1291322, NDCG: 0.0897454, F1: 0.0567534, HIT_RATE: 0.3694983, ARHR: 0.1493985, NOVELTY: 0.0048313, AVERAGE_POPULARITY: 0.1082952, DIVERSITY_MEAN_INTER_LIST: 0.9848424, DIVERSITY_HERFINDAHL: 0.9984668, COVERAGE_ITEM: 0.4459596, COVERAGE_ITEM_CORRECT: 0.0412782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1934315, DIVERSITY_GINI: 0.1399729, SHANNON_ENTROPY: 11.4567263, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1738688, PRECISION: 0.0369744, PRECISION_RECALL_MIN_DEN: 0.1264781, RECALL: 0.1223142, MAP: 0.0596581, MRR: 0.1291341, NDCG: 0.0899023, F1: 0.0567822, HIT_RATE: 0.3697442, ARHR: 0.1495428, NOVELTY: 0.0048425, AVERAGE_POPULARITY: 0.1049124, DIVERSITY_MEAN_INTER_LIST: 0.9858629, DIVERSITY_HERFINDAHL: 0.9985689, COVERAGE_ITEM: 0.4464062, COVERAGE_ITEM_CORRECT: 0.0415630, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1930036, DIVERSITY_GINI: 0.1409572, SHANNON_ENTROPY: 11.5040539, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1727292, PRECISION: 0.0367235, PRECISION_RECALL_MIN_DEN: 0.1258755, RECALL: 0.1217819, MAP: 0.0588396, MRR: 0.1281540, NDCG: 0.0890738, F1: 0.0564295, HIT_RATE: 0.3672346, ARHR: 0.1482209, NOVELTY: 0.0048178, AVERAGE_POPULARITY: 0.1123891, DIVERSITY_MEAN_INTER_LIST: 0.9835075, DIVERSITY_HERFINDAHL: 0.9983334, COVERAGE_ITEM: 0.4442810, COVERAGE_ITEM_CORRECT: 0.0406776, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1921983, DIVERSITY_GINI: 0.1382994, SHANNON_ENTROPY: 11.3942767, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1734614, PRECISION: 0.0368612, PRECISION_RECALL_MIN_DEN: 0.1260971, RECALL: 0.1219804, MAP: 0.0591735, MRR: 0.1286887, NDCG: 0.0894401, F1: 0.0566129, HIT_RATE: 0.3686116, ARHR: 0.1489086, NOVELTY: 0.0048235, AVERAGE_POPULARITY: 0.1105562, DIVERSITY_MEAN_INTER_LIST: 0.9841163, DIVERSITY_HERFINDAHL: 0.9983942, COVERAGE_ITEM: 0.4447584, COVERAGE_ITEM_CORRECT: 0.0410472, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1926765, DIVERSITY_GINI: 0.1388579, SHANNON_ENTROPY: 11.4201460, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1740990, PRECISION: 0.0367698, PRECISION_RECALL_MIN_DEN: 0.1260235, RECALL: 0.1219130, MAP: 0.0596159, MRR: 0.1291817, NDCG: 0.0897715, F1: 0.0564974, HIT_RATE: 0.3676980, ARHR: 0.1494161, NOVELTY: 0.0048486, AVERAGE_POPULARITY: 0.1034806, DIVERSITY_MEAN_INTER_LIST: 0.9862770, DIVERSITY_HERFINDAHL: 0.9986103, COVERAGE_ITEM: 0.4473301, COVERAGE_ITEM_CORRECT: 0.0414167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1926513, DIVERSITY_GINI: 0.1419331, SHANNON_ENTROPY: 11.5290098, 
