
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1794757, PRECISION: 0.0385871, PRECISION_RECALL_MIN_DEN: 0.1347663, RECALL: 0.1304642, MAP: 0.0629906, MRR: 0.1345071, NDCG: 0.0947964, F1: 0.0595580, HIT_RATE: 0.3858712, ARHR: 0.1555143, NOVELTY: 0.0047960, AVERAGE_POPULARITY: 0.1076879, DIVERSITY_MEAN_INTER_LIST: 0.9861886, DIVERSITY_HERFINDAHL: 0.9986014, COVERAGE_ITEM: 0.4248778, COVERAGE_ITEM_CORRECT: 0.0448662, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016358, DIVERSITY_GINI: 0.1303932, SHANNON_ENTROPY: 11.4416584, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1780480, PRECISION: 0.0373845, PRECISION_RECALL_MIN_DEN: 0.1303394, RECALL: 0.1261769, MAP: 0.0619643, MRR: 0.1323728, NDCG: 0.0927357, F1: 0.0576779, HIT_RATE: 0.3738447, ARHR: 0.1527429, NOVELTY: 0.0048099, AVERAGE_POPULARITY: 0.1079020, DIVERSITY_MEAN_INTER_LIST: 0.9854861, DIVERSITY_HERFINDAHL: 0.9985312, COVERAGE_ITEM: 0.4390375, COVERAGE_ITEM_CORRECT: 0.0425255, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965773, DIVERSITY_GINI: 0.1357743, SHANNON_ENTROPY: 11.4417599, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1795196, PRECISION: 0.0385378, PRECISION_RECALL_MIN_DEN: 0.1344406, RECALL: 0.1301396, MAP: 0.0630361, MRR: 0.1345580, NDCG: 0.0947488, F1: 0.0594655, HIT_RATE: 0.3853781, ARHR: 0.1555029, NOVELTY: 0.0048066, AVERAGE_POPULARITY: 0.1054225, DIVERSITY_MEAN_INTER_LIST: 0.9868349, DIVERSITY_HERFINDAHL: 0.9986661, COVERAGE_ITEM: 0.4275342, COVERAGE_ITEM_CORRECT: 0.0450125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2014345, DIVERSITY_GINI: 0.1324374, SHANNON_ENTROPY: 11.4839008, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1747687, PRECISION: 0.0368898, PRECISION_RECALL_MIN_DEN: 0.1285722, RECALL: 0.1245137, MAP: 0.0606893, MRR: 0.1299555, NDCG: 0.0911652, F1: 0.0569150, HIT_RATE: 0.3688976, ARHR: 0.1500186, NOVELTY: 0.0047938, AVERAGE_POPULARITY: 0.1145087, DIVERSITY_MEAN_INTER_LIST: 0.9827939, DIVERSITY_HERFINDAHL: 0.9982620, COVERAGE_ITEM: 0.4474302, COVERAGE_ITEM_CORRECT: 0.0411473, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940607, DIVERSITY_GINI: 0.1366955, SHANNON_ENTROPY: 11.3365233, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1742478, PRECISION: 0.0367727, PRECISION_RECALL_MIN_DEN: 0.1277113, RECALL: 0.1236436, MAP: 0.0604320, MRR: 0.1296240, NDCG: 0.0907311, F1: 0.0566846, HIT_RATE: 0.3677266, ARHR: 0.1496334, NOVELTY: 0.0048079, AVERAGE_POPULARITY: 0.1114153, DIVERSITY_MEAN_INTER_LIST: 0.9837207, DIVERSITY_HERFINDAHL: 0.9983547, COVERAGE_ITEM: 0.4514803, COVERAGE_ITEM_CORRECT: 0.0411319, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1932805, DIVERSITY_GINI: 0.1393661, SHANNON_ENTROPY: 11.3898766, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1745448, PRECISION: 0.0367483, PRECISION_RECALL_MIN_DEN: 0.1283569, RECALL: 0.1243430, MAP: 0.0602741, MRR: 0.1293951, NDCG: 0.0907685, F1: 0.0567285, HIT_RATE: 0.3674830, ARHR: 0.1492495, NOVELTY: 0.0047747, AVERAGE_POPULARITY: 0.1194948, DIVERSITY_MEAN_INTER_LIST: 0.9810487, DIVERSITY_HERFINDAHL: 0.9980875, COVERAGE_ITEM: 0.4442964, COVERAGE_ITEM_CORRECT: 0.0405544, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940103, DIVERSITY_GINI: 0.1337582, SHANNON_ENTROPY: 11.2518011, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1740350, PRECISION: 0.0367093, PRECISION_RECALL_MIN_DEN: 0.1280739, RECALL: 0.1240636, MAP: 0.0601982, MRR: 0.1291889, NDCG: 0.0906108, F1: 0.0566533, HIT_RATE: 0.3670931, ARHR: 0.1490826, NOVELTY: 0.0047820, AVERAGE_POPULARITY: 0.1180248, DIVERSITY_MEAN_INTER_LIST: 0.9814970, DIVERSITY_HERFINDAHL: 0.9981324, COVERAGE_ITEM: 0.4472839, COVERAGE_ITEM_CORRECT: 0.0405775, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1936832, DIVERSITY_GINI: 0.1354535, SHANNON_ENTROPY: 11.2789719, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1752517, PRECISION: 0.0369215, PRECISION_RECALL_MIN_DEN: 0.1285233, RECALL: 0.1244262, MAP: 0.0608951, MRR: 0.1303856, NDCG: 0.0913181, F1: 0.0569433, HIT_RATE: 0.3692150, ARHR: 0.1505579, NOVELTY: 0.0048176, AVERAGE_POPULARITY: 0.1086150, DIVERSITY_MEAN_INTER_LIST: 0.9847055, DIVERSITY_HERFINDAHL: 0.9984532, COVERAGE_ITEM: 0.4514572, COVERAGE_ITEM_CORRECT: 0.0415014, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1938593, DIVERSITY_GINI: 0.1404206, SHANNON_ENTROPY: 11.4369793, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1791965, PRECISION: 0.0383745, PRECISION_RECALL_MIN_DEN: 0.1339394, RECALL: 0.1296315, MAP: 0.0627691, MRR: 0.1340909, NDCG: 0.0943719, F1: 0.0592180, HIT_RATE: 0.3837451, ARHR: 0.1550024, NOVELTY: 0.0048013, AVERAGE_POPULARITY: 0.1072752, DIVERSITY_MEAN_INTER_LIST: 0.9862039, DIVERSITY_HERFINDAHL: 0.9986030, COVERAGE_ITEM: 0.4279115, COVERAGE_ITEM_CORRECT: 0.0443734, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2006795, DIVERSITY_GINI: 0.1317875, SHANNON_ENTROPY: 11.4505776, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1784392, PRECISION: 0.0377093, PRECISION_RECALL_MIN_DEN: 0.1316041, RECALL: 0.1274033, MAP: 0.0622157, MRR: 0.1329176, NDCG: 0.0932787, F1: 0.0581925, HIT_RATE: 0.3770935, ARHR: 0.1534456, NOVELTY: 0.0048074, AVERAGE_POPULARITY: 0.1075106, DIVERSITY_MEAN_INTER_LIST: 0.9858101, DIVERSITY_HERFINDAHL: 0.9985636, COVERAGE_ITEM: 0.4350876, COVERAGE_ITEM_CORRECT: 0.0431184, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980622, DIVERSITY_GINI: 0.1343332, SHANNON_ENTROPY: 11.4474798, 
