
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8458289848121132, 'b': 0.5258171777022096, 'c': 0.0349174489700298, 'normalize': False} - results: ROC_AUC: 0.1712263, PRECISION: 0.0363065, PRECISION_RECALL_MIN_DEN: 0.1246284, RECALL: 0.1205487, MAP: 0.0586131, MRR: 0.1274415, NDCG: 0.0884803, F1: 0.0558038, HIT_RATE: 0.3630648, ARHR: 0.1472428, NOVELTY: 0.0048533, AVERAGE_POPULARITY: 0.0970629, DIVERSITY_MEAN_INTER_LIST: 0.9883846, DIVERSITY_HERFINDAHL: 0.9988210, COVERAGE_ITEM: 0.4252166, COVERAGE_ITEM_CORRECT: 0.0414167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1899836, DIVERSITY_GINI: 0.1325951, SHANNON_ENTROPY: 11.5405934, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.16853836556723825, 'b': 0.4079456054704802, 'c': 0.8577815433198334, 'normalize': False} - results: ROC_AUC: 0.1781448, PRECISION: 0.0384454, PRECISION_RECALL_MIN_DEN: 0.1321369, RECALL: 0.1276174, MAP: 0.0607849, MRR: 0.1318789, NDCG: 0.0922879, F1: 0.0590892, HIT_RATE: 0.3844536, ARHR: 0.1533619, NOVELTY: 0.0048174, AVERAGE_POPULARITY: 0.0922041, DIVERSITY_MEAN_INTER_LIST: 0.9908964, DIVERSITY_HERFINDAHL: 0.9990721, COVERAGE_ITEM: 0.3197613, COVERAGE_ITEM_CORRECT: 0.0453051, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1998993, DIVERSITY_GINI: 0.0988531, SHANNON_ENTROPY: 11.4268636, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.2208931558225537, 'b': 0.2638639617378788, 'c': 0.29218994752429645, 'normalize': False} - results: ROC_AUC: 0.1792552, PRECISION: 0.0385126, PRECISION_RECALL_MIN_DEN: 0.1325424, RECALL: 0.1280832, MAP: 0.0614551, MRR: 0.1330699, NDCG: 0.0930617, F1: 0.0592182, HIT_RATE: 0.3851263, ARHR: 0.1545909, NOVELTY: 0.0048116, AVERAGE_POPULARITY: 0.0948096, DIVERSITY_MEAN_INTER_LIST: 0.9900434, DIVERSITY_HERFINDAHL: 0.9989868, COVERAGE_ITEM: 0.3401655, COVERAGE_ITEM_CORRECT: 0.0442194, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002517, DIVERSITY_GINI: 0.1041484, SHANNON_ENTROPY: 11.4255851, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.08000138732125785, 'b': 0.9805041563102752, 'c': 0.03545669000052155, 'normalize': False} - results: ROC_AUC: 0.1680589, PRECISION: 0.0357105, PRECISION_RECALL_MIN_DEN: 0.1233143, RECALL: 0.1193350, MAP: 0.0572312, MRR: 0.1245855, NDCG: 0.0868098, F1: 0.0549697, HIT_RATE: 0.3571055, ARHR: 0.1436963, NOVELTY: 0.0047513, AVERAGE_POPULARITY: 0.1108043, DIVERSITY_MEAN_INTER_LIST: 0.9851955, DIVERSITY_HERFINDAHL: 0.9985021, COVERAGE_ITEM: 0.3595996, COVERAGE_ITEM_CORRECT: 0.0390683, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1882975, DIVERSITY_GINI: 0.1023861, SHANNON_ENTROPY: 11.1642766, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.44486653679744925, 'b': 0.2465084281562681, 'c': 0.387110354810021, 'normalize': False} - results: ROC_AUC: 0.1790933, PRECISION: 0.0385022, PRECISION_RECALL_MIN_DEN: 0.1329762, RECALL: 0.1285394, MAP: 0.0615396, MRR: 0.1330539, NDCG: 0.0932154, F1: 0.0592549, HIT_RATE: 0.3850220, ARHR: 0.1544391, NOVELTY: 0.0048252, AVERAGE_POPULARITY: 0.0923895, DIVERSITY_MEAN_INTER_LIST: 0.9905522, DIVERSITY_HERFINDAHL: 0.9990377, COVERAGE_ITEM: 0.3471492, COVERAGE_ITEM_CORRECT: 0.0446275, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2005033, DIVERSITY_GINI: 0.1078582, SHANNON_ENTROPY: 11.4851618, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.36107017169143957, 'b': 0.18459089482117078, 'c': 0.10432166570544302, 'normalize': False} - results: ROC_AUC: 0.1762045, PRECISION: 0.0376752, PRECISION_RECALL_MIN_DEN: 0.1297261, RECALL: 0.1254925, MAP: 0.0606426, MRR: 0.1309466, NDCG: 0.0915999, F1: 0.0579513, HIT_RATE: 0.3767518, ARHR: 0.1516745, NOVELTY: 0.0048323, AVERAGE_POPULARITY: 0.0944082, DIVERSITY_MEAN_INTER_LIST: 0.9895842, DIVERSITY_HERFINDAHL: 0.9989409, COVERAGE_ITEM: 0.3783715, COVERAGE_ITEM_CORRECT: 0.0432262, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966025, DIVERSITY_GINI: 0.1176975, SHANNON_ENTROPY: 11.5091157, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.7090021441312223, 'b': 0.7677337378021636, 'c': 0.15901209277695552, 'normalize': False} - results: ROC_AUC: 0.1739190, PRECISION: 0.0371165, PRECISION_RECALL_MIN_DEN: 0.1275528, RECALL: 0.1233732, MAP: 0.0596153, MRR: 0.1290669, NDCG: 0.0901266, F1: 0.0570632, HIT_RATE: 0.3711646, ARHR: 0.1493492, NOVELTY: 0.0048141, AVERAGE_POPULARITY: 0.0991254, DIVERSITY_MEAN_INTER_LIST: 0.9882730, DIVERSITY_HERFINDAHL: 0.9988098, COVERAGE_ITEM: 0.3820058, COVERAGE_ITEM_CORRECT: 0.0420019, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1938845, DIVERSITY_GINI: 0.1163012, SHANNON_ENTROPY: 11.4259612, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.13423665448138114, 'b': 0.857302987558123, 'c': 0.8421884855459444, 'normalize': False} - results: ROC_AUC: 0.1782142, PRECISION: 0.0385194, PRECISION_RECALL_MIN_DEN: 0.1318880, RECALL: 0.1273648, MAP: 0.0610582, MRR: 0.1323562, NDCG: 0.0925290, F1: 0.0591494, HIT_RATE: 0.3851942, ARHR: 0.1540094, NOVELTY: 0.0047976, AVERAGE_POPULARITY: 0.0969232, DIVERSITY_MEAN_INTER_LIST: 0.9896740, DIVERSITY_HERFINDAHL: 0.9989499, COVERAGE_ITEM: 0.3253359, COVERAGE_ITEM_CORRECT: 0.0440654, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995722, DIVERSITY_GINI: 0.0982116, SHANNON_ENTROPY: 11.3548134, 
