
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1802678, PRECISION: 0.0386721, PRECISION_RECALL_MIN_DEN: 0.1348775, RECALL: 0.1305683, MAP: 0.0631587, MRR: 0.1346658, NDCG: 0.0949625, F1: 0.0596695, HIT_RATE: 0.3867214, ARHR: 0.1558393, NOVELTY: 0.0048002, AVERAGE_POPULARITY: 0.1048525, DIVERSITY_MEAN_INTER_LIST: 0.9871636, DIVERSITY_HERFINDAHL: 0.9986989, COVERAGE_ITEM: 0.4186487, COVERAGE_ITEM_CORRECT: 0.0455207, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2018623, DIVERSITY_GINI: 0.1287737, SHANNON_ENTROPY: 11.4712723, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1765055, PRECISION: 0.0376279, PRECISION_RECALL_MIN_DEN: 0.1304737, RECALL: 0.1262601, MAP: 0.0616369, MRR: 0.1322177, NDCG: 0.0925216, F1: 0.0579752, HIT_RATE: 0.3762791, ARHR: 0.1528568, NOVELTY: 0.0048250, AVERAGE_POPULARITY: 0.1016642, DIVERSITY_MEAN_INTER_LIST: 0.9875905, DIVERSITY_HERFINDAHL: 0.9987416, COVERAGE_ITEM: 0.4306756, COVERAGE_ITEM_CORRECT: 0.0434033, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965522, DIVERSITY_GINI: 0.1336339, SHANNON_ENTROPY: 11.5098541, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1800764, PRECISION: 0.0386472, PRECISION_RECALL_MIN_DEN: 0.1345626, RECALL: 0.1302416, MAP: 0.0630501, MRR: 0.1347237, NDCG: 0.0947982, F1: 0.0596061, HIT_RATE: 0.3864716, ARHR: 0.1558740, NOVELTY: 0.0048117, AVERAGE_POPULARITY: 0.1030408, DIVERSITY_MEAN_INTER_LIST: 0.9876120, DIVERSITY_HERFINDAHL: 0.9987437, COVERAGE_ITEM: 0.4239846, COVERAGE_ITEM_CORRECT: 0.0455207, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2018120, DIVERSITY_GINI: 0.1317047, SHANNON_ENTROPY: 11.5118509, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1737755, PRECISION: 0.0366317, PRECISION_RECALL_MIN_DEN: 0.1268852, RECALL: 0.1227903, MAP: 0.0601767, MRR: 0.1295040, NDCG: 0.0902909, F1: 0.0564272, HIT_RATE: 0.3663173, ARHR: 0.1494806, NOVELTY: 0.0048302, AVERAGE_POPULARITY: 0.1012387, DIVERSITY_MEAN_INTER_LIST: 0.9873992, DIVERSITY_HERFINDAHL: 0.9987225, COVERAGE_ITEM: 0.4361578, COVERAGE_ITEM_CORRECT: 0.0418633, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1921731, DIVERSITY_GINI: 0.1346753, SHANNON_ENTROPY: 11.4977224, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1712822, PRECISION: 0.0363695, PRECISION_RECALL_MIN_DEN: 0.1254146, RECALL: 0.1213488, MAP: 0.0593099, MRR: 0.1279748, NDCG: 0.0891764, F1: 0.0559641, HIT_RATE: 0.3636946, ARHR: 0.1476443, NOVELTY: 0.0048544, AVERAGE_POPULARITY: 0.0972909, DIVERSITY_MEAN_INTER_LIST: 0.9881752, DIVERSITY_HERFINDAHL: 0.9988001, COVERAGE_ITEM: 0.4453898, COVERAGE_ITEM_CORRECT: 0.0417170, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1905121, DIVERSITY_GINI: 0.1403608, SHANNON_ENTROPY: 11.5763453, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1726131, PRECISION: 0.0365370, PRECISION_RECALL_MIN_DEN: 0.1274438, RECALL: 0.1234273, MAP: 0.0598811, MRR: 0.1285751, NDCG: 0.0901044, F1: 0.0563804, HIT_RATE: 0.3653704, ARHR: 0.1482553, NOVELTY: 0.0047788, AVERAGE_POPULARITY: 0.1094589, DIVERSITY_MEAN_INTER_LIST: 0.9854102, DIVERSITY_HERFINDAHL: 0.9985236, COVERAGE_ITEM: 0.4128354, COVERAGE_ITEM_CORRECT: 0.0409163, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925506, DIVERSITY_GINI: 0.1214737, SHANNON_ENTROPY: 11.3098353, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1715231, PRECISION: 0.0363391, PRECISION_RECALL_MIN_DEN: 0.1259761, RECALL: 0.1219511, MAP: 0.0593845, MRR: 0.1276920, NDCG: 0.0893198, F1: 0.0559909, HIT_RATE: 0.3633907, ARHR: 0.1472502, NOVELTY: 0.0048048, AVERAGE_POPULARITY: 0.1056747, DIVERSITY_MEAN_INTER_LIST: 0.9862788, DIVERSITY_HERFINDAHL: 0.9986105, COVERAGE_ITEM: 0.4270337, COVERAGE_ITEM_CORRECT: 0.0410010, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1911161, DIVERSITY_GINI: 0.1282655, SHANNON_ENTROPY: 11.3940752, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1728794, PRECISION: 0.0365360, PRECISION_RECALL_MIN_DEN: 0.1263193, RECALL: 0.1222259, MAP: 0.0599494, MRR: 0.1290763, NDCG: 0.0899524, F1: 0.0562544, HIT_RATE: 0.3653595, ARHR: 0.1489976, NOVELTY: 0.0048617, AVERAGE_POPULARITY: 0.0960378, DIVERSITY_MEAN_INTER_LIST: 0.9885447, DIVERSITY_HERFINDAHL: 0.9988370, COVERAGE_ITEM: 0.4468681, COVERAGE_ITEM_CORRECT: 0.0420866, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1915188, DIVERSITY_GINI: 0.1421114, SHANNON_ENTROPY: 11.6102211, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1795532, PRECISION: 0.0385622, PRECISION_RECALL_MIN_DEN: 0.1343654, RECALL: 0.1300749, MAP: 0.0627793, MRR: 0.1340536, NDCG: 0.0945190, F1: 0.0594873, HIT_RATE: 0.3856223, ARHR: 0.1551839, NOVELTY: 0.0048072, AVERAGE_POPULARITY: 0.1039697, DIVERSITY_MEAN_INTER_LIST: 0.9873229, DIVERSITY_HERFINDAHL: 0.9987148, COVERAGE_ITEM: 0.4217286, COVERAGE_ITEM_CORRECT: 0.0450664, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013338, DIVERSITY_GINI: 0.1301866, SHANNON_ENTROPY: 11.4855849, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1776885, PRECISION: 0.0379822, PRECISION_RECALL_MIN_DEN: 0.1319063, RECALL: 0.1276386, MAP: 0.0620768, MRR: 0.1330044, NDCG: 0.0932524, F1: 0.0585418, HIT_RATE: 0.3798216, ARHR: 0.1538081, NOVELTY: 0.0048197, AVERAGE_POPULARITY: 0.1023181, DIVERSITY_MEAN_INTER_LIST: 0.9875543, DIVERSITY_HERFINDAHL: 0.9987380, COVERAGE_ITEM: 0.4276651, COVERAGE_ITEM_CORRECT: 0.0440192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1983390, DIVERSITY_GINI: 0.1325279, SHANNON_ENTROPY: 11.5042341, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.5439400729307473, 'b': 0.5453789381734487, 'c': 0.3395854879757713, 'normalize': False} - results: ROC_AUC: 0.1726389, PRECISION: 0.0364260, PRECISION_RECALL_MIN_DEN: 0.1257602, RECALL: 0.1216880, MAP: 0.0596572, MRR: 0.1285246, NDCG: 0.0895637, F1: 0.0560665, HIT_RATE: 0.3642601, ARHR: 0.1483121, NOVELTY: 0.0048417, AVERAGE_POPULARITY: 0.0993968, DIVERSITY_MEAN_INTER_LIST: 0.9877590, DIVERSITY_HERFINDAHL: 0.9987584, COVERAGE_ITEM: 0.4410934, COVERAGE_ITEM_CORRECT: 0.0416169, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1910658, DIVERSITY_GINI: 0.1374712, SHANNON_ENTROPY: 11.5343739, 
