
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.0065069388393511635, 'b': 0.6536352015835974, 'c': 0.3312864708640582, 'normalize': True} - results: ROC_AUC: 0.1733308, PRECISION: 0.0379544, PRECISION_RECALL_MIN_DEN: 0.1309010, RECALL: 0.1264288, MAP: 0.0590747, MRR: 0.1278325, NDCG: 0.0902222, F1: 0.0583810, HIT_RATE: 0.3795442, ARHR: 0.1489439, NOVELTY: 0.0048562, AVERAGE_POPULARITY: 0.0832448, DIVERSITY_MEAN_INTER_LIST: 0.9927918, DIVERSITY_HERFINDAHL: 0.9992616, COVERAGE_ITEM: 0.3240269, COVERAGE_ITEM_CORRECT: 0.0468758, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1970555, DIVERSITY_GINI: 0.1040263, SHANNON_ENTROPY: 11.5806963, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.38932576981099976, 'b': 0.49220112614672373, 'c': 0.010012656855245996, 'normalize': False} - results: ROC_AUC: 0.1831955, PRECISION: 0.0391093, PRECISION_RECALL_MIN_DEN: 0.1376355, RECALL: 0.1333713, MAP: 0.0651631, MRR: 0.1371036, NDCG: 0.0973829, F1: 0.0604816, HIT_RATE: 0.3910930, ARHR: 0.1588001, NOVELTY: 0.0048827, AVERAGE_POPULARITY: 0.0918588, DIVERSITY_MEAN_INTER_LIST: 0.9890463, DIVERSITY_HERFINDAHL: 0.9988872, COVERAGE_ITEM: 0.4512724, COVERAGE_ITEM_CORRECT: 0.0478922, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1479687, SHANNON_ENTROPY: 11.6973930, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.8626405966116348, 'b': 0.1923859283229597, 'c': 0.2802168809019326, 'normalize': False} - results: ROC_AUC: 0.1929736, PRECISION: 0.0418063, PRECISION_RECALL_MIN_DEN: 0.1474226, RECALL: 0.1428755, MAP: 0.0689258, MRR: 0.1446602, NDCG: 0.1034621, F1: 0.0646831, HIT_RATE: 0.4180627, ARHR: 0.1681298, NOVELTY: 0.0048446, AVERAGE_POPULARITY: 0.0938557, DIVERSITY_MEAN_INTER_LIST: 0.9897079, DIVERSITY_HERFINDAHL: 0.9989533, COVERAGE_ITEM: 0.3959423, COVERAGE_ITEM_CORRECT: 0.0508181, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2154020, DIVERSITY_GINI: 0.1252410, SHANNON_ENTROPY: 11.5836906, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.5125071663057831, 'b': 0.8956050574666019, 'c': 0.07239311144583506, 'normalize': False} - results: ROC_AUC: 0.1823180, PRECISION: 0.0389299, PRECISION_RECALL_MIN_DEN: 0.1367691, RECALL: 0.1324970, MAP: 0.0643858, MRR: 0.1361854, NDCG: 0.0965093, F1: 0.0601769, HIT_RATE: 0.3892986, ARHR: 0.1576958, NOVELTY: 0.0048864, AVERAGE_POPULARITY: 0.0903028, DIVERSITY_MEAN_INTER_LIST: 0.9896858, DIVERSITY_HERFINDAHL: 0.9989511, COVERAGE_ITEM: 0.4440192, COVERAGE_ITEM_CORRECT: 0.0472531, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025167, DIVERSITY_GINI: 0.1454998, SHANNON_ENTROPY: 11.7147816, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.8798182148917174, 'b': 0.6195693348952681, 'c': 0.665028214160764, 'normalize': True} - results: ROC_AUC: 0.1758880, PRECISION: 0.0385338, PRECISION_RECALL_MIN_DEN: 0.1330436, RECALL: 0.1285212, MAP: 0.0601366, MRR: 0.1297275, NDCG: 0.0917442, F1: 0.0592898, HIT_RATE: 0.3853378, ARHR: 0.1513841, NOVELTY: 0.0048528, AVERAGE_POPULARITY: 0.0843395, DIVERSITY_MEAN_INTER_LIST: 0.9925941, DIVERSITY_HERFINDAHL: 0.9992419, COVERAGE_ITEM: 0.3265294, COVERAGE_ITEM_CORRECT: 0.0474379, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1994715, DIVERSITY_GINI: 0.1041693, SHANNON_ENTROPY: 11.5702943, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.16041591523505197, 'b': 0.05159587723552929, 'c': 0.8721172792796381, 'normalize': True} - results: ROC_AUC: 0.1688415, PRECISION: 0.0364463, PRECISION_RECALL_MIN_DEN: 0.1274726, RECALL: 0.1233558, MAP: 0.0569018, MRR: 0.1235223, NDCG: 0.0873664, F1: 0.0562674, HIT_RATE: 0.3644627, ARHR: 0.1429729, NOVELTY: 0.0048630, AVERAGE_POPULARITY: 0.0817320, DIVERSITY_MEAN_INTER_LIST: 0.9930132, DIVERSITY_HERFINDAHL: 0.9992838, COVERAGE_ITEM: 0.3149028, COVERAGE_ITEM_CORRECT: 0.0465679, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1920221, DIVERSITY_GINI: 0.1018835, SHANNON_ENTROPY: 11.5771840, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.154446046852753, 'b': 0.5987594911707548, 'c': 0.9516526617673499, 'normalize': False} - results: ROC_AUC: 0.1806288, PRECISION: 0.0392122, PRECISION_RECALL_MIN_DEN: 0.1358231, RECALL: 0.1312650, MAP: 0.0622603, MRR: 0.1342760, NDCG: 0.0945036, F1: 0.0603842, HIT_RATE: 0.3921223, ARHR: 0.1561925, NOVELTY: 0.0048515, AVERAGE_POPULARITY: 0.0855423, DIVERSITY_MEAN_INTER_LIST: 0.9922627, DIVERSITY_HERFINDAHL: 0.9992087, COVERAGE_ITEM: 0.3449240, COVERAGE_ITEM_CORRECT: 0.0472069, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032968, DIVERSITY_GINI: 0.1098452, SHANNON_ENTROPY: 11.5980693, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.9048928086597423, 'b': 0.7261303553529097, 'c': 0.9058637349411358, 'normalize': True} - results: ROC_AUC: 0.1743558, PRECISION: 0.0382796, PRECISION_RECALL_MIN_DEN: 0.1319122, RECALL: 0.1274191, MAP: 0.0595599, MRR: 0.1287955, NDCG: 0.0909462, F1: 0.0588714, HIT_RATE: 0.3827957, ARHR: 0.1501784, NOVELTY: 0.0048544, AVERAGE_POPULARITY: 0.0838418, DIVERSITY_MEAN_INTER_LIST: 0.9926790, DIVERSITY_HERFINDAHL: 0.9992504, COVERAGE_ITEM: 0.3238730, COVERAGE_ITEM_CORRECT: 0.0474225, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1985907, DIVERSITY_GINI: 0.1036019, SHANNON_ENTROPY: 11.5707513, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.04924206859619286, 'b': 0.27832494909438527, 'c': 0.2448599992271387, 'normalize': True} - results: ROC_AUC: 0.1718899, PRECISION: 0.0376930, PRECISION_RECALL_MIN_DEN: 0.1301011, RECALL: 0.1256499, MAP: 0.0585150, MRR: 0.1268076, NDCG: 0.0894845, F1: 0.0579888, HIT_RATE: 0.3769302, ARHR: 0.1476781, NOVELTY: 0.0048578, AVERAGE_POPULARITY: 0.0827945, DIVERSITY_MEAN_INTER_LIST: 0.9928622, DIVERSITY_HERFINDAHL: 0.9992687, COVERAGE_ITEM: 0.3218325, COVERAGE_ITEM_CORRECT: 0.0470914, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1959733, DIVERSITY_GINI: 0.1034857, SHANNON_ENTROPY: 11.5807980, 
