
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1772141, PRECISION: 0.0375402, PRECISION_RECALL_MIN_DEN: 0.1299870, RECALL: 0.1258217, MAP: 0.0616326, MRR: 0.1317727, NDCG: 0.0924147, F1: 0.0578240, HIT_RATE: 0.3754021, ARHR: 0.1524851, NOVELTY: 0.0048371, AVERAGE_POPULARITY: 0.1043696, DIVERSITY_MEAN_INTER_LIST: 0.9860076, DIVERSITY_HERFINDAHL: 0.9985833, COVERAGE_ITEM: 0.4569240, COVERAGE_ITEM_CORRECT: 0.0428412, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1964012, DIVERSITY_GINI: 0.1454357, SHANNON_ENTROPY: 11.5326359, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1798578, PRECISION: 0.0382155, PRECISION_RECALL_MIN_DEN: 0.1332371, RECALL: 0.1290361, MAP: 0.0631613, MRR: 0.1344076, NDCG: 0.0946073, F1: 0.0589648, HIT_RATE: 0.3821546, ARHR: 0.1554425, NOVELTY: 0.0048628, AVERAGE_POPULARITY: 0.0970648, DIVERSITY_MEAN_INTER_LIST: 0.9878733, DIVERSITY_HERFINDAHL: 0.9987699, COVERAGE_ITEM: 0.4510876, COVERAGE_ITEM_CORRECT: 0.0453051, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1993457, DIVERSITY_GINI: 0.1457610, SHANNON_ENTROPY: 11.6234490, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1785470, PRECISION: 0.0379927, PRECISION_RECALL_MIN_DEN: 0.1323167, RECALL: 0.1281244, MAP: 0.0623372, MRR: 0.1331228, NDCG: 0.0936435, F1: 0.0586045, HIT_RATE: 0.3799272, ARHR: 0.1540371, NOVELTY: 0.0048284, AVERAGE_POPULARITY: 0.1055907, DIVERSITY_MEAN_INTER_LIST: 0.9856461, DIVERSITY_HERFINDAHL: 0.9985472, COVERAGE_ITEM: 0.4510106, COVERAGE_ITEM_CORRECT: 0.0435419, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988675, DIVERSITY_GINI: 0.1426374, SHANNON_ENTROPY: 11.5015683, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1791576, PRECISION: 0.0382151, PRECISION_RECALL_MIN_DEN: 0.1330749, RECALL: 0.1288619, MAP: 0.0624890, MRR: 0.1334802, NDCG: 0.0940053, F1: 0.0589464, HIT_RATE: 0.3821510, ARHR: 0.1544909, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.1067198, DIVERSITY_MEAN_INTER_LIST: 0.9853132, DIVERSITY_HERFINDAHL: 0.9985139, COVERAGE_ITEM: 0.4484466, COVERAGE_ITEM_CORRECT: 0.0438653, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999748, DIVERSITY_GINI: 0.1411525, SHANNON_ENTROPY: 11.4786005, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1848672, PRECISION: 0.0396819, PRECISION_RECALL_MIN_DEN: 0.1393859, RECALL: 0.1350927, MAP: 0.0661625, MRR: 0.1388147, NDCG: 0.0987692, F1: 0.0613426, HIT_RATE: 0.3968188, ARHR: 0.1608686, NOVELTY: 0.0048483, AVERAGE_POPULARITY: 0.0991829, DIVERSITY_MEAN_INTER_LIST: 0.9872589, DIVERSITY_HERFINDAHL: 0.9987084, COVERAGE_ITEM: 0.4475765, COVERAGE_ITEM_CORRECT: 0.0479769, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057128, DIVERSITY_GINI: 0.1436289, SHANNON_ENTROPY: 11.5839732, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1767294, PRECISION: 0.0375434, PRECISION_RECALL_MIN_DEN: 0.1298198, RECALL: 0.1256629, MAP: 0.0613642, MRR: 0.1315745, NDCG: 0.0921847, F1: 0.0578119, HIT_RATE: 0.3754343, ARHR: 0.1522701, NOVELTY: 0.0048313, AVERAGE_POPULARITY: 0.1062639, DIVERSITY_MEAN_INTER_LIST: 0.9854532, DIVERSITY_HERFINDAHL: 0.9985279, COVERAGE_ITEM: 0.4581097, COVERAGE_ITEM_CORRECT: 0.0426718, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963257, DIVERSITY_GINI: 0.1453429, SHANNON_ENTROPY: 11.5083590, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1784560, PRECISION: 0.0376710, PRECISION_RECALL_MIN_DEN: 0.1310773, RECALL: 0.1268867, MAP: 0.0623275, MRR: 0.1329978, NDCG: 0.0932981, F1: 0.0580922, HIT_RATE: 0.3767098, ARHR: 0.1537259, NOVELTY: 0.0048473, AVERAGE_POPULARITY: 0.1011186, DIVERSITY_MEAN_INTER_LIST: 0.9868844, DIVERSITY_HERFINDAHL: 0.9986710, COVERAGE_ITEM: 0.4536054, COVERAGE_ITEM_CORRECT: 0.0435188, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972820, DIVERSITY_GINI: 0.1451916, SHANNON_ENTROPY: 11.5710760, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1818611, PRECISION: 0.0387525, PRECISION_RECALL_MIN_DEN: 0.1354562, RECALL: 0.1312000, MAP: 0.0637176, MRR: 0.1353521, NDCG: 0.0956920, F1: 0.0598298, HIT_RATE: 0.3875255, ARHR: 0.1567767, NOVELTY: 0.0048179, AVERAGE_POPULARITY: 0.1068801, DIVERSITY_MEAN_INTER_LIST: 0.9852346, DIVERSITY_HERFINDAHL: 0.9985061, COVERAGE_ITEM: 0.4437960, COVERAGE_ITEM_CORRECT: 0.0450356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022398, DIVERSITY_GINI: 0.1391586, SHANNON_ENTROPY: 11.4641006, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1783007, PRECISION: 0.0377134, PRECISION_RECALL_MIN_DEN: 0.1310683, RECALL: 0.1269050, MAP: 0.0621947, MRR: 0.1327784, NDCG: 0.0931848, F1: 0.0581440, HIT_RATE: 0.3771335, ARHR: 0.1535436, NOVELTY: 0.0048390, AVERAGE_POPULARITY: 0.1032206, DIVERSITY_MEAN_INTER_LIST: 0.9863221, DIVERSITY_HERFINDAHL: 0.9986148, COVERAGE_ITEM: 0.4532589, COVERAGE_ITEM_CORRECT: 0.0434033, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975840, DIVERSITY_GINI: 0.1443663, SHANNON_ENTROPY: 11.5408090, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1796281, PRECISION: 0.0380419, PRECISION_RECALL_MIN_DEN: 0.1326417, RECALL: 0.1284339, MAP: 0.0630507, MRR: 0.1340327, NDCG: 0.0943259, F1: 0.0586946, HIT_RATE: 0.3804188, ARHR: 0.1549478, NOVELTY: 0.0048529, AVERAGE_POPULARITY: 0.0993596, DIVERSITY_MEAN_INTER_LIST: 0.9873204, DIVERSITY_HERFINDAHL: 0.9987146, COVERAGE_ITEM: 0.4508797, COVERAGE_ITEM_CORRECT: 0.0445967, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1987920, DIVERSITY_GINI: 0.1448423, SHANNON_ENTROPY: 11.5907127, 
