
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1692174, PRECISION: 0.0359462, PRECISION_RECALL_MIN_DEN: 0.1233077, RECALL: 0.1193314, MAP: 0.0583422, MRR: 0.1259288, NDCG: 0.0877845, F1: 0.0552474, HIT_RATE: 0.3594620, ARHR: 0.1455090, NOVELTY: 0.0048594, AVERAGE_POPULARITY: 0.1082719, DIVERSITY_MEAN_INTER_LIST: 0.9849487, DIVERSITY_HERFINDAHL: 0.9984775, COVERAGE_ITEM: 0.4666487, COVERAGE_ITEM_CORRECT: 0.0400077, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1887505, DIVERSITY_GINI: 0.1552848, SHANNON_ENTROPY: 11.5970596, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1801348, PRECISION: 0.0384449, PRECISION_RECALL_MIN_DEN: 0.1338388, RECALL: 0.1295892, MAP: 0.0631184, MRR: 0.1342877, NDCG: 0.0947532, F1: 0.0592958, HIT_RATE: 0.3844491, ARHR: 0.1554273, NOVELTY: 0.0048592, AVERAGE_POPULARITY: 0.1004285, DIVERSITY_MEAN_INTER_LIST: 0.9871423, DIVERSITY_HERFINDAHL: 0.9986968, COVERAGE_ITEM: 0.4591261, COVERAGE_ITEM_CORRECT: 0.0450356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2006543, DIVERSITY_GINI: 0.1500976, SHANNON_ENTROPY: 11.6264211, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1706026, PRECISION: 0.0363989, PRECISION_RECALL_MIN_DEN: 0.1254565, RECALL: 0.1214586, MAP: 0.0591196, MRR: 0.1272822, NDCG: 0.0890363, F1: 0.0560096, HIT_RATE: 0.3639889, ARHR: 0.1470974, NOVELTY: 0.0048505, AVERAGE_POPULARITY: 0.1094381, DIVERSITY_MEAN_INTER_LIST: 0.9845786, DIVERSITY_HERFINDAHL: 0.9984405, COVERAGE_ITEM: 0.4611049, COVERAGE_ITEM_CORRECT: 0.0406314, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1909903, DIVERSITY_GINI: 0.1524894, SHANNON_ENTROPY: 11.5662180, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1829240, PRECISION: 0.0390529, PRECISION_RECALL_MIN_DEN: 0.1369795, RECALL: 0.1327029, MAP: 0.0649814, MRR: 0.1370017, NDCG: 0.0970936, F1: 0.0603452, HIT_RATE: 0.3905287, ARHR: 0.1586040, NOVELTY: 0.0048735, AVERAGE_POPULARITY: 0.0945664, DIVERSITY_MEAN_INTER_LIST: 0.9884220, DIVERSITY_HERFINDAHL: 0.9988247, COVERAGE_ITEM: 0.4542137, COVERAGE_ITEM_CORRECT: 0.0473686, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028690, DIVERSITY_GINI: 0.1484798, SHANNON_ENTROPY: 11.6702986, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1866760, PRECISION: 0.0400780, PRECISION_RECALL_MIN_DEN: 0.1414916, RECALL: 0.1371856, MAP: 0.0671300, MRR: 0.1401647, NDCG: 0.1001050, F1: 0.0620323, HIT_RATE: 0.4007800, ARHR: 0.1623575, NOVELTY: 0.0048678, AVERAGE_POPULARITY: 0.0944075, DIVERSITY_MEAN_INTER_LIST: 0.9883339, DIVERSITY_HERFINDAHL: 0.9988159, COVERAGE_ITEM: 0.4523426, COVERAGE_ITEM_CORRECT: 0.0494937, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2079779, DIVERSITY_GINI: 0.1476549, SHANNON_ENTROPY: 11.6620120, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1730635, PRECISION: 0.0365789, PRECISION_RECALL_MIN_DEN: 0.1264233, RECALL: 0.1223135, MAP: 0.0599988, MRR: 0.1289748, NDCG: 0.0899898, F1: 0.0563148, HIT_RATE: 0.3657894, ARHR: 0.1489950, NOVELTY: 0.0049052, AVERAGE_POPULARITY: 0.0898516, DIVERSITY_MEAN_INTER_LIST: 0.9896213, DIVERSITY_HERFINDAHL: 0.9989446, COVERAGE_ITEM: 0.4668181, COVERAGE_ITEM_CORRECT: 0.0431415, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1912420, DIVERSITY_GINI: 0.1557363, SHANNON_ENTROPY: 11.7712723, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1764305, PRECISION: 0.0373250, PRECISION_RECALL_MIN_DEN: 0.1300680, RECALL: 0.1259082, MAP: 0.0615967, MRR: 0.1314937, NDCG: 0.0922972, F1: 0.0575790, HIT_RATE: 0.3732497, ARHR: 0.1519741, NOVELTY: 0.0048984, AVERAGE_POPULARITY: 0.0901132, DIVERSITY_MEAN_INTER_LIST: 0.9894612, DIVERSITY_HERFINDAHL: 0.9989286, COVERAGE_ITEM: 0.4581867, COVERAGE_ITEM_CORRECT: 0.0448277, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1948408, DIVERSITY_GINI: 0.1516639, SHANNON_ENTROPY: 11.7391226, 

