
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1733405, PRECISION: 0.0367016, PRECISION_RECALL_MIN_DEN: 0.1270608, RECALL: 0.1229682, MAP: 0.0601943, MRR: 0.1294089, NDCG: 0.0903608, F1: 0.0565289, HIT_RATE: 0.3670155, ARHR: 0.1493830, NOVELTY: 0.0048474, AVERAGE_POPULARITY: 0.0981692, DIVERSITY_MEAN_INTER_LIST: 0.9879304, DIVERSITY_HERFINDAHL: 0.9987756, COVERAGE_ITEM: 0.4428027, COVERAGE_ITEM_CORRECT: 0.0423715, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1921228, DIVERSITY_GINI: 0.1389119, SHANNON_ENTROPY: 11.5555856, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1791665, PRECISION: 0.0382010, PRECISION_RECALL_MIN_DEN: 0.1335537, RECALL: 0.1293271, MAP: 0.0633768, MRR: 0.1342850, NDCG: 0.0947557, F1: 0.0589788, HIT_RATE: 0.3820096, ARHR: 0.1552754, NOVELTY: 0.0048711, AVERAGE_POPULARITY: 0.0941167, DIVERSITY_MEAN_INTER_LIST: 0.9886049, DIVERSITY_HERFINDAHL: 0.9988430, COVERAGE_ITEM: 0.4476766, COVERAGE_ITEM_CORRECT: 0.0457979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988423, DIVERSITY_GINI: 0.1445811, SHANNON_ENTROPY: 11.6442283, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1769523, PRECISION: 0.0376595, PRECISION_RECALL_MIN_DEN: 0.1307913, RECALL: 0.1266069, MAP: 0.0617397, MRR: 0.1321927, NDCG: 0.0927292, F1: 0.0580494, HIT_RATE: 0.3765948, ARHR: 0.1527371, NOVELTY: 0.0048346, AVERAGE_POPULARITY: 0.1000925, DIVERSITY_MEAN_INTER_LIST: 0.9874118, DIVERSITY_HERFINDAHL: 0.9987237, COVERAGE_ITEM: 0.4359423, COVERAGE_ITEM_CORRECT: 0.0439577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967535, DIVERSITY_GINI: 0.1356043, SHANNON_ENTROPY: 11.5112316, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1789808, PRECISION: 0.0382815, PRECISION_RECALL_MIN_DEN: 0.1332976, RECALL: 0.1290438, MAP: 0.0628522, MRR: 0.1339630, NDCG: 0.0943273, F1: 0.0590445, HIT_RATE: 0.3828146, ARHR: 0.1549925, NOVELTY: 0.0048300, AVERAGE_POPULARITY: 0.1008238, DIVERSITY_MEAN_INTER_LIST: 0.9871854, DIVERSITY_HERFINDAHL: 0.9987011, COVERAGE_ITEM: 0.4341636, COVERAGE_ITEM_CORRECT: 0.0450048, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992953, DIVERSITY_GINI: 0.1346850, SHANNON_ENTROPY: 11.4965038, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1858902, PRECISION: 0.0398765, PRECISION_RECALL_MIN_DEN: 0.1407109, RECALL: 0.1364064, MAP: 0.0667665, MRR: 0.1395600, NDCG: 0.0995738, F1: 0.0617114, HIT_RATE: 0.3987655, ARHR: 0.1617536, NOVELTY: 0.0048547, AVERAGE_POPULARITY: 0.0964800, DIVERSITY_MEAN_INTER_LIST: 0.9879253, DIVERSITY_HERFINDAHL: 0.9987751, COVERAGE_ITEM: 0.4461059, COVERAGE_ITEM_CORRECT: 0.0487700, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2066188, DIVERSITY_GINI: 0.1434781, SHANNON_ENTROPY: 11.6094066, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1725860, PRECISION: 0.0365322, PRECISION_RECALL_MIN_DEN: 0.1264899, RECALL: 0.1224210, MAP: 0.0598976, MRR: 0.1286890, NDCG: 0.0899270, F1: 0.0562706, HIT_RATE: 0.3653224, ARHR: 0.1485511, NOVELTY: 0.0048419, AVERAGE_POPULARITY: 0.0991278, DIVERSITY_MEAN_INTER_LIST: 0.9877287, DIVERSITY_HERFINDAHL: 0.9987554, COVERAGE_ITEM: 0.4419172, COVERAGE_ITEM_CORRECT: 0.0419018, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1912923, DIVERSITY_GINI: 0.1377995, SHANNON_ENTROPY: 11.5352083, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1761446, PRECISION: 0.0374587, PRECISION_RECALL_MIN_DEN: 0.1303769, RECALL: 0.1262209, MAP: 0.0615915, MRR: 0.1316221, NDCG: 0.0924464, F1: 0.0577707, HIT_RATE: 0.3745874, ARHR: 0.1520234, NOVELTY: 0.0048646, AVERAGE_POPULARITY: 0.0953035, DIVERSITY_MEAN_INTER_LIST: 0.9884519, DIVERSITY_HERFINDAHL: 0.9988277, COVERAGE_ITEM: 0.4456054, COVERAGE_ITEM_CORRECT: 0.0440115, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1957468, DIVERSITY_GINI: 0.1425185, SHANNON_ENTROPY: 11.6156658, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1845992, PRECISION: 0.0395437, PRECISION_RECALL_MIN_DEN: 0.1388354, RECALL: 0.1345472, MAP: 0.0656027, MRR: 0.1382938, NDCG: 0.0981778, F1: 0.0611212, HIT_RATE: 0.3954369, ARHR: 0.1603294, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.1020174, DIVERSITY_MEAN_INTER_LIST: 0.9867742, DIVERSITY_HERFINDAHL: 0.9986600, COVERAGE_ITEM: 0.4336015, COVERAGE_ITEM_CORRECT: 0.0474302, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2051592, DIVERSITY_GINI: 0.1347014, SHANNON_ENTROPY: 11.4839956, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1751906, PRECISION: 0.0374407, PRECISION_RECALL_MIN_DEN: 0.1299359, RECALL: 0.1257816, MAP: 0.0611322, MRR: 0.1310331, NDCG: 0.0919580, F1: 0.0577023, HIT_RATE: 0.3744069, ARHR: 0.1514653, NOVELTY: 0.0048503, AVERAGE_POPULARITY: 0.0976215, DIVERSITY_MEAN_INTER_LIST: 0.9879950, DIVERSITY_HERFINDAHL: 0.9987820, COVERAGE_ITEM: 0.4417786, COVERAGE_ITEM_CORRECT: 0.0437421, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955455, DIVERSITY_GINI: 0.1393456, SHANNON_ENTROPY: 11.5670048, 
