
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1698572, PRECISION: 0.0359677, PRECISION_RECALL_MIN_DEN: 0.1246225, RECALL: 0.1206747, MAP: 0.0586717, MRR: 0.1262521, NDCG: 0.0883610, F1: 0.0554147, HIT_RATE: 0.3596765, ARHR: 0.1457059, NOVELTY: 0.0048206, AVERAGE_POPULARITY: 0.1146565, DIVERSITY_MEAN_INTER_LIST: 0.9827493, DIVERSITY_HERFINDAHL: 0.9982576, COVERAGE_ITEM: 0.4475611, COVERAGE_ITEM_CORRECT: 0.0394995, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1894048, DIVERSITY_GINI: 0.1446502, SHANNON_ENTROPY: 11.4466592, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1786381, PRECISION: 0.0380246, PRECISION_RECALL_MIN_DEN: 0.1325334, RECALL: 0.1283839, MAP: 0.0623870, MRR: 0.1334791, NDCG: 0.0938158, F1: 0.0586705, HIT_RATE: 0.3802457, ARHR: 0.1543080, NOVELTY: 0.0048026, AVERAGE_POPULARITY: 0.1129723, DIVERSITY_MEAN_INTER_LIST: 0.9833693, DIVERSITY_HERFINDAHL: 0.9983196, COVERAGE_ITEM: 0.4422021, COVERAGE_ITEM_CORRECT: 0.0431107, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991695, DIVERSITY_GINI: 0.1386541, SHANNON_ENTROPY: 11.3994144, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1711777, PRECISION: 0.0362502, PRECISION_RECALL_MIN_DEN: 0.1258225, RECALL: 0.1218669, MAP: 0.0592850, MRR: 0.1272397, NDCG: 0.0892163, F1: 0.0558760, HIT_RATE: 0.3625024, ARHR: 0.1469093, NOVELTY: 0.0048210, AVERAGE_POPULARITY: 0.1144590, DIVERSITY_MEAN_INTER_LIST: 0.9828323, DIVERSITY_HERFINDAHL: 0.9982659, COVERAGE_ITEM: 0.4474764, COVERAGE_ITEM_CORRECT: 0.0400231, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1907890, DIVERSITY_GINI: 0.1445486, SHANNON_ENTROPY: 11.4493491, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1796073, PRECISION: 0.0383460, PRECISION_RECALL_MIN_DEN: 0.1339903, RECALL: 0.1298292, MAP: 0.0626797, MRR: 0.1338986, NDCG: 0.0944442, F1: 0.0592038, HIT_RATE: 0.3834601, ARHR: 0.1549132, NOVELTY: 0.0047997, AVERAGE_POPULARITY: 0.1116703, DIVERSITY_MEAN_INTER_LIST: 0.9837972, DIVERSITY_HERFINDAHL: 0.9983623, COVERAGE_ITEM: 0.4397228, COVERAGE_ITEM_CORRECT: 0.0437960, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2008053, DIVERSITY_GINI: 0.1365337, SHANNON_ENTROPY: 11.3923039, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1827537, PRECISION: 0.0390637, PRECISION_RECALL_MIN_DEN: 0.1369145, RECALL: 0.1326849, MAP: 0.0642687, MRR: 0.1361993, NDCG: 0.0965454, F1: 0.0603561, HIT_RATE: 0.3906367, ARHR: 0.1577270, NOVELTY: 0.0048021, AVERAGE_POPULARITY: 0.1102146, DIVERSITY_MEAN_INTER_LIST: 0.9842261, DIVERSITY_HERFINDAHL: 0.9984052, COVERAGE_ITEM: 0.4391761, COVERAGE_ITEM_CORRECT: 0.0454129, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2037498, DIVERSITY_GINI: 0.1362480, SHANNON_ENTROPY: 11.4056264, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1760470, PRECISION: 0.0374201, PRECISION_RECALL_MIN_DEN: 0.1303402, RECALL: 0.1262358, MAP: 0.0609107, MRR: 0.1309450, NDCG: 0.0918878, F1: 0.0577264, HIT_RATE: 0.3742008, ARHR: 0.1512927, NOVELTY: 0.0047973, AVERAGE_POPULARITY: 0.1130072, DIVERSITY_MEAN_INTER_LIST: 0.9833609, DIVERSITY_HERFINDAHL: 0.9983187, COVERAGE_ITEM: 0.4409856, COVERAGE_ITEM_CORRECT: 0.0419788, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963760, DIVERSITY_GINI: 0.1372874, SHANNON_ENTROPY: 11.3821099, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1778728, PRECISION: 0.0377449, PRECISION_RECALL_MIN_DEN: 0.1317068, RECALL: 0.1275639, MAP: 0.0616779, MRR: 0.1322611, NDCG: 0.0929221, F1: 0.0582514, HIT_RATE: 0.3774490, ARHR: 0.1528665, NOVELTY: 0.0047982, AVERAGE_POPULARITY: 0.1123374, DIVERSITY_MEAN_INTER_LIST: 0.9835889, DIVERSITY_HERFINDAHL: 0.9983415, COVERAGE_ITEM: 0.4394995, COVERAGE_ITEM_CORRECT: 0.0425640, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1979112, DIVERSITY_GINI: 0.1365236, SHANNON_ENTROPY: 11.3843908, 

