
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.40990076168502965, 'b': 0.05969603017507831, 'c': 0.2371789422664054, 'normalize': True} - results: ROC_AUC: 0.1762346, PRECISION: 0.0386926, PRECISION_RECALL_MIN_DEN: 0.1333949, RECALL: 0.1288350, MAP: 0.0603378, MRR: 0.1302166, NDCG: 0.0920254, F1: 0.0595112, HIT_RATE: 0.3869258, ARHR: 0.1520155, NOVELTY: 0.0048500, AVERAGE_POPULARITY: 0.0852660, DIVERSITY_MEAN_INTER_LIST: 0.9924225, DIVERSITY_HERFINDAHL: 0.9992247, COVERAGE_ITEM: 0.3247969, COVERAGE_ITEM_CORRECT: 0.0475534, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000000, DIVERSITY_GINI: 0.1032697, SHANNON_ENTROPY: 11.5533496, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.4454587194628046, 'b': 0.8034368947341395, 'c': 0.6740900463020779, 'normalize': True} - results: ROC_AUC: 0.1758914, PRECISION: 0.0383256, PRECISION_RECALL_MIN_DEN: 0.1323615, RECALL: 0.1278745, MAP: 0.0599454, MRR: 0.1298049, NDCG: 0.0914633, F1: 0.0589750, HIT_RATE: 0.3832557, ARHR: 0.1513052, NOVELTY: 0.0048449, AVERAGE_POPULARITY: 0.0867335, DIVERSITY_MEAN_INTER_LIST: 0.9921345, DIVERSITY_HERFINDAHL: 0.9991959, COVERAGE_ITEM: 0.3258595, COVERAGE_ITEM_CORRECT: 0.0466910, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989933, DIVERSITY_GINI: 0.1031260, SHANNON_ENTROPY: 11.5370446, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.467300335124884, 'b': 0.9734872539011782, 'c': 0.3432607490127057, 'normalize': True} - results: ROC_AUC: 0.1807043, PRECISION: 0.0394058, PRECISION_RECALL_MIN_DEN: 0.1359505, RECALL: 0.1313113, MAP: 0.0621583, MRR: 0.1340312, NDCG: 0.0944811, F1: 0.0606184, HIT_RATE: 0.3940582, ARHR: 0.1564179, NOVELTY: 0.0048293, AVERAGE_POPULARITY: 0.0916491, DIVERSITY_MEAN_INTER_LIST: 0.9910630, DIVERSITY_HERFINDAHL: 0.9990888, COVERAGE_ITEM: 0.3384254, COVERAGE_ITEM_CORRECT: 0.0465063, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030703, DIVERSITY_GINI: 0.1052510, SHANNON_ENTROPY: 11.4976473, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.40489843897962285, 'b': 0.5818837314236712, 'c': 0.016058144348180984, 'normalize': True} - results: ROC_AUC: 0.1852587, PRECISION: 0.0395899, PRECISION_RECALL_MIN_DEN: 0.1395068, RECALL: 0.1352197, MAP: 0.0651885, MRR: 0.1375915, NDCG: 0.0980188, F1: 0.0612467, HIT_RATE: 0.3958987, ARHR: 0.1593465, NOVELTY: 0.0047867, AVERAGE_POPULARITY: 0.1099199, DIVERSITY_MEAN_INTER_LIST: 0.9849039, DIVERSITY_HERFINDAHL: 0.9984730, COVERAGE_ITEM: 0.4028412, COVERAGE_ITEM_CORRECT: 0.0455053, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2067447, DIVERSITY_GINI: 0.1215650, SHANNON_ENTROPY: 11.3377829, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.10634774031927777, 'b': 0.1671621186401843, 'c': 0.32658350338502523, 'normalize': False} - results: ROC_AUC: 0.1827725, PRECISION: 0.0395438, PRECISION_RECALL_MIN_DEN: 0.1369868, RECALL: 0.1325418, MAP: 0.0635950, MRR: 0.1358635, NDCG: 0.0960992, F1: 0.0609127, HIT_RATE: 0.3954383, ARHR: 0.1578761, NOVELTY: 0.0047982, AVERAGE_POPULARITY: 0.1026504, DIVERSITY_MEAN_INTER_LIST: 0.9879437, DIVERSITY_HERFINDAHL: 0.9987769, COVERAGE_ITEM: 0.3644427, COVERAGE_ITEM_CORRECT: 0.0446198, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2050837, DIVERSITY_GINI: 0.1106690, SHANNON_ENTROPY: 11.3924262, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.18506173805548834, 'b': 0.26449326512499677, 'c': 0.07121758975668081, 'normalize': False} - results: ROC_AUC: 0.1803067, PRECISION: 0.0383424, PRECISION_RECALL_MIN_DEN: 0.1347089, RECALL: 0.1305837, MAP: 0.0632060, MRR: 0.1344959, NDCG: 0.0950508, F1: 0.0592775, HIT_RATE: 0.3834238, ARHR: 0.1552686, NOVELTY: 0.0047721, AVERAGE_POPULARITY: 0.1150782, DIVERSITY_MEAN_INTER_LIST: 0.9830060, DIVERSITY_HERFINDAHL: 0.9982832, COVERAGE_ITEM: 0.4072608, COVERAGE_ITEM_CORRECT: 0.0431184, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016862, DIVERSITY_GINI: 0.1216497, SHANNON_ENTROPY: 11.2607106, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.06924116995483821, 'b': 0.6648612460212431, 'c': 0.15118879749987238, 'normalize': True} - results: ROC_AUC: 0.1803334, PRECISION: 0.0393216, PRECISION_RECALL_MIN_DEN: 0.1352092, RECALL: 0.1305950, MAP: 0.0618337, MRR: 0.1336672, NDCG: 0.0941091, F1: 0.0604426, HIT_RATE: 0.3932158, ARHR: 0.1558741, NOVELTY: 0.0048224, AVERAGE_POPULARITY: 0.0939587, DIVERSITY_MEAN_INTER_LIST: 0.9904955, DIVERSITY_HERFINDAHL: 0.9990321, COVERAGE_ITEM: 0.3427449, COVERAGE_ITEM_CORRECT: 0.0456439, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031458, DIVERSITY_GINI: 0.1059459, SHANNON_ENTROPY: 11.4755431, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.9856403240010981, 'b': 0.4885747439444047, 'c': 0.5729747324543829, 'normalize': True} - results: ROC_AUC: 0.1783132, PRECISION: 0.0389432, PRECISION_RECALL_MIN_DEN: 0.1346346, RECALL: 0.1300419, MAP: 0.0610370, MRR: 0.1319911, NDCG: 0.0930331, F1: 0.0599364, HIT_RATE: 0.3894316, ARHR: 0.1538727, NOVELTY: 0.0048441, AVERAGE_POPULARITY: 0.0870653, DIVERSITY_MEAN_INTER_LIST: 0.9920707, DIVERSITY_HERFINDAHL: 0.9991895, COVERAGE_ITEM: 0.3289548, COVERAGE_ITEM_CORRECT: 0.0473455, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2015100, DIVERSITY_GINI: 0.1038871, SHANNON_ENTROPY: 11.5390255, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.31583902573216877, 'b': 0.6449076751033944, 'c': 0.5599622457908645, 'normalize': False} - results: ROC_AUC: 0.1813099, PRECISION: 0.0388269, PRECISION_RECALL_MIN_DEN: 0.1355275, RECALL: 0.1312646, MAP: 0.0632262, MRR: 0.1347695, NDCG: 0.0953332, F1: 0.0599271, HIT_RATE: 0.3882693, ARHR: 0.1560821, NOVELTY: 0.0047790, AVERAGE_POPULARITY: 0.1096771, DIVERSITY_MEAN_INTER_LIST: 0.9854255, DIVERSITY_HERFINDAHL: 0.9985251, COVERAGE_ITEM: 0.3801039, COVERAGE_ITEM_CORRECT: 0.0435188, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027180, DIVERSITY_GINI: 0.1137755, SHANNON_ENTROPY: 11.3062274, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.24333344397728313, 'b': 0.09402989220227667, 'c': 0.543521459499777, 'normalize': True} - results: ROC_AUC: 0.1707444, PRECISION: 0.0372234, PRECISION_RECALL_MIN_DEN: 0.1291667, RECALL: 0.1248428, MAP: 0.0579307, MRR: 0.1255756, NDCG: 0.0887170, F1: 0.0573472, HIT_RATE: 0.3722337, ARHR: 0.1458828, NOVELTY: 0.0048584, AVERAGE_POPULARITY: 0.0828890, DIVERSITY_MEAN_INTER_LIST: 0.9928306, DIVERSITY_HERFINDAHL: 0.9992655, COVERAGE_ITEM: 0.3171973, COVERAGE_ITEM_CORRECT: 0.0468142, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945137, DIVERSITY_GINI: 0.1020100, SHANNON_ENTROPY: 11.5672420, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.2544236413953334, 'b': 0.885522204851751, 'c': 0.6829941067051674, 'normalize': False} - results: ROC_AUC: 0.1798254, PRECISION: 0.0384696, PRECISION_RECALL_MIN_DEN: 0.1341232, RECALL: 0.1299109, MAP: 0.0625381, MRR: 0.1337598, NDCG: 0.0943735, F1: 0.0593602, HIT_RATE: 0.3846963, ARHR: 0.1548356, NOVELTY: 0.0047752, AVERAGE_POPULARITY: 0.1107327, DIVERSITY_MEAN_INTER_LIST: 0.9850568, DIVERSITY_HERFINDAHL: 0.9984883, COVERAGE_ITEM: 0.3806583, COVERAGE_ITEM_CORRECT: 0.0427642, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2009060, DIVERSITY_GINI: 0.1137219, SHANNON_ENTROPY: 11.2908165, 

