
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.1795786, PRECISION: 0.0381091, PRECISION_RECALL_MIN_DEN: 0.1336818, RECALL: 0.1295376, MAP: 0.0627924, MRR: 0.1338332, NDCG: 0.0943975, F1: 0.0588914, HIT_RATE: 0.3810913, ARHR: 0.1545924, NOVELTY: 0.0047861, AVERAGE_POPULARITY: 0.1145982, DIVERSITY_MEAN_INTER_LIST: 0.9826617, DIVERSITY_HERFINDAHL: 0.9982488, COVERAGE_ITEM: 0.4383523, COVERAGE_ITEM_CORRECT: 0.0432955, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001007, DIVERSITY_GINI: 0.1336833, SHANNON_ENTROPY: 11.3204429, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1773434, PRECISION: 0.0375400, PRECISION_RECALL_MIN_DEN: 0.1316606, RECALL: 0.1276108, MAP: 0.0616311, MRR: 0.1318097, NDCG: 0.0928429, F1: 0.0580126, HIT_RATE: 0.3753997, ARHR: 0.1521968, NOVELTY: 0.0047851, AVERAGE_POPULARITY: 0.1157980, DIVERSITY_MEAN_INTER_LIST: 0.9822601, DIVERSITY_HERFINDAHL: 0.9982086, COVERAGE_ITEM: 0.4413167, COVERAGE_ITEM_CORRECT: 0.0421328, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1977350, DIVERSITY_GINI: 0.1346320, SHANNON_ENTROPY: 11.3107685, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1838509, PRECISION: 0.0391655, PRECISION_RECALL_MIN_DEN: 0.1383176, RECALL: 0.1340900, MAP: 0.0648508, MRR: 0.1369241, NDCG: 0.0973665, F1: 0.0606219, HIT_RATE: 0.3916547, ARHR: 0.1584190, NOVELTY: 0.0047909, AVERAGE_POPULARITY: 0.1124848, DIVERSITY_MEAN_INTER_LIST: 0.9833068, DIVERSITY_HERFINDAHL: 0.9983133, COVERAGE_ITEM: 0.4369894, COVERAGE_ITEM_CORRECT: 0.0456131, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2049327, DIVERSITY_GINI: 0.1338028, SHANNON_ENTROPY: 11.3476404, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.1806804, PRECISION: 0.0384483, PRECISION_RECALL_MIN_DEN: 0.1347203, RECALL: 0.1305356, MAP: 0.0632679, MRR: 0.1347457, NDCG: 0.0951041, F1: 0.0593990, HIT_RATE: 0.3844826, ARHR: 0.1558315, NOVELTY: 0.0047942, AVERAGE_POPULARITY: 0.1124702, DIVERSITY_MEAN_INTER_LIST: 0.9834407, DIVERSITY_HERFINDAHL: 0.9983267, COVERAGE_ITEM: 0.4386526, COVERAGE_ITEM_CORRECT: 0.0440962, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012332, DIVERSITY_GINI: 0.1349172, SHANNON_ENTROPY: 11.3620472, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.1777091, PRECISION: 0.0377060, PRECISION_RECALL_MIN_DEN: 0.1323377, RECALL: 0.1282623, MAP: 0.0618881, MRR: 0.1321994, NDCG: 0.0932269, F1: 0.0582782, HIT_RATE: 0.3770605, ARHR: 0.1527580, NOVELTY: 0.0047856, AVERAGE_POPULARITY: 0.1154686, DIVERSITY_MEAN_INTER_LIST: 0.9823761, DIVERSITY_HERFINDAHL: 0.9982202, COVERAGE_ITEM: 0.4404235, COVERAGE_ITEM_CORRECT: 0.0424793, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1982383, DIVERSITY_GINI: 0.1344204, SHANNON_ENTROPY: 11.3145766, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1768975, PRECISION: 0.0374659, PRECISION_RECALL_MIN_DEN: 0.1306425, RECALL: 0.1265480, MAP: 0.0611467, MRR: 0.1313968, NDCG: 0.0921987, F1: 0.0578133, HIT_RATE: 0.3746593, ARHR: 0.1518368, NOVELTY: 0.0047990, AVERAGE_POPULARITY: 0.1131051, DIVERSITY_MEAN_INTER_LIST: 0.9832887, DIVERSITY_HERFINDAHL: 0.9983115, COVERAGE_ITEM: 0.4441193, COVERAGE_ITEM_CORRECT: 0.0420712, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966528, DIVERSITY_GINI: 0.1379337, SHANNON_ENTROPY: 11.3791893, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1854034, PRECISION: 0.0396882, PRECISION_RECALL_MIN_DEN: 0.1399738, RECALL: 0.1356762, MAP: 0.0657191, MRR: 0.1382012, NDCG: 0.0985634, F1: 0.0614108, HIT_RATE: 0.3968824, ARHR: 0.1601296, NOVELTY: 0.0047991, AVERAGE_POPULARITY: 0.1101955, DIVERSITY_MEAN_INTER_LIST: 0.9840559, DIVERSITY_HERFINDAHL: 0.9983882, COVERAGE_ITEM: 0.4389220, COVERAGE_ITEM_CORRECT: 0.0467141, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2068705, DIVERSITY_GINI: 0.1357264, SHANNON_ENTROPY: 11.3928038, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1748116, PRECISION: 0.0369147, PRECISION_RECALL_MIN_DEN: 0.1286256, RECALL: 0.1246110, MAP: 0.0603158, MRR: 0.1296550, NDCG: 0.0909168, F1: 0.0569549, HIT_RATE: 0.3691472, ARHR: 0.1497086, NOVELTY: 0.0047927, AVERAGE_POPULARITY: 0.1162296, DIVERSITY_MEAN_INTER_LIST: 0.9820930, DIVERSITY_HERFINDAHL: 0.9981920, COVERAGE_ITEM: 0.4517883, COVERAGE_ITEM_CORRECT: 0.0410857, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940858, DIVERSITY_GINI: 0.1388669, SHANNON_ENTROPY: 11.3291923, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.1774675, PRECISION: 0.0374514, PRECISION_RECALL_MIN_DEN: 0.1317116, RECALL: 0.1276659, MAP: 0.0617387, MRR: 0.1318881, NDCG: 0.0929161, F1: 0.0579123, HIT_RATE: 0.3745135, ARHR: 0.1521801, NOVELTY: 0.0047798, AVERAGE_POPULARITY: 0.1169756, DIVERSITY_MEAN_INTER_LIST: 0.9818304, DIVERSITY_HERFINDAHL: 0.9981657, COVERAGE_ITEM: 0.4400693, COVERAGE_ITEM_CORRECT: 0.0419403, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975085, DIVERSITY_GINI: 0.1334752, SHANNON_ENTROPY: 11.2854629, 
