
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.1834451, PRECISION: 0.0390104, PRECISION_RECALL_MIN_DEN: 0.1373036, RECALL: 0.1330279, MAP: 0.0645432, MRR: 0.1367763, NDCG: 0.0968050, F1: 0.0603286, HIT_RATE: 0.3901039, ARHR: 0.1582052, NOVELTY: 0.0047917, AVERAGE_POPULARITY: 0.1100593, DIVERSITY_MEAN_INTER_LIST: 0.9849827, DIVERSITY_HERFINDAHL: 0.9984809, COVERAGE_ITEM: 0.4296362, COVERAGE_ITEM_CORRECT: 0.0455669, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2039260, DIVERSITY_GINI: 0.1314961, SHANNON_ENTROPY: 11.3969179, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1783761, PRECISION: 0.0377381, PRECISION_RECALL_MIN_DEN: 0.1327727, RECALL: 0.1286959, MAP: 0.0622974, MRR: 0.1327550, NDCG: 0.0936708, F1: 0.0583608, HIT_RATE: 0.3773813, ARHR: 0.1531757, NOVELTY: 0.0047737, AVERAGE_POPULARITY: 0.1176585, DIVERSITY_MEAN_INTER_LIST: 0.9816679, DIVERSITY_HERFINDAHL: 0.9981494, COVERAGE_ITEM: 0.4360808, COVERAGE_ITEM_CORRECT: 0.0424947, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988675, DIVERSITY_GINI: 0.1312604, SHANNON_ENTROPY: 11.2627324, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1864304, PRECISION: 0.0397247, PRECISION_RECALL_MIN_DEN: 0.1400966, RECALL: 0.1357961, MAP: 0.0659989, MRR: 0.1390866, NDCG: 0.0988570, F1: 0.0614672, HIT_RATE: 0.3972467, ARHR: 0.1609880, NOVELTY: 0.0047960, AVERAGE_POPULARITY: 0.1094364, DIVERSITY_MEAN_INTER_LIST: 0.9848439, DIVERSITY_HERFINDAHL: 0.9984670, COVERAGE_ITEM: 0.4340635, COVERAGE_ITEM_CORRECT: 0.0468758, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2072984, DIVERSITY_GINI: 0.1337345, SHANNON_ENTROPY: 11.4081225, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.1868615, PRECISION: 0.0400242, PRECISION_RECALL_MIN_DEN: 0.1418415, RECALL: 0.1375556, MAP: 0.0666208, MRR: 0.1394795, NDCG: 0.0997942, F1: 0.0620058, HIT_RATE: 0.4002417, ARHR: 0.1615183, NOVELTY: 0.0047941, AVERAGE_POPULARITY: 0.1107336, DIVERSITY_MEAN_INTER_LIST: 0.9839670, DIVERSITY_HERFINDAHL: 0.9983793, COVERAGE_ITEM: 0.4369586, COVERAGE_ITEM_CORRECT: 0.0474841, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2086070, DIVERSITY_GINI: 0.1345342, SHANNON_ENTROPY: 11.3799404, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.1791356, PRECISION: 0.0379430, PRECISION_RECALL_MIN_DEN: 0.1336235, RECALL: 0.1295294, MAP: 0.0626301, MRR: 0.1333939, NDCG: 0.0941997, F1: 0.0586914, HIT_RATE: 0.3794302, ARHR: 0.1539543, NOVELTY: 0.0047749, AVERAGE_POPULARITY: 0.1170690, DIVERSITY_MEAN_INTER_LIST: 0.9818675, DIVERSITY_HERFINDAHL: 0.9981694, COVERAGE_ITEM: 0.4354033, COVERAGE_ITEM_CORRECT: 0.0429028, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999245, DIVERSITY_GINI: 0.1311992, SHANNON_ENTROPY: 11.2705177, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1830171, PRECISION: 0.0388268, PRECISION_RECALL_MIN_DEN: 0.1367471, RECALL: 0.1325102, MAP: 0.0642871, MRR: 0.1362742, NDCG: 0.0964413, F1: 0.0600559, HIT_RATE: 0.3882678, ARHR: 0.1575225, NOVELTY: 0.0047879, AVERAGE_POPULARITY: 0.1116774, DIVERSITY_MEAN_INTER_LIST: 0.9842610, DIVERSITY_HERFINDAHL: 0.9984087, COVERAGE_ITEM: 0.4309220, COVERAGE_ITEM_CORRECT: 0.0449663, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033220, DIVERSITY_GINI: 0.1312980, SHANNON_ENTROPY: 11.3649170, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1880164, PRECISION: 0.0403253, PRECISION_RECALL_MIN_DEN: 0.1420056, RECALL: 0.1376353, MAP: 0.0671570, MRR: 0.1411952, NDCG: 0.1003892, F1: 0.0623744, HIT_RATE: 0.4032525, ARHR: 0.1635547, NOVELTY: 0.0048086, AVERAGE_POPULARITY: 0.1050971, DIVERSITY_MEAN_INTER_LIST: 0.9864394, DIVERSITY_HERFINDAHL: 0.9986265, COVERAGE_ITEM: 0.4347873, COVERAGE_ITEM_CORRECT: 0.0485775, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2094124, DIVERSITY_GINI: 0.1361756, SHANNON_ENTROPY: 11.4959560, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1751137, PRECISION: 0.0369038, PRECISION_RECALL_MIN_DEN: 0.1291737, RECALL: 0.1251575, MAP: 0.0606693, MRR: 0.1300778, NDCG: 0.0913202, F1: 0.0569984, HIT_RATE: 0.3690379, ARHR: 0.1500010, NOVELTY: 0.0047721, AVERAGE_POPULARITY: 0.1197339, DIVERSITY_MEAN_INTER_LIST: 0.9809821, DIVERSITY_HERFINDAHL: 0.9980809, COVERAGE_ITEM: 0.4424716, COVERAGE_ITEM_CORRECT: 0.0407777, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1948912, DIVERSITY_GINI: 0.1330109, SHANNON_ENTROPY: 11.2453527, 
