
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1685523, PRECISION: 0.0355046, PRECISION_RECALL_MIN_DEN: 0.1231881, RECALL: 0.1193378, MAP: 0.0580315, MRR: 0.1248882, NDCG: 0.0874285, F1: 0.0547237, HIT_RATE: 0.3550458, ARHR: 0.1439849, NOVELTY: 0.0048177, AVERAGE_POPULARITY: 0.1178096, DIVERSITY_MEAN_INTER_LIST: 0.9815995, DIVERSITY_HERFINDAHL: 0.9981426, COVERAGE_ITEM: 0.4540366, COVERAGE_ITEM_CORRECT: 0.0385833, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1876935, DIVERSITY_GINI: 0.1460374, SHANNON_ENTROPY: 11.4133877, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1781669, PRECISION: 0.0381165, PRECISION_RECALL_MIN_DEN: 0.1334791, RECALL: 0.1293457, MAP: 0.0623864, MRR: 0.1330821, NDCG: 0.0939996, F1: 0.0588806, HIT_RATE: 0.3811649, ARHR: 0.1537694, NOVELTY: 0.0047861, AVERAGE_POPULARITY: 0.1174681, DIVERSITY_MEAN_INTER_LIST: 0.9817501, DIVERSITY_HERFINDAHL: 0.9981577, COVERAGE_ITEM: 0.4419557, COVERAGE_ITEM_CORRECT: 0.0430799, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002517, DIVERSITY_GINI: 0.1362916, SHANNON_ENTROPY: 11.3181316, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1702867, PRECISION: 0.0359851, PRECISION_RECALL_MIN_DEN: 0.1251037, RECALL: 0.1212285, MAP: 0.0589045, MRR: 0.1263721, NDCG: 0.0886962, F1: 0.0554939, HIT_RATE: 0.3598514, ARHR: 0.1458013, NOVELTY: 0.0048167, AVERAGE_POPULARITY: 0.1169778, DIVERSITY_MEAN_INTER_LIST: 0.9819393, DIVERSITY_HERFINDAHL: 0.9981766, COVERAGE_ITEM: 0.4499865, COVERAGE_ITEM_CORRECT: 0.0395303, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1897068, DIVERSITY_GINI: 0.1447257, SHANNON_ENTROPY: 11.4188345, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1778370, PRECISION: 0.0375791, PRECISION_RECALL_MIN_DEN: 0.1320985, RECALL: 0.1280234, MAP: 0.0620359, MRR: 0.1324239, NDCG: 0.0932758, F1: 0.0581017, HIT_RATE: 0.3757907, ARHR: 0.1527719, NOVELTY: 0.0047731, AVERAGE_POPULARITY: 0.1185037, DIVERSITY_MEAN_INTER_LIST: 0.9812998, DIVERSITY_HERFINDAHL: 0.9981126, COVERAGE_ITEM: 0.4378210, COVERAGE_ITEM_CORRECT: 0.0421482, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980622, DIVERSITY_GINI: 0.1319258, SHANNON_ENTROPY: 11.2558359, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1803718, PRECISION: 0.0382472, PRECISION_RECALL_MIN_DEN: 0.1349490, RECALL: 0.1308288, MAP: 0.0632719, MRR: 0.1341146, NDCG: 0.0950630, F1: 0.0591892, HIT_RATE: 0.3824717, ARHR: 0.1549578, NOVELTY: 0.0047768, AVERAGE_POPULARITY: 0.1165481, DIVERSITY_MEAN_INTER_LIST: 0.9819626, DIVERSITY_HERFINDAHL: 0.9981789, COVERAGE_ITEM: 0.4353956, COVERAGE_ITEM_CORRECT: 0.0436189, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2009312, DIVERSITY_GINI: 0.1313693, SHANNON_ENTROPY: 11.2767065, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1742725, PRECISION: 0.0366707, PRECISION_RECALL_MIN_DEN: 0.1284190, RECALL: 0.1244254, MAP: 0.0600964, MRR: 0.1290349, NDCG: 0.0906093, F1: 0.0566443, HIT_RATE: 0.3667067, ARHR: 0.1488044, NOVELTY: 0.0047716, AVERAGE_POPULARITY: 0.1208121, DIVERSITY_MEAN_INTER_LIST: 0.9804583, DIVERSITY_HERFINDAHL: 0.9980285, COVERAGE_ITEM: 0.4459211, COVERAGE_ITEM_CORRECT: 0.0403850, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1936580, DIVERSITY_GINI: 0.1343966, SHANNON_ENTROPY: 11.2371241, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1758285, PRECISION: 0.0370382, PRECISION_RECALL_MIN_DEN: 0.1299494, RECALL: 0.1259256, MAP: 0.0609540, MRR: 0.1304291, NDCG: 0.0917461, F1: 0.0572391, HIT_RATE: 0.3703822, ARHR: 0.1504086, NOVELTY: 0.0047701, AVERAGE_POPULARITY: 0.1199558, DIVERSITY_MEAN_INTER_LIST: 0.9807667, DIVERSITY_HERFINDAHL: 0.9980593, COVERAGE_ITEM: 0.4407315, COVERAGE_ITEM_CORRECT: 0.0410934, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1958223, DIVERSITY_GINI: 0.1325275, SHANNON_ENTROPY: 11.2376232, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1821210, PRECISION: 0.0386677, PRECISION_RECALL_MIN_DEN: 0.1365874, RECALL: 0.1324302, MAP: 0.0641599, MRR: 0.1355088, NDCG: 0.0962685, F1: 0.0598562, HIT_RATE: 0.3866765, ARHR: 0.1566656, NOVELTY: 0.0047813, AVERAGE_POPULARITY: 0.1153951, DIVERSITY_MEAN_INTER_LIST: 0.9823495, DIVERSITY_HERFINDAHL: 0.9982176, COVERAGE_ITEM: 0.4364735, COVERAGE_ITEM_CORRECT: 0.0445274, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028438, DIVERSITY_GINI: 0.1324555, SHANNON_ENTROPY: 11.3011347, 
